"fiscal_year","region","gender","race_ethnicity","children_in_adoption_placements"
"2021","7-Austin","Female","African American","48"
"2021","7-Austin","Female","African American","22"
"2021","7-Austin","Female","African American","5"
"2021","7-Austin","Female","African American","1"
"2021","7-Austin","Female","Anglo","70"
"2021","7-Austin","Female","Anglo","37"
"2021","7-Austin","Female","Anglo","8"
"2021","7-Austin","Female","Anglo","1"
"2021","7-Austin","Female","Asian","1"
"2021","7-Austin","Female","Hispanic","97"
"2021","7-Austin","Female","Hispanic","57"
"2021","7-Austin","Female","Hispanic","11"
"2021","7-Austin","Female","Other","22"
"2021","7-Austin","Female","Other","7"
"2021","7-Austin","Female","Other","3"
"2021","7-Austin","Male","African American","49"
"2021","7-Austin","Male","African American","21"
"2021","7-Austin","Male","African American","11"
"2021","7-Austin","Male","Anglo","77"
"2021","7-Austin","Male","Anglo","49"
"2021","7-Austin","Male","Anglo","15"
"2021","7-Austin","Male","Anglo","1"
"2021","7-Austin","Male","Hispanic","77"
"2021","7-Austin","Male","Hispanic","68"
"2021","7-Austin","Male","Hispanic","12"
"2021","7-Austin","Male","Other","19"
"2021","7-Austin","Male","Other","5"
"2021","7-Austin","Male","Other","4"
"2021","7-Austin","Male","Unknown","3"
"2021","7-Austin","Male","Unknown","2"
"2021","7-Austin","Unknown","Hispanic","1"
"2020","7-Austin","Female","African American","57"
"2020","7-Austin","Female","African American","33"
"2020","7-Austin","Female","African American","4"
"2020","7-Austin","Female","Anglo","73"
"2020","7-Austin","Female","Anglo","47"
"2020","7-Austin","Female","Anglo","17"
"2020","7-Austin","Female","Hispanic","93"
"2020","7-Austin","Female","Hispanic","48"
"2020","7-Austin","Female","Hispanic","14"
"2020","7-Austin","Female","Hispanic","1"
"2020","7-Austin","Female","Other","26"
"2020","7-Austin","Female","Other","3"
"2020","7-Austin","Female","Other","4"
"2020","7-Austin","Female","Unknown","5"
"2020","7-Austin","Male","African American","59"
"2020","7-Austin","Male","African American","29"
"2020","7-Austin","Male","African American","6"
"2020","7-Austin","Male","Anglo","81"
"2020","7-Austin","Male","Anglo","36"
"2020","7-Austin","Male","Anglo","8"
"2020","7-Austin","Male","Hispanic","78"
"2020","7-Austin","Male","Hispanic","44"
"2020","7-Austin","Male","Hispanic","10"
"2020","7-Austin","Male","Native American","2"
"2020","7-Austin","Male","Other","19"
"2020","7-Austin","Male","Other","6"
"2020","7-Austin","Male","Other","1"
"2020","7-Austin","Male","Unknown","3"
"2019","7-Austin","Female","African American","67"
"2019","7-Austin","Female","African American","33"
"2019","7-Austin","Female","African American","5"
"2019","7-Austin","Female","Anglo","90"
"2019","7-Austin","Female","Anglo","51"
"2019","7-Austin","Female","Anglo","20"
"2019","7-Austin","Female","Asian","1"
"2019","7-Austin","Female","Asian","1"
"2019","7-Austin","Female","Asian","1"
"2019","7-Austin","Female","Hispanic","91"
"2019","7-Austin","Female","Hispanic","65"
"2019","7-Austin","Female","Hispanic","16"
"2019","7-Austin","Female","Native American","1"
"2019","7-Austin","Female","Other","17"
"2019","7-Austin","Female","Other","11"
"2019","7-Austin","Female","Other","4"
"2019","7-Austin","Female","Unknown","7"
"2019","7-Austin","Male","African American","66"
"2019","7-Austin","Male","African American","29"
"2019","7-Austin","Male","African American","4"
"2019","7-Austin","Male","Anglo","79"
"2019","7-Austin","Male","Anglo","36"
"2019","7-Austin","Male","Anglo","14"
"2019","7-Austin","Male","Asian","2"
"2019","7-Austin","Male","Hispanic","102"
"2019","7-Austin","Male","Hispanic","56"
"2019","7-Austin","Male","Hispanic","16"
"2019","7-Austin","Male","Other","18"
"2019","7-Austin","Male","Other","13"
"2019","7-Austin","Male","Other","2"
"2019","7-Austin","Male","Unknown","5"
"2019","7-Austin","Unknown","Hispanic","1"
"2018","7-Austin","Female","African American","38"
"2018","7-Austin","Female","African American","9"
"2018","7-Austin","Female","African American","9"
"2018","7-Austin","Female","Anglo","74"
"2018","7-Austin","Female","Anglo","63"
"2018","7-Austin","Female","Anglo","21"
"2018","7-Austin","Female","Asian","1"
"2018","7-Austin","Female","Hispanic","99"
"2018","7-Austin","Female","Hispanic","46"
"2018","7-Austin","Female","Hispanic","17"
"2018","7-Austin","Female","Other","14"
"2018","7-Austin","Female","Other","8"
"2018","7-Austin","Female","Other","2"
"2018","7-Austin","Male","African American","55"
"2018","7-Austin","Male","African American","21"
"2018","7-Austin","Male","African American","1"
"2018","7-Austin","Male","Anglo","71"
"2018","7-Austin","Male","Anglo","38"
"2018","7-Austin","Male","Anglo","12"
"2018","7-Austin","Male","Hispanic","101"
"2018","7-Austin","Male","Hispanic","53"
"2018","7-Austin","Male","Hispanic","8"
"2018","7-Austin","Male","Other","17"
"2018","7-Austin","Male","Other","6"
"2018","7-Austin","Male","Other","2"
"2018","7-Austin","Male","Unknown","2"
"2017","7-Austin","Female","African American","42"
"2017","7-Austin","Female","African American","32"
"2017","7-Austin","Female","African American","5"
"2017","7-Austin","Female","Anglo","96"
"2017","7-Austin","Female","Anglo","57"
"2017","7-Austin","Female","Anglo","17"
"2017","7-Austin","Female","Asian","2"
"2017","7-Austin","Female","Hispanic","81"
"2017","7-Austin","Female","Hispanic","49"
"2017","7-Austin","Female","Hispanic","12"
"2017","7-Austin","Female","Other","20"
"2017","7-Austin","Female","Other","5"
"2017","7-Austin","Female","Other","2"
"2017","7-Austin","Female","Unknown","2"
"2017","7-Austin","Female","Unknown","1"
"2017","7-Austin","Male","African American","50"
"2017","7-Austin","Male","African American","21"
"2017","7-Austin","Male","African American","6"
"2017","7-Austin","Male","Anglo","92"
"2017","7-Austin","Male","Anglo","47"
"2017","7-Austin","Male","Anglo","13"
"2017","7-Austin","Male","Hispanic","88"
"2017","7-Austin","Male","Hispanic","51"
