"id","tp_id","name","address","city","state","zip","zip_plus_four","county","permit_type"
"11328555757TM","11328555757","SCANDINAVIAN TOBACCO GROUP LANE LTD.","2100 E CARY ST STE 200","RICHMOND","VA","23223","7270",,"TOBACCO MANUFACTURER"
"12032010774CM","12032010774","GARY C SANDEN ET AL","PO BOX 496","SALAMANCA","NY","14779","0496",,"CIGARETTE MANUFACTURER"
"12032010774TM","12032010774","GARY C SANDEN ET AL","PO BOX 496","SALAMANCA","NY","14779","0496",,"TOBACCO MANUFACTURER"
"12040025194TM","12040025194","STARBUZZ TOBACCO INC","20155 ELLIPSE","FOOTHILL RNCH","CA","92610","3002",,"TOBACCO MANUFACTURER"
"14317132513CM","14317132513","PREMIER MANUFACTURING, INC. (MARK ONE PRODUCTS, IN","629 CEPI DR","CHESTERFIELD","MO","63005","1221",,"CIGARETTE MANUFACTURER"
"14317132513TM","14317132513","PREMIER MANUFACTURING, INC. (MARK ONE PRODUCTS, IN","629 CEPI DR","CHESTERFIELD","MO","63005","1221",,"TOBACCO MANUFACTURER"
"15418141477CM","15418141477","VECTOR TOBACCO INC.","PO BOX 2010 ATTN:LEGAL DEPT","MORRISVILLE","NC","27560","2010",,"CIGARETTE MANUFACTURER"
"15617021157CM","15617021157","LIGGETT GROUP LLC","PO BOX 2010 ATTN: LEGAL DEPT","MORRISVILLE","NC","27560","2010",,"CIGARETTE MANUFACTURER"
"17310158815CM","17310158815","SENECA-CAYUGA TOBACCO COMPANY","65490 E 240 RD","GROVE","OK","74344","6300",,"CIGARETTE MANUFACTURER"
"17310158815TM","17310158815","SENECA-CAYUGA TOBACCO COMPANY","65490 E 240 RD","GROVE","OK","74344","6300",,"TOBACCO MANUFACTURER"
"18303350187CM","18303350187","WIND RIVER TOBACCO COMPANY LLC","PO BOX 528","BLACK CREEK","NC","27813","0528",,"CIGARETTE MANUFACTURER"
"18303350187TM","18303350187","WIND RIVER TOBACCO COMPANY LLC","PO BOX 528","BLACK CREEK","NC","27813","0528",,"TOBACCO MANUFACTURER"
"32055922218CM","32055922218","NASCO PRODUCTS, LLC","500 SENECA ST STE 507","BUFFALO","NY","14204","1963",,"CIGARETTE MANUFACTURER"
"32055922218TM","32055922218","NASCO PRODUCTS, LLC","500 SENECA ST STE 507","BUFFALO","NY","14204","1963",,"TOBACCO MANUFACTURER"
"32058510788CM","32058510788","ROCK RIVER MANUFACTURING COMPANY","220 REUBEN SNAKE AVE","WINNEBAGO","NE","68071","5175",,"CIGARETTE MANUFACTURER"
"32058510788TM","32058510788","ROCK RIVER MANUFACTURING COMPANY","220 REUBEN SNAKE AVE","WINNEBAGO","NE","68071","5175",,"TOBACCO MANUFACTURER"
"32064288072TM","32064288072","PRIVATEER TOBACCO CO., INC.","PO BOX 70","AYDEN","NC","28513","0070",,"TOBACCO MANUFACTURER"
