"fiscal_year","county","region","legal_status","legal_statuses_granted_during_fiscal_year"
"2021","Anderson","4-Tyler","Adoption","7"
"2021","Anderson","4-Tyler","DFPS Responsibility Terminated","56"
"2021","Anderson","4-Tyler","Permanent Managing Permanency No Parental Rights Terminated","9"
"2021","Anderson","4-Tyler","Permanent Managing Permanency One Parent's Rights Terminated","3"
"2021","Anderson","4-Tyler","Permanent Managing Permanency Parental Rights Terminated (All)","42"
"2021","Anderson","4-Tyler","Temporary Managing Conservatorship","43"
"2021","Andrews","9-Midland","Adoption","12"
"2021","Andrews","9-Midland","DFPS Responsibility Terminated","4"
"2021","Andrews","9-Midland","Permanent Managing Permanency No Parental Rights Terminated","1"
"2021","Andrews","9-Midland","Permanent Managing Permanency Parental Rights Terminated (All)","11"
"2021","Andrews","9-Midland","Temporary Managing Conservatorship","9"
"2021","Angelina","5-Beaumont","Adoption","35"
"2021","Angelina","5-Beaumont","DFPS Responsibility Terminated","44"
"2021","Angelina","5-Beaumont","Permanent Managing Permanency No Parental Rights Terminated","5"
"2021","Angelina","5-Beaumont","Permanent Managing Permanency One Parent's Rights Terminated","3"
"2021","Angelina","5-Beaumont","Permanent Managing Permanency Parental Rights Terminated (All)","28"
"2021","Angelina","5-Beaumont","Temporary Managing Conservatorship","71"
"2021","Aransas","11-Edinburg","Adoption","27"
"2021","Aransas","11-Edinburg","DFPS Responsibility Terminated","24"
"2021","Aransas","11-Edinburg","Permanent Managing Permanency Parental Rights Terminated (All)","9"
"2021","Aransas","11-Edinburg","Temporary Managing Conservatorship","30"
"2021","Archer","2-Abilene","Adoption","1"
"2021","Archer","2-Abilene","Permanent Managing Permanency No Parental Rights Terminated","4"
"2021","Archer","2-Abilene","Temporary Managing Conservatorship","6"
"2021","Atascosa","8-San Antonio","Adoption","27"
"2021","Atascosa","8-San Antonio","DFPS Responsibility Terminated","49"
"2021","Atascosa","8-San Antonio","Permanent Managing Permanency One Parent's Rights Terminated","2"
"2021","Atascosa","8-San Antonio","Permanent Managing Permanency Parental Rights Terminated (All)","39"
"2021","Atascosa","8-San Antonio","Temporary Managing Conservatorship","73"
"2021","Austin","6-Houston","DFPS Responsibility Terminated","7"
"2021","Austin","6-Houston","Temporary Managing Conservatorship","14"
"2021","Bailey","1-Lubbock","DFPS Responsibility Terminated","12"
"2021","Bailey","1-Lubbock","Permanent Managing Permanency No Parental Rights Terminated","5"
"2021","Bailey","1-Lubbock","Permanent Managing Permanency Parental Rights Terminated (All)","4"
"2021","Bandera","8-San Antonio","Adoption","10"
"2021","Bandera","8-San Antonio","DFPS Responsibility Terminated","7"
"2021","Bandera","8-San Antonio","Permanent Managing Permanency No Parental Rights Terminated","1"
"2021","Bandera","8-San Antonio","Permanent Managing Permanency Parental Rights Terminated (All)","12"
"2021","Bandera","8-San Antonio","Temporary Managing Conservatorship","16"
"2021","Bastrop","7-Austin","Adoption","17"
"2021","Bastrop","7-Austin","DFPS Responsibility Terminated","62"
"2021","Bastrop","7-Austin","Permanent Managing Permanency No Parental Rights Terminated","1"
"2021","Bastrop","7-Austin","Permanent Managing Permanency One Parent's Rights Terminated","2"
"2021","Bastrop","7-Austin","Permanent Managing Permanency Parental Rights Terminated (All)","28"
"2021","Bastrop","7-Austin","Temporary Managing Conservatorship","69"
"2021","Baylor","2-Abilene","DFPS Responsibility Terminated","11"
"2021","Baylor","2-Abilene","Temporary Managing Conservatorship","10"
"2021","Bee","11-Edinburg","Adoption","11"
"2021","Bee","11-Edinburg","DFPS Responsibility Terminated","20"
"2021","Bee","11-Edinburg","Permanent Managing Permanency No Parental Rights Terminated","7"
"2021","Bee","11-Edinburg","Permanent Managing Permanency One Parent's Rights Terminated","1"
"2021","Bee","11-Edinburg","Permanent Managing Permanency Parental Rights Terminated (All)","15"
"2021","Bee","11-Edinburg","Possessory Conservatorship","1"
"2021","Bee","11-Edinburg","Temporary Managing Conservatorship","64"
"2021","Bell","7-Austin","Adoption","133"
"2021","Bell","7-Austin","DFPS Responsibility Terminated","716"
"2021","Bell","7-Austin","Permanent Managing Permanency No Parental Rights Terminated","81"
"2021","Bell","7-Austin","Permanent Managing Permanency One Parent's Rights Terminated","10"
"2021","Bell","7-Austin","Permanent Managing Permanency Parental Rights Terminated (All)","173"
"2021","Bell","7-Austin","Temporary Managing Conservatorship","792"
"2021","Bexar","8-San Antonio","Adoption","633"
"2021","Bexar","8-San Antonio","DFPS Responsibility Terminated","1099"
"2021","Bexar","8-San Antonio","Permanent Managing Permanency No Parental Rights Terminated","124"
"2021","Bexar","8-San Antonio","Permanent Managing Permanency One Parent's Rights Terminated","69"
"2021","Bexar","8-San Antonio","Permanent Managing Permanency Parental Rights Terminated (All)","639"
"2021","Bexar","8-San Antonio","Temporary Managing Conservatorship","1770"
"2021","Blanco","7-Austin","DFPS Responsibility Terminated","6"
"2021","Blanco","7-Austin","Temporary Managing Conservatorship","7"
"2021","Bosque","7-Austin","Adoption","10"
"2021","Bosque","7-Austin","DFPS Responsibility Terminated","32"
"2021","Bosque","7-Austin","Permanent Managing Permanency One Parent's Rights Terminated","1"
"2021","Bosque","7-Austin","Permanent Managing Permanency Parental Rights Terminated (All)","19"
"2021","Bosque","7-Austin","Temporary Managing Conservatorship","25"
"2021","Bowie","4-Tyler","Adoption","6"
"2021","Bowie","4-Tyler","DFPS Responsibility Terminated","62"
"2021","Bowie","4-Tyler","Permanent Managing Permanency No Parental Rights Terminated","1"
"2021","Bowie","4-Tyler","Permanent Managing Permanency One Parent's Rights Terminated","3"
"2021","Bowie","4-Tyler","Permanent Managing Permanency Parental Rights Terminated (All)","27"
"2021","Bowie","4-Tyler","Temporary Managing Conservatorship","88"
"2021","Brazoria","6-Houston","Adoption","28"
"2021","Brazoria","6-Houston","DFPS Responsibility Terminated","65"
"2021","Brazoria","6-Houston","Permanent Managing Permanency No Parental Rights Terminated","4"
"2021","Brazoria","6-Houston","Permanent Managing Permanency One Parent's Rights Terminated","2"
"2021","Brazoria","6-Houston","Permanent Managing Permanency Parental Rights Terminated (All)","30"
"2021","Brazoria","6-Houston","Temporary Managing Conservatorship","77"
"2021","Brazos","7-Austin","Adoption","36"
"2021","Brazos","7-Austin","DFPS Responsibility Terminated","77"
"2021","Brazos","7-Austin","Permanent Managing Permanency No Parental Rights Terminated","2"
"2021","Brazos","7-Austin","Permanent Managing Permanency Parental Rights Terminated (All)","26"
"2021","Brazos","7-Austin","Temporary Managing Conservatorship","150"
"2021","Brewster","10-El Paso","Temporary Managing Conservatorship","4"
"2021","Briscoe","1-Lubbock","Permanent Managing Permanency Parental Rights Terminated (All)","3"
"2021","Briscoe","1-Lubbock","Temporary Managing Conservatorship","1"
"2021","Brooks","11-Edinburg","Adoption","1"
"2021","Brooks","11-Edinburg","DFPS Responsibility Terminated","15"
"2021","Brooks","11-Edinburg","Permanent Managing Permanency Parental Rights Terminated (All)","2"
"2021","Brooks","11-Edinburg","Temporary Managing Conservatorship","19"
"2021","Brown","2-Abilene","Adoption","19"
"2021","Brown","2-Abilene","DFPS Responsibility Terminated","87"
"2021","Brown","2-Abilene","Permanent Managing Permanency No Parental Rights Terminated","3"
"2021","Brown","2-Abilene","Permanent Managing Permanency Parental Rights Terminated (All)","28"
"2021","Brown","2-Abilene","Temporary Managing Conservatorship","106"
"2021","Burleson","7-Austin","Adoption","2"
"2021","Burleson","7-Austin","DFPS Responsibility Terminated","33"
"2021","Burleson","7-Austin","Permanent Managing Permanency No Parental Rights Terminated","6"
"2021","Burleson","7-Austin","Permanent Managing Permanency Parental Rights Terminated (All)","5"
"2021","Burleson","7-Austin","Temporary Managing Conservatorship","25"
"2021","Burnet","7-Austin","Adoption","10"
"2021","Burnet","7-Austin","DFPS Responsibility Terminated","75"
"2021","Burnet","7-Austin","Permanent Managing Permanency No Parental Rights Terminated","2"
"2021","Burnet","7-Austin","Permanent Managing Permanency Parental Rights Terminated (All)","22"
"2021","Burnet","7-Austin","Temporary Managing Conservatorship","68"
"2021","Caldwell","7-Austin","Adoption","21"
"2021","Caldwell","7-Austin","DFPS Responsibility Terminated","33"
"2021","Caldwell","7-Austin","Permanent Managing Permanency No Parental Rights Terminated","1"
"2021","Caldwell","7-Austin","Permanent Managing Permanency One Parent's Rights Terminated","1"
"2021","Caldwell","7-Austin","Permanent Managing Permanency Parental Rights Terminated (All)","25"
"2021","Caldwell","7-Austin","Temporary Managing Conservatorship","51"
"2021","Calhoun","8-San Antonio","DFPS Responsibility Terminated","8"
"2021","Calhoun","8-San Antonio","Permanent Managing Permanency No Parental Rights Terminated","4"
"2021","Calhoun","8-San Antonio","Permanent Managing Permanency Parental Rights Terminated (All)","15"
"2021","Calhoun","8-San Antonio","Temporary Managing Conservatorship","10"
"2021","Callahan","2-Abilene","Adoption","9"
"2021","Callahan","2-Abilene","DFPS Responsibility Terminated","12"
"2021","Callahan","2-Abilene","Permanent Managing Permanency Parental Rights Terminated (All)","6"
"2021","Callahan","2-Abilene","Temporary Managing Conservatorship","19"
"2021","Cameron","11-Edinburg","Adoption","26"
"2021","Cameron","11-Edinburg","DFPS Responsibility Terminated","182"
"2021","Cameron","11-Edinburg","Permanent Managing Permanency No Parental Rights Terminated","39"
"2021","Cameron","11-Edinburg","Permanent Managing Permanency One Parent's Rights Terminated","6"
"2021","Cameron","11-Edinburg","Permanent Managing Permanency Parental Rights Terminated (All)","61"
"2021","Cameron","11-Edinburg","Temporary Managing Conservatorship","251"
"2021","Camp","4-Tyler","Adoption","5"
"2021","Camp","4-Tyler","DFPS Responsibility Terminated","10"
"2021","Camp","4-Tyler","Permanent Managing Permanency No Parental Rights Terminated","1"
"2021","Camp","4-Tyler","Permanent Managing Permanency Parental Rights Terminated (All)","2"
"2021","Camp","4-Tyler","Temporary Managing Conservatorship","16"
"2021","Carson","1-Lubbock","Adoption","5"
"2021","Carson","1-Lubbock","DFPS Responsibility Terminated","7"
"2021","Carson","1-Lubbock","Permanent Managing Permanency One Parent's Rights Terminated","1"
"2021","Carson","1-Lubbock","Permanent Managing Permanency Parental Rights Terminated (All)","2"
"2021","Carson","1-Lubbock","Temporary Managing Conservatorship","6"
"2021","Cass","4-Tyler","Adoption","4"
"2021","Cass","4-Tyler","DFPS Responsibility Terminated","26"
"2021","Cass","4-Tyler","Permanent Managing Permanency No Parental Rights Terminated","1"
"2021","Cass","4-Tyler","Permanent Managing Permanency Parental Rights Terminated (All)","5"
"2021","Cass","4-Tyler","Temporary Managing Conservatorship","47"
"2021","Castro","1-Lubbock","Permanent Managing Permanency Parental Rights Terminated (All)","7"
"2021","Castro","1-Lubbock","Temporary Managing Conservatorship","9"
"2021","Chambers","6-Houston","Adoption","1"
"2021","Chambers","6-Houston","DFPS Responsibility Terminated","4"
"2021","Chambers","6-Houston","Permanent Managing Permanency One Parent's Rights Terminated","2"
"2021","Chambers","6-Houston","Permanent Managing Permanency Parental Rights Terminated (All)","3"
"2021","Chambers","6-Houston","Temporary Managing Conservatorship","18"
"2021","Cherokee","4-Tyler","Adoption","20"
"2021","Cherokee","4-Tyler","DFPS Responsibility Terminated","66"
"2021","Cherokee","4-Tyler","Permanent Managing Permanency No Parental Rights Terminated","6"
