"ticket_id","ticket_method_received","ticket_created_date_time","ticket_status","ticket_closed_date_time","issue_type","issue_sub_category","request_activity","request_outcome","street_address","city","zip","neighborhood_district","latitude","longitude","new_geocoded_address"
"22-00104133","Web Intake","2022-08-25T20:55:47.000","Open","2022-08-25T20:55:47.000","Trash Complaints","Missed Garbage Pick-Up",,,"1001 PINE VALLEY RD","LITTLE ROCK","72207","WARD 3","34.77460675","-92.35146995","POINT (-92.35146995 34.77460675)"
"22-00104128","Citizen Mobile App","2022-08-25T20:30:35.000","Open","2022-08-25T20:30:35.000","Trash Complaints","Missed Garbage Pick-Up",,,"4316 W 10TH ST","LITTLE ROCK","72204","WARD 3","34.74273821","-92.32186985","POINT (-92.32186985 34.74273821)"
"22-00104127","Citizen Mobile App","2022-08-25T20:30:34.000","Open","2022-08-25T20:30:34.000","Trash Complaints","Missed Garbage Pick-Up",,,"4318 W 10TH ST","LITTLE ROCK","72204","WARD 3","34.74274538","-92.32201299","POINT (-92.32201299 34.74274538)"
"22-00104126","Citizen Mobile App","2022-08-25T19:51:16.000","Open","2022-08-25T19:51:16.000","Trash Complaints","On-Call / Bulky Items / Special Pick-Up Request",,,"3221 MAIN ST","LITTLE ROCK","72206","WARD 1","34.71730099","-92.27426615","POINT (-92.27426615 34.71730099)"
"22-00104125","Citizen Mobile App","2022-08-25T19:27:04.000","Open","2022-08-25T19:27:04.000","Code Violations","High Grass & Weeds",,,"1715 MESQUITE CIR","LITTLE ROCK","72211","WARD 6","34.73897832","-92.41704891","POINT (-92.41704891 34.73897832)"
"22-00104124","Citizen Mobile App","2022-08-25T19:24:06.000","Open","2022-08-25T19:24:06.000","Trash Complaints","Missed Garbage Pick-Up",,,"1719 MESQUITE CIR","LITTLE ROCK","72211","WARD 6","34.7388172","-92.41695406","POINT (-92.41695406 34.7388172)"
"22-00104123","Citizen Mobile App","2022-08-25T19:24:03.000","Open","2022-08-25T19:24:03.000","Code Violations","Parking in Yard",,,"2214 S SCHILLER ST","LITTLE ROCK","72202","WARD 1","34.72779169","-92.29671227","POINT (-92.29671227 34.72779169)"
"22-00104121","Web Intake","2022-08-25T19:02:09.000","Open","2022-08-25T19:02:09.000","Public Works","Curb Inlet / Catch Basin Cleaning",,,"2211 WINDSOR CT","LITTLE ROCK","72212","WARD 5","34.77460736","-92.42331806","POINT (-92.42331806 34.77460736)"
"22-00104120","Citizen Mobile App","2022-08-25T18:53:49.000","Open","2022-08-25T18:53:49.000","Trash Complaints","Missed Garbage Pick-Up",,,"12716 MISTY CREEK DR","LITTLE ROCK","72211","WARD 6","34.73637652","-92.41640168","POINT (-92.41640168 34.73637652)"
"22-00104119","Citizen Mobile App","2022-08-25T18:50:48.000","Open","2022-08-25T18:50:48.000","Trash Complaints","Missed Garbage Pick-Up",,,"12614 MISTY CREEK DR","LITTLE ROCK","72211","WARD 6","34.7363367","-92.41499272","POINT (-92.41499272 34.7363367)"
