"facility","contact_phone_number","website","street_address","zip_code","geocoded_column"
"Wright Avenue Neighborhood Resource Center","501-244-0900","https://www.littlerock.gov/city-administration/city-departments/housing-and-neighborhood/neighborhood-resource-centers/","1813 Wright Avenue","72202","POINT (-92.293309 34.732212)"
"Wakefield Neighborhood Resource Center","501-565-7119","https://www.littlerock.gov/city-administration/city-departments/housing-and-neighborhood/neighborhood-resource-centers/","7414 Doyle Springs Road","72209","POINT (-92.328019 34.68137)"
"West Central Neighborhood Resource Center","501-565-4807","https://www.littlerock.gov/city-administration/city-departments/housing-and-neighborhood/neighborhood-resource-centers/","4200 John Barrow Road","72204","POINT (-92.373229 34.714853)"
"Valley Drive Neighborhood Resource Center","501-562-0042","https://www.littlerock.gov/city-administration/city-departments/housing-and-neighborhood/neighborhood-resource-centers/","5621 Valley Drive","72209","POINT (-92.341341 34.660978)"
"Capitol View-Stifft Station Neighborhood Resource Center","501-372-3856","https://www.littlerock.gov/city-administration/city-departments/housing-and-neighborhood/neighborhood-resource-centers/","2715 W 7th Street","72205","POINT (-92.30382 34.745317)"
"Willie L Hinton Neighborhood Resource Center","501-379-1515","https://www.littlerock.gov/city-administration/city-departments/housing-and-neighborhood/neighborhood-resource-centers/","3805 W 12th Street","72206","POINT (-92.316184 34.740425)"
"Oak Forest Neighborhood Resource Center","5021-666-0916","https://www.littlerock.gov/city-administration/city-departments/housing-and-neighborhood/neighborhood-resource-centers/","2823 Tyler Street","72204","POINT (-92.33402 34.725788)"
"Baseline Neighborhood Resource Center","501-565-4669","https://www.littlerock.gov/city-administration/city-departments/housing-and-neighborhood/neighborhood-resource-centers/","4600 Baseline Road","72209","POINT (-92.329668 34.668422)"
"South End Neighborhood Resource Center","501-370-9537","https://www.littlerock.gov/city-administration/city-departments/housing-and-neighborhood/neighborhood-resource-centers/","1100 W 33rd Street","72206","POINT (-92.287284 34.716514)"
"Central High Neighborhood Resource Center","501-376-7610","https://www.littlerock.gov/city-administration/city-departments/housing-and-neighborhood/neighborhood-resource-centers/","1108 S Park Street","72202","POINT (-92.297637 34.740319)"
"East Little Rock Neighborhood Resource Center","501-374-3406","https://www.littlerock.gov/city-administration/city-departments/housing-and-neighborhood/neighborhood-resource-centers/","3805 W 12th Street","72206","POINT (-92.316184 34.740425)"
"West Baseline Neighborhood Resource Center","501-565-1499","https://www.littlerock.gov/city-administration/city-departments/housing-and-neighborhood/neighborhood-resource-centers/","9209 Mann Road","72209","POINT (-92.369117 34.666781)"
