"rowid","fiscal_year","fund","fund_description","project_id","project_description","dept","department_description","actuals","budget"
"2013-001-9080013-4800","2013","12","GENERAL FUND","9080013","ENTERPRISE LAND MGMT SYS SFTWR","4800","PROJECTS DEVELOPMENT REVIEW","0.00","45000.00"
"2013-001-9090033-2200","2013","12","GENERAL FUND","9090033","STETSON RIDGE FIRE STATION 21","2200","PROJECTS FIRE","447476.11","768602.00"
"2013-001-9090035-2200","2013","12","GENERAL FUND","9090035","EOC CONSTRUCTION FIRE & POLICE","2200","PROJECTS FIRE","17976.15","18639.00"
"2013-001-9090036-2200","2013","12","GENERAL FUND","9090036","SELF-CONTAINED BREATHING APP","2200","PROJECTS FIRE","500000.00","500000.00"
"2013-001-9090037-2200","2013","12","GENERAL FUND","9090037","BURN AREA WATERSHED ASSESSMNT","2200","PROJECTS FIRE","50000.00","50000.00"
"2013-001-9090038-2200","2013","12","GENERAL FUND","9090038","OEM WALDO CANYON FIRE STUDY","2200","PROJECTS FIRE","0.00","100000.00"
"2013-001-9090039-2200","2013","12","GENERAL FUND","9090039","OEM EMRCY PREPD AFTR ACTN RPT","2200","PROJECTS FIRE","17627.84","100000.00"
"2013-001-9099115-2200","2013","12","GENERAL FUND","9099115","2012 EMPG GEN OPERATING","2200","PROJECTS FIRE","0.00","0.00"
"2013-001-9100500-2100","2013","12","GENERAL FUND","9100500","SALARY TEMPORARY HOLDING ACCT","2100","PROJECTS POLICE","0.00","0.00"
"2013-001-9100500-2191","2013","12","GENERAL FUND","9100500","SALARY TEMPORARY HOLDING ACCT","2191","PATROL","0.00","0.00"
"2013-001-9160035-1300","2013","12","GENERAL FUND","9160035","CAB RENOVATIONS","1300","PROJECTS FINANCE","0.00","210000.00"
"2013-001-9300023-3000","2013","12","GENERAL FUND","9300023","SEPTEMBER 2013 FLOOD REPAIRS","3000","PROJECTS PUBLIC WORKS","0.00","2000000.00"
"2013-001-9310223-3100","2013","12","GENERAL FUND","9310223","SUBDIVISION DEFAULT CONSTRUCT","3100","PROJECTS CITY ENGINEERING","58175.00","74821.00"
"2013-001-9310227-3100","2013","12","GENERAL FUND","9310227","FILLMORE ST CORRIDOR","3100","PROJECTS CITY ENGINEERING","0.00","8016.00"
"2013-001-9310236-3100","2013","12","GENERAL FUND","9310236","SRTS HANCOCK FILLMORE","3100","PROJECTS CITY ENGINEERING","0.00","9704.00"
"2013-001-9310240-3100","2013","12","GENERAL FUND","9310240","NEVADA AVE BRIDGE","3100","PROJECTS CITY ENGINEERING","536587.93","536588.00"
"2013-001-9310242-3100","2013","12","GENERAL FUND","9310242","DETENTION PONDS 3 AND 6","3100","PROJECTS CITY ENGINEERING","153032.97","2095350.00"
"2013-001-9310243-3100","2013","12","GENERAL FUND","9310243","NORTH SOUTH DOUGLAS CREEK","3100","PROJECTS CITY ENGINEERING","749491.19","5125000.00"
"2013-001-9310244-3100","2013","12","GENERAL FUND","9310244","CAMP CREEK FLOOD MITIGATION","3100","PROJECTS CITY ENGINEERING","523632.47","3675000.00"
"2013-001-9370001-3700","2013","12","GENERAL FUND","9370001","DBPS PROJECTS","3700","PROJECTS GEN FUND STRMWTR","6617.10","187796.00"
"2013-001-9370002-3700","2013","12","GENERAL FUND","9370002","T GAP FLOODWAY LEVEE ACCRED","3700","PROJECTS GEN FUND STRMWTR","0.00","9495.00"
"2013-001-9370003-3700","2013","12","GENERAL FUND","9370003","SW MGMT ASSESSMNT CRITERIA","3700","PROJECTS GEN FUND STRMWTR","27454.57","27455.00"
"2013-001-9400015-5000","2013","12","GENERAL FUND","9400015","MIDLAND CORRIDOR","5000","PROJECTS PARKS AND REC","0.00","0.00"
"2013-001-9400415-5000","2013","12","GENERAL FUND","9400415","FORESTRY FIRE MITIGATION","5000","PROJECTS PARKS AND REC","480957.04","1000000.00"
"2013-001-9870015-8700","2013","12","GENERAL FUND","9870015","ELECTRONIC DOCUMENT MGMT SYS","8700","PROJECTS INFO TECHNOLOGY","13276.99","13277.00"
"2013-115-9160022-1300","2013","12","BALLFIELD CAPITAL IMPROVEMENTS","9160022","FOR FINANCE JOURNALS","1300","PROJECTS FINANCE","185.22","0.00"
"2013-115-9400132-5000","2013","12","BALLFIELD CAPITAL IMPROVEMENTS","9400132","ADULT SPORTS COMPLEX","5000","PROJECTS PARKS AND REC","100000.00","100000.00"
"2013-117-9160022-1300","2013","12","BICYCLE TAX","9160022","FOR FINANCE JOURNALS","1300","PROJECTS FINANCE","375.41","300.00"
"2013-117-9330037-3300","2013","12","BICYCLE TAX","9330037","ON STREET BIKEWAY IMPROVEMENTS","3300","PROJECTS TRAFFIC ENG","0.00","100000.00"
"2013-117-9330038-3300","2013","12","BICYCLE TAX","9330038","BICYCLE PARKING","3300","PROJECTS TRAFFIC ENG","5368.07","33622.00"
"2013-117-9330039-3300","2013","12","BICYCLE TAX","9330039","EDUC ENCOURAGEMENT ACTIVITIES","3300","PROJECTS TRAFFIC ENG","5000.00","18624.00"
