"name","description","publication_stage","audience","approval_status","provenance","type","tags","url","api_endpoint","creation_date_utc","last_data_updated_date_utc","domain","derived_view","visits","downloads","row_count","column_count","license","attribution","attribution_link","published_version_uid","common_core_is_quality_data","common_core_publisher","common_core_temporal","common_core_contact_name","common_core_contact_email","common_core_license","common_core_issued","common_core_references","common_core_public_access","common_core_bureau_code","common_core_program_code","common_core_described_by","common_core_update_frequency","common_core_identifier","common_core_homepage","common_core_access_level","common_core_geographic","common_core_theme"
"Asset Inventory","This dataset is a complete inventory of all assets on this site and any assets sourced from other sites, if applicable.","published","public","approved","official","dataset","asset,inventory","https://uspto.data.commerce.gov/d/amfr-qw3g","https://uspto.data.commerce.gov/resource/amfr-qw3g.json","2020-05-19T19:09:00.000","2020-05-19T20:33:00.000","uspto.data.commerce.gov","false","24","0","72","40","Public Domain U.S. Government","Socrata",,,"true","US Patent and Trademark Office, Department of Commerce","1/1/2020","Christopher Leithiser","IPD@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","2020-05-19T00:00:00.000",,"public","006:51","006:070","https://uspto.data.commerce.gov/d/amfr-qw3g","R/P1Y","ASSET-INVENTORY","https://uspto.data.commerce.gov",,,"asset inventory"
"Cancer Moonshot Patent Data Set API","The Cancer Moonshot Patent Data Set API allows the public to discover and search USPTO Cancer Moonshot Patent Data.","published","public","approved","official","href","published application,api,patent,moonshot,cancer,uspto","https://uspto.data.commerce.gov/d/7pma-23uw",,"2020-01-28T19:12:00.000","2020-01-28T19:27:00.000","uspto.data.commerce.gov","false","6","0",,,"Public Domain U.S. Government","Patents","https://developer.uspto.gov/api-catalog/cancer-moonshot-patent-data-set-api",,"true","US Patent and Trademark Office, Department of Commerce","1976/2016","Scott Beliveau","Developer@uspto.gov","Public Domain U.S. Government","2016-08-01T00:00:00.000",,"public","006:51","006:070","https://bulkdata.uspto.gov/data/patent/cancer/moonshot/2016/cancer_patent_data_doc_v15.docx",,"ODP-CMP-API","https://developer.uspto.gov/api-catalog",,"address","uspto cancer moonshot patent published application api"
"Patent Assignment XML (1980 - Present)","Contains daily (front file - Calendar Year 2020) and annual (backfile - August 1980 - December 31, 2019) patent assignment text (no drawings/images) derived from patent assignment recordations made at the USPTO.","published","public","approved","community","href","registered,recordation,pending,ownership,change,assignment,patent application,patent,uspto,xml","https://uspto.data.commerce.gov/d/96w4-jyvc",,"2015-03-25T20:42:00.000","2020-01-10T20:07:00.000","uspto.data.commerce.gov","false","141","50",,,"Public Domain U.S. Government","Assignments",,,"true","US Patent and Trademark Office, Department of Commerce","1980-08-01/2020","Christopher Leithiser","IPD@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","1980-08-01T00:00:00.000","https://bulkdata.uspto.gov/data/patent/assignment/PADX-2019-Retro.docx","public","006:51","006:070","https://bulkdata.uspto.gov/data/patent/assignment/PADX-File-Description-v2_Hague.doc","R/P1D","EIP-5701P-OL",,,,"patent assignments ownership xml"
"Assignees2014 5yr.tsv","This tab-delimited file, assignees2014_5yr.tsv, prepared from the U.S. Patent and Trademark Office (USPTO), Technology Assessment and Forecast (TAF) database, displays a listing of organizations receiving the most utility patents (i.e., patents for invention) during the indicated 5 year time period. Each displayed annual count corresponds to the count of patents received in a calendar year (January 1 to December 31). It will import into a Microsoft Excel spreadsheet. This file generally contains the contents of the PTMT report, DRILL-DOWN Utility Patent Report, Patenting by Geographic Origin (State and Country) - Breakout By Organization, available on the USPTO Web Site at: https://www.uspto.gov/web/offices/ac/ido/oeip/taf/stcasg/regions_stcorg.htm","published","public","approved","official","dataset","taf,ptmt,patenting by organizations,patenting by companies,forecast,monitoring,assessment,technology,statistics,patent,uspto","https://uspto.data.commerce.gov/d/jwx5-kdx6","https://uspto.data.commerce.gov/resource/jwx5-kdx6.json","2015-05-18T12:43:00.000","2020-05-15T19:51:00.000","uspto.data.commerce.gov","false","3487","632","26318","12","Public Domain U.S. Government","Patents/Patent Technology Monitoring Team",,,"true","US Patent and Trademark Office, Department of Commerce","2010-01-01/2014-12-31","Paul Harrison, Patent Technology Monitoring Team (PTMT)","OEIP@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","2004-04-30T00:00:00.000","https://www.uspto.gov/web/offices/ac/ido/oeip/taf/stcasg/regions_stcorg.htm","public","006:51","006:070","https://www.uspto.gov/web/offices/ac/ido/oeip/taf/stcasg/regions_stcorg.htm","R/P1Y","PTMT-0001a","https://www.uspto.gov/web/offices/ac/ido/oeip/taf/reports.htm",,,"patent; patent grant; assignments; ownership; tsv"
"Bulk Data Storage System API","Download patent and trademark data in bulk form.","published","public","approved","official","href","api,bulk,uspto,trademark,patent","https://uspto.data.commerce.gov/d/vzm5-cu73",,"2020-01-30T19:19:00.000","2020-02-18T15:43:00.000","uspto.data.commerce.gov","false","22","0",,,"Public Domain U.S. Government","Information Products Division","https://developer.uspto.gov/api-catalog/bdss",,"true","US Patent and Trademark Office, Department of Commerce","1790/2020","Chris Leithiser","IPD@uspto.gov","Public Domain U.S. Government","2017-03-01T00:00:00.000","https://developer.uspto.gov/data","public","006:51","006:070","http://developer.uspto.gov/sites/default/files/bdss_ug.pdf","R/P1D","ODP-BDSS-API","https://developer.uspto.gov/api-catalog",,"address","patent application trademark uspto"
"Bulk Search and Download API","The Bulk Search and Download API allows searching published patent applications  (pre-grant publications, pgpubs) and issued patents (patent grants) across various fields from 2001 to present, and to request a custom zip package for the given patent application or patent ids. Download up to 100 document numbers at a time. Wait time can vary based on the number of requests being processed.","published","public","approved","official","href","api,pgpub,pre-grant,published patent application,patent grant,patent,uspto","https://uspto.data.commerce.gov/d/k2yp-vmmv",,"2020-01-28T17:15:00.000","2020-01-29T13:36:00.000","uspto.data.commerce.gov","false","18","0",,,"Public Domain U.S. Government","Patents","https://developer.uspto.gov/api-catalog/bulk-search-and-download",,"true","US Patent and Trademark Office, Department of Commerce","2001/2020","Scott Beliveau","Developer@uspto.gov","Public Domain U.S. Government","2017-06-08T00:00:00.000","https://developer.uspto.gov/data/bulk-search","public","006:51","006:070","https://developer.uspto.gov/ibd-api-docs/","R/P1W","ODP-BSD-API","https://developer.uspto.gov/api-catalog",,"address","uspto patent grant application pre-grant pgpub api"
"Cancer Moonshot Patent Data Files for Academia and Researchers (1976 - 2016)","This curated dataset consists of 269,353 patent documents (published patent applications and granted patents) spanning the 1976 to 2016 period and is intended to help identify promising R&D on the horizon in diagnostics, therapeutics, data analytics, and model biological systems.","published","public","approved","official","href","csv,uspto,cancer,moonshot,curated,patent,patent application","https://uspto.data.commerce.gov/d/u6gr-77vr",,"2017-09-14T18:30:00.000","2020-05-18T17:12:00.000","uspto.data.commerce.gov","false","72","2",,,"Public Domain U.S. Government","Chief Economist","https://www.uspto.gov/learning-and-resources/ip-policy/economic-research/research-datasets",,"true","US Patent and Trademark Office, Department of Commerce","1976/2016","Scott Beliveau","Developer@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","2016-08-19T00:00:00.000","https://www.uspto.gov/learning-and-resources/ip-policy/economic-research/research-datasets","public","006:51","006:070","https://bulkdata.uspto.gov/data/patent/cancer/moonshot/2016/cancer_patent_data_doc_v15.docx",,"OCE-PT-00005","https://www.uspto.gov/learning-and-resources/electronic-data-products/cancer-moonshot-patent-data",,,"cancer moonshot patent application curated csv"
"Cooperative Patent Classification (CPC) Master Classification File (MCF) for U.S. Patent Applications (2001 - Present)","Contains Cooperative Patent Classification (CPC) classification information for all Utility patent applications published by the U.S. Patent and Trademark Office (USPTO) from 2001 to present. It is available as XML with schemas or text monthly (usually by the 15th of the month).","published","public","approved","official","href","subclassification,subclass,classification,class,cooperative,patent application,uspto,xml,ascii","https://uspto.data.commerce.gov/d/8qjg-nt5u",,"2017-09-13T19:12:00.000","2020-01-10T16:01:00.000","uspto.data.commerce.gov","false","46","2",,,"Public Domain U.S. Government","Classifications",,,"true","US Patent and Trademark Office, Department of Commerce","2001-03-15/2020","Christopher Leithiser","IPD@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","2016-01-01T00:00:00.000","https://www.uspto.gov/patents-application-process/patent-search/classification-standards-and-development","public","006:51","006:070","https://bulkdata.uspto.gov/data/patent/classification/cpc/US_PGPub_CPC_MCF.docx","R/P1M","EIP-5713P-OL","https://bulkdata.uspto.gov/data/patent/classification/cpc",,,"published patent application; pre-grant publications; pgpubs; class; classification; subclass; subclassification"
"Cooperative Patent Classification (CPC) Master Classification File (MCF) for U.S. Patent Grants (1790 - Present)","Contains Cooperative Patent Classification (CPC) classification information for all Utility patent grants issued by the U.S. Patent and Trademark Office (USPTO) from 1790 to present. It is available as XML with schemas or text monthly (usually by the 15th of the month).","published","public","approved","community","href","subclassification,subclass,classification,class,cooperative,patent,uspto,xml,ascii","https://uspto.data.commerce.gov/d/4f56-rugi",,"2015-03-25T20:42:00.000","2020-01-10T15:59:00.000","uspto.data.commerce.gov","false","202","56",,,"Public Domain U.S. Government","Classifications",,,"true","US Patent and Trademark Office, Department of Commerce","1790-07-31/2020","Christopher Leithiser","IPD@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","2016-01-01T00:00:00.000","https://www.uspto.gov/patents-application-process/patent-search/classification-standards-and-development","public","006:51","006:070","https://bulkdata.uspto.gov/data/patent/classification/cpc/US_Grant_CPC_MCF.docx","R/P1M","EIP-5712P-OL","https://bulkdata.uspto.gov/data/patent/classification/cpc",,,"patent grant; class; classification; subclass; subclassification"
"Custom Bibliographic Patent Data Extract DVD-ROM (1963 - 2014)","Contains selected bibliographic (selected front page data fields) patent data for utility patents granted since 1963 and for other patent documents granted since 1977. The bibliographic data are extracted from the USPTO's Technology Assessment and Forecast (TAF) database and are presented in a form that facilitates loading into database software (e.g., for analysis).","published","public","approved","official","href","dvd,dvd-rom,extract,bibliographic,patent,taf,ptmt,uspto","https://uspto.data.commerce.gov/d/fz6x-wpvf",,"2017-09-14T12:18:00.000","2020-01-10T16:43:00.000","uspto.data.commerce.gov","false","79","2",,,"Public Domain U.S. Government","Patents/Patent Technology Monitoring Team",,,"true","US Patent and Trademark Office, Department of Commerce","1963-01-01/2014-12-31","Paul Harrison, Patent Technology Monitoring Team (PTMT)","OEIP@uspto.gov","http://creativecommons.org/publicdomain/mark/1.0","2016-09-21T00:00:00.000",,"public","006:51","006:070",,"R/P1Y","EIP-PTMT02-OL","https://bulkdata.uspto.gov/data/patent/ptmtdvd",,,"patent bibliographic extract ptmt taf"
