County,FIPS Code,FIPS State and County Code,County Seat,Established,Location,Counties
Mesa,077,08077,Grand Junction,1883-02-14,"Grand Junction, CO
(39.06878999985878, -108.5644499996676)",1015
Douglas,035,08035,Castle Rock,1861-11-01,"Castle Rock, CO
(39.375910000246506, -104.85995999965411)",3133
Logan,075,08075,Sterling,1887-02-25,"Sterling, CO
(40.625940000031164, -103.20614000036056)",1014
Elbert,039,08039,Kiowa,1874-02-02,"Kiowa, CO
(39.346580000266954, -104.46228999998334)",88
Adams,001,08001,Brighton,1902-11-15,"Brighton, CO
(39.98668000018205, -104.81816999974552)",82
Moffat,081,08081,Craig,1911-02-27,"Craig, CO
(40.5142299998148, -107.5478699997006)",1016
Chaffee,015,08015,Salida,1879-02-10,"Salida, CO
(38.53662000031295, -105.99233999959114)",1398
Rio Grande,105,08105,Del Norte,1874-02-10,"Del Norte, CO
(37.67868999964395, -106.35257000030509)",35
Huerfano,055,08055,Walsenburg,1861-11-01,"Walsenburg, CO
(37.625010000011684, -104.780259999799)",1006
Mineral,079,08079,Creede,1893-03-27,"Creede, CO
(37.85123000006462, -106.92670000040454)",31
Weld,123,08123,Greeley,1861-11-01,"Greeley, CO
(40.423269999610966, -104.69446000012874)",1072
Jackson,057,08057,Walden,1909-05-05,"Walden, CO
(40.730510000136576, -106.28207999979202)",1007
Costilla,023,08023,San Luis,1861-11-01,"San Luis, CO
(37.199390000148526, -105.42593999983097)",1441
Delta,029,08029,Delta,1883-02-11,"Delta, CO
(38.74478999985877, -108.07086999995039)",1443
Archuleta,007,08007,Pagosa Springs,1885-04-14,"Pagosa Springs, CO
(37.26749000016355, -107.01018999966863)",1396
Rio Blanco,103,08103,Meeker,1889-03-25,"Meeker, CO
(40.037379999987195, -107.90716000023366)",1065
Arapahoe,005,08005,Littleton,1861-11-01,"Littleton, CO
(39.61689999973538, -105.01452000009778)",1395
Alamosa,003,08003,Alamosa,1913-03-08,"Alamosa, CO
(37.46818000010711, -105.87359999984)",83
La Plata,067,08067,Durango,1874-02-10,"Durango, CO
(37.27367000007064, -107.87929999969509)",1011
Boulder,013,08013,Boulder,1861-11-01,"Boulder, CO
(40.01574000030092, -105.27924000032561)",85
Morgan,087,08087,Fort Morgan,1889-02-19,"Fort Morgan, CO
(40.2546700001206, -103.80148000010178)",1059
Ouray,091,08091,Ouray,1877-01-18,"Ouray, CO
(38.02443000034441, -107.67146000007881)",1061
Montrose,085,08085,Montrose,1883-02-11,"Montrose, CO
(38.478640000236, -107.8776199995632)",32
Routt,107,08107,Steamboat Springs,1877-01-29,"Steamboat Springs, CO
(40.48785000007763, -106.83638999959868)",1066
Lincoln,073,08073,Hugo,1889-04-11,"Hugo, CO
(39.13448999981381, -103.47021999985299)",30
