"release_number","event_id","facility_id","site_name","address","city","zip","state","county","status","release_date","closure_date","no_further_action_type","contact","phone","email","latitude","longitude","latitude_longitude","release_source","release_cause","reimbursement_total","release_record_link"
"REL-000053","2","9250","7-Eleven #19088","1011 37th St","Evans","80620","CO","Weld","Closed","4/12/1993","11/8/1999","Pre-RBCA","Tim Kelley","303-318-4357","cdle_ops_public_record_center@state.co.us","40.377573","-104.694558","40.377573, -104.694558",,,,"https://socgov18.force.com/s/release/a183h000003KVGp"
"REL-011133","3","10529","Sterling Coca-cola Bottling Co","530 S 6th Ave","Sterling","80751","CO","Logan","Closed","3/18/1987","2/6/2012","Tier I","Tom Fox","303-318-8535","tom.fox@state.co.us","40.620812","-103.221496","40.620812, -103.221496","Unknown",,,"https://socgov18.force.com/s/release/a183h000003KY9X"
"REL-005490","4","9974","Firestone Service Center","1130 8th Ave","Greeley","80631","CO","Weld","Closed",,"8/27/1996","Pre-RBCA","Steve Noel","303-318-4357","cdle_ops_public_record_center@state.co.us","40.420097","-104.690488","40.420097, -104.690488",,,,"https://socgov18.force.com/s/release/a183h000003KWgW"
"REL-009740","5","11723","Randy Lehr Property","Warner Enterprises Spill I-25 & Rt 18","Longmont","80501","CO","Boulder","Closed",,"10/30/1990","Pre-RBCA","Larry Delin","303-318-4357","cdle_ops_public_record_center@state.co.us","40.11611","-104.97889","40.11611, -104.97889",,,,"https://socgov18.force.com/s/release/a183h000003KXn4"
"REL-004485","6","6762","Sunstate Equipment Co LLC","4228 E Mulberry St","Fort Collins","80524","CO","Larimer","Closed","8/21/1990","10/13/1994","Pre-RBCA","Joe'l Lambe","303-318-4357","cdle_ops_public_record_center@state.co.us","40.581925","-104.997464","40.581925, -104.997464",,,,"https://socgov18.force.com/s/release/a183h000003KWQJ"
"REL-002222","7","11118","Capri Electronics","1238 Bayfield Pkwy","Bayfield","81122","CO","La Plata","Closed","12/11/2002","4/8/2016","Tier III","Tom Fox","303-318-8535","tom.fox@state.co.us","37.225832","-107.603088","37.225832, -107.603088","Historical contamination",,,"https://socgov18.force.com/s/release/a183h000003KVpo"
"REL-003277","10","4605","CDOW Watson Lake Rearing Unit","4936 W Larimer CR 52 E","Bellvue","80512","CO","Larimer","Closed","12/26/1989","2/27/1995","Pre-RBCA","Ed Larock","303-318-4357","cdle_ops_public_record_center@state.co.us","40.654944","-105.451524","40.654944, -105.451524",,,,"https://socgov18.force.com/s/release/a183h000003KW6p"
"REL-008242","11","12139","Marshdale Bus Terminal","7000 Hwy 73","Evergreen","80439","CO","Jefferson","Closed","11/29/1990","7/28/1994","Pre-RBCA","Joe'l Lambe","303-318-4357","cdle_ops_public_record_center@state.co.us","39.58846","-105.309075","39.58846, -105.309075",,,,"https://socgov18.force.com/s/release/a183h000003KXOu"
"REL-006804","12","11390","Hudson Energy Corp Inc","16101 E Colfax Ave","Aurora","80011","CO","Adams","Closed","7/12/1993","4/21/1999","Pre-RBCA","Robert Shoup","303-318-4357","cdle_ops_public_record_center@state.co.us","39.74071","-104.799945","39.74071, -104.799945",,,,"https://socgov18.force.com/s/release/a183h000003KX1i"
"REL-005094","13","6417","ACME Distribution Center","17751 E Colfax Ave","Aurora","80011","CO","Adams","Closed","10/7/1996","5/16/1997","Pre-RBCA","Julie Cotter","303-318-4357","cdle_ops_public_record_center@state.co.us","39.740261","-104.785718","39.740261, -104.785718",,,,"https://socgov18.force.com/s/release/a183h000003KWa8"
"REL-002689","14","4095","Pit Stop Conoco","11870 N Washington St","Northglenn","80233","CO","Adams","Closed","1/29/1992","10/24/2006","Tier I","Jennifer Steffes","303-318-4357","cdle_ops_public_record_center@state.co.us","39.912005","-104.977244","39.912005, -104.977244",,,,"https://socgov18.force.com/s/release/a183h000003KVxL"
"REL-001494","15","2248","Power Motive Corp","2239 Commericial Blvd","Colorado Springs","80906","CO","El Paso","Closed","11/20/1989","5/28/1996","Pre-RBCA","Ed Larock","303-318-4357","cdle_ops_public_record_center@state.co.us","38.800227","-104.799019","38.800227, -104.799019",,,,"https://socgov18.force.com/s/release/a183h000003KVe4"
"REL-003245","16","12395","CDOW Dry Creek Basin","6 Mi S Of Basin","Norwood","81423","CO","San Miguel","Closed",,"2/9/1993","Pre-RBCA","Edgar Ethington","303-318-4357","cdle_ops_public_record_center@state.co.us","38.055775","-108.539463","38.055775, -108.539463",,,,"https://socgov18.force.com/s/release/a183h000003KW6J"
"REL-006016","17","2999","Gas-rite #3040","1701 N Union Blvd","Colorado Springs","80909","CO","El Paso","Closed","3/13/1992","2/8/1994","Pre-RBCA","Joe'l Lambe","303-318-4357","cdle_ops_public_record_center@state.co.us","38.85717","-104.793739","38.85717, -104.793739",,,,"https://socgov18.force.com/s/release/a183h000003KWp0"
"REL-006723","18","810","Udderly Country Store","128 E 3rd St","Palisade","81526","CO","Mesa","Closed","8/20/1990","6/8/1994","Pre-RBCA","Ed Larock","303-318-4357","cdle_ops_public_record_center@state.co.us","39.110494","-108.350272","39.110494, -108.350272",,,,"https://socgov18.force.com/s/release/a183h000003KX0P"
"REL-010366","19","10250","My Goods Market #6505","3375 28th St","Boulder","80301","CO","Boulder","Closed","9/5/1989","5/7/1997","Pre-RBCA","Craig Workman","303-318-4357","cdle_ops_public_record_center@state.co.us","40.036111","-105.258948","40.036111, -105.258948",,,,"https://socgov18.force.com/s/release/a183h000003KXxA"
"REL-009289","20","1667","Honnen Equipment Co","5055 E 72nd Ave","Commerce City","80022","CO","Adams","Closed","12/6/1993","8/1/1996","Pre-RBCA","Eric Gillespie","303-318-4357","cdle_ops_public_record_center@state.co.us","39.827999","-104.928249","39.827999, -104.928249",,,,"https://socgov18.force.com/s/release/a183h000003KXfn"
"REL-006647","21","12908","Hewit Hawn Joint Venture","10480 Sheridan Blvd","Westminster","80030","CO","Adams","Closed","10/21/1993","4/26/1995","Pre-RBCA","Null User7","303-318-4357","cdle_ops_public_record_center@state.co.us","39.886637","-105.052986","39.886637, -105.052986",,,,"https://socgov18.force.com/s/release/a183h000003KWzB"
"REL-006581","22","3966","Havana Plant","2900 S Havana St","Aurora","80014","CO","Arapahoe","Closed","1/13/1992","12/15/1992","Pre-RBCA","Edgar Ethington","303-318-4357","cdle_ops_public_record_center@state.co.us","39.66432","-104.86543","39.66432, -104.86543",,,,"https://socgov18.force.com/s/release/a183h000003KWy7"
"REL-005348","23","7200","Maxim Motors","2850 North Ave","Grand Junction","81501","CO","Mesa","Closed","10/18/1994","4/8/1997","Pre-RBCA","Joe'l Lambe","303-318-4357","cdle_ops_public_record_center@state.co.us","39.077797","-108.524137","39.077797, -108.524137",,,,"https://socgov18.force.com/s/release/a183h000003KWeE"
"REL-006137","24","14038","Gerold Rennels","402 Vasquez Blvd","Platteville","80651","CO","Weld","Closed","3/16/1990","3/13/1997","Pre-RBCA","Dennis Hotovec","303-318-4357","cdle_ops_public_record_center@state.co.us","40.216902","-104.821992","40.216902, -104.821992",,,,"https://socgov18.force.com/s/release/a183h000003KWqx"
"REL-000369","25","4851","7E CO 5, LLC","303 Broadway","Denver","80203","CO","Denver","Closed","1/18/1994","7/18/1995","Pre-RBCA","Kathy Kosklin","303-318-4357","cdle_ops_public_record_center@state.co.us","39.721191","-104.987928","39.721191, -104.987928",,,,"https://socgov18.force.com/s/release/a183h000003KVLv"
"REL-006639","26","3964","Hertz Rent A Car Inc","1760 14th St","Boulder","80303","CO","Boulder","Closed","7/18/1996","8/7/1997","Pre-RBCA","Jane Bral","303-318-8510","jane.bral@state.co.us","40.015691","-105.276451","40.015691, -105.276451",,,,"https://socgov18.force.com/s/release/a183h000003KWz3"
"REL-003257","27","11796","CDOW Little Hills Wildlife Area","Little Hills Wildlife Area","Meeker","81641","CO","Rio Blanco","Closed","1/29/1990","1/7/1993","Pre-RBCA","Edgar Ethington","303-318-4357","cdle_ops_public_record_center@state.co.us",,,",",,,,"https://socgov18.force.com/s/release/a183h000003KW6V"
"REL-002421","28","13436","Continental Airlines Cal 10","SW Of Bldg 32 Stapleton Int'l Airport","Denver","80207","CO","Denver","Closed",,"12/28/1995","Pre-RBCA","Ed Larock","303-318-4357","cdle_ops_public_record_center@state.co.us",,,",",,,,"https://socgov18.force.com/s/release/a183h000003KVt1"
"REL-006644","29","12417","Hesperus Country Store","10868 Hwy 160","Hesperus","81326","CO","La Plata","Closed","9/18/1991","4/8/1992","Pre-RBCA","Larry Delin","303-318-4357","cdle_ops_public_record_center@state.co.us","37.290548","-108.040205","37.290548, -108.040205",,,,"https://socgov18.force.com/s/release/a183h000003KWz8"
"REL-010367","30","10250","My Goods Market #6505","3375 28th St","Boulder","80301","CO","Boulder","Implementing CAP","3/15/1996",,,"Tom Fox","303-318-8535","tom.fox@state.co.us","40.036111","-105.258948","40.036111, -105.258948",,,,"https://socgov18.force.com/s/release/a183h000003KXxB"
