"bill_number","title","sponsors","action_taken_by_the_governor"
"HB14-1001","Tax Credit for Property Destroyed by a Natural Cause","Singer/Nicholson","Signed 5/17/2014"
"HB14-1002","Water Infrastructure Natural Disaster Grant Fund","Young / Jones","Signed 5/17/2014"
"HB14-1003","Nonresident Disaster Relief Worker Tax Exemption","Nordberg & Saine / Kefalas & Lundberg","Signed 5/17/2014"
"HB14-1004","CDPS Emergency Mgmt Entities & Disaster Assistance","Foote & Humphrey / Nicholson & Lambert","Signed 2/27/2014"
"HB14-1005","Relocate Ditch Headgate Without Change Case","Sonnenberg & Young / Lundberg & Kefalas","Signed 5/15/2014"
"HB14-1006","Tax Remittance For Local Marketing Districts","Singer & Buck/Lundberg & Kefalas","Signed 5/17/2014"
"HB14-1008","Allow CWRPDA Private Entity Forest Health Loans","Hamner / Schwartz","Signed 5/12/2014"
"HB14-1010","Corrections To Prescribed Burning Program Laws","Hamner / Rivera","Signed 5/12/2014"
"HB14-1011","Advanced Industry Economic Development Funding","Young & Gerou / Heath","Signed 5/17/2014"
"HB14-1012","Advanced Industry Investment Income Tax Credit","Tyler & Gerou / Kefalas","Signed 5/29/2014"
"HB14-1014","Modify Job Growth Incentive Tax Credit","DelGrosso & Kraft-Tharp / Heath & Scheffel","Signed 5/16/2014"
"HB14-1015","Extend Transitional Jobs Program","Kraft-Tharp / Kerr","Signed 5/15/2014"
"HB14-1016","Procurement Technical Assistance Program","Ryden & Gardner / Todd & Grantham","Signed 5/21/2014"
"HB14-1017","Expand Availability Of Affordable Housing","Duran / Ulibarri","Signed 5/29/2014"
"HB14-1018","Tax Profile & Expenditure Report","Hamner / Steadman","Signed 3/14/2014"
"HB14-1019","Enactment of 2013 CRS","Gardner/Steadman","Signed 2/11/2014"
"HB14-1020","Combine County Assessor Reports On Taxable Property","Lebsock / Balmer & Nicholson","Signed 2/19/2014"
"HB14-1021","Highway Restriction Violation Penalties","Mitsch Bush & Hamner / Schwartz","Signed 5/15/2014"
"HB14-1022","Child Care Assistance Authorization Period","Landgraf / Newell","Signed 3/14/2014"
"HB14-1023","Social Workers For Juveniles","Lee / Ulibarri","Signed 5/14/2014"
"HB14-1024","Designate Kingcup Cactus As State Cactus","Murray / Schwartz","Signed 3/7/2014"
"HB14-1027","Plug-in Electric Motor Vehicle Definition","Fischer / Jones","Signed 2/19/2014"
"HB14-1029","Disabled Parking License Plates Placards","Primavera / Todd","Signed 5/22/2014"
"HB14-1030","Hydroelectric Generation Incentive","Coram & Mitsch Bush / Schwartz & Roberts","Signed 5/31/2014"
"HB14-1031","Nonconsensual Tow Motor Vehicle","Moreno / Hodge","Signed 2/27/2014"
"HB14-1032","Defense Counsel For Juvenile Offenders","Kagan / Guzman","Signed 5/21/2014"
"HB14-1034","Wine Packaging Permits","Williams / Jahn","Signed 5/9/2014"
"HB14-1035","Restitution Collection Deferred Judgment","Gardner / Johnston","Signed 3/7/2014"
"HB14-1037","Enforcing Laws Against Designer Drugs","Landgraf / Baumgardner","Signed 6/6/2014"
"HB14-1042","Birth Parent Access To Relinquishment Records","Saine / Tochtrop","Signed 5/22/2014"
"HB14-1044","Parolee Tamper With Electronic Monitoring Device","Dore / Tochtrop","Signed 5/15/2014"
"HB14-1045","Breast & Cervical Cancer Treatment","Primavera / Aguilar & Crowder","Signed 4/29/2014"
"HB14-1047","Remove Booking Photographs From Internet","Becker / Guzman","Signed 4/11/2014"
"HB14-1050","Increase In Judges In 18th Judicial District","Kagan / Guzman","Signed 3/14/2014"
"HB14-1051","Development Disability Services Strategic Plan","Schafer & Landgraf / Kefalas & Crowder","Signed 3/14/2014"
"HB14-1052","Ground Water Management District Enforcement Authority","Fischer / Jones","Signed 3/21/2014"
"HB14-1053","Consistent Requirements Pediatric Dental Benefits","McCann / Aguilar","Signed 2/19/2014"
"HB14-1056","Collector Item Motor Vehicle Emission Inspection","Holbert / Tochtrop","Signed 3/7/2014"
"HB14-1057","Fraud Investigators Unit Surcharge Report","Navarro / King","Signed 4/18/2014"
"HB14-1059","No Disorderly Conduct For Blanks Fired At Funerals","Garcia / Crowder","Signed 3/7/2014"
"HB14-1060","Allow Cities To Compensate Planning Commissioners","Mitsch Bush / Schwartz","Signed 3/27/2014"
"HB14-1061","Eliminate Prison For Inability To Pay Fines","Salazar / Guzman","Signed 5/9/2014"
"HB14-1065","Motor Carrier Transportation Self-indemnity Contracts Void","Moreno / Hodge","Signed 3/24/2014"
"HB14-1066","County Clerk And Recorder Driver's License Fee","Vigil / Steadman","Signed 5/31/2014"
"HB14-1072","Income Tax Credit For Child Care Expenses","Pettersen & Exum / Kefalas","Signed 5/22/2014"
"HB14-1073","Recording Of Deeds & Other Legal Documents","Pabon / Rivera","Signed 3/14/2014"
"HB14-1074","Allowable Expenses Renting Tax Exempt Property","Court & DelGrosso / Johnston","Signed 3/14/2014"
"HB14-1077","Raise Cap Oil Gas Conservation & Environmental Response Fund","Gerou / Hodge","Signed 3/27/2014"
"HB14-1078","Changes To Resolve Education Rule Conflicts","Pettersen / Johnston","Signed 2/27/2014"
"HB14-1079","Monetary Amount Limited Offering Securities","Lee / Zenzinger","Signed 3/27/2014"
"HB14-1080","Sales & Use Tax Exemption For Ute Indians","McLachlan & Coram / Roberts","Signed 5/30/2014"
"HB14-1081","Motor Carrier Safety Fund","Fischer & Szabo / Baumgardner & Jahn","Signed 2/27/2014"
"HB14-1082","Life Insurance Notice Of Cancellation","Lee / Tochtrop","Signed 3/27/2014"
"HB14-1083","Acute Treatment Units Stock Medications","Lee / Crowder","Signed 3/14/2014"
"HB14-1085","Adult Education And Literacy Programs","Fields / Zenzinger","Signed 6/5/2014"
"HB14-1086","Legal Notice Statewide Website","Murray / Jones","Signed 3/7/2014"
"HB14-1089","10th Mountain Division License Plate Qualification","Hamner/Schwartz","Signed 5/15/2014"
"HB14-1092","Create CO Youth Conservation Corps Tax Checkoff","Vigil / Kefalas","Signed 4/25/2014"
"HB14-1093","Establish Creative District Community Loan Fund","Duran / Newell","Signed 5/29/2014"
"HB14-1095","CBI Cyber Crime Jurisdiction","Kagan & Gardner / Newell","Signed 5/9/2014"
"HB14-1096","Underfunded Courthouse Facilities Grant Program","Vigil / Schwartz","Signed 5/14/2014"
