"entityid","fein","name","othername"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","ST MARK HIGHLANDS RANCH KNIGHTS OF COLUMBUS"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","ST MARK HIGHLANDS RANCH KNIGHTS OF COLUMBUS"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","ST MARK HIGHLANDS RANCH KNIGHTS OF COLUMBUS"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","ST MARK HIGHLANDS RANCH KNIGHTS OF COLUMBUS"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","ST MARK HIGHLANDS RANCH KNIGHTS OF COLUMBUS"
"20093005610","412172043","UNITED AMERICAN PATRIOTS, INC.","UAP"
"20173010801","262347005","GRANDVIEW HIGH SCHOOL BOYS LACROSSE BOOSTER CLUB","GRANDVIEW HIGH SCHOOL LACROSSE BOOSTERS CLUB"
"20133029695","593803048","WISH FOR WHEELS, INC.","WISH FOR WHEELS"
"20183001893","465684931","RESTORATION EXPLOSION MINISTRIES, INC","RESTORATION EXPLOSION MINISTRIES"
"20093011709","752851746","GENTIVA HOSPICE FOUNDATION D/B/A KINDRED HOSPICE FOUNDATION","KINDRED HOSPICE FOUNDATION"
"20033003438","840586169","CATHOLIC CHARITIES OF CENTRAL COLORADO, INC.","NATURALIZATION AND IMMIGRATION SERVICES"
"20103000724","840893430","COLORADO WIND ENSEMBLE, INC.","COLORADO WIND ENSEMBLE"
"20023003295","942938093","ADAPTIVE SPORTS ASSOCIATION, INC.","DURANGO PURGATORY HANDICAPPED SPORTS ASSOCIATION INC."
"20093009406","261991807","FOSTERING HOPE FOUNDATION","FOSTERING HOPE PROGRAM"
"20073003640","841066794","WINTER PARK SKI EDUCATION FOUNDATION","SPENCER NELSON MEMORIAL FUND"
"20033003438","840586169","CATHOLIC CHARITIES OF CENTRAL COLORADO, INC.","MARIAN HOUSE"
"20073002479","841380016","TEENS, INCORPORATED","TEENS, INC."
"20163019381","222386955","ANIMAL FARM FOUNDATION, INC.","NATIONAL CANINE RESEARCH COUNCIL, LLC"
"20063007160","363320440","FAMILIES OF SMA D/B/A CURE SMA","CURE SMA"
"20033003438","840586169","CATHOLIC CHARITIES OF CENTRAL COLORADO, INC.","MARIAN HOUSE SOUP KITCHEN"
"20083011050","841608608","COLORADO YOUTH OUTDOORS CHARITABLE TRUST","CYO"
"20033003438","840586169","CATHOLIC CHARITIES OF CENTRAL COLORADO, INC.","FAMILY IMMIGRATION SERVICES"
"20033003438","840586169","CATHOLIC CHARITIES OF CENTRAL COLORADO, INC.","MARIAN HOUSE LIFE SUPPORT SERVICES"
"20033003438","840586169","CATHOLIC CHARITIES OF CENTRAL COLORADO, INC.","FAMILY DAY CENTER"
"20083011050","841608608","COLORADO YOUTH OUTDOORS CHARITABLE TRUST","COLORADO YOUTH OUTDOORS AT SWIFT PONDS"
"20023005591","841305384","CHILD AND FAMILY ADVOCACY PROGRAM","BLUE SKY BRIDGE"
"20183002141","814613578","BOY SCOUTS OF AMERICA VENTURE CREW 184","VENTURE CREW 184"
"20093006814","841041249","FRIENDS OF THE DANCE","VAIL YOUTH BALLET COMPANY"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","KOFC COUNCIL #1498"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","KOFC COUNCIL #1498"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","KOFC COUNCIL #1498"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","KOFC COUNCIL #1498"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","KOFC COUNCIL #1498"
"20163001885","311779236","THE COYOTE SCHOOL","PAONIA COMMUNITY GARDEN"
"20173013796","204761441","GROW COLORADO DBA HCC CONTRACTOR ACADEMY","HCC CONTRACTOR ACADEMY"
"20153008401","131623854","THE JEWISH GUILD FOR THE BLIND","JEWISH GUILD HEALTHCARE"
"20033003438","840586169","CATHOLIC CHARITIES OF CENTRAL COLORADO, INC.","MARIAN HOUSE CLIENT SERVICES"
"20183001129","381359513","THE EDISON INSTITUTE","THE HENRY FORD"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","ST MARK KNIGHTS OF COLUMBUS #1498"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","ST MARK KNIGHTS OF COLUMBUS #1498"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","ST MARK KNIGHTS OF COLUMBUS #1498"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","ST MARK KNIGHTS OF COLUMBUS #1498"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","ST MARK KNIGHTS OF COLUMBUS #1498"
"20103022296","720973419","MERCY MULTIPLIED AMERICA, INC.","MERCY MULTIPLIED"
"20033003438","840586169","CATHOLIC CHARITIES OF CENTRAL COLORADO, INC.","LIFE SKILLS & CAREER DEVELOPMENT CENTER"
"20093005610","412172043","UNITED AMERICAN PATRIOTS, INC.","DEFEND OUR DEFENDERS, WARRIOR DEFENSE FUND"
"20073010481","203551813","CCSD PARENT TEACHER COMMUNITY COUNCIL, INC., ASPEN CROSSING ELEM PTO","ASPEN CROSSING PTO"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","KNIGHTS OF COLUMBUS COUNCIL #1498"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","KNIGHTS OF COLUMBUS COUNCIL #1498"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","KNIGHTS OF COLUMBUS COUNCIL #1498"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","KNIGHTS OF COLUMBUS COUNCIL #1498"
"20103001899","260092629","KNIGHTS OF COLUMBUS #1498","KNIGHTS OF COLUMBUS COUNCIL #1498"
"20033001101","237076021","OSTEOGENESIS IMPERFECTA FOUNDATION, INC.","OIF"
"20033001101","237076021","OSTEOGENESIS IMPERFECTA FOUNDATION, INC.","OI FOUNDATION"
