Receipt,Permit,Current Status,DIV,WD,County,Designated Basin,Management District,PM,Township,Range,Section,Q10,Q40,Q160,CoordsEW,CoordsEW Dir,CoordsNS,CoordsNS Dir,UTM x,UTM y,Location Accuracy,Parcel Name,Permit Issued,First Beneficial Use,Permit Expires,Well Constructed,Pump Installed,Well Plugged,Elevation,Well Depth,Top Perforated Casing,Bottom Perforated Casing,Yield,More Information,Location,Counties
0406085C,198937-,Permit Issued,5,51,GRAND,,,S,1.0 S,75.0 W,19,,NE,NE,500,E,0,N,430417.6,4422711,Spotted from section lines,,10/11/1996,,10/11/1998,,,,,,,,,https://dwr.state.co.us/Tools/WellPermits/0406085C,"(39.951679, -105.814594)",1450
0017183D,38616-M,Permit Issued,5,51,GRAND,,,S,1.0 N,78.0 W,18,,NE,NW,1700,W,0,N,399763,4434871.6,Spotted from section lines,,03/29/1991,,,,,,,,,,,https://dwr.state.co.us/Tools/WellPermits/0017183D,"(40.058147, -106.175283)",1450
0385817 ,188711-,Well Constructed,5,51,GRAND,,,S,1.0 S,75.0 W,5,,SW,SW,1100,W,0,S,430924.3,4425949.6,Spotted from section lines,SUNSET RIDGE (FILING: 2),07/24/1995,,07/24/1997,10/18/1995,12/20/2009,,,300,200,280,12.5,https://dwr.state.co.us/Tools/WellPermits/0385817,"(39.9809, -105.809014)",1450
0475363A,233355-,Permit Expired,5,51,GRAND,,,S,2.0 N,76.0 W,3,,SW,SE,2840,W,1,S,424051.8,4445425.8,Spotted from section lines,SCANLOCH,05/15/2001,,05/15/2003,,,,,,,,,https://dwr.state.co.us/Tools/WellPermits/0475363A,"(40.155762, -105.891774)",1450
10017010,325090-,Permit Issued,5,51,GRAND,,,S,1.0 S,76.0 W,1,,SE,SW,25,E,5,S,427976.5,4426164.6,Spotted from quarters,E J VULGAMOTTS 2ND ADDITION,01/06/2022,,01/06/2024,,,,,,,,,https://dwr.state.co.us/Tools/WellPermits/10017010,"(39.982587, -105.843555)",1450
10017010,325090-,Permit Issued,5,51,GRAND,,,S,1.0 S,76.0 W,1,,SE,SW,25,E,5,S,427976.5,4426164.6,Spotted from quarters,E J VULGAMOTTS 2ND ADDITION,01/06/2022,,01/06/2024,,,,,,,,,https://dwr.state.co.us/Tools/WellPermits/10017010,"(39.982587, -105.843555)",1450
0384437J,13623-AD,Application Denied,5,51,GRAND,,,S,2.0 S,75.0 W,17,,NW,NE,2100,E,5,N,431287.3,4415031.9,Spotted from section lines,,,,,,,,,,,,,https://dwr.state.co.us/Tools/WellPermits/0384437J,"(39.88257, -105.803612)",1450
9115323 ,45837-,Well Constructed,5,51,GRAND,,,S,3.0 N,76.0 W,23,,SE,SW,1325,W,5,S,425302.8,4450190.7,Spotted from section lines,,05/19/1971,05/17/1971,,05/17/1971,,,,52,46,52,,https://dwr.state.co.us/Tools/WellPermits/9115323,"(40.1988, -105.87764)",1450
9115494 ,60490-,Well Constructed,5,51,GRAND,,,S,1.0 N,78.0 W,3,,NW,NW,9,W,9,N,404140,4437992.9,Spotted from section lines,,05/10/1972,10/22/1920,,,,,,,,,,https://dwr.state.co.us/Tools/WellPermits/9115494,"(40.08677, -106.124435)",1450
0543260 ,266074-,Permit Expired,5,51,GRAND,,,S,1.0 N,77.0 W,13,,NE,NE,3900,W,10,N,417943.9,4434391.7,Spotted from section lines,WALLACE EXEMPTION,10/18/2005,,10/18/2007,,,,,,,,,https://dwr.state.co.us/Tools/WellPermits/0543260,"(40.05579, -105.962083)",1450
0212956 ,119057-,Well Constructed,5,51,GRAND,,,S,1.0 N,76.0 W,33,,SW,SE,1820,E,10,S,422723.2,4428135,Spotted from section lines,ALPINE ACRES,04/06/1981,,,09/23/1981,,,,165,90,165,,https://dwr.state.co.us/Tools/WellPermits/0212956,"(39.999874, -105.905312)",1450
0259250 ,141890-,Well Constructed,5,51,GRAND,,,S,1.0 S,75.0 W,15,,SW,SE,2440,W,10,S,434514.7,4422680.4,Spotted from section lines,,10/30/1985,,10/30/1987,06/12/1987,,,,135,80,135,,https://dwr.state.co.us/Tools/WellPermits/0259250,"(39.951727, -105.766632)",1450
0470073A,231195-,Permit Expired,5,51,GRAND,,,S,1.0 N,77.0 W,13,,NE,NE,3900,W,10,N,417943.9,4434391.7,Spotted from section lines,WALLACE EXEMPTION,01/25/2001,,01/25/2003,,,,,,,,,https://dwr.state.co.us/Tools/WellPermits/0470073A,"(40.05579, -105.962083)",1450
9115626 ,67308-,Well Constructed,5,51,GRAND,,,S,1.0 N,76.0 W,27,,SE,SW,1670,W,10,S,424043.7,4429686.6,Spotted from section lines,WINTER PARK HIGHLANDS (FILING: 1),02/02/1973,11/01/1974,,11/01/1974,,,,340,200,340,,https://dwr.state.co.us/Tools/WellPermits/9115626,"(40.013976, -105.89002)",1450
0017183A,38613-M,Permit Issued,5,51,GRAND,,,S,1.0 N,78.0 W,18,,NE,NW,1550,W,10,N,399717.3,4434872.3,Spotted from section lines,,03/29/1991,,,,,,,,,,,https://dwr.state.co.us/Tools/WellPermits/0017183A,"(40.058142, -106.175822)",1450
0382845 ,187112-,Well Constructed,5,51,GRAND,,,S,1.0 N,76.0 W,34,,SW,SE,1450,E,10,S,424445,4428119.9,Spotted from section lines,WINTER PARK HIGHLANDS (FILING: 4),05/19/1995,,05/19/1997,10/16/1995,,,,220,120,220,,https://dwr.state.co.us/Tools/WellPermits/0382845,"(39.999895, -105.885139)",1450
0218408 ,121856-,Well Constructed,5,51,GRAND,,,S,1.0 N,76.0 W,34,,SE,SW,2610,E,10,S,424086.3,4428112.6,Spotted from section lines,WINTER PARK HIGHLANDS (FILING: 4),08/31/1981,,08/31/1983,09/28/1981,,,,120,60,120,,https://dwr.state.co.us/Tools/WellPermits/0218408,"(39.9998, -105.889344)",1450
9115667 ,69886-,Well Constructed,5,51,GRAND,,,S,1.0 N,76.0 W,34,,NW,NE,1655,E,10,N,424619.9,4429683.4,Spotted from section lines,WINTER PARK HIGHLANDS (FILING: 3),07/09/1973,07/30/1973,,07/30/1973,,,,315,215,315,,https://dwr.state.co.us/Tools/WellPermits/9115667,"(40.013991, -105.883271)",1450
0382845 ,187112-,Well Constructed,5,51,GRAND,,,S,1.0 N,76.0 W,34,,SW,SE,1450,E,10,S,424445,4428119.9,Spotted from section lines,WINTER PARK HIGHLANDS (FILING: 4),05/19/1995,,05/19/1997,10/16/1995,,,,220,120,220,,https://dwr.state.co.us/Tools/WellPermits/0382845,"(39.999895, -105.885139)",1450
0912669 ,87866-,Permit Expired,5,51,GRAND,,,S,3.0 N,76.0 W,21,,SW,SE,2600,E,12,S,422427.7,4450299,Spotted from section lines,,,,,,,,,,,,,https://dwr.state.co.us/Tools/WellPermits/0912669,"(40.199512, -105.911428)",1450
9115606 ,65865-,Well Constructed,5,51,GRAND,,,S,2.0 N,76.0 W,27,,NW,NW,205,W,15,N,423207.4,4440611.8,Spotted from section lines,,10/25/1972,11/15/1972,,10/29/1972,,,,93,30,40,,https://dwr.state.co.us/Tools/WellPermits/9115606,"(40.112319, -105.901122)",1450
9503650 ,290028-,Well Abandoned,5,51,GRAND,,,S,1.0 S,78.0 W,6,,SE,SE,524,E,18,S,401650.4,4426261.6,Spotted from section lines,,12/17/2012,07/01/1950,,,,01/08/2014,,150,,,,https://dwr.state.co.us/Tools/WellPermits/9503650,"(39.980811, -106.151857)",1450
0458867 ,225607-,Well Constructed,5,51,GRAND,,,S,3.0 N,76.0 W,13,,SW,SW,220,W,20,S,426600.2,4451772.9,Spotted from section lines,PERRY L MILLER TRACTS,05/11/2000,,05/11/2004,07/17/2003,05/13/2003,,,150,60,150,2,https://dwr.state.co.us/Tools/WellPermits/0458867,"(40.213166, -105.862584)",1450
3633678 ,64320-F-R,Well Constructed,5,51,GRAND,,,S,1.0 S,76.0 W,26,,NE,NW,1920,W,20,N,426407.4,4421126.5,Spotted from section lines,MOOSE RUN,10/10/2008,,10/10/2009,10/16/2008,12/08/2008,,,700,140,700,4,https://dwr.state.co.us/Tools/WellPermits/3633678,"(39.93706, -105.861366)",1450
3633678 ,64320-F-R,Well Constructed,5,51,GRAND,,,S,1.0 S,76.0 W,26,,NE,NW,1920,W,20,N,426407.4,4421126.5,Spotted from section lines,MOOSE RUN,10/10/2008,,10/10/2009,10/16/2008,12/08/2008,,,700,140,700,4,https://dwr.state.co.us/Tools/WellPermits/3633678,"(39.93706, -105.861366)",1450
0458867 ,225607-,Well Constructed,5,51,GRAND,,,S,3.0 N,76.0 W,13,,SW,SW,220,W,20,S,426600.2,4451772.9,Spotted from section lines,PERRY L MILLER TRACTS,05/11/2000,,05/11/2004,07/17/2003,05/13/2003,,,150,60,150,2,https://dwr.state.co.us/Tools/WellPermits/0458867,"(40.213166, -105.862584)",1450
9116283,118307-,Well Constructed,5,51,GRAND,,,S,1.0 N,76.0 W,34,,NW,NE,2100,E,20,N,424482.1,4429679.7,Spotted from section lines,WINTER PARK HIGHLANDS (FILING: 3),,04/22/1981,,04/22/1981,,,,560,,,,https://dwr.state.co.us/Tools/WellPermits/9116283,"(40.013952, -105.884887)",1450
0422278 ,206659-,Well Constructed,5,51,GRAND,,,S,1.0 N,76.0 W,20,,SE,SW,2605,E,20,S,421284.2,4431294.5,Spotted from section lines,TEN MILE CREEK ESTATES,11/24/1997,09/15/1999,11/24/1999,09/15/1999,09/15/1999,,,,,,,https://dwr.state.co.us/Tools/WellPermits/0422278,"(40.0282, -105.922551)",1450
0346045,167646-,Well Constructed,5,51,GRAND,,,S,3.0 N,75.0 W,4,,SW,SW,1100,W,20,S,431760.7,4454934.8,Spotted from section lines,,12/04/1992,,,12/13/1992,04/30/1993,,,125,60,125,5.93,https://dwr.state.co.us/Tools/WellPermits/0346045,"(40.242087, -105.802275)",1450
0422278 ,206659-,Well Constructed,5,51,GRAND,,,S,1.0 N,76.0 W,20,,SE,SW,2605,E,20,S,421284.2,4431294.5,Spotted from section lines,TEN MILE CREEK ESTATES,11/24/1997,09/15/1999,11/24/1999,09/15/1999,09/15/1999,,,,,,,https://dwr.state.co.us/Tools/WellPermits/0422278,"(40.0282, -105.922551)",1450
0529135 ,,Application Withdrawn,5,51,GRAND,,,S,3.0 N,76.0 W,30,,SW,SW,430,W,20,S,418699.1,4448761,Spotted from section lines,,,,,,,,,,,,,https://dwr.state.co.us/Tools/WellPermits/0529135,"(40.185304, -105.955041)",1450
9502529 ,64320-F,Well Abandoned,5,51,GRAND,,,S,1.0 S,76.0 W,26,,NE,NW,1900,W,20,N,426401.3,4421126.5,Spotted from section lines,MOOSE RUN,05/24/2006,,05/24/2008,09/07/2007,09/13/2007,08/17/2009,,400,100,400,2.1,https://dwr.state.co.us/Tools/WellPermits/9502529,"(39.93706, -105.861436)",1450
9115391 ,48893-,Permit Canceled,5,51,GRAND,,,S,3.0 N,76.0 W,23,,SE,SE,920,E,20,S,426219.8,4450172.6,Spotted from section lines,TIMBERLANE,09/20/1971,10/08/1971,,10/08/1971,,,,42,,,,https://dwr.state.co.us/Tools/WellPermits/9115391,"(40.198719, -105.866865)",1450
0418438,49213-F,Well Constructed,5,51,GRAND,,,S,3.0 N,76.0 W,26,,NW,NW,1000,W,20,N,425203.5,4450183.9,Spotted from section lines,SODA SPRINGS RANCH (FILING: 3),11/17/1997,,11/17/1998,01/16/1998,07/03/1998,,,210,,,68,https://dwr.state.co.us/Tools/WellPermits/0418438,"(40.198728, -105.878802)",1450
0458867 ,225607-,Well Constructed,5,51,GRAND,,,S,3.0 N,76.0 W,13,,SW,SW,220,W,20,S,426600.2,4451772.9,Spotted from section lines,PERRY L MILLER TRACTS,05/11/2000,,05/11/2004,07/17/2003,05/13/2003,,,150,60,150,2,https://dwr.state.co.us/Tools/WellPermits/0458867,"(40.213166, -105.862584)",1450
0458867 ,225607-,Well Constructed,5,51,GRAND,,,S,3.0 N,76.0 W,13,,SW,SW,220,W,20,S,426600.2,4451772.9,Spotted from section lines,PERRY L MILLER TRACTS,05/11/2000,,05/11/2004,07/17/2003,05/13/2003,,,150,60,150,2,https://dwr.state.co.us/Tools/WellPermits/0458867,"(40.213166, -105.862584)",1450
9115949,85574-,Well Constructed,5,51,GRAND,,,S,1.0 S,75.0 W,5,,SW,SW,675,W,20,S,430794.8,4425953.2,Spotted from section lines,SUNSET RIDGE (FILING: 2),,06/18/1978,,06/18/1978,,,,260,,,,https://dwr.state.co.us/Tools/WellPermits/9115949,"(39.980917, -105.810525)",1450
9115469 ,58420-,Well Constructed,5,51,GRAND,,,S,3.0 N,76.0 W,23,,NW,NW,130,W,22,N,424970.5,4451789.6,Spotted from section lines,,04/21/1972,07/31/1973,,09/18/1972,,,,49,42,49,,https://dwr.state.co.us/Tools/WellPermits/9115469,"(40.213175, -105.881739)",1450
0269661B,31783-M,Well Constructed,5,51,GRAND,,,S,1.0 S,75.0 W,2,,SW,SW,58,W,23,S,435486.8,4425841.9,Spotted from section lines,,06/02/1987,07/08/1988,,08/27/1986,,,,215,,,,https://dwr.state.co.us/Tools/WellPermits/0269661B,"(39.980288, -105.755567)",1450
