"the_geom","phone","city","zip","url","major","poi_name","address_id","address_l1","address_l2","state"
"POINT (-104.99850481951853 39.74414286481317)","303-640-2862","Denver","80204.0","http://www.denvergov.org/dephome.asp?depid=77","YES","Denver Performing Arts Complex","0","950 13th St.",,
"POINT (-104.99436996348652 39.74659762273734)",,"Denver","0.0",,"YES","University Building","0","910 16th St.",,
"POINT (-104.987034543819 39.74217620166348)",,"Denver","0.0",,,"Colorado State Bank Building","0","1600 Broadway",,
"POINT (-104.99259167002162 39.749566515530546)",,"Denver","0.0",,,"Denver Place Plaza Tower","0","1099 18th St.",,
"POINT (-105.00569661466386 39.75595283674767)",,"Denver","0.0",,,"Commons Park","0",,,
"POINT (-104.9608527906368 39.745662324337104)","303-322-1053","Denver","0.0",,,"Denver Museum of Miniatures, Dolls and Toys","0","1880 Gaylord St.",,
"POINT (-104.96985337935791 39.77756332731133)",,"Denver","80216.0",,,"Forney Museum of Transportation","0","4303 Brighton Blvd.",,
"POINT (-104.98214430504083 39.72889786139086)","303-866-3682","Denver","0.0",,,"Governor's Mansion","0","400 E. 8th Ave.",,
"POINT (-104.9857192150372 39.742967616540625)",,"Denver","0.0",,,"Lincoln Center","0","1660 Lincoln St.",,
"POINT (-104.99791144536135 39.75971862043792)",,"Denver","0.0",,,"Prospect Neighborhood","0",,,
"POINT (-104.97415042397955 39.74626811453942)","303-861-8888","Denver","80218.0","http://www.tchden.org/","YES","Children's Hospital","0","1056 E. 19th Ave.",,
"POINT (-105.0305040458498 39.78810905564967)","303-458-4900","Denver","80221.0","http://www.regis.edu/","YES","Regis University","0","3333 Regis Blvd.",,
"POINT (-105.00756270844795 39.74852857575718)","303-405-8555","Denver","80204.0","http://www.pepsicenter.com","YES","Pepsi Center","0","1000 Chopper Pl.",,
"POINT (-104.90667100766211 39.73540227703728)",,"Denver","80220.0",,,"Richthofen Castle","0","7020 E. 12th Ave.",,
"POINT (-104.99783905109814 39.75480328756851)",,"Denver","0.0",,,"1899 Wynkoop","0","1899 Wynkoop St.",,
"POINT (-104.987313458833 39.718615734010825)","303-744-6883","Denver","80203.0","http://www.landmarktheatres.com/Market/Denver/MayanTheatre.htm",,"Mayan Theater","0","110 Broadway St.",,
"POINT (-104.97438346982676 39.75918318849142)","303-292-2566","Denver","0.0",,,"Black American West Museum and Heritage Center","0","3091 California St.",,
"POINT (-105.01413213533073 39.7520104394153)","303-561-4450","Denver","80211.0","http://www.oceanjourney.com/","YES","Ocean Journey","0","700 Water St.",,
"POINT (-104.95298211702345 39.6761067104718)","303-871-5172","Denver","0.0",,,"Chamberlain Observatory","0","2390 E. Warren Ave.",,
"POINT (-104.98707386196196 39.74360734186632)",,"Denver","0.0",,,"1670 Broadway","0","1670 Broadway",,
"POINT (-104.99515517034109 39.75028101112804)",,"Denver","0.0",,,"17th Street Plaza","0","1225 17th St.",,
"POINT (-104.9933991569572 39.75126553170725)",,"Denver","0.0",,,"1875 Lawrence","0","1875 Lawrence St.",,
"POINT (-105.02751804199437 39.66163462285937)","303-936-8441","Denver","80236.0","http://www.tlhu.edu/",,"Teikyo Loretto Heights","0","3001 S. Federal Blvd.",,
"POINT (-104.99465870953622 39.74687235973613)","303-571-1114","Denver","0.0",,,"Courtyard by Marriott","0","934 16th St.",,
"POINT (-104.99136366055728 39.74676722835392)",,"Denver","0.0",,,"Johns Manville Plaza","0","717 17th St.",,
"POINT (-104.98968869646802 39.747614782435164)",,"Denver","0.0",,,"1801 California","0","1801 California St.",,
"POINT (-104.98817894897945 39.74189979565864)",,"Denver","0.0",,,"Columbine Place","0","216 16th St.",,
"POINT (-104.99512006121341 39.742931801410464)","303-288-8000","Denver","80202.0","http://www.denverconvention.com/","YES","Denver Convention Complex","0","700 14th St.",,
"POINT (-104.99571062936042 39.74808924616002)",,,"0.0",,,"Daniels and Fisher Tower","0","1101 16th St.",,
"POINT (-104.99094409203195 39.72789511674546)","303-436-6000","Denver","80204.0","http://www.denverhealth.org",,"Denver Health Medical Center","0","777 Bannock St.",,
"POINT (-104.99381692747596 39.73748714461669)",,"Denver","0.0",,,"Golden Triangle Neighborhood","0",,,
"POINT (-104.9877672454827 39.7477546779437)",,"Denver","0.0",,,"1999 Broadway","0","1999 Broadway",,
"POINT (-104.98811814275837 39.737319737008136)","720-865-1111","Denver","80204.0","http://www.denver.lib.co.us/","YES","Denver Public Library","0","10 W. 14th Ave. Parkway",,
"POINT (-104.94202366818462 39.74773713987997)","303-322-7009","Denver","80205.0","http://www.dmns.org/",,"Denver Museum of Nature and Science","0","2001 Colorado Blvd.",,
"POINT (-104.99611855384342 39.7491026208441)",,"Denver","0.0",,,"One Tabor Center","0","1200 17th St.",,
"POINT (-104.99188472045154 39.74712704866204)",,"Denver","0.0",,,"Guaranty Bank Building","0","805 17th St.",,
"POINT (-105.0130937675558 39.749299671560436)","303-595-4386","Denver","80204.0","http://www.sixflags.com/elitchgardens","YES","Six Flags Elitch Gardens","0","2000 Elitches Cir.",,
"POINT (-105.00004689712466 39.74831604498456)",,"Denver","0.0",,,"The Chamber Building","0","1445 Market St.",,
"POINT (-104.99628032143147 39.74873819451926)","303-572-6868","Denver","80202.0",,,"Tabor Center","0","1201 16th St., Suite 120",,
"POINT (-104.67391966150836 39.85445753385562)","303-342-2000","Denver","80249.0","http://www.flydenver.com/",,"Denver International Airport","0","8500 Pena Blvd.",,
"POINT (-104.9994498719542 39.74763062349274)","303-685-8143","Denver","80202.0","http://www.larimersquare.com/","YES","Larimer Square","0","1430 Larimer Square",,
"POINT (-104.9753037701725 39.740178429400714)","303-831-9448","Denver","80218.0",,,"Ogden Theatre","0","935 E. Colfax Ave.",,
"POINT (-104.90860230568325 39.67862001860874)","303-753-6046","Denver","80224.0","http://rmcad.edu/",,"Rocky Mountain College of Art and Design","0","6875 E. Evans Ave.",,
"POINT (-104.98843121589653 39.74363521296766)",,"Denver","0.0",,,"Republic Plaza","0","330 17th St.",,
