"month","year","county","med_tax_rev","rec_tax_rev","med_remainderofstate_counties","rec_remainderofstate_counties","med_blank_code","rec_blank_code","id"
"8","2019","Adams","17037",,,,,,"82019Adams"
"8","2019","Alamosa",,,,,"NR",,"82019Alamosa"
"8","2019","Arapahoe","24256",,,,,,"82019Arapahoe"
"8","2019","Boulder","33557",,,,,,"82019Boulder"
"8","2019","Chaffee",,,,,"NR",,"82019Chaffee"
"8","2019","Clear Creek",,,,,"NR",,"82019Clear Creek"
"8","2019","Denver","392226",,,,,,"82019Denver"
"8","2019","Eagle","2826",,,,,,"82019Eagle"
"8","2019","El Paso","270107",,,,,,"82019El Paso"
"8","2019","Fremont","5548",,,,,,"82019Fremont"
"8","2019","Garfield","3086",,,,,,"82019Garfield"
"8","2019","Grand",,,,,"NR",,"82019Grand"
"8","2019","Jefferson","39411",,,,,,"82019Jefferson"
"8","2019","La Plata",,,,,"NR",,"82019La Plata"
"8","2019","Larimer","22969",,,,,,"82019Larimer"
"8","2019","Las Animas","1901",,,,,,"82019Las Animas"
"8","2019","Mesa",,,,,"NR",,"82019Mesa"
"8","2019","Moffat",,,,,"NR",,"82019Moffat"
"8","2019","Montezuma","1102",,,,,,"82019Montezuma"
"8","2019","Montrose",,,,,"NR",,"82019Montrose"
"8","2019","Morgan",,,,,"NR",,"82019Morgan"
"8","2019","Otero",,,,,"NR",,"82019Otero"
"8","2019","Park",,,,,"NR",,"82019Park"
"8","2019","Pitkin",,,,,"NR",,"82019Pitkin"
"8","2019","Pueblo","21459",,,,,,"82019Pueblo"
"8","2019","Routt","3878",,,,,,"82019Routt"
"8","2019","San Miguel",,,,,"NR",,"82019San Miguel"
"8","2019","Sedgwick",,,,,"NR",,"82019Sedgwick"
"8","2019","Summit",,,,,"NR",,"82019Summit"
"8","2019","Weld","8858",,,,,,"82019Weld"
"8","2019","Sum of NR Counties","18015",,,,,,"82019Sum of NR Counties"
"7","2019","Adams","16539",,,,,,"72019Adams"
"7","2019","Alamosa",,,,,"NR",,"72019Alamosa"
"7","2019","Arapahoe","23076",,,,,,"72019Arapahoe"
"7","2019","Boulder","29361",,,,,,"72019Boulder"
"7","2019","Chaffee",,,,,"NR",,"72019Chaffee"
"7","2019","Clear Creek",,,,,"NR",,"72019Clear Creek"
"7","2019","Denver","357367",,,,,,"72019Denver"
"7","2019","Eagle","2501",,,,,,"72019Eagle"
"7","2019","El Paso","291131",,,,,,"72019El Paso"
"7","2019","Fremont",,,,,"NR",,"72019Fremont"
