WDID,Structure Name,Structure Type,Water Source,DIV,WD,County,Q10,Q40,Q160,Section,Township,Range,PM,CoordsEW,CoordsEW Dir,CoordsNS,CoordsNS Dir,UTM x,UTM y,Adjudication Date,Previous Adj Date,Appropriation Date,Admin No,Order No,Priority No,Associated Case Numbers,Decreed Uses,Net Absolute,Net Conditional,Net APEX Absolute,Net APEX Conditional,Decreed Units,Comments,Location,Counties
8002119,N BEAVER CR MIN FLOW,Minimum Flow,NORTH BEAVER CREEK,1,80,PARK,SW,NW,NW,5,7.0 S,75.0 W,S,,,,,430092,4369492,12/31/1984,12/31/1983,01/06/1984,48948,0,,84CW0636,M,1,0,0,0,C,2.1 MILES,"(39.472184, -105.812763)",1062
8002120,N ELK CR MIN FLOW,Minimum Flow,NORTH ELK CREEK,1,80,PARK,SW,NW,SE,6,6.0 S,72.0 W,S,,,,,457727,4377868,12/31/1984,12/31/1983,01/06/1984,48948,0,,84CW0647,M,1,0,0,0,C,6.2 MILES,"(39.549455, -105.492024)",1062
8002112,GENEVA CR MIN FLOW,Minimum Flow,GENEVA CREEK,1,80,CLEAR CREEK,NE,NW,SW,31,5.0 S,75.0 W,S,,,,,428281,4380581,12/31/1984,12/31/1983,01/06/1984,48948,0,,84CW0640,M,2.5,0,0,0,C,10.8 MILES,"(39.571942, -105.835011)",1070
8002106,BEAVER CR MIN FLOW,Minimum Flow,BEAVER CREEK,1,80,PARK,NW,SE,NW,1,7.0 S,76.0 W,S,,,,,427477,4369334,12/31/1984,12/31/1983,01/06/1984,48948,0,,84CW0635,M,1,0,0,0,C,5.5 MILES,"(39.470544, -105.843145)",1062
8002101,CRAIG CREEK MIN FLOW,Minimum Flow,CRAIG CREEK,1,80,PARK,SW,SE,SE,5,8.0 S,73.0 W,S,,,,,450764,4358475,12/31/1980,12/31/1979,05/07/1980,47609,0,,80CW0209,M,8,0,0,0,C,12.2 MILES,"(39.37435, -105.571632)",1062
8002122,LOST CR MIN FLOW,Minimum Flow,LOST CREEK,1,80,PARK,SE,NW,NE,12,9.0 S,73.0 W,S,,,,,456735,4348263,12/31/1980,12/31/1979,05/07/1980,47609,0,,80CW0216,M,5,0,0,0,C,5.6 MILES,"(39.282654, -105.501654)",1062
8002118,LAMPING CR MIN FLOW,Minimum Flow,LAMPING CREEK,1,80,PARK,SE,SW,NE,28,6.0 S,75.0 W,S,,,,,432797,4372304,12/31/1984,12/31/1983,01/06/1984,48948,0,,84CW0637,M,2,0,0,0,C,2.3 MILES,"(39.497735, -105.781601)",1062
8002126,S FORK LOST CR MIN FLOW,Minimum Flow,SOUTH FORK LOST CREEK,1,80,PARK,SE,NE,SE,30,8.0 S,73.0 W,S,,,,,449406,4352729,12/31/1980,12/31/1979,05/07/1980,47609,0,,80CW0217,M,3,0,0,0,C,5.8 MILES,"(39.322498, -105.586964)",1062
8002114,HOOSIER CR MIN FLOW,Minimum Flow,HOOSIER CREEK,1,80,PARK,SW,SW,NE,17,7.0 S,75.0 W,S,,,,,431562,4366387,12/31/1984,12/31/1983,01/06/1984,48948,0,,84CW0639,M,1,0,0,0,C,3.2 MILES,"(39.444327, -105.795356)",1062
8002124,N FORK LOST CR MIN FLOW,Minimum Flow,NORTH FORK LOST CREEK,1,80,PARK,SW,NW,NE,19,8.0 S,73.0 W,S,,,,,448776,4355200,12/31/1980,12/31/1979,05/07/1980,47609,0,,80CW0219,M,2,0,0,0,C,7.3 MILES,"(39.344725, -105.594461)",1062
8002107,BRUNO GULCH MIN FLOW,Minimum Flow,BRUNO GULCH,1,80,PARK,SW,NW,SE,7,6.0 S,75.0 W,S,,,,,429698,4376437,12/31/1984,12/31/1983,01/06/1984,48948,0,,84CW0642,M,2,0,0,0,C,5.5 MILES,"(39.534724, -105.818077)",1062
8002104,THREEMILE CREEK MIN FLOW,Minimum Flow,THREEMILE CREEK,1,80,PARK,NE,SE,SW,23,6.0 S,74.0 W,S,,,,,445374,4373012,12/31/1978,12/31/1977,07/11/1978,46943,0,,W9372,M,1,0,0,0,C,5 MILES,"(39.505005, -105.635394)",1062
8002103,GENEVA CREEK MIN FLOW,Minimum Flow,GENEVA CREEK,1,80,PARK,SE,SE,SW,29,6.0 S,74.0 W,S,,,,,440218,4371359,12/31/1978,12/31/1977,07/11/1978,46943,0,,W9371,M,11,0,0,0,C,3 MILES,"(39.489769, -105.695214)",1062
8002105,SCOTT GOMER CR MIN FLOW,Minimum Flow,SCOTT GOMER CREEK,1,80,CLEAR CREEK,NE,NW,NW,22,5.0 S,74.0 W,S,,,,,442842,4384562,12/31/1978,12/31/1977,07/11/1978,46943,0,,W9373,M,4,0,0,0,C,10 MILES,"(39.608905, -105.665838)",1439
8003552,LOWER SQUARE TOP LAKE,Reservoir,SQUARE TOP CREEK,1,80,CLEAR CREEK,,SW,NW,25,5.0 S,75.0 W,S,,,,,436440.4,4382623.4,12/31/2017,12/31/2016,01/24/2017,61020,0,,17CW3189,M,26.76,0,0,0,A,SURFACE ELEVATION 12084 FEET,"(39.590984, -105.740222)",1439
8002109,CAMP CR MIN FLOW,Minimum Flow,CAMP CREEK,1,80,PARK,,NE,NE,25,6.0 S,74.0 W,S,,,,,447864,4372557,12/31/1984,12/31/1983,01/06/1984,48948,0,,84CW0645,M,1,0,0,0,C,3.2 MILES,"(39.501061, -105.606398)",1062
8002121,TANGLEWOOD CR MIN FLOW,Minimum Flow,TANGLEWOOD CREEK,1,80,PARK,NW,NW,NE,7,6.0 S,73.0 W,S,,,,,448895,4377533,12/31/1984,12/31/1983,01/06/1984,48948,0,,84CW0644,M,1,0,0,0,C,2.8 MILES,"(39.545957, -105.594789)",1062
8002102,DUCK CREEK MIN FLOW,Minimum Flow,DUCK CREEK,1,80,CLEAR CREEK,,NE,SE,36,5.0 S,75.0 W,S,,,,,437605,4380263,12/31/1978,12/31/1977,01/19/1978,46770,0,,W9264,M,0.5,0,0,0,C,4 MILES,"(39.569807, -105.726434)",1439
8002111,ELK CR MIN FLOW,Minimum Flow,ELK CREEK,1,80,PARK,,SW,SE,4,6.0 S,73.0 W,S,,,,,451931,4377562,12/31/1984,12/31/1983,01/06/1984,48948,0,,84CW0646,M,5,0,0,0,C,20.6 MILES 87CW148 DOUGLASS RANCH AUG EX LIMITS,"(39.546393, -105.559459)",1062
8002108,BUFFALO CR MIN FLOW,Minimum Flow,BUFFALO CREEK,1,80,JEFFERSON,SE,NE,NE,30,8.0 S,71.0 W,S,,,,,467957,4353201,12/31/1984,12/31/1983,01/06/1984,48948,0,,84CW0648,M,3,0,0,0,C,9 MILES,"(39.327637, -105.371777)",1008
8002116,KENOSHA CR MIN FLOW,Minimum Flow,KENOSHA CREEK,1,80,PARK,,NW,NE,36,7.0 S,75.0 W,S,,,,,437980,4361910,12/31/1984,12/31/1983,06/01/1984,49095,0,,84CW0638,M,1,0,0,0,C,5.6 MILES,"(39.404475, -105.72036)",1062
