"provider_id","provider_name","provider_service_type","street_address","city","state","zip","county","community","award_date","expiration_date","qris_rating_level","total_licensed_capacity","licensed_home_capacity","licensed_infant_capacity","licensed_toddler_capacity","licensed_preschool_capacity","licensed_school_age_capacity","licensed_preschool_and_school_age_capacity"
"412","Kathleen Laatt","Large Family Child Care Home","88 Baylor DR","Longmont","CO","80503","Boulder",,,,"1","12",,,,,,"12"
"562","Susan Callaghan","Large Family Child Care Home","1401 3rd AVE","Longmont","CO","80501","Boulder",,"2018-02-28T00:00:00.000","2021-02-28T00:00:00.000","5","12",,,,,,"12"
"4846","TAKE A BREAK","Child Care Center","408 W Baseline RD","Lafayette","CO","80026","Boulder",,"2021-07-30T00:00:00.000","2024-07-31T00:00:00.000","3","182",,"19","33",,,"130"
"5431","Community Montessori of Boulder Valley","Child Care Center","805 Gillaspie Dr","Boulder","CO","80305","Boulder",,"2020-02-05T00:00:00.000","2023-01-31T00:00:00.000","4","112",,,,,,"112"
"6006","BVSD COMMUNITY MONTESSORI SAC","School-Age Child Care Center","805 Gillaspie DR","Boulder","CO","80305","Boulder",,,,"1","50",,,,,"50",
"7490","BVSD Crestview Elementary School SAC","School-Age Child Care Center","1897 Sumac Avenue","Boulder","CO","80304","Boulder",,,,"NA","60",,,,,"60",
"7569","La Petite Academy","Child Care Center","380 S McCaslin Blvd","Louisville","CO","80027","Boulder",,"2020-09-08T00:00:00.000","2023-09-08T00:00:00.000","2","142",,"20","32",,,"90"
"11280","Treehouse Learning","Child Care Center","175 N 96th ST","Louisville","CO","80027","Boulder",,,,"1","145",,"18","33",,,"94"
"12347","WILD BEAR CENTER FOR NATURE DISCOVERY","School-Age Child Care Center","20 Lakeview DR","Nederland","CO","80466","Boulder",,,,"1","50",,,,,"50",
"12984","Kindercare Learning Center LLC","Child Care Center","107 McCaslin Blvd.","Louisville","CO","80027","Boulder",,"2015-12-03T00:00:00.000","2021-03-01T00:00:00.000","4","171",,"19","33",,,"119"
"17695","YMCA of  BLDR Valley @ Camp Chief Niwot","School-Age Child Care Center","3975 28th ST","Boulder","CO","80301","Boulder",,,,"1","150",,,,,,
"18731","MARA MURRAY","Three under Two Family Child Care Home","14039 N 95th ST","Longmont","CO","80504","Boulder",,,,"1","6","6",,,,,
"19160","Snow Lion Preschool","Child Care Center","2580 Iris AVE","Boulder","CO","80304","Boulder",,,,"1","49",,,"10",,,"39"
"19383","BVSD Monarch PK8 SAC","School-Age Child Care Center","263 Campus DR","Louisville","CO","80027","Boulder",,,,"1","50",,,,,"50",
"25283","Louisville Recreation Center","School-Age Child Care Center","900 W Via Appia","Louisville","CO","80027","Boulder",,,,"1","80",,,,,"80",
"25517","Tahose High Adventure Training Base","Resident Camp","173 County Road 96","Ward","CO","80481","Boulder",,,,"1","200",,,,,,
"26446","BVSD COLUMBINE PRESCHOOL","Preschool Program","3130 Repplier DR","Boulder","CO","80304","Boulder",,"2020-01-31T00:00:00.000","2023-01-31T00:00:00.000","4","32",,,,"32",,
"26970","Kerry Stewart","Experienced Family Child Care Home","505 S Snowmass CIR","Superior","CO","80027","Boulder",,"2021-06-30T00:00:00.000","2024-06-30T00:00:00.000","5","9","9",,,,,
"28470","Mountain View Preschool","Child Care Center","1415 14th AVE","Longmont","CO","80501","Boulder",,,,"1","100",,,,"100",,
