WDID,Water Right Name,Structure Type,Water Source,DIV,WD,County,Q10,Q40,Q160,Section,Township,Range,PM,CoordsEW,CoordsEW Dir,CoordsNS,CoordsNS Dir,UTM x,UTM y,Location Accuracy,Adjudication Type,Adjudication Date,Previous Adj Date,Appropriation Date,Admin No,Order No,Priority No,Case Number,Decreed Uses,Max Decreed Rate,Total Volumetric Limit,Associated WDID,Plan Type,Plan WDID,Comments,More Information,Location,Counties
0102963,GREENTREE LAND CO NNT AUG,Augmentation/Replacement Plan,SOUTH PLATTE RIVER,1,1,ELBERT,,SW,SE,25,7.0 S,65.0 W,S,,,,,533259.5,4361992.4,Spotted from quarters,,12/31/2021,,,,0,,21CW3029,A,,,,P,0102963,NNT & NT RT FLOWS & NT DISCHARGE,https://dwr.state.co.us/Tools/WaterRights/Transactions/308445,"(39.406806, -104.613693)",88
8002564,FREEMAN AUG,Augmentation/Replacement Plan,NORTH FORK SOUTH PLATTE RIVER,1,80,PARK,,NW,SE,17,7.0 S,72.0 W,S,,,,,459375.5,4365225.7,Spotted from quarters,,12/31/2021,,,,0,,21CW3095,A,,,,P,8002564,MOUNTAIN MUTUAL,https://dwr.state.co.us/Tools/WaterRights/Transactions/309149,"(39.435624, -105.472067)",1062
0102529,UPPER PLATTE & BEAVER AUG,Augmentation/Replacement Plan,UNDEFINED,1,1,MORGAN,,SE,NW,28,3.0 N,56.0 W,S,,,,,614830.9,4450485.5,Spotted from quarters,,12/31/2021,,,,0,,21CW3196,A,,,,P,0102529,1 WELL REMOVED,https://dwr.state.co.us/Tools/WaterRights/Transactions/308206,"(40.196918, -103.650889)",1059
0818093,GOODELL NT LFH WELL FIELD,Well Field,LARAMIE FOX HILLS,1,8,EL PASO,,SW,NE,18,11.0 S,65.0 W,S,,,,,525351,4327326,Spotted from quarters,O,12/31/2021,,05/06/2021,62583,0,,21CW3065,8195W70A,,36,,,,,https://dwr.state.co.us/Tools/WaterRights/Transactions/308995,"(39.094701, -104.706854)",1447
8002267,MARTIN AUG IMPACT REACH,Reach,WEST RESORT CREEK,1,80,JEFFERSON,,SE,NE,3,7.0 S,71.0 W,S,,,,,472644.5,4369062.4,Spotted from quarters,"S,EX",12/31/2021,12/31/2020,03/31/2021,62547,0,,21CW3034,A,0.001,,2304494,R,8002562,EXCH FM SACRAMENTO CREEK RESERVOIR,https://dwr.state.co.us/Tools/WaterRights/Transactions/309048,"(39.470718, -105.318041)",1008
0902261,MEDVED PONDS AUG POND C IMPACT REACH,Reach,MOUNT VERNON CREEK,1,9,JEFFERSON,,NE,SW,20,4.0 S,70.0 W,S,,,,,478473.3,4393105.1,Spotted from quarters,"S,EX",12/31/2021,12/31/2020,01/29/2021,62486,0,,21CW3012,A,0.1,,0902963,R,0902622,EXCH FM WRRIOR/HARRIMAN TURKEY CREEK LEFT IN STREAM,https://dwr.state.co.us/Tools/WaterRights/Transactions/308915,"(39.687518, -105.251057)",1008
0112363,DEHAAN NT LFH WELL FIELD,Well Field,GROUNDWATER: LARAMIE FOX HILLS,1,1,ELBERT,,NE,SE,17,8.0 S,64.0 W,S,,,,,536784.6,4355948.4,Spotted from quarters,O,12/31/2021,,06/23/2020,62266,0,,21CW0002,X,,13.8,,,,,https://dwr.state.co.us/Tools/WaterRights/Transactions/306604,"(39.352204, -104.573081)",88
0112373,COLORADO RANCH & LAND HOLDINGS NNT DEN WELL FIELD,Well Field,DENVER,1,1,ELBERT,,NE,NW,2,7.0 S,64.0 W,S,2813,E,596,N,540900.1,4369650,Spotted from section lines,O,12/31/2021,,03/31/2021,62547,0,,21CW3039,2834197R5A0,,147,,A,0102965,,https://dwr.state.co.us/Tools/WaterRights/Transactions/308945,"(39.475476, -104.524481)",88
0802823,DOUGLAS BNB NNT AUG,Augmentation/Replacement Plan,UNDEFINED,1,8,EL PASO,EH,NE,NE,15,11.0 S,66.0 W,S,,,,,520782.3,4327676.6,Spotted from quarters,,12/31/2021,,,,0,,21CW3019,A,,,,P,0802823,AMENDMENT OF AMOUNT AUGMENTED,https://dwr.state.co.us/Tools/WaterRights/Transactions/307477,"(39.097981, -104.759675)",1447
0202677,TAYLOR/HAINEY NNT AUG,Augmentation/Replacement Plan,SOUTH PLATTE RIVER,1,2,ELBERT,,WH,NW,11,7.0 S,65.0 W,S,,,,,530861.5,4367838.4,Spotted from quarters,,12/31/2021,,,,0,,21CW3059,A,,,,P,0202677,NNT & NT RT FLOW & NT DISCHARGE,https://dwr.state.co.us/Tools/WaterRights/Transactions/308942,"(39.459571, -104.641276)",88
