"bill_number","title","date_signed"
"HB13-1001","Advanced Industries Acceleration Act","05/16/2013 Governor action - signed"
"HB13-1002","Small Business Development Centers Appropriations","05/10/2013 Governor action - signed"
"HB13-1003","Economic Gardening Pilot Project Office Econ Dev","05/24/2013 Governor action - signed"
"HB13-1004","Colorado Careers Act Of 2013","05/28/2013 Governor action - signed"
"HB13-1005","Basic Ed & Career & Tech Ed Pilot Program","05/28/2013 Governor action - signed"
"HB13-1006","K-12 Breakfast After The Bell Nutrition Program","05/16/2013 Governor action - signed"
"HB13-1007","Early Childhood & School Readiness Leg Commission","06/05/2013 Governor Action - Signed"
"HB13-1008","Preference In Hiring For Disabled Veteran's Spouse","03/08/2013 Governor Action - Signed"
"HB13-1009","Refund Deadline For Overpaid Sales & Use Tax","03/22/2013 Governor Action - Signed"
"HB13-1010","Procurement Of Stationery Supplies By Counties","03/08/2013 Governor Action - Signed"
"HB13-1011","Repeal Fee Veteran's Identifier Driver's License","04/04/2013 Governor Action - Signed"
"HB13-1012","Extend Wildfire Mitigation Financial Incentives","04/04/2013 Governor Action - Signed"
"HB13-1014","Relocating Newspaper Theft","02/27/2013 Governor Action - Signed"
"HB13-1015","Disclose Mental Health Claims All-payer Database","03/15/2013 Governor Action - Signed"
"HB13-1016","Payment POD Accounts To Beneficiaries","03/29/2013 Governor Action - Signed"
"HB13-1017","Notice Of Home Loan Mod & Servicer Honor Terms","03/15/2013 Governor Action - Signed"
"HB13-1020","Testing Evidence Of Sexual Assault","06/05/2013 Governor Action - Signed"
"HB13-1021","Improving School Attendance","05/28/2013 Governor Action - Signed"
"HB13-1022","Proof Of Motor Vehicle Insurance","04/26/2013 Governor Action - Signed"
"HB13-1023","Academic Acceleration School District Policy","03/22/2013 Governor Action - Signed"
"HB13-1024","Income Tax Mod For Mil Family Relief Fund Grants","03/15/2013 Governor Action - Signed"
"HB13-1025","Deductible Workers' Compensation Insurance","04/26/2013 Governor Action - Signed"
"HB13-1026","WICHE Equipment & Renovation Fee Approp Reqmnt","03/08/2013 Governor Action - Signed"
"HB13-1027","PUC Director Report To GA On Rate Cases","03/29/2013 Governor Action - Signed"
"HB13-1029","Define ""Must"" ""Shall"" In Colorado Revised Statutes","02/27/2013 Governor Action - Signed"
"HB13-1031","All-hazards Resource Mobilization & Reimbursement","06/05/2013 Governor Action - Signed"
"HB13-1034","Update Wholesale Farm Product Commodity Marketing","02/27/2013 Governor Action - Signed"
"HB13-1035","Add One Judge To 5th And 9th Judicial Districts","03/08/2013 Governor Action - Signed"
"HB13-1036","Authority Of Local Improvement District","05/10/2013 Governor Action - Signed"
"HB13-1038","Voting Rights Persons In Youth Corrections Custody","03/15/2013 Governor Action - Signed"
"HB13-1039","Moneys Credited To Legislative Dept Cash Fund","04/19/2013 Governor Action - Signed"
"HB13-1041","Procedures For Transmission Of Records Under CORA","03/08/2013 Governor Action - Signed"
"HB13-1042","State Income Tax Deduction Disallowed By IRC 280E","05/28/2013 Governor Action - Signed"
"HB13-1043","Modify Definition Of Deadly Weapon","03/15/2013 Governor Action - Signed"
"HB13-1044","Authorize Graywater Use","05/15/2013 Governor Action - Signed"
"HB13-1044","Authorize Graywater Use","05/16/2013 Governor action - signed"
"HB13-1046","Employee User Name Password Privacy Protection","05/11/2013 Governor action - signed"
"HB13-1047","Extracurricular Participation Across Sch Districts","04/26/2013 Governor Action - Signed"
"HB13-1051","Public Trustee For City And County Of Denver","03/08/2013 Governor Action - Signed"
"HB13-1236","Best Practices In Bond Setting","05/11/2013 Governor action - signed"
"HB13-1052","Nonattorneys Representing Closely Held Entities","03/15/2013 Governor Action - Signed"
"HB13-1053","Repeal District Court Clerk Bonds","03/15/2013 Governor Action - Signed"
"HB13-1054","Lessen Unempl Ins Benefit Reduction Retirement","04/04/2013 Governor Action - Signed"
"HB13-1055","Colorado Works Redetermination Of Eligibility","03/08/2013 Governor Action - Signed"
"HB13-1057","Retain Avalanche Information Center In DNR","01/31/2013 Governor Action - Signed"
"HB13-1058","Determination Of Spousal Maintenance Upon Divorce","05/10/2013 Governor action - signed"
"HB13-1060","Raise Maximum Municipal Court Fine","04/18/2013 Governor Action - Signed"
"HB13-1061","Responsible Medical Marijuana Vendor Standards","04/04/2013 Governor Action - Signed"
"HB13-1062","Regulation Public Insurance Adjusters","03/22/2013 Governor Action - Signed"
"HB13-1063","Emer Service Providers Critical Care Endorsement","03/08/2013 Governor Action - Signed"
"HB13-1065","Federal Professionals Mental Health Authority","03/15/2013 Governor Action - Signed"
"HB13-1068","On-site Inspections Of Medicaid Providers","04/08/2013 Governor Action - Signed"
"HB13-1070","Enactment Of 2012 CRS","02/19/2013 Governor Action - Signed"
"HB13-1071","Register Collector's Motor Vehicles","06/05/2013 Governor Action - Signed"
"HB13-1072","Public Trustees Crime Insurance Coverage","03/08/2013 Governor Action - Signed"
"HB13-1074","CDPHE Primary Care Office","04/26/2013 Governor Action - Signed"
"HB13-1076","No POST Certification For CBI Director","02/27/2013 Governor Action - Signed"
"HB13-1077","Illegal Traffic Stops License Revocation Hearings","05/11/2013 Governor action - signed"
"HB13-1079","Creation Of The Joint Technology Committee","05/18/2013 Governor Action - Signed"
"HB13-1080","Aircraft Manufacturer Employee Income Tax Credit","05/13/2013 Governor Action - Signed"
"HB13-1081","Comprehensive Human Sexuality K-12 Education","05/28/2013 Governor Action - Signed"
"HB13-1082","Expunging Juvenile Delinquency Records","05/17/2013 Governor Action - Signed"
"HB13-1082","Expunging Juvenile Delinquency Records","05/18/2013 Governor action - signed"
"HB13-1083","Motorcycle Operator Safety Training Program","03/29/2013 Governor Action - Signed"
"HB13-1084","Child Care License Status When New FEIN Is Issued","03/15/2013 Governor Action - Signed"
"HB13-1086","Preparation Of Record County Court Appeals","03/15/2013 Governor Action - Signed"
"HB13-1087","Membership Human Services Allocation Committees","03/15/2013 Governor Action - Signed"
"HB13-1088","Office Of Health Equity CDPHE","03/15/2013 Governor Action - Signed"
"HB13-1091","Heavy-duty Diesel Emissions Testing Alternative","04/04/2013 Governor Action - Signed"
"HB13-1095","Home School Students Participation In Activities","04/26/2013 Governor Action - Signed"
"HB13-1097","Duties Of Coroners","04/04/2013 Governor Action - Signed"
"HB13-1101","Progressive Raffles","05/03/2013 Governor Action - Signed"
"HB13-1102","Gift Card Exemption From Unclaimed Prop Act","03/15/2013 Governor Action - Signed"
"HB13-1103","PUC Oversight Of Rail Fixed Guideway System","04/04/2013 Governor Action - Signed"
"HB13-1104","Mental Hlth Profl Oral Disclosure Peer Assist","03/29/2013 Governor Action - Signed"
"HB13-1105","Energy Saving Mortgage Program","05/28/2013 Governor action - signed"
"HB13-1109","Apply Protection Orders To Parolees","03/15/2013 Governor Action - Signed"
"HB13-1110","Special Fuel Tax & Electric Vehicle Fee","05/15/2013 Governor Action - Signed"
"HB13-1110","Special Fuel Tax & Electric Vehicle Fee","05/16/2013 Governor action - signed"
"HB13-1111","Regulate Naturopathic Doctors","06/05/2013 Governor Action - Signed"
"HB13-1113","Alternate Prop Tax Protest & Appeal Procedure","03/08/2013 Governor Action - Signed"
"HB13-1115","CoverColorado Repeal","05/28/2013 Governor Action - Signed"
"HB13-1117","Alignment Of Child Development Programs","05/07/2013 Governor Action - Signed"
"HB13-1118","Issuing IDs To Retired Peace Officers","03/29/2013 Governor Action - Signed"
"HB13-1119","Veteran's Identification Card And Driver's License","05/10/2013 Governor action - signed"
"HB13-1123","Waive Confidentiality Unemployment Benefits","04/26/2013 Governor Action - Signed"
"HB13-1124","Reduce Unempl Ins Overpayments","04/04/2013 Governor Action - Signed"
"HB13-1126","Seven-day Court Time Intervals","03/22/2013 Governor Action - Signed"
"HB13-1129","Evidence-based Practices For Offender Services","05/11/2013 Governor Action - Signed"
"HB13-1130","Reapprove Interruptible Water Supply Agreements","06/05/2013 Governor Action - Signed"
"HB13-1132","Highway Vehicle Weight Limits","03/22/2013 Governor Action - Signed"
"HB13-1134","HOA Information Resource Ctr Annual Registration","05/11/2013 Governor action - signed"
"HB13-1135","Voter Preregistration At Age 16","05/10/2013 Governor action - signed"
"HB13-1136","Job Protection Civil Rights Enforcement Act 2013","05/06/2013 Governor Action - Signed"
"HB13-1137","Lot Restrictions For BOCC Auth Over Weed Removal","03/08/2013 Governor Action - Signed"
"HB13-1138","Authorize Benefit Corporations","05/15/2013 Governor Action - Signed"
"HB13-1138","Authorize Benefit Corporations","05/16/2013 Governor action - signed"
"HB13-1139","Repeal Various Obsolete Entities","04/08/2013 Governor Action - Signed"
"HB13-1142","Urban And Rural Enterprise Zone Act Reforms","05/15/2013 Governor Action - Signed"
"HB13-1142","Urban And Rural Enterprise Zone Act Reforms","05/16/2013 Governor action - signed"
"HB13-1144","Eliminate Cigarette Sales & Use Tax Exemption","05/28/2013 Governor Action - Signed"
"HB13-1145","Admin Of Senior & Veterans Property Tax Exemptions","04/04/2013 Governor Action - Signed"
"HB13-1146","ID Theft Victim CBI Records Challenge","03/15/2013 Governor Action - Signed"
