"year","institutionname","agemin","agemax","gender","ethnicity","studentlevel","degreelevel","residency","programname","recordcount"
"2011",,,,"Male","White, non-Hispanic","Undergraduate","Bachelor","Out-of-State","Accounting",
"2011",,,,"Female","Hispanic","Graduate","Masters","In-State","Accounting",
"2011",,,,"Unknown","Unknown","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Hispanic","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Hispanic","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Hispanic","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Hispanic","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Hispanic","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Hispanic","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Male","Asian","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Male","Asian","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Unknown","Undergraduate","Bachelor","Out-of-State","Accounting",
"2011",,,,"Male","Native American or Alaskan Native","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Male","Non-Resident Alien","Undergraduate","Bachelor","Out-of-State","Accounting",
"2011",,,,"Female","Asian","Graduate","Masters","In-State","Accounting",
"2011",,,,"Female","Unknown","Graduate","Masters","In-State","Accounting",
"2011",,,,"Female","More than one race/ethnicity (non-hispanic)","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Male","Unknown","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Male","Unknown","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Male","Unknown","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Hispanic","Undergraduate","Bachelor","Out-of-State","Accounting",
"2011",,,,"Female","Black or African American","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Native American or Alaskan Native","Undergraduate","Bachelor","Out-of-State","Accounting",
"2011",,,,"Female","Native American or Alaskan Native","Undergraduate","Bachelor","Out-of-State","Accounting",
"2011",,,,"Male","More than one race/ethnicity (non-hispanic)","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Male","Hispanic","Undergraduate","Bachelor","Out-of-State","Accounting",
"2011",,,,"Female","Unknown","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Unknown","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Unknown","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Unknown","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Unknown","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Male","White, non-Hispanic","Graduate","Masters","In-State","Accounting",
"2011",,,,"Male","White, non-Hispanic","Graduate","Masters","In-State","Accounting",
"2011",,,,"Male","Black or African American","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Male","Black or African American","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Black or African American","Graduate","Masters","In-State","Accounting",
"2011",,,,"Female","Asian","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Asian","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Asian","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Asian","Undergraduate","Bachelor","In-State","Accounting",
"2011",,,,"Female","Non-Resident Alien","Undergraduate","Bachelor","Out-of-State","Accounting",
"2011",,,,"Female","Non-Resident Alien","Undergraduate","Bachelor","Out-of-State","Accounting",
"2011",,,,"Female","Non-Resident Alien","Graduate","Masters","Out-of-State","Accounting",
