"entityid","entityname","principaladdress1","principalcity","principalstate","principalzipcode","principalcountry","mailingaddress1","mailingaddress2","mailingcity","mailingstate","mailingzipcode","mailingcountry","entitystatus","jurisdictonofformation","entitytype","agentfirstname","agentmiddlename","agentlastname","agentsuffix","agentorganizationname","agentprincipaladdress1","agentprincipaladdress2","agentprincipalcity","agentprincipalstate","agentprincipalzipcode","agentprincipalcountry","agentmailingaddress1","agentmailingaddress2","agentmailingcity","agentmailingstate","agentmailingzipcode","agentmailingcountry","entityformdate"
"19871006674","BILLINGS DITCH COMPANY","0721 Lane 2 North","Alamosa","CO","81101","US","P O Box 534",,"Monte Vista","CO","81144","US","Good Standing","CO","Nonprofit Corporation","Lyla",,"Hathaway",,,"118 Washington Street",,"MONTE VISTA","CO","81144","US","1239","County Road 27","Monte Vista","CO","81144","US","1884-12-31T00:00:00.000"
"19871025279","UNION CARBIDE CORPORATION","7501 State Highway 185 North","Seadrift","TX","77983","US",,,,,,,"Good Standing","NY","Foreign Corporation",,,,,"C T Corporation System","7700 E Arapahoe Rd Ste 220",,"Centennial","CO","80112-1268","US","1 EAST MAIN ST",,"BAY CITY","CO","48708","US","1949-12-30T00:00:00.000"
"19871051686","CONSOLIDATED DITCH AND HEADGATE COMPANY","118 Washington Street","Monte Vista","CO","81144","US","P O Box 534",,"Monte Vista","CO","81144","US","Good Standing","CO","Nonprofit Corporation",,,,,"Consolidated Ditch & Headgate Company","118 Washington Street",,"MONTE VISTA","CO","81144","US","118 Washington Street",,"Monte Vista","CO","81144","US","1910-04-04T00:00:00.000"
"19871053637","RIO GRANDE AND SAN LUIS IRRIGATION COMPANY","118 Washington Street","Monte Vista","CO","81144","US","118 Washington",,"Monte Vista","CO","81144","US","Good Standing","CO","Nonprofit Corporation","Lyla","C","Hathaway",,,"118 Washington Street",,"MONTE VISTA","CO","81144","US","118 Washington Street",,"Monte Vista","CO","81144","US","1911-03-15T00:00:00.000"
"19871062684","DAVOIL, INC.","6300 RIDGLEA PLACE","Fort Worth","TX","76116","US",,,,,,,"Good Standing","TX","Foreign Corporation",,,,,"Corporation Service Company","1900 W. Littleton Boulevard",,"Littleton","CO","80120","US",,,,,,,"1976-12-08T00:00:00.000"
"19871065779","FRIENDS OF ANIMALS, INC.","777 POST RD STE 205","Darien","CT","06820-4721","US",,,,,,,"Good Standing","NY","Foreign Nonprofit Corporation",,,,,"The Prentice-Hall Corporation System, Inc.","1900 W. Littleton Boulevard",,"Littleton","CO","80120","US","777 Post Rd Ste 205",,"Darien","CO","06820","US","1977-12-01T00:00:00.000"
"19871127793","Athmar Park Church","P.O. Box 620489","Littleton","CO","80162","US","P.O. Box 620489",,"Littleton","CO","80162","US","Good Standing","CO","Nonprofit Corporation","Florence",,"Brackett",,,"806 South Owens Court",,"Lakewood","CO","80226","US",,,,,,,"1955-01-19T00:00:00.000"
"19871130032","Harris Park Metropolitan District","2154 Shelton Dr","Bailey","CO","80421-1448","US","PO Box 17477",,"Golden","CO","80402-6024","US","Good Standing","CO","Nonprofit Corporation","Edward",,"Laves",,,"1012 Sleepy Hollow Rd",,"Golden","CO","80401-8037","US","PO Box 17477",,"Golden","CO","80402-6024","US","1955-08-22T00:00:00.000"
"19871213898","DURANGO ELKS, INC.","901 E 2ND AVENUE","Durango","CO","81301","US","901 E 2nd Avenue",,"Durango","CO","81301","US","Good Standing","CO","Nonprofit Corporation","Cindy",,"Davis",,,"901 East Second Avenue",,"Durango","CO","81301","US","65 CR 133B",,"Marvel","CO","81329","US","1969-11-17T00:00:00.000"
"19871253547","TRUESDELLS PLUMBING SUPPLIES COMPANY","4751 Broadway","Denver","CO","80216","US","PO Box 16369",,"Denver","CO","80216-0369","US","Good Standing","CO","Corporation","ROBERT","E.","HILL",,,"4751 Broadway","Unit E","Denver","CO","80216","US","PO Box 16369",,"Denver","CO","80216-0369","US","1973-01-31T00:00:00.000"
