"periodyear","period","cpi","title","periodtypedescription","type","percentchangeyear","percentchangemonth","areadescription"
"1995","0","147.900","CPI-U all items 1982-84=100, not seasonally adjusted","Annual","1","4.3","0.0","Denver CPI region"
"1995","6","146.900","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","4.9","0.0","Denver CPI region"
"1995","12","149.000","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","3.8","0.0","Denver CPI region"
"1996","6","152.000","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","3.5","0.0","Denver CPI region"
"1996","12","154.200","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","3.5","0.0","Denver CPI region"
"1996","0","153.100","CPI-U all items 1982-84=100, not seasonally adjusted","Annual","1","3.5","0.0","Denver CPI region"
"1997","12","159.100","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","3.2","0.0","Denver CPI region"
"1997","0","158.100","CPI-U all items 1982-84=100, not seasonally adjusted","Annual","1","3.3","0.0","Denver CPI region"
"1997","6","157.100","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","3.4","0.0","Denver CPI region"
"1998","0","161.900","CPI-U all items 1982-84=100, not seasonally adjusted","Annual","1","2.4","0.0","Denver CPI region"
"1998","6","160.500","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","2.2","0.0","Denver CPI region"
"1998","12","163.300","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","2.6","0.0","Denver CPI region"
"1999","0","166.600","CPI-U all items 1982-84=100, not seasonally adjusted","Annual","1","2.9","0.0","Denver CPI region"
"1999","12","168.200","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","3.0","0.0","Denver CPI region"
"1999","6","165.100","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","2.9","0.0","Denver CPI region"
"2000","12","175.100","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","4.1","0.0","Denver CPI region"
"2000","0","173.200","CPI-U all items 1982-84=100, not seasonally adjusted","Annual","1","4.0","0.0","Denver CPI region"
"2000","6","171.400","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","3.8","0.0","Denver CPI region"
"2001","12","181.800","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","3.8","0.0","Denver CPI region"
"2001","0","181.300","CPI-U all items 1982-84=100, not seasonally adjusted","Annual","1","4.7","0.0","Denver CPI region"
"2001","6","180.700","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","5.4","0.0","Denver CPI region"
"2002","0","184.800","CPI-U all items 1982-84=100, not seasonally adjusted","Annual","1","1.9","0.0","Denver CPI region"
"2002","12","185.100","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","1.8","0.0","Denver CPI region"
"2002","6","184.600","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","2.2","0.0","Denver CPI region"
"2003","12","185.700","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","0.3","0.0","Denver CPI region"
"2003","0","186.800","CPI-U all items 1982-84=100, not seasonally adjusted","Annual","1","1.1","0.0","Denver CPI region"
"2003","6","187.800","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","1.7","0.0","Denver CPI region"
"2004","6","186.500","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","-0.7","0.0","Denver CPI region"
"2004","12","187.400","CPI-U all items 1982-84=100, not seasonally adjusted","Semi-Annual","1","0.9","0.0","Denver CPI region"
"2004","0","187.000","CPI-U all items 1982-84=100, not seasonally adjusted","Annual","1","0.1","0.0","Denver CPI region"
"2004","12","179.800","CPI-U:  Food and beverages","Semi-Annual","51","2.0",,"Denver CPI region"
"2004","0","179.100","CPI-U:  Food and beverages","Annual","51","2.5",,"Denver CPI region"
"2004","6","178.400","CPI-U:  Food and beverages","Semi-Annual","51","2.9",,"Denver CPI region"
