"facility_id","record_id","serial_number","service_desc","pe","pe_desc","category","description","county","agency","program_identifier","site_address","city","st","zip","gis_latitude","gis_longitude","activity_date","fc01","fc02","fc03","fc04","fc05","fc06","fc07","fc08","fc09","fc10","fc11","fc12","fc13","fc14","fc15","fc16","fc17","fc18","fc19","fc20","fc21","fc22","fc23","fc24","fc25","fc26","fc27","fc28","fc29","total_foodborne_illness_risk","fc30","fc31","fc32","fc33","fc34","fc35","fc36","fc37","fc38","fc39","fc40","fc41","fc42","fc43","fc44","fc45","fc46","fc47","fc48","fc49","fc50","fc51","fc52","fc53","fc54","fc55","fc56","total_good_retail_practices"
"FA0009996","PR0011864","DAYR2RKBT","Inspection, Routine","1045","Restaurant (101 - 200 seats)","Med Risk (3)","Food - Restaurants","Arapahoe","Tri-County Health Department","Pisco Sour","14050 E Evans Ave","Aurora","CO","80014-1449","39.678723","-104.826084","2019-01-31T00:00:00.000","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","4"
"FA0007215","PR0014259","DA8CCUQOW","Inspection, Routine","1025","Restaurant (0 - 100 seats)","Med Risk (3)","Food - Restaurants","Arapahoe","Tri-County Health Department","Pho Lagi","14200 E Alameda Ave Unit 1024","Aurora","CO","80012-2507","39.708079","-104.823319","2022-07-05T00:00:00.000","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","1","1","0","1","0","0","0","0","8","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","5"
"FA0002918","PR0012746","DAWYX0G3G","Inspection, Routine","1025","Restaurant (0 - 100 seats)","Med Risk (3)","Food - Restaurants","Arapahoe","Tri-County Health Department","Original Hamburger Stand The 82","3100 S Broadway","Englewood","CO","80113-2424","39.660393","-104.9875","2022-07-20T00:00:00.000","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","6","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"FA0005708","PR0001963","DAWBI0IYZ","Inspection, Routine","1045","Restaurant (101 - 200 seats)","Med Risk (3)","Food - Restaurants","Adams","Tri-County Health Department","Village Pub","9150 Huron St","Thornton","CO","80260-6843","39.902897","-104.9965","2022-07-26T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","3"
"FA0008965","PR0009388","DARX90MYF","Inspection, Routine","1025","Restaurant (0 - 100 seats)","Low Risk (2)","Food - Restaurants","Arapahoe","Tri-County Health Department","Jets Pizza","13724 E Quincy Ave","Aurora","CO","80015-1129","39.63846503","-104.8283","2022-07-25T00:00:00.000","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","3"
"FA0009051","PR0009563","DAZKYHH1I","Inspection, Routine","1025","Restaurant (0 - 100 seats)","Med Risk (3)","Food - Restaurants","Adams","Tri-County Health Department","Cooking Crane The","12189 Pennsylvania St","Thornton","CO","80241-3115","39.918067","-104.9812","2022-07-11T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FA0009996","PR0011864","DAK7PEH1S","Inspection, Routine","1045","Restaurant (101 - 200 seats)","Med Risk (3)","Food - Restaurants","Arapahoe","Tri-County Health Department","Pisco Sour","14050 E Evans Ave","Aurora","CO","80014-1449","39.678723","-104.826084","2019-09-04T00:00:00.000","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","1","0","5"
"FA0004241","PR0013153","DAZSOAQJK","Inspection, Routine","1007","Limited Food Service (convenience, other)","Very Low Risk (1)","Food - Grocery","Douglas","Tri-County Health Department","Jellystone RV Resort - Grange Hall Snack Bar","650 Sky View Ln","Larkspur","CO","80118-4901","39.26749259","-104.8993","2022-07-13T00:00:00.000","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"FA0002354","PR0012095","DA0JU6EXD","Inspection, Routine","1007","Limited Food Service (convenience, other)","Very Low Risk (1)","Food - Grocery","Arapahoe","Tri-County Health Department","Sunshine Gas Station","3298 S Broadway","Englewood","CO","80113-2426","39.65719","-104.9872","2019-04-10T00:00:00.000","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FA0004129","PR0001593","DARCRZ0MP","Inspection, Routine","1225","Grocery Store w/ Deli (0 - 15,000 sq. ft.)","Low Risk (2)","Food - Grocery","Douglas","Tri-County Health Department","Loaf N Jug 11 Blimpie Subs","4901 N Castleton Dr","Castle Rock","CO","80109-7800","39.409939","-104.872411","2022-01-20T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","3"
