"entityid","entityname","principaladdress1","principaladdress2","principalcity","principalstate","principalzipcode","principalcountry","mailingzipcode","mailingcountry","entitystatus","jurisdictonofformation","entitytype","agentfirstname","agentmiddlename","agentlastname","agentsuffix","agentorganizationname","agentprincipaladdress1","agentprincipaladdress2","agentprincipalcity","agentprincipalstate","agentprincipalzipcode","agentprincipalcountry","agentmailingaddress1","agentmailingaddress2","agentmailingcity","agentmailingstate","agentmailingzipcode","entityformdate"
"20051379856","Top Caste Home Furnishings","355 C Inverness Drive South",",","Englewood","CO","80112","US","80220","US","Good Standing","CO","Limited Liability Company","Adam","G.","Smith",,,"355 C Inverness Drive South",,"Englewood","CO","80112","US","PO Box 201267",,"Denver","CO","80220","2005-10-12T00:00:00.000"
"20121232258","KE Consulting, Inc., Delinquent September 1, 2014","9850 Zenith Meridian Drive","#","Englewood","CO","80112","US",,,"Delinquent","CO","Corporation",,,,,"KKG Consulting, LLC","9850 Zenith Meridian Drive","#4-105","Englewood","CO","80112","US",,,,,,"2012-04-24T00:00:00.000"
"20161181180","BlackRock Builders LLC, Delinquent January 1, 2019","9850 Zenith Meridian Drive","03-108","Englewood","CO","80112","US",,,"Delinquent","CO","Limited Liability Company","Jeffrey","Maison","Dopp",,,"9850 Zenith Meridian Drive","03-108","Englewood","CO","80112","US",,,,,,"2016-03-14T00:00:00.000"
"20221250877","Atlas Lighting & Electrical Solutions, LLC, Dissolved March 20, 2022","4022 S Acoma St","1","Englewood","CO","80110","US","80150","US","Voluntarily Dissolved","CO","Limited Liability Company","Eric","Ray","Pullum","Sr.",,"4022 S Acoma St","1","Englewood","CO","80110","US","P.O. Box 2502",,"Englewood","CO","80150","2022-03-07T00:00:00.000"
"20011183937","R&D EMBROIDERY LLC","2771 W. Oxford Ave.","#1","Englewood","CO","80110","US","80160","US","Good Standing","CO","Limited Liability Company","ROGER","G.","YOUNG",,,"6874 S PRESCOTT ST",,"LITTLETON","CO","80120","US","PO BOX 705","Unit 4","LITTLETON","CO","80160","2001-09-21T00:00:00.000"
"20081332674","The Tempered Air Group, Inc.","2855 W Oxford Ave","#1","Sheridan","CO","80110","US",,,"Good Standing","CO","Corporation","Curtis","D","Gagner",,,"2855 W Oxford Ave","#1","Sheridan","CO","80110","US","2855 W Oxford Ave","#1","Sheridan","CO","80110","2008-06-20T00:00:00.000"
"20111620845","Box Gear, Delinquent April 1, 2015","311 W Lehow Ave","#1","Englewood","CO","80110","US",,,"Delinquent","CO","Limited Liability Company","Rhonda","Michelle","Baxter",,,"311 W Lehow Ave","#1","Englewwod","CO","80110","US",,,,,,"2011-11-07T00:00:00.000"
"20051379013","JLC Homes, LLC, Delinquent April 1, 2007","12656 E. Jamison Place","#10","Englewood","CO","80112","US",,,"Delinquent","CO","Limited Liability Company","Scott","C","Boyd",,,"12656 E. Jamison Place","#10","Englewood","CO","80112","US",,,,,,"2005-10-12T00:00:00.000"
"20211058300","Axe & Anvil Capital, LLC","9777 Pyramid Court","100","Englewood","CO","80112","US",,,"Good Standing","CO","Limited Liability Company","Adam",,"Hebener",,,"7225 West Box Canyon Road",,"Sedalia","CO","80135","US","7225 West Box Canyon Road",,"Sedalia","CO","80135","2021-01-21T00:00:00.000"
"20191576086","Just The Tips","6075 S Quebec St","100","Englewood","CO","80111","US","80111","US","Good Standing","CO","Corporation","Adam","P.","Smith",,,"6075 S Quebec St","100","Englewood","CO","80111","US","6075 S Quebec St","Suite 100","Englewood","CO","80111","2019-07-22T00:00:00.000"
