"entityid","registranttypeabbr","name","fein","filingtype","documentid","amendmententityid","externalfilingfromnccs","externalfilingtype","actualfinancialsprovided","principaladdress","principalcity","principalstate","principalzipcode","principalzipcode4","residentialcounty","mailingaddress","mailingcity","mailingstate","mailingzipcode","mailingzipcode4","phone","fax","website","authorizedofficername","authorizedofficersigneddate","cfoname","cfosigneddate","registrationapproveddate","paymentprocesseddate","nextrenewalregistrationdate","fiscalyearstartdate","fiscalyearenddate","nteecode1","nteecode2","nteecode3","taxexemptstatus","taxexemptcode","irsexemptiondate","taxdeductible","extensionfiled","consolidatedregistrationstatement","fiscalyearbeginning","fiscalyearending","newcharity","outsideprofessionalfundraiserfees","totalcontributionsraisedpreviousyear","totalfundraisingexpensespreviousyear","totalmanagementgeneralexpensespreviousyear","expensesdividedbycontributions","totalexpensesplusmanagementgeneraldividedbycontributions","relatedorganizations","relatedtootherorganization","relatedorganizationtaxexempt","solicitednontaxdeductiblegifts","statedgiftnottaxdeductible","revenuefromcontibutions","revenuefromgovernment","programservicerevenue","revenuefrominvestments","revenuefromspecialevents","revenuefromsales","revenueother","revenuetotal","expensesfromprogramservices","expensesfromadministrativeother","expensesfundraising","expensesaffiliates","expensesother","expensesothercomment","expensestotal","endofyearassests","endofyeartotalliabilities","endofyearassestsminusliabilities","unrestrictedassests","temporarilyrestrictedassets","permanentlyrestrictedassets","publicbenefitcorporation","pbcrecordingmethod","pbcpromotedbenefit","pbcissuesstockshares","pbcstocksharesavailable","pbcbenefitreportsent","pbcannualbenefitreport","conflictofinterest","conflictofinterestaffirmation","legalbusinessformation","currentstatus","statusdate","principaladdress2","principalprovince","principalcountry","mailingaddress2","mailingprovince","mailingcountry","placeformed","dateformed","expirationdate","programserviceratio"
"20193009005","CO","GLOBAL NEIGHBORS","825319770","AMENDMENT","20193027374","20193009005",,,"true","459 HIGH TIARA CT","Grand Junction","CO","81507",,"MESA","PO BOX 2686","GRAND JUNCTION","CO","81502",,"3033281841",,"globalneighbors.co","Shannon Ewing","2019-08-21T00:00:00.000",,,"2019-08-22T00:00:00.000","2019-08-21T00:00:00.000","2020-05-15T00:00:00.000","04-27","12-31","INTERNATIONAL,FOREIGN AFFAIRS, & NATIONAL SECURITY","PHILANTHROPY,VOLUNTARISM,& GRANTMAKING",,"true","501(C)(3)",,"true","false","false","2018-04-27T00:00:00.000","2018-12-31T00:00:00.000",,"0","0","0","285",,,,"false","false","false","false","0","0","0","0","0","0","0","0","0","285","0","0","0",,"285","0","0","0","0","0","0","false",,,,,,,,,"Corporation","EXPIRED - MAY NOT SOLICIT",,,,"UNITED STATES",,,"UNITED STATES","CO","20180427","08/15/20","0"
"20163018315","CO","DOWNTOWN BUSINESS ALLIANCE OF PARKER","812763648","RENEWAL","20213024610","20203023014",,,"true","19501 E MAINSTREET STE 200","Parker","CO","80138",,"DOUGLAS",,,,,,"3033786864","3039573215","www.downtownparker.com","Kristopher L Schnell","2021-08-20T00:00:00.000",,,"2021-08-23T00:00:00.000","2021-08-20T00:00:00.000","2022-05-15T00:00:00.000","01-01","12-31","MUTUAL,MEMBERSHIP BENEFIT",,,"true","501(C)(6)","2011-07-17T00:00:00.000","false","false","false","2020-01-01T00:00:00.000","2020-12-31T00:00:00.000",,"0","5850","0","2350",,,,"false","false","true","true","0","5850","0","0","0","0","0","5850","0","2350","0","0","0",,"2350","15234.89","0","15234.89","0","0","0","false",,,,,,,,,"BUSINESS ALLIANCE","GOOD",,,,"UNITED STATES",,,,"CO","20160526","08/15/23","0"
"20053006307","CO","AMERICAN BIBLE SOCIETY","131623885","RENEWAL","20083004761","20073003795",,,"false","1865 BROADWAY","New York","NY","10023",,"NEW YORK",,,,,,"2124081375","2124081364","www.americanbible.org","Steve Sharp","2008-05-15T00:00:00.000",,,"2008-05-15T00:00:00.000","2008-05-15T00:00:00.000","2008-11-15T00:00:00.000","07-01","06-30","INTERNATIONAL,FOREIGN AFFAIRS, & NATIONAL SECURITY","RELIGION,SPIRITUAL DEVELOPMENT","YOUTH DEVELOPMENT","true","501(C)(3)",,"true","false","false","2006-07-01T00:00:00.000","2007-06-30T00:00:00.000",,"1313704","53093295","11007462","15255279",,,,"false","false","false","false","53093295","0","0","61808413","0","3592042","0","120487338","76492548","15255279","11007462","0","0",,"102755289","752846805","223595507","529251298","0","0","0","false",,,,,,,,,"Corporation","GOOD",,,,"UNITED STATES",,,,"NY","18410325","02/15/23","0.74441"
"20163006283","CO","FORNEY MUSEUM OF TRANSPORTATION","846037763","RENEWAL","20163027646","20163006283",,,"true","4303 BRIGHTON BLVD., BLDG. ONE","Denver","CO","80216",,"DENVER",,,,,,"3032971113","3032973113","www.forneymuseum.org","Christof W. Kheim","2016-08-15T00:00:00.000",,,"2016-08-24T00:00:00.000","2016-08-15T00:00:00.000","2017-05-15T00:00:00.000","01-01","12-31","ARTS,CULTURE & HUMANITIES","EDUCATION","PUBLIC,SOCIETY BENEFIT","true","501(C)(3)",,"true","false","false","2015-01-01T00:00:00.000","2015-12-31T00:00:00.000",,"0","320643","13482","126408",,,,"false","false","false","false","320643","0","224865","23563","-32367","28361","0","813701","450984","126408","13482","0","0",,"590874","8683284","1460591","7222693","6705024","517669","0","false",,,,,,,,,"Corporation","GOOD",,,,"UNITED STATES",,,,"CO","19610810","08/15/23","0.76325"
"20093002338","CO","ROBERT F. KENNEDY CENTER FOR JUSTICE AND HUMAN RIGHTS","132522784","RENEWAL","20183036492","20173035766",,,"true","1300 19TH STREET, NW, SUITE 750","Washington","DC","20036",,"DISTRICT OF COLUMBIA","15829 CRABBS BRANCH WAY","ROCKVILLE","MD","20855",,"2025456671","2024636606","rfkcenter.org","Lynn Delaney","2018-11-15T00:00:00.000",,,"2018-11-20T00:00:00.000","2018-11-15T00:00:00.000","2019-05-15T00:00:00.000","01-01","12-31","CIVIL RIGHTS,SOCIAL ACTION,& ADVOCACY","HUMAN SERVICES",,"true","501(C)(3)",,"true","true","false","2017-01-01T00:00:00.000","2017-12-31T00:00:00.000",,"0","9690229","1408938","1364199",,,,"false","false","false","false","9690229","0","23776","289572","-764607","0","0","9239064","4585925","1364199","1408938","0","0",,"7359062","15854950","849383","15005567","0","0","0","false",,,,,,,,,"Corporation","GOOD",,,,"UNITED STATES","SUITE 100",,,"DC","19681028","11/15/22","0.62317"
"20173026070","CO","GOLDEN HIGH SCHOOL GIRLS LACROSSE BOOSTER CLUB","821763100","INITIAL REGISTRATION - ESTIMATES","20173026070",,,,"false","701 24TH ST","Golden","CO","80401",,"JEFFERSON",,,,,,"3036688283","3036688283",,"Karen Brown","2017-08-07T00:00:00.000",,,"2017-08-10T00:00:00.000","2017-08-07T00:00:00.000","2018-11-15T00:00:00.000","07-01","06-30","YOUTH DEVELOPMENT",,,"true","501(C)(3)",,"true","false","false","2017-06-06T00:00:00.000","2017-06-30T00:00:00.000",,"0","0","0","0",,,,"false","false","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","false",,,,,,,,,"NON-PROFIT","GOOD",,,,"UNITED STATES",,,,"CO","20170606","02/15/23",
"20083001000","CO","THE ASSOCIATION FOR FRONTOTEMPORAL DEGENERATION","412073220","RENEWAL","20173038035","20163039747",,,"true","290 KING OF PRUSSIA ROAD, BLDG 2 - SUITE 320","Radnor","PA","19087",,"DELAWARE",,,,,,"2675147221",,"www.theaftd.org","Susan Dickinson","2017-11-13T00:00:00.000",,,"2017-11-16T00:00:00.000","2017-11-14T00:00:00.000","2018-11-15T00:00:00.000","07-01","06-30","MEDICAL RESEARCH",,,"true","501(C)(3)",,"true","false","false","2016-07-01T00:00:00.000","2017-06-30T00:00:00.000",,"51576","4190242","546518","235719",,,,"false","false","false","false","4190242","0","0","2732","-14336","0","0","4332980","4882990","235719","546518","0","0",,"5665227","8259790","1303075","6956715","0","0","0","false",,,,,,,,,"Corporation","GOOD",,,,"UNITED STATES",,,,"PA","20021114","02/15/23","0.86192"
"20083005447","CO","BOULDER CRISIS PREGNANCY CENTER","841097182","RENEWAL","20223021206","20213020330",,,"true","2334 N. BROADWAY SUITE D","Boulder","CO","80304",,"BOULDER","2334 N. BROADWAY","BOULDER","CO","80304",,"3039607915",,"www.boulderpregnancyresourcecenter.com","Yvonne G Williams","2022-08-02T00:00:00.000",,,"2022-08-03T00:00:00.000","2022-08-02T00:00:00.000","2023-05-15T00:00:00.000","01-01","12-31","RELIGION,SPIRITUAL DEVELOPMENT",,,"true","501(C)(3)",,"true","false","true","2021-01-01T00:00:00.000","2021-12-31T00:00:00.000",,"0","204435.27","52541.09","110483.02",,,"CARE NET","true","true","false","false","204435.27","0","0","8.54","189797.57","0","0","394241.38","26610.2","110483.02","52541.09","0","0",,"189634.31","347389.56","0","347389.56","0","0","0","false",,,,,,,,,"Corporation","GOOD",,,,"UNITED STATES","SUITE D",,"UNITED STATES","CO","19881031","08/15/23","0.14032"
"20163040720","CO","GOODHEALTHWILL OF GREELEY","814710254","INITIAL REGISTRATION - ESTIMATES","20163040720",,,,"false","2611 W 11TH ST RD","Greeley","CO","80634",,"WELD",,,,,,"97051506935",,"www.goodhealthwill.org","Heather Bennetts","2016-12-16T00:00:00.000",,,"2016-12-21T00:00:00.000","2016-12-16T00:00:00.000","2018-05-15T00:00:00.000","01-01","12-31","HEALTH","HUMAN SERVICES","PUBLIC,SOCIETY BENEFIT","true","501(C)(3)","2004-12-06T00:00:00.000","true","false","false","2016-12-16T00:00:00.000","2016-12-31T00:00:00.000",,"0","0","0","0",,,"GOODHEALTHWILL USA","true","true","false","false","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","false",,,,,,,,,"Corporation","GOOD",,,,"UNITED STATES",,,,"CO","20161216","08/15/23",
"20123045114","CO","STOMP OUT BULLYING CORP.","061563232","RENEWAL","20213026789","20203015628",,,"true","220 EAST 57TH STREET","New York","NY","10022",,"NEW YORK","310 W. 20TH STREET","KANSAS CITY","MO","64108",,"8164729000","8164725000","www.stompoutbullying.org","Ross Ellis","2021-09-21T00:00:00.000",,,"2021-09-21T00:00:00.000","2021-09-21T00:00:00.000","2022-03-15T00:00:00.000","11-01","10-31","PUBLIC,SOCIETY BENEFIT","YOUTH DEVELOPMENT",,"true","501(C)(3)",,"true","true","false","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000",,"0","1485589","23357","80972",,,,"false","false","false","false","1485589","0","0","6619","0","2464","0","1494672","562034","80972","23357","0","0",,"666363","1271552","75010","1196542","0","0","0","false",,,,,,,,,"Corporation","GOOD",,"9TH FLOOR, SUITE G",,"UNITED STATES","SUITE 300",,"UNITED STATES","NY","19991101","06/15/23","0.84344"
