DAMID,Dam Name,Other Dam Names,NID ID,WDID,Physical Status,DIV,WD,County,PM,Township,Range,Section,Q160,Q40,UTM x,UTM y,Location Accuracy,Latdecdeg,Longdecdeg,Stream,Downstream Town,Town Distance,Year Completed,Purposes,Federal Land,Federal Regulations,Dam Type,Dam Length,Dam Height,Crest Elevation,Normal Storage,Surface Area,Drainage Area,Spillway Capacity,Outlet Description,Outlet Capacity,Outlet Inspection,Hazard Class,EAP,EAP Date,EAP Inundation Map,Inundation Map Date,Last Inspection Date,Overall Conditions,Safe Storage,Inspector,Current Restrictions,Primary Name,Primary Contact,Assigned To,More Information,Location,Counties
190111,LAKE DOROTHY,SCHWACHEIM,00540,,Active,2,19,LAS ANIMAS,S,35.0 S,62.0 W,8,SW,SW,555558.1,4095424,GPS,37.003336,-104.375571,E FORK SCHWACHEIM CREEK,"CAPULIN, N. M.",34,1937,SFR,N,N,RE,775,65,7626,344,18,4192,1954,24 CIP,0,,Low,Not Required,,No,,08/15/2016,Conditionally Satisfactory,Conditional Full Storage,MP3,No,"RATON WATER WORKS (DAN CAMPBELL, GENERAL MANAGER)","DAN CAMPBELL, GENERAL MANAGER",MP3,https://dwr.state.co.us/Tools/DamSafety/Dams/190111,"(37.003336, -104.375571)",1013
190117,RYAN,,00545,,Active,2,19,LAS ANIMAS,S,35.0 S,69.0 W,9,SW,SW,489571.1,4095618.7,GPS,37.006679,-105.117231,N FORK VERMEJO RIVER,VERMEJO PARK,16,1955,IF,N,N,RE,379,31,8720,24,3,1250,733,6 STEEL,2,,NPH,Not Required,,No,,,,,,No,"LEACHMAN, DR. ROBERT (ROBERT LEACHMAN)",ROBERT LEACHMAN,MP3,https://dwr.state.co.us/Tools/DamSafety/Dams/190117,"(37.006679, -105.117231)",1013
190121,WALTON DET. #1,,00548,,Active,2,19,LAS ANIMAS,S,35.0 S,62.0 W,4,SE,NW,558213.3,4097476.4,GPS,37.021672,-104.345573,CHICO RICA CREEK,"CAPULIN, N. M.",36,1964,C,N,N,RE,280,32,8000,39,14,1325,2826,"15 CMP RISER, UNCONTROLLED",12,,NPH,Not Required,,No,,08/28/1998,,,,No,PATRICIA JUNG / SUGARITE CANYON RANCH (JACK WALTON),JACK WALTON,MP3,https://dwr.state.co.us/Tools/DamSafety/Dams/190121,"(37.021672, -104.345573)",1013
220112,T. J. RAMSEY LAKE,,02513,,Active,3,22,ARCHULETA,N,32.0 N,3.0 E,16,NE,SW,354618,4097630,GPS,37.013612,-106.634185,RIO CHAMITA,"CHAMA, NM",10,1976,F,N,N,RE,400,23,9550,25,4,290,275,16 CMP,0,,NPH,Not Required,,No,,09/20/2001,,,,No,DIAMOND S RANCH (JEB BINKLEY),JEB BINKLEY,MJG,https://dwr.state.co.us/Tools/DamSafety/Dams/220112,"(37.013612, -106.634185)",1396
220110,BRUSH FENCE LAKE,,02511,,Active,3,22,ARCHULETA,N,32.0 N,3.0 E,18,NE,SE,352270,4097671,GPS,37.013615,-106.660576,RIO CHAMITA,"CHAMA, NM",10,1970,F,N,N,RE,680,28,9209,21,4,170,98,NONE,0,,NPH,Not Required,,No,,09/20/2001,,,,No,DIAMOND S RANCH (JEB BINKLEY),JEB BINKLEY,MJG,https://dwr.state.co.us/Tools/DamSafety/Dams/220110,"(37.013615, -106.660576)",1396
220107,ALTA LAKE,,02276,,Abandoned,3,22,CONEJOS,N,32.0 N,9.0 E,11,SW,SW,414509.8,4097954.3,GPS,37.023893,-105.961118,PUNCHE ARROYO,"ARROYA HONDO, NM",70,1888,I,N,N,RE,1350,11,7845,72,28,100,205,NONE,0,,Low,Not Required,,No,,,,,,No,TAOS VALLEY CO.,,,https://dwr.state.co.us/Tools/DamSafety/Dams/220107,"(37.023893, -105.961118)",1440
190110,"HOLLENBECK, ED DET.","ED HOLLENBECK DETENTION, CADIEO FLD. CON",00539,,Active,2,19,LAS ANIMAS,S,35.0 S,60.0 W,2,NW,SW,580003.3,4098023.8,GPS,37.025007,-104.100573,RITO AZUL,TRINCHERA,3,1960,C,N,N,RE,2345,20,0,97,20,2666,6600,24 &18 CMP,35,,N,Not Required,,No,,,,,,No,ROBERT E. HOLLENBECK,,MP3,https://dwr.state.co.us/Tools/DamSafety/Dams/190110,"(37.025007, -104.100573)",1013
220111,NATIVE LAKE,,02512,,Active,3,22,ARCHULETA,N,32.0 N,3.0 E,8,SE,SE,353596,4098542,GPS,37.021671,-106.645846,RIO CHAMITA,"CHAMA, NM",10,1970,F,N,N,RE,795,25.5,9680,30,4,35,100,NONE,0,,NPH,Not Required,,No,,09/20/2001,,,,No,DIAMOND S RANCH (JEB BINKLEY),JEB BINKLEY,MJG,https://dwr.state.co.us/Tools/DamSafety/Dams/220111,"(37.021671, -106.645846)",1396
220101,COVE LAKE,,01714,,Breached,3,22,CONEJOS,N,32.0 N,10.0 E,4,SW,SE,421242.7,4099244.7,GPS,37.036118,-105.885567,PUNCHE ARROYO,"ARROYA HONDO, NM",69,1907,I,N,N,RE,640,42,7753,0,960,14720,2789,24 STEEL,69,,N,Not Required,,No,,,,,,No,PETE MIDDLEMIST,,MJG,https://dwr.state.co.us/Tools/DamSafety/Dams/220101,"(37.036118, -105.885567)",1440
660101,JOHN L. JONES,,00549,,Abandoned,2,66,BACA,S,35.0 S,50.0 W,5,NE,SE,673102.1,4099785.8,GPS,37.028337,-103.053901,FURNISH CANYON,"KENTON, OKLAHOMA",15,1939,I,N,N,RE,990,35,4560,326,46,20813,28111,18 CMP,27,,Low,Not Required,,No,,12/09/1992,,,,No,J.M. WELLBORN (BOB SALZBRENNER),BOB SALZBRENNER,MP3,https://dwr.state.co.us/Tools/DamSafety/Dams/660101,"(37.028337, -103.053901)",1397
