"business_name","city","state","species","county","email","phone"
"Aqua Sierra, Inc.","Morrison","Colorado","Black Crappie,Bluegill,Brook Trout,Brown Trout,Channel Catfish,Cutbow Trout,Cutthroat Trout,Fathead Minnow,Gizzard Shad,Green Sunfish,Largemouth Bass,Rainbow Trout,Smallmouth Bass,Tiger Muskie,Triploid Grass Carp,Trout Hybrid,Walleye,White Crappie,Wiper,Yellow Perch,Golden Trout,Lake Trout,Northern Pike,Saugeye,Splake,Striped Bass,Tiger Trout,White Sucker","Jefferson","kholmes25@aqua-sierra.com","3036975069"
"Aquatics Associates, Inc.","Fort Collins","Colorado","Black Crappie,Bluegill,Brook Trout,Brown Trout,Channel Catfish,Crayfish,Cutbow Trout,Cutthroat Trout,Fathead Minnow,Largemouth Bass,Rainbow Trout,Smallmouth Bass,Tiger Trout,Triploid Grass Carp,Trout Hybrid,Walleye,Wiper,Yellow Perch","Larimer","tami@aquaticsassociates.com","9704932626"
"Auer Farms","Keenesburg","Colorado","Black Crappie,Bluegill,Channel Catfish,Fathead Minnow,Green Sunfish,Largemouth Bass,Smallmouth Bass,Triploid Grass Carp,Walleye,White Crappie,Wiper,Yellow Perch,Brook Trout,Brown Trout,Cutbow Trout,Rainbow Trout,Cutthroat Trout,Tiger Trout,Trout Hybrid","Weld","auerbird@gmail.com","3038080282"
"BAM Bait and Tackle","Ft Morgan","Colorado","Bluegill,Common Carp,Fathead Minnow,Gizzard Shad,Golden Shiner,Longnose Sucker,White Sucker,Yellow Perch","Denver","bambaitandtackle@earthlink.com","9707682098"
"Bass Pro Shops Outdoor World","Springfield","Colorado",,"Greene","BMichaels@basspro.com","4178735257"
"Bass Pro Shops Outdoor World","Denver","Colorado","Black Crappie,Bluegill,Channel Catfish,Largemouth Bass,Rainbow Trout,Smallmouth Bass,Striped Bass,Walleye,White Crappie,Wiper,Blue Catfish","Denver","bmichaels@basspro.com",
"Bass Pro Shops Outdoor World","Colorado Springs","Colorado","Black Crappie,Bluegill,Brook Trout,Brown Trout,Channel Catfish,Largemouth Bass,Rainbow Trout,Smallmouth Bass,Striped Bass,White Crappie,Wiper,Blue Catfish","El Paso","bmichaels@basspro.com",
"Beavers Fish Farm, Inc.","Longmont","Colorado","Black Crappie,Bluegill,Channel Catfish,Fathead Minnow,Gizzard Shad,Green Sunfish,Largemouth Bass,Rainbow Trout,Smallmouth Bass,Triploid Grass Carp,Walleye,Wiper,Yellow Perch,Tilapia,Tiger Muskie","Weld","rod@beaversfishfarm.com","9706190244"
"Blue Valley Ranch","Kremmling","Colorado","Arctic Grayling,Brook Trout,Brown Trout,Cutbow Trout,Rainbow Trout,Trout Hybrid,Triploid Grass Carp,Tiger Trout","Grand","brien@jnsgrp.com","9707243680"
"Boulder Fish and Game","Boulder","Colorado","Rainbow Trout,Cutbow Trout","Boulder","bdaigel@hotmail.com","3038699021"
"C&Q Colorado Fish Farm, Inc.","Saguache","Colorado","Tilapia,Barramundi,Striped Bass","Saguache","Justinquan@yahoo.com","6262782052"
