"year","institutionname","agemin","agemax","gender","ethnicity","studentlevel","degreelevel","residency","programname"
"2013","Metropolitan State University of Denver","25","40","Male","Non-Resident Alien","Undergraduate","Bachelor","Out-of-State","Accounting"
"2013","Colorado State University - Pueblo","25","40","Female","Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","Aims Community College","25","40","Unknown","White, non-Hispanic","Undergraduate","Certificate","In-State","Accounting"
"2013","Metropolitan State University of Denver","21","24","Female","Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","Western State Colorado University","21","24","Female","White, non-Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","Colorado State University - Pueblo","21","24","Male","Non-Resident Alien","Undergraduate","Bachelor","Out-of-State","Accounting"
"2013","Colorado Mesa University","40",,"Male","White, non-Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","University of Northern Colorado","21","24","Male","Unknown","Graduate","Masters","In-State","Accounting"
"2013","Metropolitan State University of Denver","21","24","Male","White, non-Hispanic","Graduate","Masters","In-State","Accounting"
"2013","Aims Community College","40",,"Unknown","Unknown","Undergraduate","Associate","In-State","Accounting"
"2013","Colorado Mesa University","21","24","Male","White, non-Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","University of Northern Colorado","21","24","Female","Hispanic","Graduate","Masters","In-State","Accounting"
"2013","Metropolitan State University of Denver","25","40","Male","White, non-Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","Metropolitan State University of Denver","21","24","Female","White, non-Hispanic","Graduate","Masters","In-State","Accounting"
"2013","Fort Lewis College","21","24","Female","Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","Western State Colorado University","40",,"Female","White, non-Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","Metropolitan State University of Denver","40",,"Male","Asian","Undergraduate","Bachelor","In-State","Accounting"
"2013","Western State Colorado University","21","24","Male","White, non-Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","Fort Lewis College","25","40","Male","Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","Western State Colorado University","21","24","Male","Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","Colorado Mesa University","25","40","Female","White, non-Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","Western State Colorado University","25","40","Female","Unknown","Undergraduate","Bachelor","In-State","Accounting"
"2013","Metropolitan State University of Denver","21","24","Female","Hispanic","Graduate","Masters","Out-of-State","Accounting"
"2013","Metropolitan State University of Denver","25","40","Female","White, non-Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","Colorado Mesa University","40",,"Female","White, non-Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","University of Colorado Denver","21","24","Male","White, non-Hispanic","Graduate","Masters","Out-of-State","Accounting"
"2013","University of Northern Colorado","21","24","Female","White, non-Hispanic","Graduate","Masters","In-State","Accounting"
"2013","Aims Community College","40",,"Unknown","White, non-Hispanic","Undergraduate","Associate","In-State","Accounting"
"2013","Metropolitan State University of Denver","40",,"Male","White, non-Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","Aims Community College","21","24","Unknown","Asian","Undergraduate","Certificate","In-State","Accounting"
"2013","University of Colorado Denver","25","40","Female","Asian","Graduate","Masters","In-State","Accounting"
"2013","University of Colorado Denver","25","40","Female","White, non-Hispanic","Graduate","Masters","In-State","Accounting"
"2013","Fort Lewis College","21","24","Male","White, non-Hispanic","Undergraduate","Bachelor","Out-of-State","Accounting"
"2013","Western State Colorado University","21","24","Male","White, non-Hispanic","Undergraduate","Bachelor","Out-of-State","Accounting"
"2013","Metropolitan State University of Denver","21","24","Male","Non-Resident Alien","Undergraduate","Bachelor","Out-of-State","Accounting"
"2013","University of Colorado Denver","25","40","Male","Black or African American","Graduate","Masters","In-State","Accounting"
"2013","University of Colorado Denver","25","40","Female","More than one race/ethnicity (non-hispanic)","Graduate","Masters","In-State","Accounting"
"2013","University of Colorado Denver","25","40","Male","Asian","Graduate","Masters","In-State","Accounting"
"2013","Metropolitan State University of Denver","25","40","Female","Asian","Undergraduate","Bachelor","In-State","Accounting"
"2013","Fort Lewis College","25","40","Male","White, non-Hispanic","Undergraduate","Bachelor","Out-of-State","Accounting"
"2013","Colorado Mesa University","40",,"Female","Asian","Undergraduate","Bachelor","In-State","Accounting"
"2013","University of Colorado Denver","25","40","Female","Hispanic","Graduate","Masters","In-State","Accounting"
"2013","Aims Community College","25","40","Unknown","White, non-Hispanic","Undergraduate","Associate","In-State","Accounting"
"2013","Colorado Mesa University","25","40","Female","Unknown","Undergraduate","Bachelor","In-State","Accounting"
"2013","Metropolitan State University of Denver","25","40","Male","Black or African American","Undergraduate","Bachelor","In-State","Accounting"
"2013","University of Colorado Denver","25","40","Female","Unknown","Graduate","Masters","In-State","Accounting"
"2013","Metropolitan State University of Denver","40",,"Female","Asian","Undergraduate","Bachelor","In-State","Accounting"
"2013","Western State Colorado University","25","40","Female","White, non-Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","University of Northern Colorado","21","24","Male","White, non-Hispanic","Graduate","Masters","Out-of-State","Accounting"
"2013","Lamar Community College","40",,"Female","White, non-Hispanic","Undergraduate","Certificate","In-State","Accounting"
"2013","Metropolitan State University of Denver","40",,"Female","White, non-Hispanic","Undergraduate","Bachelor","In-State","Accounting"
"2013","Fort Lewis College","25","40","Female","Native American or Alaskan Native","Undergraduate","Bachelor","Out-of-State","Accounting"
"2013","Colorado Northwestern Community College","25","40","Female","White, non-Hispanic","Undergraduate","Associate","In-State","Accounting"
"2013","University of Northern Colorado","21","24","Male","More than one race/ethnicity (non-hispanic)","Graduate","Masters","In-State","Accounting"
"2013","Metropolitan State University of Denver","25","40","Male","White, non-Hispanic","Graduate","Masters","In-State","Accounting"
