"provider_id","provider_name","provider_service_type","street_address","city","state","zip","county","community","award_date","expiration_date","qris_rating_level","total_licensed_capacity","licensed_home_capacity","licensed_infant_capacity","licensed_toddler_capacity","licensed_preschool_capacity","licensed_school_age_capacity","licensed_preschool_and_school_age_capacity"
"25701","T J DOMINGUEZ","Large Family Child Care Home","1820 1/2 SICKLES","MONTE VISTA","CO","81144","Rio Grande",,"2021-09-20T00:00:00.000","2024-09-20T00:00:00.000","2","12",,,,,,"12"
"26969","RUBY HERNANDEZ","Large Family Child Care Home","790 Washington","Monte Vista","CO","81144","Rio Grande",,"2021-08-31T00:00:00.000","2024-08-31T00:00:00.000","4","12",,,,,,"12"
"29017","NIOLA ZAMORA","Large Family Child Care Home","763 Monroe ST","Monte Vista","CO","81144","Rio Grande",,"2021-10-04T00:00:00.000","2024-10-04T00:00:00.000","2","12","12",,,,,
"39614","DEL NORTE HEAD START","Child Care Center","440 6th ST","Del Norte","CO","81132","Rio Grande",,"2021-01-14T00:00:00.000","2024-06-30T00:00:00.000","4","77",,,,,,"77"
"43457","KATHY JO MARTINEZ","Large Family Child Care Home","470 Batterson ST","Monte Vista","CO","81144","Rio Grande",,"2021-01-31T00:00:00.000","2024-01-31T00:00:00.000","5","12","12",,,,,
"47928","BEAVER CREEK YOUTH CAMP","Resident Camp","0 5 Mile SE","South Fork","CO","81154","Rio Grande",,,,"1","24",,,,,,
"52853","JUANITA HERRERA","Large Family Child Care Home","323 Faraday","Monte Vista","CO","81144","Rio Grande",,"2021-09-20T00:00:00.000","2024-09-20T00:00:00.000","2","12","12",,,,,
"84242","MONTE VISTA PUBLIC SCHOOL DIST PRS","Child Care Center","215 Lyell ST","Monte Vista","CO","81144","Rio Grande",,"2021-12-22T00:00:00.000","2024-12-22T00:00:00.000","2","39",,,,"39",,
"97256","SARGENT EARLY LEARNING CENTER","Child Care Center","7090 N Road 2 E","Monte Vista","CO","81144","Rio Grande",,"2020-12-31T00:00:00.000","2023-12-31T00:00:00.000","5","66",,,"10","56",,
"1549765","MONTE VISTA HEADSTART","Child Care Center","2863 Sherman AVE","Monte Vista","CO","81144","Rio Grande",,,,"1","64",,,,"64",,
"1620891","THE CITY OF MONTE VISTA KIDS CONNECTION","School-Age Child Care Center","134 Washington ST","Monte Vista","CO","81144","Rio Grande",,,,"1","150",,,,,"150",
"1687633","Heidi Heredia","Large Family Child Care Home","3501 E County Road 1South","Monte Vista","CO","81144","Rio Grande",,,,"1","12","12",,,,,
