"year","institutionname","agedesc","gender","ethnicity","studentlevel","degreelevel","programname"
"2014","Pikes Peak Community College","Over 40","Female","Hispanic","Undergraduate","Associate","Legal Assistant/Paralegal"
"2014","Fort Lewis College","21-24","Male","Hispanic","Undergraduate","Bachelor","Biology/Biological Sciences, General"
"2014","Metropolitan State University of Denver","25-40","Female","White, non-Hispanic","Undergraduate","Bachelor",
"2014","Adams State University","25-40","Male","Unknown","Graduate","Masters","Business Administration and Management, General"
"2014","Red Rocks Community College","25-40","Male","More than one race/ethnicity (non-hispanic)","Undergraduate","Associate","Fire Science/Fire-fighting"
"2014","Colorado Mesa University","21-24","Female","Asian","Undergraduate","Bachelor","Registered Nursing/Registered Nurse"
"2014","Pueblo Community College","25-40","Male","White, non-Hispanic","Undergraduate","Certificate","Autobody/Collision and Repair Technology/Technician"
"2014","Metropolitan State University of Denver","21-24","Male","Hispanic","Undergraduate","Bachelor","Hospitality Administration/Management, General"
"2014","Lamar Community College","17-20","Female","Hispanic","Undergraduate","Associate","Liberal Arts and Sciences/Liberal Studies"
"2014","University of Colorado Boulder","21-24","Male","White, non-Hispanic","Undergraduate","Bachelor","Art History, Criticism and Conservation"
"2014","University of Northern Colorado","25-40","Female","White, non-Hispanic","Graduate","Masters","Educational Psychology"
"2014","Pueblo Community College","25-40","Female","White, non-Hispanic","Undergraduate","Associate","Occupational Therapist Assistant"
"2014","Pueblo Community College","25-40","Female","White, non-Hispanic","Undergraduate","Associate","Occupational Therapist Assistant"
"2014","Aims Community College","21-24","Female","White, non-Hispanic","Undergraduate","Certificate","Automobile/Automotive Mechanics Technology/Technician"
"2014","Pueblo Community College","25-40","Female","White, non-Hispanic","Undergraduate","Associate","Engineering Technology, General"
"2014","University of Colorado Boulder","25-40","Male","White, non-Hispanic","Undergraduate","Bachelor","Music Performance, General"
"2014","Colorado State University","25-40","Male","Non-Resident Alien","Graduate","Masters","Engineering, General"
"2014","University of Northern Colorado","21-24","Female","Unknown","Undergraduate","Bachelor","Health Services/Allied Health/Health Sciences, General"
"2014","University of Northern Colorado","25-40","Male","Unknown","Undergraduate","Bachelor","Kinesiology and Exercise Science"
"2014","University of Colorado Boulder","25-40","Male","White, non-Hispanic","Undergraduate","Bachelor","Art History, Criticism and Conservation"
"2014","Colorado Mesa University","25-40","Male","Unknown","Undergraduate","Bachelor","Computer and Information Sciences, General"
"2014","Pueblo Community College","21-24","Female","White, non-Hispanic","Undergraduate","Associate","Physical Therapy Technician/Assistant"
"2014","University of Northern Colorado","21-24","Male","Unknown","Undergraduate","Bachelor","Music, General"
"2014","Colorado Mesa University","21-24","Male","Hawaiian or Pacific Islander","Undergraduate","Certificate","Physical Fitness Technician"
"2014","Community College of Aurora","21-24","Male","Unknown","Undergraduate","Associate","Liberal Arts and Sciences, General Studies and Humanities, Other"
"2014","Community College of Aurora","21-24","Female","Hispanic","Undergraduate","Associate","General Studies"
"2014","Trinidad State Junior College","Under 17","Female","Unknown","Undergraduate","Certificate","Nursing Assistant/Aide and Patient Care Assistant/Aide"
"2014","University of Northern Colorado","21-24","Male","White, non-Hispanic","Undergraduate","Bachelor","Music Teacher Education"
"2014","Colorado Northwestern Community College","Over 40","Female","White, non-Hispanic","Undergraduate","Associate","Child Development"
"2014","Arapahoe Community College","17-20","Female","White, non-Hispanic","Undergraduate","Associate","Liberal Arts and Sciences/Liberal Studies"
"2014","University of Colorado Denver","25-40","Female","White, non-Hispanic","Graduate","Doctoral","Human/Medical Genetics"
"2014","Aims Community College","25-40","Male","White, non-Hispanic","Undergraduate","Certificate","Registered Nursing/Registered Nurse"
"2014","Arapahoe Community College","25-40","Male","White, non-Hispanic","Undergraduate","Associate","Architectural Engineering Technology/Technician"
"2014","University of Colorado Boulder","25-40","Male","White, non-Hispanic","Graduate","Doctoral","Architectural Engineering"
"2014","University of Colorado Colorado Springs","21-24","Female","Hispanic","Undergraduate","Bachelor","Business Administration and Management, General"
"2014","Colorado State University","Over 40","Female","White, non-Hispanic","Undergraduate","Bachelor",
"2014","University of Northern Colorado","21-24","Female","Unknown","Undergraduate","Bachelor","Business Administration and Management, General"
"2014","Front Range Community College","25-40","Male","Hispanic","Undergraduate","Associate","Management Information Systems, General"
"2014","Front Range Community College","21-24","Male","Hispanic","Undergraduate","Certificate","Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician"
"2014","Front Range Community College","21-24","Male","Hispanic","Undergraduate","Certificate","Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician"
"2014","Front Range Community College","25-40","Male","White, non-Hispanic","Undergraduate","Associate","Energy Management and Systems Technology/Technician"
"2014","University of Colorado Denver","25-40","Female","Unknown","Graduate","Doctoral","Biostatistics"
"2014","Pikes Peak Community College","25-40","Male","More than one race/ethnicity (non-hispanic)","Undergraduate","Certificate","Emergency Medical Technology/Technician (EMT Paramedic)"
