"spid","fileid","actiontypecode","actiontype","actionrefid","recordstatuscd","recordstatus","lastname","firstname","middlename","suffix","organizationname","address1","address2","city","state","country","zipcode","zipcode4","assignor"
"424491","422053","A","add",,"A","active",,,,,"PEAK NATIONAL BANK","770 HERITAGE ROAD",,"GOLDEN","CO","United States","80401",,"0"
"151703","156182","A","add",,"A","active",,,,,"CASE CREDIT CORPORATION ID#76-0394710","PO BOX 292",,"RACINE","WI","United States","53401",,"0"
"204840","207854","A","add",,"A","active",,,,,"SUN LIFE INSURANCE AND ANNUITY COMPANY OF NEW YORK","C/O SUN LIFE OF CANADA, MTG INV GR.","ONE SUN LIFE EXECUTIVE PARK","WELLESLEY HILLS","MA","United States","02481",,"0"
"1366933","1558599","A","add",,"A","active",,,,,"RIO GRANDE FEDERAL CREDIT UNION","760 ROOD AVENUE",,"GRAND JUNCTION","CO","United States","81501",,"0"
"1323020","1488907","A","add",,"A","active",,,,,"FANNIE MAE","c/o Berkadia Commercial Mortgage LLC, 323 Norristown Road, Suite 300","Attn: Servicing - Executive Vice President","Ambler","PA","United States","19002",,"0"
"699252","690077","A","add",,"A","active",,,,,"AMERICAN HONDA FINANCE CO","PO BOX 997503",,"SACRAMENTO","CA","United States","95899",,"0"
"1203208","1299767","A","add",,"A","active",,,,,"WELLS FARGO BANK NA","333 MARKET STREET","4TH FLOOR","SAN FRANCISCO","CA","United States","94105",,"0"
"759594","749113","A","add",,"A","active",,,,,"INTERNAL REVENUE SERVICE","PO BOX 145595",,"CINCINNATI","OH","United States","45250",,"0"
"747139","736830","A","add",,"A","active",,,,,"MIRACLE-EAR, INC.","5000 CHESHIRE PARKWAY NORTH",,"PLYMOUTH","MN","United States","55446",,"0"
"527208","520943","A","add",,"A","active",,,,,"CITICAPITAL COMMERCIAL CORPORATION","3950 REGENT BLVD",,"IRVING","TX","United States","75063",,"0"
"134187","139925","A","add",,"A","active",,,,,"FIRST NATIONAL BANK OF LIMON (THE)","790 MAIN","PO BOX 279","LIMON","CO","United States","80828",,"0"
"1381250","1580977","C","change only","1130993","A","active",,,,,"First National Bank","7777 East Arapahoe Road",,"Centennial","CO","United States","80112",,"1"
"1180923","1264686","A","add",,"A","active",,,,,"Komatsu Financial Limited Partnership","1701 W. Golf Rd.","Ste 1-300","Rolling Meadows","IL","United States","60008",,"0"
"710661","701228","A","add",,"A","active",,,,,"WEST DENVER AMBULATORY SURGICAL CENTER LLC","C/O BELMAR ASC","325 S. TELLER STREET #200","LAKEWOOD","CO","United States","80226",,"0"
"695582","686503","A","add",,"A","active",,,,,"U.S. BANCORP EQUIPMENT FINANCE, INC.","PO BOX 230789",,"PORTLAND","OR","United States","97281",,"0"
"1433018","1661272","A","add",,"A","active",,,,,"MAHINDRA FINANCE USA LLC","PO BOX 2000",,"JOHNSTON","IA","United States","50131",,"0"
"830366","818663","A","add",,"A","active",,,,,"INTERNAL REVENUE SERVICE","PO BOX 145595",,"CINCINNATI","OH","United States","45250",,"0"
"824307","812689","A","add",,"A","active",,,,,"INTERNAL REVENUE SERVICE","PO BOX 145595",,"CINCINNATI","OH","United States","45250",,"0"
"842815","830880","A","add",,"A","active",,,,,"WAGNER EQUIPMENT CO.","18000 SMITH ROAD",,"AURORA","CO","United States","80011",,"0"
"1397655","1606378","A","add",,"A","active",,,,,"Wells Fargo Bank, N.A.","300 Tri-State International Ste 400",,"Lincolnshire","IL","United States","60069",,"0"
"364749","363687","A","add",,"A","active",,,,,"DENVER HEALTH AND HOSPITAL AUTHORITY","MC 1926","990 BANNOCK ST 2ND FLR","DENVER","CO","United States","80204",,"0"
"550391","543513","A","add",,"A","active",,,,,"SNAP ON CREDIT","950 TECHNOLOGY WAY, SUITE 301",,"LIBERTYVILLE","IL","United States","60048",,"0"
"151773","156247","A","add",,"A","active",,,,,"HERMANSON FAMILY LIMITED PARTNERSHIP I LLLP","1430 LARIMER ST STE 200",,"DENVER","CO","United States","80202",,"0"
"816630","805151","A","add",,"A","active",,,,,"EXEMPLA HEALTHCARE BUSINESS OFFICE","2480 WEST 26TH AVENUE, SUITE 200B",,"DENVER","CO","United States","80211",,"0"
"511028","505225","A","add",,"A","active",,,,,"STERLING FEDERAL CREDIT UNION",,,,,,,,"0"
"674071","665291","A","add",,"A","active",,,,,"MERCHANTS MORTGAGE & TRUST CORPORATION","7400 EAST CRESTLINE CIRCLE","SUITE 250","GREENWOOD VILLAGE","CO","United States","80111",,"0"
"153945","158333","A","add",,"A","active",,,,,"IRS","600 17TH ST",,"DENVER","CO","United States","80265",,"0"
"867880","855491","A","add",,"A","active",,,,,"PREMIER MEMBERS FCU","5495 ARAPAHOE AVE",,"BOULDER","CO","United States","80303",,"0"
"1302907","1457771","A","add",,"A","active",,,,,"Multi Service Technology Solutions, Inc.","8650 College Blvd",,"Overland Park","KS","United States","66210",,"0"
"841467","829573","A","add",,"A","active",,,,,"CENTURA HEALTH","8140 SOUTH HOLLY STREET",,"CENTENNIAL","CO","United States","80122",,"0"
"739976","729727","A","add",,"A","active",,,,,"INTERNAL REVENUE SERVICE","PO BOX 145595",,"CINCINNATI","OH","United States","45250",,"0"
"1112438","1157885","A","add",,"A","active",,,,,"BOULDER COMMUNITY HOSPITAL","311 MAPLETON AVE",,"BOULDER","CO","United States","80301",,"0"
"1217458","1322334","A","add",,"A","active",,,,,"Bank of the San Juans, Division of Glacier Bank","2452 Highway 6 & 50",,"Grand Junction","CO","United States","81505",,"0"
"1251859","1376265","A","add",,"A","active",,,,,"Snap-on Credit LLC","950 TECHNOLOGY WAY, SUITE 301",,"LIBERTYVILLE","IL","United States","60048-5339",,"0"
