"facilityid","recordid","serialnumber","servicedesc","pe","pedesc","category","description","county","agency","programidentifier","siteaddress","city","st","zip","latitude","longitude","activitydate","_01a","_01b","_01c","_01d","_01e","_01f","_02a","_02b","_02c","_02d","_02e","_02f","_02g","_03a","_03b","_03c","_03d","_03e","_03f","_03g","_04a","_04b","_04c","_05a","_05b","_05c","_05d","_06a","_06b","_06c","_07a","_07b","_07c","_08a","_08b","_08c","totalcritical","numberoffbicritical","_09a","_09b","_10a","i0b","_10c","_11a","_11b","_11c","_12a","_12b","_12c","_12d","_13a","_13b","_13c","_14a","_14b","_14c","_14d","_14e","_14f","_14g","_14h","_14i","_15a","_15b","totalnoncritical"
"FA0005238","PR0003350","DAUY2IE5Q","Inspection, Routine","1025","Restaurant (0 - 100 seats)","Low Risk (2)","Food - Restaurants","Arapahoe","Tri-County Health Department","Little Caesars 112","10496 E Colfax Ave Unit A","Aurora","CO","80010","39.74004","-104.865906","2018-10-01T00:00:00.000","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","5","2","0","0","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","8"
"FA0004458","PR0008465","DADB5FAAX","Inspection, Routine","1025","Restaurant (0 - 100 seats)","Med Risk (3)","Food - Restaurants","Arapahoe","Tri-County Health Department","Taco Bell","5050 S Quebec St","Denver","CO","80237","39.624748","-104.903908","2018-10-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","6"
"FA0003323","PR0011564","DA0PXHQWQ","Inspection, First Operational","1025","Restaurant (0 - 100 seats)","Med Risk (3)","Food - Restaurants","Adams","Tri-County Health Department","Tocoa in the House","1981 Clinton St","Aurora","CO","80010","39.747139","-104.87764","2018-10-01T00:00:00.000","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FA0001709","PR0002532","DAJ6U8VHS","Inspection, Routine","1005","No fee license (K-12 schools, non-profit)","Med Risk (3)","Food - Institutions","Adams","Tri-County Health Department","Community Leadership Academy","6880 Holly St","Commerce City","CO","80022","39.900394","-105.023262","2018-10-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FA0002298","PR0000735","DAY0UMZIZ","Inspection, Routine","1005","No fee license (K-12 schools, non-profit)","Med Risk (3)","Food - Institutions","Douglas","Tri-County Health Department","Roxborough Elementary","8000 Village Cir W","Littleton","CO","80125","39.47877268","-105.0775837","2018-10-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","5"
"FA0002299","PR0003615","DAWLBZMXV","Inspection, Routine","1005","No fee license (K-12 schools, non-profit)","Med Risk (3)","Food - Institutions","Douglas","Tri-County Health Department","Roxborough Intermediate School","7370 Village Cir E","Littleton","CO","80125","39.4681778","-105.0709305","2018-10-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","2"
"FA0000668","PR0000342","DASSQHII6","Inspection, Routine","1005","No fee license (K-12 schools, non-profit)","Med Risk (3)","Food - Institutions","Arapahoe","Tri-County Health Department","Sixth Avenue Elementary","560 Vaughn St","Aurora","CO","80011","39.724983","-104.831108","2018-10-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"FA0009170","PR0009824","DAZ339N3U","Inspection, Routine","1025","Restaurant (0 - 100 seats)","Med Risk (3)","Food - Restaurants","Douglas","Tri-County Health Department","Potbelly Sandwich Shop","1341 New Beale St STE 100","Castle Rock","CO","80108","39.41272876","-104.8779348","2018-10-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3"
"FA0004271","PR0011146","DALIPXSF0","Inspection, Critical Item","1025","Restaurant (0 - 100 seats)","High Risk (4)","Food - Restaurants","Adams","Tri-County Health Department","El Muchacho Alegre","3113 N Peoria St Unit E","Aurora","CO","80010","39.760895","-104.847008","2018-12-28T00:00:00.000","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"FA0003715","PR0000646","DAWCYT0OH","Inspection, Routine","1065","Restaurant (>200 seats)","Med Risk (3)","Food - Restaurants","Arapahoe","Tri-County Health Department","Senor Rics","13200 E Mississippi Ave","Aurora","CO","80012","39.696472","-104.835892","2018-10-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","4"
