WDID,Water Right Name,Structure Type,Water Source,DIV,WD,County,Q10,Q40,Q160,Section,Township,Range,PM,CoordsEW,CoordsEW Dir,CoordsNS,CoordsNS Dir,UTM x,UTM y,Location Accuracy,Adjudication Type,Adjudication Date,Previous Adj Date,Appropriation Date,Admin No,Order No,Priority No,Case Number,Decreed Uses,Max Decreed Rate,Total Volumetric Limit,Associated WDID,Plan Type,Plan WDID,Comments,More Information,Location,Counties
1103327,BEAVER LAKE NO 2,Reservoir,EMPIRE GULCH,2,11,PARK,,NW,SE,12,10.0 S,79.0 W,S,1600,E,1440,S,399208.1,4338623.1,Spotted from section lines,S,12/31/1997,12/31/1996,07/07/1995,53691.53148,0,,97CW0083,567,,60.2,,A,1107028,FILLED BY BEAVER LAKES DITCH ID 954 1.25 CFS EVAP AUGMENTED UNDER 97CW83,https://dwr.state.co.us/Tools/WaterRights/Transactions/71442,"(39.191023, -106.167129)",1062
2302123,FOURMILE CREEK MIN FLOW,Minimum Flow,FOURMILE CREEK,1,23,PARK,,NW,SE,1,10.0 S,79.0 W,S,2053,E,2208,S,399078.9,4340485.5,Spotted from section lines,S,12/31/1976,12/31/1975,01/14/1976,46034,0,,W8224,M,8,,,,,17.1 MILES,https://dwr.state.co.us/Tools/WaterRights/Transactions/105621,"(39.207792, -106.168901)",1062
2301625,TELFAIR SPRING 1,Spring,SOUTH PLATTE RIVER,1,23,PARK,NE,SE,SW,7,10.0 S,78.0 W,S,,,,,400296.2,4338375.8,Spotted from quarters,S,12/31/1975,12/31/1974,07/22/1974,45655.45493,0,,W8049,1789,0.022,,,,,,https://dwr.state.co.us/Tools/WaterRights/Transactions/105447,"(39.188921, -106.154495)",1062
2300632,MEADOW SPRING,Spring,SOUTH PLATTE RIVER,1,23,PARK,,NE,SE,24,10.0 S,78.0 W,S,,,,,409020.8,4335488.5,Spotted from quarters,O,05/22/1913,,12/31/1880,11323,0,,CA1636,89,1,,,,,332,https://dwr.state.co.us/Tools/WaterRights/Transactions/104117,"(39.163865, -106.0531)",1062
2301120,GROESBECK/NUTT PL DIV. 1,Pipeline,FOURMILE CREEK,1,23,PARK,NE,NE,NE,8,10.0 S,78.0 W,S,,,,,402669,4339574.5,Spotted from quarters,S,12/31/1977,12/31/1976,12/31/1962,46386.41272,0,,W8674,8,0.025,,,,,,https://dwr.state.co.us/Tools/WaterRights/Transactions/105238,"(39.19999, -106.127197)",1062
2305225,HORSESHOE CAMPGND 119921,Well,SOUTH PLATTE RIVER,1,23,PARK,SE,NW,NW,11,10.0 S,78.0 W,S,,,,,406272.5,4339505.4,Spotted from quarters,O,12/31/1984,,05/19/1981,47986,0,,84CW0552,8,0.007,,,,,LTD .7AF PER YR,https://dwr.state.co.us/Tools/WaterRights/Transactions/107033,"(39.199763, -106.085463)",1062
2305618,FOURMILE CAMPGRND 20937,Well,SOUTH PLATTE RIVER,1,23,PARK,NE,NW,SW,3,10.0 S,78.0 W,S,,,,,404680.5,4340339,Spotted from quarters,O,12/31/1985,,07/28/1964,41847,0,,85CW0063,8,0.0067,,,,,DRINKING FOR UP TO 70 PERSONS,https://dwr.state.co.us/Tools/WaterRights/Transactions/107452,"(39.207101, -106.104014)",1062
2305465,WARM SPRINGS W 3-24918-F,Well,UNDEFINED,1,23,PARK,NW,NE,SE,24,10.0 S,78.0 W,S,1000,E,2600,S,408920,4335678,Spotted from section lines,O,12/31/1979,,11/13/1978,47068,0,,79CW0015,12350,0.223,,,,,79CW015/84CW149/81CW146 RATE .022CFS COMBINED AF LTD 240,https://dwr.state.co.us/Tools/WaterRights/Transactions/107289,"(39.165562, -106.054292)",1062
2306996,THOMPSON PARK POND STOCK WATER IMPOUNDMENT,Well,SOUTH PLATTE RIVER,1,23,PARK,SE,SE,SE,1,10.0 S,78.0 W,S,190,E,345,S,409235.3,4339852.6,Spotted from section lines,S,12/31/1984,12/31/1983,09/01/1958,48942.3969,0,,W8977A,9,0.002,,,,,"EXEMPT; EXHIBIT C, 101",https://dwr.state.co.us/Tools/WaterRights/Transactions/109092,"(39.20321, -106.051206)",1062
2305466,WARM SPRINGS W 1-24916-F,Well,UNDEFINED,1,23,PARK,NE,NW,SW,24,10.0 S,78.0 W,S,1150,W,2000,S,408006.7,4335496.9,Spotted from section lines,"O,C",12/31/1979,,11/13/1978,47068,0,,79CW0015,12358Q,0.7799,,,,,79CW015/84CW149/81CW146 FL RATE 0.7799CFS COMB AF 240,https://dwr.state.co.us/Tools/WaterRights/Transactions/107290,"(39.163835, -106.064834)",1062
