DAMID,Dam Name,DIV,WD,County,PM,Township,Range,Section,Q160,Q40,UTM x,UMT y,Location Accuracy,Latdecdeg,Longdecdeg,Primary Name,Primary Contact,Project Type,Received,Rejected,Approved,COMPANY,Status,Days Under SEO Review,More Information,Location
030548,GLADE FOREBAY,1,3,LARIMER,S,8.0 N,70.0 W,11,SE,SW,483302,4502216,GPS,40.670657,-105.197576,,,NEW DAM,,,,B&V,PRELIMINARY REPORT/PLAN SUBMITTED (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/030548,"(40.670657, -105.197576)"
010753,GALETON,1,1,WELD,,,,,,,,,,,,,,NEW DAM,,,,,PRELIMINARY DESIGN REVIEW MEETING (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/010753,
430221,RANGELY POND 6,6,43,RIO BLANCO,S,2.0 N,102.0 W,23,NE,SW,175320.8,4448984.5,GPS,40.128512,-108.810341,R. N. INDUSTRIES,,NEW DAM,,,04/01/2011,MWH,PRECON MEETING / CONSTRUCTION STARTED (CONSTRUCTION PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/430221,"(40.128512, -108.810341)"
050134,HIGHLAND #2 (SOUTH),1,5,BOULDER,S,3.0 N,69.0 W,5,SW,SE,487663.4,4455230,GPS,40.247435,-105.145065,HIGHLAND DITCH COMPANY (WADE GONZALES),WADE GONZALES,MODIFICATION OF AN EXISTING DAM,,,08/08/1927,,PLANS APPROVED (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/050134,"(40.247435, -105.145065)"
020326,STANDLEY LAKE,1,2,JEFFERSON,S,2.0 S,69.0 W,21,NE,SE,490544.3,4412964.9,GPS,39.866677,-105.110574,"FARMERS RESERVOIR AND IRRIGATION COMPANY (EDGAR, SCOTT)",SCOTT EDGAR,ENLARGEMENT OF AN EXISTING DAM,11/17/2020,,,"ERC, INC",RETURNED TO ENGINEER FOR CORRECTIONS (DESIGN PHASE),182,https://dwr.state.co.us/Tools/DamSafety/Dams/020326,"(39.866677, -105.110574)"
100227,PALMER LAKE #2,2,10,EL PASO,S,11.0 S,67.0 W,7,NW,NW,505138.7,4329354.7,GPS,39.113339,-104.940568,TOWN OF PALMER LAKE,STEVE ORCUTT,REPAIR PROJECT FOR AN EXISTING DAM,,,08/25/1958,,PLANS APPROVED (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/100227,"(39.113339, -104.940568)"
170101,ADOBE CREEK,2,17,BENT,S,21.0 S,52.0 W,7,SW,NE,650485,4233286.9,GPS,38.235006,-103.280565,FORT LYON CANAL CO.,CURTIS SNIFF- SUPERINTENDENT,ENLARGEMENT OF AN EXISTING DAM,03/07/2018,,,W.W. WHEELER AND ASSOCIATES,RETURNED TO ENGINEER FOR CORRECTIONS (DESIGN PHASE),157,https://dwr.state.co.us/Tools/DamSafety/Dams/170101,"(38.235006, -103.280565)"
540110,MCCARGAR,6,54,ROUTT,S,11.0 N,85.0 W,19,NW,NW,333986.8,4530204.7,GPS,40.906118,-106.971119,STEVE COOLIDGE,,REPAIR PROJECT FOR AN EXISTING DAM,06/22/2021,,09/07/2021,WENK,CONSTRUCTION OBSERVATION PLAN APPROVAL (CONSTRUCTION PHASE),21,https://dwr.state.co.us/Tools/DamSafety/Dams/540110,"(40.906118, -106.971119)"
060209,PRINCE NO. 1,1,6,BOULDER,S,1.0 N,69.0 W,26,NW,SW,492130.6,4430351,Digitized,40.023339,-105.092228,"BOULDER COUNTY PARKS AND OPEN SPACE (ALEXANDER, ROB)",ROB ALEXANDER,REPAIR PROJECT FOR AN EXISTING DAM,,,,"APPLEGATE GROUP, INC.",PRELIMINARY DESIGN REVIEW MEETING (DESIGN PHASE),0,https://dwr.state.co.us/Tools/DamSafety/Dams/060209,"(40.023339, -105.092228)"
020101,BARR LAKE,1,2,ADAMS,S,1.0 S,66.0 W,23,NW,NE,521677.5,4422695,GPS,39.954119,-104.746219,"FARMERS RESERVOIR AND IRRIGATION COMPANY (EDGAR, SCOTT)",SCOTT EDGAR,ENLARGEMENT OF AN EXISTING DAM,10/05/2021,,04/15/2022,ECOLOGICAL RESOURCE CONSULTANTS,PLANS APPROVED (DESIGN PHASE),112,https://dwr.state.co.us/Tools/DamSafety/Dams/020101,"(39.954119, -104.746219)"
