DIV,WD,County,Station Name,Data Source,DWR Abbrev,USGS Station ID,Station Status,Station Type,Date Time,Variable,Stage,Amount,Units,Flag,More Information,Location,UTM x,UTM y,Location Accuracy,Counties
4,59,GUNNISON,"SLATE R AB BAXTER GL @HWY 135 NR CRESTED BUTTE, CO",U.S. Geological Survey,SLABAXCO,385106106571000,Active,Stream,08/29/2022 04:00:00 PM,DISCHRG,,27.7,CFS,,https://dwr.state.co.us/Tools/Stations/SLABAXCO,"(38.851663, -106.953387)",330493.9,4302128.2,User supplied,1005
4,41,MONTROSE,SELIG CANAL,Co. Division of Water Resources,SELGCNCO,,Active,Diversion,08/29/2022 04:30:00 PM,DISCHRG,4.09,196,CFS,,https://dwr.state.co.us/Tools/Stations/SELGCNCO,"(38.504053, -107.911359)",246126,4265760,User supplied,32
4,59,GUNNISON,BLUE MESA RESERVOIR,National Weather Service (Station cooperator),BLMRESCO,,Active,Reservoir,08/29/2022 04:00:00 PM,STORAGE,7456.14,347532,AF,,https://dwr.state.co.us/Tools/Stations/BLMRESCO,"(38.454669, -107.333893)",296350,4258843,User supplied,1005
4,60,SAN MIGUEL,LAKE FORK SAN MIGUEL RV ABV TROUT LAKE NR OPHIR CO,U.S. Geological Survey,LFSANOCO,09171240,Active,Stream,08/29/2022 04:15:00 PM,DISCHRG,,11.9,CFS,,https://dwr.state.co.us/Tools/Stations/LFSANOCO,"(37.817843, -107.879122)",246571,4189509.5,User supplied,1069
4,62,HINSDALE,"HENSON CREEK AT LAKE CITY, CO",U.S. Geological Survey,HENSLCCO,09124010,Active,Stream,08/29/2022 04:30:00 PM,DISCHRG,,74.7,CFS,,https://dwr.state.co.us/Tools/Stations/HENSLCCO,"(38.025708, -107.316305)",296692.6,4211198.8,Digitized,28
4,41,DELTA,"FL LATERAL TAIL NEAR DELTA, CO",Co. Division of Water Resources,UVTFLLCO,,Active,Diversion,08/29/2022 04:45:00 PM,DISCHRG,0.77,8.41,CFS,,https://dwr.state.co.us/Tools/Stations/UVTFLLCO,"(38.72582, -108.083333)",231954,4290865,GPS,1443
4,61,MONTROSE,BUCKEYE RESERVOIR (OUTFLOW),Co. Division of Water Resources,BKIOUTCO,,Active,Stream,08/29/2022 04:30:00 PM,DISCHRG,0.47,5.03,CFS,,https://dwr.state.co.us/Tools/Stations/BKIOUTCO,"(38.435951, -109.044957)",146910,4261941,User supplied,32
4,40,DELTA,"NORTH FORK GUNNISON RIVER BELOW PAONIA, CO",U.S. Geological Survey,NFGPANCO,09134100,Active,Stream,08/29/2022 04:30:00 PM,DISCHRG,,18.8,CFS,,https://dwr.state.co.us/Tools/Stations/NFGPANCO,"(38.857501, -107.621949)",272489.5,4304230.5,User supplied,1443
4,41,MONTROSE,WEST CANAL TUNNEL,Co. Division of Water Resources,WSTTUNCO,,Active,Diversion,08/29/2022 04:30:00 PM,DISCHRG,5.86,113,CFS,,https://dwr.state.co.us/Tools/Stations/WSTTUNCO,"(38.3921, -107.842433)",251754,4253146,User supplied,32
4,40,DELTA,"IRONSTONE CANAL TAIL NEAR PEA GREEN, CO",Co. Division of Water Resources,UVTFVLCO,,Active,Diversion,08/29/2022 04:45:00 PM,DISCHRG,0.93,11.3,CFS,,https://dwr.state.co.us/Tools/Stations/UVTFVLCO,"(38.671162, -108.137845)",227006,4284959,GPS,1443
