"lawid","title","text","enacteddate","amendeddate","isrecent","sequencenumber","type","agency","significantupdatedate","expireddate","archiveddate","repealeddate","topic","technologycategories","incentivecategories","regulationcategories","usercategories","references"
"6290","Biofuels Research Grants","The Colorado Office of Economic Development administers the
Bioscience Discovery Evaluation Grant Program (Program), which
provides grants to research institutions for biofuels research
projects. Biofuels research is defined as the use of
microorganisms, specialized proteins, or thermal processes to
develop biofuels and the related processes that make traditional
manufacturing of energy cleaner and more efficient. Biofuel is
defined as a biologically based fuel product developed from plant
matter or other biological material, including renewable
agricultural sources. Grant limits, matching funds, and other
eligibility requirements apply. Any unexpended money in the fund
as of January 1, 2015, will be transferred to the Advanced
Industries Acceleration Cash Fund. For more information, please
see the Program ( http://www.advancecolorado.com/ ) website.
(Reference House Bill ( http://www.leg.state.co.us/clics/clics2013A/cslFrontPages.nsf/HomeSplash?OpenForm ) 13-001, 2013 and Colorado Revised Statutes ( http://www.lexisnexis.com/hottopics/michie/ ) 24-48.5-108)","2007-05-03 00:00:00 UTC","2013-05-15 00:00:00 UTC","FALSE","20","State Incentives",,,,,,,"ETH|BIOD","GNT",,"OTHER","http://www.lexisnexis.com/hottopics/michie/"
"11489","Biogas Production Sales Tax Exemption",,"2014-05-17 00:00:00 UTC",,"FALSE","41","State Incentives",,"2014-07-15 19:05:20 UTC",,,,,"OTHER|BIOD|NG","EXEM",,"PURCH|AFS|AFP",
"11490","Vehicle Fleet Maintenance and Fuel Cost-Savings Contracts",,"2013-06-05 00:00:00 UTC",,"FALSE","59","Laws and Regulations",,,,,,,"ETH|BIOD|ELEC|NG|HEV|LPG",,"OTHER|REQ","FLEET","http://www.lexisnexis.com/hottopics/Colorado/"
"10014","Alternative Fuel Resale and Generation Regulations","A corporation or individual that resells alternative fuel
supplied by a public utility for use in an alternative fuel
vehicle (AFV) is not subject to regulation as a public utility.
Additionally, a corporation or individual that owns, controls,
operates, or manages a facility that generates electricity
exclusively for use in AFV charging or fueling facilities is not
subject to regulation as a public utility provided that the
electricity is generated on the property where the charging or
fueling facilities are located and the electricity is generated
from a renewable resource. For the purposes of this definition,
alternative fuel is defined as propane, liquefied natural gas,
compressed natural gas, or electricity. (Reference Colorado
Revised Statutes ( http://www.lexisnexis.com/hottopics/colorado/ ) 40-1-101-104)","2012-05-03 00:00:00 UTC",,"FALSE","58","Laws and Regulations",,,,,,,"ELEC|NG|HEV|LPG",,"OTHER|STD","STATION|AFP|AFS|IND|FLEET|PURCH","http://www.lexisnexis.com/hottopics/Colorado/"
"6578","Plug-In Electric Vehicle (PEV) and Electric Vehicle Supply Equipment (EVSE) Grants","The Colorado Energy Office (CEO) and Regional Air Quality Council
(RAQC) provide grants to support PEV adoption in fleets. RAQC
grants will cover 80% of the incremental cost of a qualified PEV,
up to $8,260. Both CEO and RAQC grants will fund 80% of the cost
of EVSE, up to $6,260. Eligible applicants are local governments,
school districts, state/federal agencies, non-profit educational
institutions, and other non-profit agencies. Landlords of
multi-family apartment or condominium complexes, owners
associations of common interest communities, and businesses that
own multi-vehicle parking facilities for fleet, public, employee,
or guest use are also eligible for EVSE funding. Funding priority
will be given to organizations that are excluded from the
Colorado state credit. Criteria and eligibility differ depending
on which agency provides funding. For more information, see the
RAQC Clean Air Fleets Electric Vehicle and Charging Station Grant
Application ( http://cleanairfleets.org/documents/detail/electric_vehicle_and_charging_station_grant_application/ ) website. (Reference Senate Bill ( http://www.leg.state.co.us/clics/clics2012B/cslFrontPages.nsf/HomeSplash?OpenForm ) 13-126, 2013 and Colorado Revised Statutes ( http://www.lexisnexis.com/hottopics/michie/ ) 24-38.5-103)","2009-06-04 00:00:00 UTC","2014-04-11 00:00:00 UTC","FALSE","15","State Incentives",,"2014-07-15 16:11:19 UTC",,,,,"ELEC","GNT",,"STATION|IND|FLEET","http://www.leg.state.co.us/clics/clics2012B/cslFrontPages.nsf/HomeSplash?OpenForm|http://www.lexisnexis.com/hottopics/michie/"
"11488","Alternative Fuel Vehicles and Infrastructure Grant Program","The Colorado Energy Office (CEO), the Regional Air Quality Council (RAQC), and the Colorado Department of Transportation provide grants through the ALT Fuels Colorado program for new, publicly accessible compressed natural gas (CNG) fueling equipment; co-located electric vehicle charging and propane station equipment at funded CNG stations; and CNG, propane, and electric vehicles. CEO will administer the station grants to advance infrastructure development along major state-wide transportation corridors. RAQC will administer the vehicle grants for fleets operating within counties with air quality nonattainment and maintenance areas. For more information, including application deadlines and annual award amounts, see the Refuel Colorado ( http://refuelcolorado.com/content/faq-alternative-fuels ) website. ",,,"FALSE","12","State Incentives",,"2014-07-16 13:52:14 UTC",,,,,"HEV|ELEC|NG|LPG","GNT",,"STATION|FLEET",
"4274","Gasoline and Diesel Gallon Equivalent Definition","The term GGE is defined to equate the energy content of any motor
fuel, including alternative fuels, to that of a gallon of
gasoline. Any dispenser used for the sale of motor fuel in GGEs
must display GGEs as the primary display information provided.
(Reference Colorado Revised Statutes ( http://www.lexisnexis.com/hottopics/michie/ ) 8-20-232.5)",,,"FALSE","95","Laws and Regulations",,,,,,,"LPG|NG|BIOD|ETH|HY",,"STD","AFP|PURCH|AFS","http://www.lexisnexis.com/hottopics/Colorado/"
"5887","Alternative Fuel Vehicle (AFV) Registration","Upon registering a motor vehicle with the Colorado Department of
Revenue Division of Motor Vehicles, the vehicle owner must report
the type of alternative fuel used to operate the vehicle and
whether the vehicle is dedicated to one alternative fuel or uses
more than one fuel. The Department of Revenue provides forms for
the purpose of registering motor vehicles and must include space
for the following fuel types: gasoline, diesel, propane,
electricity, natural gas, methanol/M85, ethanol/E85, biodiesel,
and other. For more information, please see the Colorado
Department of Revenue Division of Motor Vehicles ( http://www.colorado.gov/revenue/dmv ) page. (Reference Colorado
Revised Statutes ( http://www.lexisnexis.com/hottopics/michie/ )
42-3-113)",,,"FALSE","60","Laws and Regulations",,,,,,,"ELEC|NG|ETH|LPG|BIOD|HY",,"REGIS","IND|FLEET","http://www.lexisnexis.com/hottopics/Colorado/"
"11491","Natural Gas Fueling Station Regulations",,,,"FALSE","70","Laws and Regulations",,,,,,,"NG",,"REGIS|OTHER","STATION","http://www.sos.state.co.us/CCR/Welcome.do|http://www.lexisnexis.com/hottopics/Colorado/"
"11182","Electric Vehicle Charging Incentive - Xcel Energy","Qualified Xcel Energy customers can participate in a pilot
program and earn a $100 credit for allowing Xcel Energy to
interrupt their vehicle charging for a limited number of hours
throughout the year. Xcel Energy will communicate wirelessly
through a control module that interrupts power to the customer's
Level 2 electric vehicle supply equipment. The pilot will run
through September 2014. For more information, including the pilot
program application, see Xcel Energy's Electric Vehicle Charging
Station Pilot Program ( http://www.xcelenergy.com/Save_Money_&_Energy/Rebates/Electric_Vehicle_Charging_Station_Pilot_Program_-_CO ) website",,,"FALSE","45","Utility/Private Incentives",,,,,,,"ELEC|HEV","OTHER",,"IND",
