Licensee Name,Doing Business As,License Type,Expiration,Street Address,City,State,Zip,Location,Counties
ENJ LLC,M & M LIQUORS,Tob Retailer Off-Premises,12/29/2022,18881 EAST COLFAX,Aurora,CO,80010,"18881 EAST COLFAX
Aurora, CO 80010",
LILLY'S KITCHEN CORPORATION,LILLY'S KITCHEN,Hotel & Restaurant (city),10/15/2022,232 WEST 3RD STREET,Rifle,CO,81650,"232 WEST 3RD STREET
Rifle, CO 81650
(39.531547, -107.785349)",1449
NORTHSIDE PIZZA LLC,NORTHSIDE,Tavern (city),10/20/2022,315 N MAIN ST,Breckenridge,CO,80424,"315 N MAIN ST
Breckenridge, CO 80424
(39.485812, -106.046196)",1070
COLORADO + 49 INC,COLORADO PLUS CIDERY & PUB,Vintner's Restaurant (city),05/23/2023,1100 ARAPAHOE STREET,Golden,CO,80401,"1100 ARAPAHOE STREET
Golden, CO 80401
(39.755356, -105.222941)",1008
THE WOODMAR GROUP LLC,GRAYSON CELLARS,Importer (vinous & spirituous),02/11/2023,105 ZINFANDEL LANE,Saint Helena,CA,94574,"105 ZINFANDEL LANE
Saint Helena, CA 94574
(38.491656, -122.430318)",1172
RODGERS INC,SHILOH STEAKHOUSE,Hotel & Restaurant (city),02/21/2023,5 VEACH STREET,Cortez,CO,81321,"5 VEACH STREET
Cortez, CO 81321
(37.348587, -108.563016)",1058
APPELLATIONS LP,ITALICS WINEGROWERS,Winery Direct Shipper's Permit,05/03/2023,40 RAPP LANE,Napa,CA,94558,"40 RAPP LANE
Napa, CA 94558
(38.310417, -122.248195)",1172
LOUNGIN' LIZARD INC,LOUNGIN' LIZARD,Hotel & Restaurant (city),10/28/2022,2 - 4 WEST MAIN STREET,Cortez,CO,81321,"2 - 4 WEST MAIN STREET
Cortez, CO 81321
(37.348629, -108.585534)",1058
RAMPART CORP THE,SPRUCEWOOD INN,Tavern (county),05/31/2023,SW1/4 SCTN16 TWN8SO,Sedalia,CO,801350000,"SW1/4 SCTN16 TWN8SO
Sedalia, CO 801350000",
PAPA MAZZOTTIS LLC,PAPA MAZZOTTIS,Hotel & Restaurant (city),10/02/2022,2252 LAKE AVENUE,Thornton,CO,80241,"2252 LAKE AVENUE
Thornton, CO 80241",
REN WOOD INC,MOOSE JAW REST & LOUNGE,Hotel & Restaurant (city),11/15/2022,208 MAIN,Frisco,CO,804439999,"208 MAIN
Frisco, CO 804439999
(39.575595, -106.099817)",1070
TUMBLE HAUS LLC,TUMBLE HAUS,Beer & Wine (city),02/22/2023,1330 WEST 38TH AVENUE,Denver,CO,80211,"1330 WEST 38TH AVENUE
Denver, CO 80211
(39.769281, -105.00261)",1444
BRADLEY CO LLC,WARRIOR LIQUOR,Liquor Store (city),12/07/2022,6318 WARD ROAD  UNIT 14,Arvada,CO,80004,"6318 WARD ROAD UNIT 14
Arvada, CO 80004
(39.811743, -105.137886)",1008
HUSPEK LLC,THE BOILER ROOM,Tavern (city),03/08/2023,233 EAST EATON AVENUE,Cripple Creek,CO,80813,"233 EAST EATON AVENUE
Cripple Creek, CO 80813",
,CHILI'S GRILL & BAR,Takeout & Delivery Permit,07/05/2023,579 HWY 287 NORTH,Lafayette,CO,80026,"579 HWY 287 NORTH
Lafayette, CO 80026",
"JUST 1 MORE, LLC",JUST 1 MORE,Tavern (city),06/26/2023,217 MAIN STREET,Wiggins,CO,80654,"217 MAIN STREET
Wiggins, CO 80654
(40.230444, -104.074552)",1059
CO MGMT LLC,RHINO LIQUORS,Tob Retailer Off-Premises,08/05/2022,6820 CO 82,Glenwood Springs,CO,81601,"6820 CO 82
Glenwood Springs, CO 81601",
MOUSA LIQUOR,MOUSA LIQUOR,Tob Retailer Off-Premises,02/06/2023,6350 IVY STREET,Commerce City,CO,80022,"6350 IVY STREET
Commerce City, CO 80022
(39.811722, -104.919917)",82
THE ORDINARY FELLOW LLC,THE ORDINARY FELLOW,Limited Winery,06/27/2023,202 PEACH AVENUE,Palisade,CO,81526,"202 PEACH AVENUE
Palisade, CO 81526
(39.111379, -108.353223)",1015
