"permittype","permitnum","description","statuscurrent","applieddate","completeddate","applicant","fromlud","proposedlud","address","locationaddresses","locationcount","latitude","longitude","multipoint"
"LU / OP / Closure (LOC)","LOC2022-0162","Land Use Amendment to accommodate R-C2","Submitted","2022-08-24T00:00:00.000",,,"R-C1","R-C2","2039 55 AV SW","2039 55 AV SW","1","51.003990161754864","-114.10866427795145","MULTIPOINT ((-114.108664277951 51.003990161755))"
"LU / OP / Closure (LOC)","LOC2022-0161","Land Use Amendment to accommodate R-C2","Submitted","2022-08-24T00:00:00.000",,,"R-C1","R-C2","5604 20 ST SW","5604 20 ST SW","1","51.003744865788484","-114.10896384034486","MULTIPOINT ((-114.108963840345 51.003744865788))"
"LU / OP / Closure (LOC)","LOC2022-0160","Land Use Amendment to accommodate M-H1","Submitted","2022-08-24T00:00:00.000",,"KEYSTONE ARCHITECTURE","R-C2","M-H1","956 RADNOR AV NE","956 RADNOR AV NE","1","51.063856415912184","-114.03941570592848","MULTIPOINT ((-114.039415705928 51.063856415912))"
"LU / OP / Closure (LOC)","LOC2022-0159","Land Use Amendment","Under Review","2022-08-22T00:00:00.000",,"URBAN SYSTEMS","DC;DC;DC;DC;DC","R-G;R-Gm;M-2;S-SPR;S-CRI","2313 84 ST SE","2313 84 ST SE","1","51.03437078575148","-113.91222652276372","MULTIPOINT ((-113.912226522764 51.034370785751))"
"LU / OP / Closure (LOC)","LOC2022-0158","Land Use Amendment to accommodate R-C1s","Submitted","2022-08-19T00:00:00.000",,"HORIZON LAND SURVEYS","DC","R-C1s","79 CORTINA WY SW","79 CORTINA WY SW","1","51.033575118516076","-114.22121827365231","MULTIPOINT ((-114.221218273652 51.033575118516))"
"LU / OP / Closure (LOC)","LOC2022-0157","Land Use Amendment to accommodate R-CG","Submitted","2022-08-18T00:00:00.000",,"GROUND CUBED","R-C2","R-CG","637 51 AV SW","637 51 AV SW","1","51.00771329675051","-114.07858200924365","MULTIPOINT ((-114.078582009244 51.007713296751))"
"LU / OP / Closure (LOC)","LOC2022-0156","Land Use Amendment to accommodate R-CG","Submitted","2022-08-15T00:00:00.000",,,"R-C2","R-CG","2131 50 AV SW","2131 50 AV SW","1","51.00859407628548","-114.11100070354229","MULTIPOINT ((-114.111000703542 51.008594076285))"
"LU / OP / Closure (LOC)","LOC2022-0155","Land Use Amendment to accommodate MU-1","Under Review","2022-08-11T00:00:00.000",,"CIVICWORKS","M-C2","MU-1","527 17 AV NW","531 17 AV NW;527 17 AV NW","2","51.06774831329079","-114.07330535457474","MULTIPOINT ((-114.073305354575 51.067748313291), (-114.07308800068 51.067748476356))"
"LU / OP / Closure (LOC)","LOC2022-0154","Land Use Amendment to accommodate M-CG","Under Review","2022-08-11T00:00:00.000",,"HORIZON LAND SURVEYS","C-N1","M-CG","516 40 AV NW","516 40 AV NW","1","51.08775818187224","-114.07314468241236","MULTIPOINT ((-114.073144682412 51.087758181872))"
"LU / OP / Closure (LOC)","LOC2022-0153","1901 College","Under Review","2022-08-11T00:00:00.000",,"CIVICWORKS","M-CG d72","M-H1","1901 5 ST SW","1901 5 ST SW;1915 5 ST SW;1913 5 ST SW;1905 5 ST SW","4","51.03611824954145","-114.07437332090142","MULTIPOINT ((-114.074373320901 51.036118249541), (-114.074365719505 51.035707306016), (-114.07436380008 51.035844293025), (-114.074366001171 51.035981268418))"
