"point","permitnum","address","applicant","category","description","proposedusecode","proposedusedescription","permitteddiscretionary","landusedistrict","landusedistrictdescription","concurrent_loc","statuscurrent","applieddate","decisiondate","releasedate","mustcommencedate","canceledrefuseddate","decision","decisionby","sdabnumber","sdabhearingdate","sdabdecision","sdabdecisiondate","communitycode","communityname","ward","quadrant","latitude","longitude","locationcount","locationtypes","locationaddresses","locationsgeojson","locationswkt"
"POINT (-113.93637892466887 51.16090230220976)","DP2022-06462","447 CORNERSTONE AV NE",,"Relaxation - New - Accessory Building","NEW: ACCESSORY RESIDENTIAL BUILDING (DETACHED GARAGE)","C1020","ACCESSORY RESIDENTIAL BUILDING","Permitted with a Relaxation","R-G","Residential - Low Density Mixed Housing",,"New","2022-09-12T00:00:00.000",,,,,,,,,,,"CNS","CORNERSTONE","5","NE","51.161","-113.936","2","Titled Parcel;Building","447 CORNERSTONE AV NE;447 CORNERSTONE AV NE","{""type"":""MultiPoint"",""coordinates"":[[-113.9363789,51.1609023],[-113.9363689,51.1608209]]}","MULTIPOINT ((-113.93637892466887 51.16090230220976),(-113.93636892911739 51.16082087837669))"
"POINT (-113.93341761348162 51.15604179787436)","DP2022-06461","108 CORNERBROOK GA NE",,"Relaxation - New - Accessory Building","NEW: ACCESSORY RESIDENTIAL BUILDING (DETACHED GARAGE)","C1020","ACCESSORY RESIDENTIAL BUILDING","Permitted with a Relaxation","R-G","Residential - Low Density Mixed Housing",,"New","2022-09-12T00:00:00.000",,,,,,,,,,,"CNS","CORNERSTONE","5","NE","51.156","-113.933","2","Titled Parcel;Building","108 CORNERBROOK GA NE;108 CORNERBROOK GA NE","{""type"":""MultiPoint"",""coordinates"":[[-113.9334176,51.1560418],[-113.9332771,51.1560477]]}","MULTIPOINT ((-113.93341761348162 51.15604179787436),(-113.93327707171457 51.156047668886195))"
"POINT (-114.14598946384329 51.064243112888335)","DP2022-06460","#450 1000 VETERAN'S PL NW",,"Change of Use - Discretionary Use or Relaxations Required","CHANGE OF USE: HOSPITAL","C1740","HOSPITAL","Discretionary","DC","Direct Control (1P2007)",,"New","2022-09-12T00:00:00.000",,,,,,,,,,,"PKD","PARKDALE","7","NW","51.064","-114.146","3","Titled Parcel;Building;Building Suite","4040 BOWNESS RD NW;1000 VETERAN'S PL NW;#450 1000 VETERAN'S PL NW","{""type"":""MultiPoint"",""coordinates"":[[-114.1459895,51.0642431],[-114.1448343,51.065216],[-114.1447735,51.0653899]]}","MULTIPOINT ((-114.14598946384329 51.064243112888335),(-114.14483426337577 51.06521600471456),(-114.1447735007693 51.0653898869824))"
"POINT (-114.03758226317039 50.89888855971818)","DP2022-06459","126 SUNSET WY SE","EUPHORIC HAIR BOUTIQUE","Home Occupation Class 2","TEMPORARY USE: HOME OCCUPATION - CLASS 2 (HAIR SALON)","C1730","HOME OCCUPATION - CLASS 2","Discretionary","R-C1","Residential - Contextual One Dwelling",,"Hold","2022-09-12T00:00:00.000",,,,,,,,,,,"SDC","SUNDANCE","14","SE","50.899","-114.038","2","Titled Parcel;Building","126 SUNSET WY SE;126 SUNSET WY SE","{""type"":""MultiPoint"",""coordinates"":[[-114.0375823,50.8988886],[-114.0377371,50.898842]]}","MULTIPOINT ((-114.03758226317039 50.89888855971818),(-114.03773708080705 50.898841995730926))"
"POINT (-114.093388047762 51.05619972185428)","DP2022-06458","427 13 ST NW","NOWLAN + ASSOCIATES DESIGN STUDIO","Residential - New Single / Semi / Duplex","NEW: SINGLE DETACHED DWELLING, SECONDARY SUITE (BASEMENT)","C2626; C2730","SECONDARY SUITE; SINGLE DETACHED DWELLING","Discretionary","M-CG d72","Multi-Residential - Contextual Grade-Oriented  ",,"New","2022-09-12T00:00:00.000",,,,,,,,,,,"HIL","HILLHURST","7","NW","51.056","-114.093","1","Titled Parcel","427 13 ST NW","{""type"":""Point"",""coordinates"":[-114.093388,51.0561997]}","POINT (-114.093388047762 51.05619972185428)"
"POINT (-114.1267405203898 51.01082935048638)","DP2022-06457","#300 4838 RICHARD RD SW","HI MASSAGE","Change of Use - Permitted Use","CHANGE OF USE: RETAIL AND CONSUMER SERVICE","C2515","RETAIL AND CONSUMER SERVICE","Permitted","DC","Direct Control (1P2007)",,"Hold","2022-09-12T00:00:00.000",,,,,,,,,,,"LPK","LINCOLN PARK","8","SW","51.011","-114.127","3","Titled Parcel;Building;Building Suite","4838 RICHARD RD SW;4838 RICHARD RD SW;#300 4838 RICHARD RD SW","{""type"":""MultiPoint"",""coordinates"":[[-114.1267405,51.0108294],[-114.1260794,51.0104959],[-114.1260794,51.0104959]]}","MULTIPOINT ((-114.1267405203898 51.01082935048638),(-114.12607938879489 51.01049593318891),(-114.12607938879489 51.01049593318891))"
"POINT (-114.13280950720149 51.15702308385437)","DP2022-06455","245 KINCORA HT NW","TRONNES GEOMATICS","Relaxation - Existing - Compliance Follow-Up",": ACCESSORY RESIDENTIAL BUILDING","C1020","ACCESSORY RESIDENTIAL BUILDING","Permitted with a Relaxation","R-1N","Residential - Narrow Parcel One Dwelling",,"Application Received","2022-09-12T00:00:00.000",,,,,,,,,,,"KCA","KINCORA","2","NW","51.157","-114.133","1","Titled Parcel","245 KINCORA HT NW","{""type"":""Point"",""coordinates"":[-114.1328095,51.1570231]}","POINT (-114.13280950720149 51.15702308385437)"
"POINT (-114.0714953351247 51.18132648248698)","DP2022-06453","14121 CENTRE ST NW","TRUMAN HOMES 1995","Mixed Use - Other Areas","REVISION: MULTI-RESIDENTIAL DEVELOPMENT (PHASING CHANGES RELATED TO DP2021-4848)","C2050","MULTI-RESIDENTIAL DEVELOPMENT","Discretionary","C-C2 f2.0h24","Commercial - Community 2",,"Application Received","2022-09-12T00:00:00.000",,,,,,,,,,,"CAR","CARRINGTON","3","NW","51.181","-114.071","1","Titled Parcel","14121 CENTRE ST NW","{""type"":""Point"",""coordinates"":[-114.0714953,51.1813265]}","POINT (-114.0714953351247 51.18132648248698)"
"POINT (-114.21942080961291 51.118286342355034)","DP2022-06452","24 SCENIC HILL CL NW",,"Relaxation - Existing - Compliance Follow-Up","RELAXATION: SINGLE DETACHED DWELLING (EXISTING) - BUILDING SETBACK FROM SIDE PROPERTY LINE","C2730","SINGLE DETACHED DWELLING","Permitted with a Relaxation","R-C1","Residential - Contextual One Dwelling",,"Application Received","2022-09-12T00:00:00.000",,,,,,,,,,,"SCE","SCENIC ACRES","1","NW","51.118","-114.219","1","Titled Parcel","24 SCENIC HILL CL NW","{""type"":""Point"",""coordinates"":[-114.2194208,51.1182863]}","POINT (-114.21942080961291 51.118286342355034)"
"POINT (-114.10649064280548 51.023306813579595)","DP2022-06451","#205 1934 34 AV SW","ROZANNA WYATT THERAPY & COACHING","Change of Use - Permitted Use","CHANGE OF USE: HEALTH CARE SERVICE (SECOND FLOOR)","C1695","HEALTH CARE SERVICE","Permitted","MU-1 f3.0h16","Mixed Use - General",,"Application Received","2022-09-12T00:00:00.000",,,,,,,,,,,"SOC","SOUTH CALGARY","8","SW","51.023","-114.106","3","Titled Parcel;Building;Building Suite","1934 34 AV SW;1934 34 AV SW;#205 1934 34 AV SW","{""type"":""MultiPoint"",""coordinates"":[[-114.1064906,51.0233068],[-114.106502,51.0233797],[-114.106439,51.0233572]]}","MULTIPOINT ((-114.10649064280548 51.023306813579595),(-114.1065019992855 51.02337971924952),(-114.10643898747541 51.023357212338134))"
