"tradename","address","licencetypes","comdistnm","jobstatusdesc","jobcreated","longitude","latitude"
"CAREWELL PHARMACY","#104 580 ACADIA DR SE","RETAIL DEALER - PREMISES","ACADIA","Renewal Licensed","2017-06-06T00:00:00.000","-114.04793605088301","50.964538384801145"
"AMATO GELATO CAFE","602 17 AV SW","OUTDOOR PATIO","BELTLINE","Licensed","2021-10-04T00:00:00.000","-114.07466905817277","51.037988989033636"
"DUCKTOES COMPUTER SERVICES","902 CENTRE ST NE","MANUFACTURER","CRESCENT HEIGHTS","Renewal Licensed","2011-01-04T00:00:00.000","-114.06219133887411","51.05993998616232"
"CDN CONTROLS","#1610 311 6 AV SW","CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED)","DOWNTOWN COMMERCIAL CORE","Renewal Licensed","2018-06-04T00:00:00.000","-114.06844337880806","51.047322952717444"
"INS MARKET","#1121 3800 MEMORIAL DR NE","FOOD SERVICE - PREMISES","MARLBOROUGH","Renewal Licensed","2018-05-24T00:00:00.000","-113.97913796427554","51.054273591844314"
"CONCURE RESTORATION","1325 HASTINGS CR SE","CONTRACTOR","HIGHFIELD","Renewal Licensed","2016-09-07T00:00:00.000","-114.03394134021872","51.01306194995057"
"Q BODY SPA","#102 9705B HORTON RD SW","PERSONAL SERVICE","HAYSBORO","Renewal Licensed","2018-04-02T00:00:00.000","-114.07538169680258","50.96767698149373"
"CLINIC OF DISTINCTIVE THERAPIES","#306 638 11 AV SW","FOOD SERVICE - PREMISES","BELTLINE","Renewal Licensed","2003-03-13T00:00:00.000","-114.07605449144067","51.04301458363954"
"TELEBYTE COMMUNICATIONS","#90 999 57 AV NE","CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED)","DEERFOOT BUSINESS CENTRE","Renewal Licensed","2018-05-18T00:00:00.000","-114.04156993123156","51.104334214920925"
"BOSTON PIZZA","#100 5255 RICHMOND RD SW","TOBACCO RETAILER","GLAMORGAN","Renewal Licensed","2008-07-28T00:00:00.000","-114.16244605895314","51.01727092162761"
"MEDIMAX PHARMACY","#240 520 3 AV SW","FOOD SERVICE - PREMISES","EAU CLAIRE","Renewal Licensed","2019-09-23T00:00:00.000","-114.07211311580654","51.05085990312888"
"RADIOWORLD CENTRAL","#8 711 48 AV SE","RETAIL DEALER - PREMISES","HIGHFIELD","Renewal Licensed","2014-03-07T00:00:00.000","-114.04709605319037","51.010059771657374"
"MCKENZIE TOWNE ANIMAL CLINIC","40 HIGH ST SE","RETAIL DEALER - PREMISES","MCKENZIE TOWNE","Renewal Licensed","2008-04-25T00:00:00.000","-113.96023264792719","50.91539244257684"
"LIQUOR BOSS","#1 5555 STRATHCONA HL SW","LIQUOR STORE","STRATHCONA PARK","Licensed","2022-06-26T00:00:00.000","-114.1684466496561","51.05158651394172"
"LEVILLA RESTAURANT","#404 1851 SIROCCO DR SW","FOOD SERVICE - PREMISES (SEATING)","SIGNAL HILL","Pending Renewal","2005-10-26T00:00:00.000","-114.16738707077927","51.03716316869655"
"INS MARKET","#1121 3800 MEMORIAL DR NE","TOBACCO RETAILER","MARLBOROUGH","Renewal Licensed","2018-05-24T00:00:00.000","-113.97913796427554","51.054273591844314"
"MOC DISTRIBUTORS OF CANADA","4544 14 ST NE","WHOLESALER","MCCALL","Licensed","2022-05-11T00:00:00.000","-114.02804622860491","51.09319398762824"
