"street_name","cross_street_name1","cross_street_name2","direction","material","pm_stencil_unitid","pm_zone","stencil_num","stencil_type","line"
"METIS TR","128 AV NE",,"SB","PAINT","1109997681","NE","6","LT","LINESTRING (-113.969987529662 51.165971089514, -113.970012958763 51.165543100145)"
"AUBURN MEADOWS AVE","52 ST SE",,"WB","PAINT","1110271881","SE","2","OPTLT","LINESTRING (-113.943852303611 50.89647820936, -113.943632618123 50.896507122204)"
"10 ST NW","5 AVE NW","3 AVE NW","SB","PAINT","1109944333","NW","4","BIKE","LINESTRING (-114.085996239632 51.056971256517, -114.085969069669 51.055342456561)"
"104 AV","36 ST",,,"PAINT","1109998339","NE","2","LT","LINESTRING (-113.981415621359 51.147055181577, -113.980951311715 51.147057668016, -113.98095538249 51.147060230707)"
"CROWCHILD TR NW","KENSINGTON RD NW",,"SB","PAINT","1110001704","NW","3","RT","LINESTRING (-114.118211569174 51.053439174815, -114.118192298907 51.052660090867)"
"90 AVE SE","SERVICE ROAD EAST OF BARLOW",,"EB","PAINT","1109942795","SE","2","LT","LINESTRING (-113.979224537031 50.972281373442, -113.978956307844 50.972281323632)"
"ROSERY DRIVE","ROSEHILL DRIVE","ROSELAWN CRES","EW","PAINT","1110050016","NW","4","SPEED HUMP","LINESTRING (-114.087542747385 51.076938531909, -114.087477939887 51.076979759472)"
"WOODVIEW DRIVE SW","WOODBINE BV SW",,"WB","PAINT","1110120521","SW","3","RT","LINESTRING (-114.125075761469 50.941359318129, -114.124528295438 50.941340142468)"
"76 AVE","68 ST SE",,"EB","PAINT","1110375812","SE","2","LT","LINESTRING (-113.937664855417 50.985090844264, -113.935765868908 50.985046553846)"
"SIGNAL HILL DR SW","26 AVE SW",,"NB","PAINT","1109942646","SW","2","LT","LINESTRING (-114.182259913978 51.030305845136, -114.182330927687 51.030139235827)"
"14 ST","SYMONS VALLE PARKWAY",,"NB","PAINT","1110226265","NW","2","LT","LINESTRING (-114.094601912446 51.181295151493, -114.094551335518 51.180989795747)"
"ANDERSON RD","ELBOW DR",,"EB","PAINT","1110038942","SW","2","LT","LINESTRING (-114.087425989366 50.950265915441, -114.0862747077 50.950276230695)"
