"name","board","email","address","city","province","postal_cod","phone_no","fax_no","grades","postsecond","data_source","elem","junior_h","senior_h","the_geom"
"Palliser Beyond Borders at Calgary","The Palliser School Division",,"2635 37 AV NE","Calgary","AB","T1Y5Z6","(403) 291-0584",,"Senior High","N","N","N","N","N","POINT (-113.9990423 51.0861144)"
"Westmount Mid/High School","Westmount Charter School Society","admin@westmountcharter.com","2215 UXBRIDGE DR NW","Calgary","AB","T2N4Y3",,,"Elementary/Junior High/Senior High","N","N","Y","Y","Y","POINT (-114.1325128 51.0710476)"
"Olympic Heights School","The Calgary School Division","olympicheights@cbe.ab.ca","875 STRATHCONA DR SW","Calgary","AB","T3H2Z7","(403) 777-8370",,"Elementary","N","N","Y","N","N","POINT (-114.1807765 51.0459676)"
"Sunnyside School","The Calgary School Division","sunnyside@cbe.ab.ca","211 7 ST NW","Calgary","AB","T2N1S2","(403) 777-6390",,"Elementary","N","N","Y","N","N","POINT (-114.0795441 51.0565624)"
"Kids Developmental Services Ltd.","Kids Developmental Services Ltd.","info@kidsds.org","76 WOODGROVE CR SW","Calgary","AB","T2W3Z1","(403) 452-6745",,"ECS","N","N","N","N","N","POINT (-114.101546 50.9396291)"
"St. William School","The Calgary Roman Catholic Separate School Division","stwilliam@cssd.ab.ca","11020 FAIRMOUNT DR SE","Calgary","AB","T2J0T1","(403) 500-2055",,"Elementary","N","N","Y","N","N","POINT (-114.0592582 50.9536216)"
"Wildwood School","The Calgary School Division","wildwood@cbe.ab.ca","120 45 ST SW","Calgary","AB","T3C2B3","(403) 777-8430",,"Elementary","N","N","Y","N","N","POINT (-114.1521166 51.0515895)"
"Northern Lights School","The Calgary School Division","northernlights@cbe.ab.ca",,"Calgary","AB",,"(403) 817-3444",,"Unknown","N","N","N","N","N","POINT (-114.0469265 51.1576163)"
"Lake Bonavista School","The Calgary School Division","lakebonavista@cbe.ab.ca","1015 120 AV SE","Calgary","AB","T2J2L1","(403) 777-6871",,"Elementary","N","N","Y","N","N","POINT (-114.0409238 50.944541)"
"CLS James Fowler Writing Centre","The Calgary School Division","chinooklearning@cbe.ab.ca","4004 4 ST NW","Calgary","AB","T2K1A1","(403) 230-4743",,"Unknown","N","N","N","N","N","POINT (-114.0705163 51.0865321)"
