"ref_date","geo","dguid","components_of_population","sex","age_group","uom","value"
"2001/2002","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","269327"
"2002/2003","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","271941"
"2003/2004","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","278531"
"2004/2005","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","280156"
"2005/2006","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","285847"
"2006/2007","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","297920"
"2007/2008","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","308370"
"2008/2009","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","313391"
"2009/2010","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","313692"
"2010/2011","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","312242"
"2011/2012","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","314724"
"2012/2013","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","317000"
"2013/2014","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","317462"
"2014/2015","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","318609"
"2015/2016","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","319701"
"2016/2017","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","316091"
"2017/2018","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","313726"
"2018/2019","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","310393"
"2019/2020","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","309170"
"2020/2021","All census metropolitan areas and census agglomerations, Canada",,"Births","Both sexes","All ages","Persons","299668"
"2001/2002","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","173597"
"2002/2003","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","176372"
"2003/2004","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","179974"
"2004/2005","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","180742"
"2005/2006","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","176313"
"2006/2007","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","182854"
"2007/2008","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","184901"
"2008/2009","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","186362"
"2009/2010","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","186456"
"2010/2011","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","193010"
"2011/2012","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","190722"
"2012/2013","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","198125"
"2013/2014","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","199684"
"2014/2015","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","209673"
"2015/2016","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","206944"
"2016/2017","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","217538"
"2017/2018","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","225623"
"2018/2019","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","224931"
"2019/2020","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","237787"
"2020/2021","All census metropolitan areas and census agglomerations, Canada",,"Deaths","Both sexes","All ages","Persons","244856"
"2001/2002","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","250052"
"2002/2003","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","193712"
"2003/2004","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","231910"
"2004/2005","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","237111"
"2005/2006","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","250056"
"2006/2007","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","233314"
"2007/2008","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","243754"
"2008/2009","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","238865"
"2009/2010","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","262890"
"2010/2011","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","252238"
"2011/2012","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","251887"
"2012/2013","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","255074"
"2013/2014","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","257588"
"2014/2015","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","231488"
"2015/2016","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","310249"
"2016/2017","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","261724"
"2017/2018","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","293019"
"2018/2019","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","303223"
"2019/2020","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","273841"
"2020/2021","All census metropolitan areas and census agglomerations, Canada",,"Immigrants","Both sexes","All ages","Persons","219178"
"2001/2002","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","44288"
"2002/2003","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","49415"
"2003/2004","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","53251"
"2004/2005","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","52882"
"2005/2006","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","56571"
"2006/2007","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","61515"
"2007/2008","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","61763"
"2008/2009","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","56979"
"2009/2010","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","53819"
"2010/2011","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","56978"
"2011/2012","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","60251"
"2012/2013","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","57741"
"2013/2014","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","59707"
"2014/2015","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","61384"
"2015/2016","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","63325"
"2016/2017","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","54631"
"2017/2018","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","46914"
"2018/2019","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","44129"
"2019/2020","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","34353"
"2020/2021","All census metropolitan areas and census agglomerations, Canada",,"Emigrants","Both sexes","All ages","Persons","27620"
"2001/2002","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","23162"
"2002/2003","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","26115"
"2003/2004","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","27558"
"2004/2005","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","28746"
"2005/2006","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","31917"
"2006/2007","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","36273"
"2007/2008","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","30645"
"2008/2009","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","29248"
"2009/2010","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","31719"
"2010/2011","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","34211"
"2011/2012","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","34455"
"2012/2013","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","34274"
"2013/2014","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","34251"
"2014/2015","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","35963"
"2015/2016","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","37057"
"2016/2017","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","36804"
"2017/2018","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","36397"
"2018/2019","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","36735"
"2019/2020","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","50968"
"2020/2021","All census metropolitan areas and census agglomerations, Canada",,"Returning emigrants","Both sexes","All ages","Persons","7760"
"2001/2002","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","24275"
"2002/2003","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","25107"
"2003/2004","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","25147"
"2004/2005","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","25209"
"2005/2006","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","25207"
"2006/2007","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","17138"
"2007/2008","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","17327"
"2008/2009","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","17208"
"2009/2010","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","17285"
"2010/2011","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","17208"
"2011/2012","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","24609"
"2012/2013","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","24785"
"2013/2014","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","25064"
"2014/2015","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","24914"
"2015/2016","All census metropolitan areas and census agglomerations, Canada",,"Net temporary emigration","Both sexes","All ages","Persons","24962"
