"uid","name","description","provenance","type","category","tags","url","api_endpoint","creation_date","last_metadata_updated_date","last_data_updated_date","derived_view","visits","downloads","row_count","column_count","license","attribution","attribution_link","parent_uid","timedate_howdataiscollected","timedate_updatefrequency","timedate_temporalresolution","timedate_creationdate","licenseattribution_licenseurl","datasupplier_businessunit","additionalinformation_sourceurl","timedate_timeperiodcovered","timedate_temporalstartdate","datasupplier_organization","geospatialinformation_mapprojection","geospatialinformation_datasetcontainsgeospatialinformation","timedate_dateoflastupdate"
"9vj8-9edb","Hexbins","","official","dataset",,,"https://data.calgary.ca/d/9vj8-9edb","https://data.calgary.ca/resource/9vj8-9edb.json","2019-11-18T17:15:08.000","2022-08-02T21:19:17.000","2019-11-18T17:54:06.000","false","16","0","4858","2",,,,,,,,,,,,,,,,"No",
"tagd-5xbp","Calgary Public Library - Terms of Use","","official","story",,,"https://data.calgary.ca/stories/s/tagd-5xbp",,"2016-12-02T22:28:29.000","2019-07-09T22:09:23.000","2016-12-02T22:32:25.000","false","1584","3",,,,,,,,,,,,,,,,,,,
"pjpq-dyf4","Central Business District Cordon Count Data Lens 2016","<div>Every year in May, The City conducts the Central Business District (CBD) cordon count. The cordon count is performed at 31 locations around the CBD over a three week time period, collecting data on how people travel into and out of downtown Calgary. The CBD cordon circles the downtown with the Bow River to the north and the railway tracks to the south and from 11 Street in the west to the Elbow River in the east. These data represent the total number of persons entering (inbound) and exiting (outbound) at each location, by modes, during a 16 hour time period. This raw dataset is NOT normalized to average weekday. It is a snapshot of the inbound and outbound activity on a single day at these locations and reflects conditions specific to that day such as construction, lane closures, weather, etc. Therefore, data may not be directly comparable between locations or years.&nbsp;*Attachment is a summary of the inbound and outbound totals and mode of travel.* For additional information on cordon counts, see About --&gt; Source URL.<br></div>","official","datalens","Transportation/Transit",,"https://data.calgary.ca/view/pjpq-dyf4",,"2017-08-02T16:43:28.000","2017-08-04T17:13:59.000","2017-08-02T17:39:03.000","true","759","17",,,"See Terms of Use","The City of Calgary",,"dsje-mu8i",,,,,,,,,,,,,
"3k52-u89r","Residential Solar Photovoltaic (Test)","","official","dataset",,,"https://data.calgary.ca/d/3k52-u89r","https://data.calgary.ca/resource/3k52-u89r.json","2022-03-29T15:06:38.000","2022-08-02T21:19:18.000","2022-04-01T17:08:16.000","false","23","16","1385452","4",,,,,,,,,,,,,,,,"No",
"p43y-ph2y","ARB Data Lens","<div><br></div>","official","datalens","Government",,"https://data.calgary.ca/view/p43y-ph2y",,"2019-07-02T21:05:46.000","2019-07-02T21:25:24.000","2022-02-23T20:48:48.000","true","214","15",,,"See Terms of Use","The City of Calgary",,"myiv-ju9n",,,,,,,,,,,,,
"uwis-xpm2","Bike and Pedestrian Counts Monitoring Locations","Daily bicycle and pedestrian counts are available from sensors set up on the Peace Bridge, cycle tracks and Stephen Avenue. Using an Eco-Counter machine, cyclists are detected using loops embedded in the pavement. The data provides the locations. The data for these locations is in the Bike and Pedestrian Counts dataset - https://data.calgary.ca/Transportation-Transit/Bike-and-Pedestrian-Counts/pede-tz7g","official","dataset","Transportation/Transit","counter,location,monitoring","https://data.calgary.ca/d/uwis-xpm2","https://data.calgary.ca/resource/uwis-xpm2.json","2020-05-01T18:15:53.000","2021-04-28T19:40:25.000","2021-04-28T19:40:26.000","false","345","65","26","8","See Terms of Use","The City of Calgary",,,,"Irregular",,,"https://data.calgary.ca/d/Open-Data-Terms/u45n-7awa","Transportation Planning",,,,"The City of Calgary","WGS84/Web Mercator","Yes",
"ps5q-maip","Voting Stations (Effective October 16,  2017)","Voting station locations, valid for the October 16, 2017 election.
More information can be found at the Elections Calgary website (see Source Link below)","official","dataset","Government","election,voting,voting station","https://data.calgary.ca/d/ps5q-maip","https://data.calgary.ca/resource/ps5q-maip.json","2017-09-13T21:19:23.000","2021-08-03T14:56:05.000","2017-09-15T21:14:04.000","false","3342","211","192","15","See Terms of Use","The City of Calgary","http://www.calgary.ca/election/Pages/information-for-voters/default.aspx",,,"Irregular",,,"https://data.calgary.ca/d/Open-Data-Terms/u45n-7awa","City Clerk's Office",,"from October 16, 2017",,"The City of Calgary","WGS84/Web Mercator","Yes",
"ndmd-7wpv","ICI - Retail Garbage Composition - Material Category","This chart shows weight per cent composition grouped by material category.

This dataset is for garbage bin waste from the Industrial, Commercial, and Institutional (ICI) sector. The North American Industry Classification System (NAICS) is used to categorize ICI businesses and organizations into sub-sectors for ease of data collection and reporting. The NAICS sub-sectors included in this study are: Accommodation and Food Services (NAICS code 72), Retail Trade (44-45), Manufacturing (31-33), Health Care and Social Assistance (62), and Public Administration (91). All businesses and organizations included in the study were customers of The City’s Commercial Collections service, except for one privately-serviced customer in the Accommodation and Food Services sub-sector that was added to provide better sector representation. A total of 115 samples are included in the dataset: 30 in Accommodation and Food Services, 35 in Retail Trade, 17 in Manufacturing, 25 in Health Care and Social Assistance, and 8 in Public Administration. The weight per cent for each sub-sector is the pooled average of samples collected in the four seasons of 2019. 

Waste Composition studies are periodically conducted by Waste and Recycling Services to help assess the performance of diversion and education programs and inform improvements and new program design.","official","chart","Help and Information",,"https://data.calgary.ca/d/ndmd-7wpv","https://data.calgary.ca/resource/ndmd-7wpv.json","2020-02-26T17:03:53.000","2022-01-20T22:06:43.000","2020-02-19T21:10:14.000","true","63","4",,,"See Terms of Use","The City of Calgary","https://www.calgary.ca/UEP/WRS/Pages/Garbage-collection-information/Residential-services/Garbage-Collection.aspx","65wd-2exm",,"None",,,"https://data.calgary.ca/d/Open-Data-Terms/u45n-7awa","Waste and Recycling Services","https://www.calgary.ca/UEP/WRS/Pages/Garbage-collection-information/Residential-services/Garbage-Collection.aspx","2019",,"The City of Calgary",,"No",
"ukh2-ga25","2013 Election Results By Station","This dataset contains the election results by polling station for each Ward for the 2013 Civic election","official","file","Government","election","https://data.calgary.ca/d/ukh2-ga25","https://data.calgary.ca/resource/ukh2-ga25.json","2017-01-25T20:30:00.000","2020-04-09T16:58:39.000","2017-01-25T20:30:00.000","false","213","354",,,"See Terms of Use","The City of Calgary",,,,"None",,"October 2013","https://data.calgary.ca/d/Open-Data-Terms/u45n-7awa","City Clerk's Office",,,,"The City of Calgary",,"No",
"fyid-twcw","Riparian Management Zones","Depicts recommended riparian area management category zones along the major rivers and streams of Calgary. These categories are meant to guide land use planning, park management, and river engineering decisions. The spatial mapping of these categories also complements the Riparian Decision Matrix for River Engineering Projects, with the purpose of ensuring bioengineering practices are applied to the maximum extent feasible within The City of Calgary.","official","dataset","Environment","conservation,developed,erosion,flood,recreation,restoration,riparian,risk","https://data.calgary.ca/d/fyid-twcw","https://data.calgary.ca/resource/fyid-twcw.json","2020-10-14T21:39:36.000","2021-11-04T16:17:12.000","2020-10-14T21:42:35.000","false","389","92","2330","4","See Terms of Use","The City of Calgary",,,,"Irregular",,,"https://data.calgary.ca/d/Open-Data-Terms/u45n-7awa","Water Resources and Water Services","https://www.calgary.ca/uep/water/watersheds-and-rivers/riparian-areas.html",,,"The City of Calgary","WGS84/Web Mercator","Yes",
