"address","host_organization","notes","title","event_type","event_group","more_info_url","all_dates","next_date_times","longitude","latitude","point"
"221 12 Avenue SW",,"Connect with neighbours while your preschooler is active and interacting with other children (ages 0-5)&nbsp; A variety of equipment will be available for use in the gym for unstructured playtime: trykes, parachute, balls, floor matts, and much more.

Drop in!&nbsp; Free!","Preschool Indoor Playtime",,"Event","https://www.calgary.ca/csps/recreation/active-beltline.html","Sept 12 2022 12:30 - 2 p.m.","September 12 2022 12:30 - 2 p.m.","-114.067013","51.041313","POINT (-114.067013 51.041313)"
"2201 Cliff Street SW",,"Save&nbsp;a trip to the landfill for items that do not fit in their waste and recycling carts or for residents who do not have cart service. This service is <strong>free of charge</strong> to all Calgarians.","Cliff Bungalow Mission Community Cleanup","Community event","Event","https://www.cliffbungalowmission.com/","Sept 18 2022 9 a.m. - 2 p.m.","September 18 2022 9 a.m. - 2 p.m.","-114.0781814","51.0333847","POINT (-114.0781814 51.0333847)"
"89 Canova Road SW",,"This class emphasizes the union of breath, focus and structural alignment through a system of poses. No late entry. Bring your own mat. Call 403-268-3800 to register (free).","Yoga",,"Event","https://liveandplay.calgary.ca/?redirect=/liveandplay","Oct 3 2022 10:30 - 11:30 a.m.","October 3 2022 10:30 - 11:30 a.m.","-114.089522","50.948447","POINT (-114.089522 50.948447)"
"89 Canova Road SW",,"A water fitness class done while wearing a floatation belt in deep water. Swimming skills are not necessary. Call 403-268-3800 to register (free).","Deep Water Workout (DWW)",,"Event","https://liveandplay.calgary.ca/?redirect=/liveandplay","Oct 4 2022 6 - 7 p.m.<br>Oct 6 2022 8 - 8:45 a.m.","October 4 2022 6 - 7 p.m.","-114.089522","50.948447","POINT (-114.089522 50.948447)"
"221 12 Avenue SW",,"Come together with other adults to connect on a variety of topics of interest, build knowledge, share your skills and plan projects together or simply enjoy a casual conversation with your neighbours.&nbsp; Tea and coffee will be ready!&nbsp;

Free!&nbsp; Drop in!&nbsp;&nbsp;

For more information please contact: Silvia Ross, Community Social Worker at silvia.ross@calgary.ca or text 403-540-0160

Accessibility barriers:&nbsp; Multiple staircases to access program space.&nbsp; Street parking only.","Adult Community Connections",,"Event","https://www.calgary.ca/csps/recreation/active-beltline.html","Sept 14 2022 1 - 2:30 p.m.<br>Sept 21 2022 1 - 2:30 p.m.<br>Sept 28 2022 1 - 2:30 p.m.<br>Oct 5 2022 1 - 2:30 p.m.<br>Oct 12 2022 1 - 2:30 p.m.<br>Oct 19 2022 1 - 2:30 p.m.","September 14 2022 1 - 2:30 p.m.","-114.067013","51.041313","POINT (-114.067013 51.041313)"
"6715 Centre Street NW",,"Welcome to the Fall 2022 Calgary AfterSchool at Thornhill Aquatic&amp; Recreation Centre!

Calgary AfterSchool Program:

Calgary AfterSchool is a city-wide initiative that offers youth positive, constructive activities after school, which ultimately helps build stronger and safer communities for youth to develop into successful adults, all while following current Alberta Health Services COVID-19 protocols.

After school programs provide benefits for children and youth that include:<ul>	<li>Lower stress levels for working parents (know where their children are and what they are doing).</li>	<li>Increased recreation opportunities.</li>	<li>More opportunities to develop social, physical, leadership and creative skills.</li></ul>Cost: FREE

&bull; During program hours, facility access and program instruction are free to those who want to participate.

Age: Youth 11-15 years

Program Hours:

Mondays, Wednesdays &amp; Fridays, September 19 &ndash; December 23, 2022

Mon/Wed 3:15 &ndash; 6:15 p.m. &amp; Fridays 12:15 &ndash; 3:15 p.m.

This program follows CCSD school calendar and is not offered when school is not running (i.e.: All STAT and PD days, teacher&rsquo;s convention, winter/spring/summer break etc.). Please ask the site for specific details.

How to Register:

&bull; Youth will visit Thornhill Pool during the program times listed and will be asked to fill in a participant i","RecCAS",,"Event","https://www.calgary.ca/csps/cns/children-and-youth/calgary-afterschool/calgary-afterschool.html","Sept 19 2022 3:15 - 6:15 p.m.<br>Sept 21 2022 3:15 - 6:15 p.m.<br>Sept 26 2022 3:15 - 6:15 p.m.<br>Sept 28 2022 3:15 - 6:15 p.m.<br>Oct 3 2022 3:15 - 6:15 p.m.<br>Oct 5 2022 3:15 - 6:15 p.m.<br>Oct 10 2022 3:15 - 6:15 p.m.<br>Oct 12 2022 3:15 - 6:15 p.m.<br>Oct 17 2022 3:15 - 6:15 p.m.<br>Oct 19 2022 3:15 - 6:15 p.m.<br>Oct 24 2022 3:15 - 6:15 p.m.<br>Oct 26 2022 3:15 - 6:15 p.m.<br>Oct 31 2022 3:15 - 6:15 p.m.<br>Nov 2 2022 3:15 - 6:15 p.m.<br>Nov 7 2022 3:15 - 6:15 p.m.<br>Nov 9 2022 3:15 - 6:15 p.m.<br>Nov 14 2022 3:15 - 6:15 p.m.<br>Nov 16 2022 3:15 - 6:15 p.m.<br>Nov 21 2022 3:15 - 6:15 p.m.<br>Nov 23 2022 3:15 - 6:15 p.m.<br>Nov 28 2022 3:15 - 6:15 p.m.<br>Nov 30 2022 3:15 - 6:15 p.m.<br>Dec 5 2022 3:15 - 6:15 p.m.<br>Dec 7 2022 3:15 - 6:15 p.m.<br>Dec 12 2022 3:15 - 6:15 p.m.<br>Dec 14 2022 3:15 - 6:15 p.m.<br>Dec 19 2022 3:15 - 6:15 p.m.<br>Dec 21 2022 3:15 - 6:15 p.m.","September 19 2022 3:15 - 6:15 p.m.","-114.065182","51.112666","POINT (-114.065182 51.112666)"
"89 Canova Road SW",,"A water fitness class incorporating the buoyancy and resistance of the water to challenge your cardio and muscles. Exercises are done to music in the shallow water. Call 403-268-3800 to register (free).","Aquacize",,"Event","https://liveandplay.calgary.ca/?redirect=/liveandplay","Oct 3 2022 8:05 - 9 a.m.","October 3 2022 8:05 - 9 a.m.","-114.089522","50.948447","POINT (-114.089522 50.948447)"
"810 13 Avenue NE",,"Exercises are done to music in chest-deep water with feet touching bottom of pool. You must book a spot in this class. Call 403-268-3800 to register (free).","50+ Aquacize (Gentle 3)",,"Event","https://liveandplay.calgary.ca/?redirect=/liveandplay","Oct 4 2022 2 - 2:45 p.m.","October 4 2022 2 - 2:45 p.m.","-114.045486","51.064649","POINT (-114.045486 51.064649)"
"222 8 Avenue SE",,"<p><a href=""https://www.artscommons.ca/arts-commons-presents/artsxpeditions"" target=""_blank"">ArtsXpeditions</a> presented by <a href=""https://www.artscommons.ca/?__hstc=151624550.5bbc6c3d993441bdeced854c01ee1add.1650471541807.1656368514230.1657898846232.7&amp;__hssc=151624550.2.1657898846232&amp;__hsfp=2232092219"">Arts Commons</a> brings live concerts and performances every Thursday to Olympic Plaza all summer and this September. Performances span genres and ages. <a href=""http://www.artscommons.ca/arts-commons-presents/artsxpeditions"" target=""_blank"">Check out the ArtsXpedition artists</a>.</p>","ArtsXpeditions",,"Event","https://www.artscommons.ca/arts-commons-presents/artsxpeditions","Sept 15 2022 12:30 - 1:30 p.m.<br>Sept 22 2022 12:30 - 1:30 p.m.<br>Sept 29 2022 12:30 - 1:30 p.m.","September 15 2022 12:30 - 1:30 p.m.","-114.059479","51.045749","POINT (-114.059479 51.045749)"
"810 13 Avenue NE",,"A very gentle fitness class that involves mostly seated exercises in a social environment. Focuses on improving mobility, balance and flexibility. Call 403-268-3800 to register (free).","Living Healthy - Easy Going (Gentle 1)",,"Event","https://liveandplay.calgary.ca/?redirect=/liveandplay","Oct 7 2022 10:45 - 11:30 a.m.","October 7 2022 10:45 - 11:30 a.m.","-114.045486","51.064649","POINT (-114.045486 51.064649)"
