"incident_info","description","start_dt","modified_dt","quadrant","longitude","latitude","count","id","point"
" 16 Avenue at University Drive NW ","Traffic incident.","2022-08-29T16:19:57.000","2022-08-29T16:20:49.000","NW","-114.12541294506043","51.06817046347703","1","2022-08-29T16:19:5751.06817046347703-114.12541294506043","POINT (-114.12541294506043 51.06817046347703)"
" Westbound Stoney Trail approaching Shaganappi Trail NW ","Traffic incident. Blocking the right shoulder","2022-08-29T15:31:51.000","2022-08-29T16:20:49.000","NW","-114.12544788971412","51.1536731839172","1","2022-08-29T15:31:5151.1536731839172-114.12544788971412","POINT (-114.12544788971412 51.1536731839172)"
" Crowchild Trail and 32 Avenue NW ","Traffic incident.","2022-08-29T13:40:23.000","2022-08-29T13:41:02.000","NW","-114.12577763920098","51.083122622642996","1","2022-08-29T13:40:2351.083122622642996-114.12577763920098","POINT (-114.12577763920098 51.083122622642996)"
" Westbound Memorial Drive and Deerfoot Trail SE ","Multi-vehicle incident. Blocking the WB left lanes and all SB lanes","2022-08-29T12:16:06.000","2022-08-29T12:59:31.000","SE","-114.01873005992967","51.04900032054111","1","2022-08-29T12:16:0651.04900032054111-114.01873005992967","POINT (-114.01873005992967 51.04900032054111)"
" 5 Street and 8 Avenue SW ","Traffic incident. Blocking the right lanes","2022-08-29T11:05:51.000","2022-08-29T12:19:41.000","SW","-114.07388293554796","51.04583916640303","1","2022-08-29T11:05:5151.04583916640303-114.07388293554796","POINT (-114.07388293554796 51.04583916640303)"
" 26 Street and 19 Avenue SE ","Traffic incident.","2022-08-29T10:19:01.000","2022-08-29T11:07:24.000","SE","-113.99579447964592","51.035960964090755","1","2022-08-29T10:19:0151.035960964090755-113.99579447964592","POINT (-113.99579447964592 51.035960964090755)"
" Marlborough WY and Marlborough Drive NE ","There is an incident involving a pedestrian- EMS Dispatched.","2022-08-29T09:12:35.000","2022-08-29T09:34:24.000","NE","-113.97507761235896","51.059512190500655","1","2022-08-29T09:12:3551.059512190500655-113.97507761235896","POINT (-113.97507761235896 51.059512190500655)"
" Glenmore Trail and Deerfoot Trail SE ","Multi-vehicle incident. Blocking the right lanes","2022-08-29T07:55:45.000","2022-08-29T09:15:17.000","SE","-114.03175753631346","51.001092404183545","1","2022-08-29T07:55:4551.001092404183545-114.03175753631346","POINT (-114.03175753631346 51.001092404183545)"
" Ogden Road and 76 Avenue SE ","Traffic incident.","2022-08-29T06:36:09.000","2022-08-29T07:34:05.000","SE","-113.99878356235254","50.985046930943845","1","2022-08-29T06:36:0950.985046930943845-113.99878356235254","POINT (-113.99878356235254 50.985046930943845)"
" 162 Avenue and James Mckevitt Road SW ","Two vehicle incident.  Blocking multiple lanes in the intersection and the WB lanes are closed","2022-08-28T22:20:27.000","2022-08-28T22:31:36.000","NW","-114.09953453074215","50.90533739065905","1","2022-08-28T22:20:2750.90533739065905-114.09953453074215","POINT (-114.09953453074215 50.90533739065905)"
" Southbound Deerfoot Trail at 32 Avenue NE ","Two vehicle incident. Partially blocking the SB ramp","2022-08-28T21:49:08.000","2022-08-28T22:31:36.000","NE","-114.03158823576153","51.07882709760545","1","2022-08-28T21:49:0851.07882709760545-114.03158823576153","POINT (-114.03158823576153 51.07882709760545)"
" Northbound Barlow Trail at Airport Trail NE ","Two vehicle incident.  Blocking the right lane and SB to EB exit ramp closed","2022-08-28T20:01:32.000","2022-08-28T20:57:00.000","NE","-114.00143252148654","51.13848998478714","1","2022-08-28T20:01:3251.13848998478714-114.00143252148654","POINT (-114.00143252148654 51.13848998478714)"
" Northbound Barlow Trail at Airport Trail NE ","Two vehicle incident. Blocking the right lane","2022-08-28T20:01:32.000","2022-08-28T20:05:44.000","NE","-114.0015964307328","51.13874465768914","1","2022-08-28T20:01:3251.13874465768914-114.0015964307328","POINT (-114.0015964307328 51.13874465768914)"
" 13 Avenue and 14 Street SW ","Traffic incident.","2022-08-28T18:34:48.000","2022-08-28T18:51:05.000","NW","-114.09470909459486","51.04136757381513","1","2022-08-28T18:34:4851.04136757381513-114.09470909459486","POINT (-114.09470909459486 51.04136757381513)"
" Northbound Macleod Trail S and Lake Fraser Gate  ","Two vehicle incident. Blocking the right lane","2022-08-28T17:46:58.000","2022-08-28T18:35:31.000","SE","-114.06891817990545","50.93825271186908","1","2022-08-28T17:46:5850.93825271186908-114.06891817990545","POINT (-114.06891817990545 50.93825271186908)"
" Eastbound 16 Avenue and 68 Street NE ","Traffic incident. Blocking the right lanes","2022-08-28T15:05:24.000","2022-08-28T15:29:53.000","NW","-113.93564296036146","51.06683371963965","1","2022-08-28T15:05:2451.06683371963965-113.93564296036146","POINT (-113.93564296036146 51.06683371963965)"
