COMPLEX_NAME,FACILITY_TYPE,TIER,ADDRESS,ORG,TYP_OF_ORG,STEWARD,OPER,LABEL,WEBSITE,PHONE,NOTES,GYM,GYMNAST_FAC,FITNSS_WGHT,FIT_STUDIO,MULTI_PURP_ROOMS,MEET_ROOMS,INDR_POOL,OUTDR_POOL,FW_25M,FW_50M,FW_18M,LANES_POOL,TEACH_POOL,WAVE_POOL,OTHER_POOL,INDR_WAD_POOL,DIVING_TANK,SPRINGBOARD,PLATFORM,DIVE_SLIDE,PLAY_SLIDE,ROPE_SWING,STEAM,HOT_TUB,SAUNA,CLIMB_WALL,TRACK_INDR,OUTDR_WAD_POOL,SPRAY_PARK,ICE_INDR,STAND_ICE,NHL_ICE,OLYMP_ICE,FIG_SKATING,CURL_RNK,CURL_SHEETS,INDR_SURFACE,INDR_TURF,DRY_PAD,RACQFAC_INDR,SQUASH_CRTS,RAQBALL_CRTS,BADMINT_CRTS,TENNIS_CRT,OUTDR_FIELD,ARTF_TURF_OUTDR,DIAM_FAC_OUTDR,TRACK_OUTDR,PUBLIC_GLF,SEMI_PRIV_GLF,HOLE_18,HOLE_9,DRIVERANG_OUTDR,DRIVERANG_INDR,SKI_NORDICTRCK,MUNICPAL_OP,NOTPROFIT_OP,PROFIT_OP,PRIVATE_OP,longitude,latitude,location,Ward Boundaries,Calgary Communities
Southland Leisure Centre,Leisure Centre - Municipal,,2000 SOUTHLAND DR SW,Recreation,Municipal,Recreation,Recreation,Southland Leisure Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Leisure-centres/Southland.aspx,403-648-6555,"2 ice rinks, wave pool, slides, fitness/weights, racquet ball, squash, gym, climbing wall, gymnastics, hot tub, steam room",2,Y,Y,1,0,0,Y,N,0,0,0,0,N,Y,N,N,N,N,N,0,1,N,Y,Y,N,Y,N,N,N,N,2,0,0,N,N,0,Y,0,2,Y,3,2,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.10852055068838,50.96228875864107,"(50.96228875864107, -114.10852055068838)",8,66
West Confederation Park Spray Park,Spray Park,,2020 CHICOUTIMI DR SW,Parks,Municipal,Parks,Parks,West Confederation Park Spray Park,https://www.calgary.ca/csps/parks/locations/nw-parks/west-confederation-park.html,<Null>,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,Y,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,-114.10931240134059,51.08106867453199,"(51.08106867453199, -114.10931240134059)",7,125
Village Square Leisure Centre,Leisure Centre - Municipal,,2623 56 ST NE,Recreation,Municipal,Recreation,Recreation,Village Square Leisure Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Leisure-centres/Village-Square.aspx,403-366-3900,"2 ice rinks, wave pool, slides, dive tank, hot tub, steam room, Splash Zone, gym, weight room, dance studio, fitness rooms",1,N,Y,2,0,2,Y,N,0,0,0,0,N,Y,N,N,Y,Y,N,0,3,Y,Y,Y,N,N,N,N,N,N,2,0,0,N,N,0,Y,0,2,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-113.95443744999585,51.076014105637356,"(51.076014105637356, -113.95443744999585)",9,36
Lakeview Golf Course,Golf Course - Municipal,,5840 19 ST SW,Recreation,Municipal,Recreation,Recreation,Lakeview Golf Course,https://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Lakeview.aspx,403-300-1003,"9 hole, practice putting green",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,-114.10683218043894,51.00058770541908,"(51.00058770541908, -114.10683218043894)",8,238
South Calgary Outdoor Pool,Outdoor Pool,,1626 32 AV SW,COSPA,Not-for-Profit,Recreation,COSPA,South Calgary Outdoor Pool,,403-245-0379,23m pool (6 lane),0,N,N,0,0,0,N,Y,1,0,0,6,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,-114.09887007067255,51.02525037105149,"(51.02525037105149, -114.09887007067255)",14,207
"Forest Lawn Outdoor Pool, Wading Pool & Spray Park",Outdoor Pool,,1706 39 ST SE,COSPA,Not-for-Profit,Recreation,COSPA,"Forest Lawn Outdoor Pool, Wading Pool & Spray Park",,403-221-3595,"25m pool (8 lane), wading pool, spray park",0,N,N,0,0,0,N,Y,1,0,0,8,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,Y,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,-113.97638016858603,51.03875456829266,"(51.03875456829266, -113.97638016858603)",12,85
Stanley Park Outdoor Pool & Wading Pool,Outdoor Pool,,4011 1A ST SW,COSPA,Not-for-Profit,Parks,COSPA,Stanley Park Outdoor Pool & Wading Pool,,403-221-3577,"25m pool (8 lane), wading pool, spray park",0,N,N,0,0,0,N,Y,1,0,0,8,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,Y,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,-114.06929741051472,51.01720586574353,"(51.01720586574353, -114.06929741051472)",10,60
Bowview Outdoor Pool & Wading Pool,Outdoor Pool,,1910 6 AV NW,COSPA,Not-for-Profit,Recreation,COSPA,Bowview Outdoor Pool & Wading Pool,https://www.hsca.ca/bowview-swimming-pool,403-221-3571,"25m pool (6 lane), wading pool",0,N,N,0,0,0,N,Y,1,0,0,6,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,Y,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,-114.10296978016909,51.05797027228842,"(51.05797027228842, -114.10296978016909)",7,280
Mount Pleasant Outdoor Pool,Outdoor Pool,,630 22 AV NW,COSPA,Not-for-Profit,Parks,COSPA,Mount Pleasant Outdoor Pool,https://mpca.ca/outdoor-pool/,403-221-4288,Free form pool,0,N,N,0,0,0,N,Y,0,0,0,0,N,N,Y,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,-114.07556482172168,51.072864459009814,"(51.072864459009814, -114.07556482172168)",7,17
Millican-Ogden Outdoor Pool,Outdoor Pool,,6901 20A ST SE,COSPA,Not-for-Profit,Recreation,COSPA,Millican-Ogden Outdoor Pool,,403-221-3598,25m pool (8 lane),0,N,N,0,0,0,N,Y,1,0,0,8,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,-114.01182059446518,50.991230156881876,"(50.991230156881876, -114.01182059446518)",10,28
