"month","actual_total_enrollment"
"2003-12-31T00:00:00.000","13167"
"2004-12-31T00:00:00.000","13154"
"2005-12-31T00:00:00.000","13304"
"2006-12-31T00:00:00.000","12769"
"2007-12-31T00:00:00.000","12116"
"2008-12-31T00:00:00.000","12328"
"2009-12-31T00:00:00.000","13349"
"2010-12-31T00:00:00.000","15030"
"2011-12-31T00:00:00.000","14084"
"2012-12-31T00:00:00.000","13415"
"2013-12-31T00:00:00.000","14000"
"2014-01-31T00:00:00.000","14751"
"2014-02-28T00:00:00.000","14924"
"2014-03-31T00:00:00.000","15064"
"2014-04-30T00:00:00.000","15410"
"2014-05-31T00:00:00.000","15481"
"2014-06-30T00:00:00.000","15655"
"2014-07-31T00:00:00.000","15807"
"2014-08-31T00:00:00.000","16122"
"2014-09-30T00:00:00.000","16384"
"2014-10-31T00:00:00.000","16642"
"2014-11-30T00:00:00.000","16811"
"2014-12-01T00:00:00.000","16939"
"2015-01-31T00:00:00.000","17079"
"2015-03-01T00:00:00.000","17354"
"2015-02-01T00:00:00.000","17181"
"2015-04-01T00:00:00.000","17593"
"2015-05-01T00:00:00.000","17704"
"2015-07-01T00:00:00.000","17940"
"2015-06-01T00:00:00.000","17796"
"2015-08-01T00:00:00.000","17768"
"2015-09-01T00:00:00.000","21190"
"2016-03-01T00:00:00.000","20885"
"2016-02-01T00:00:00.000","20432"
"2016-01-01T00:00:00.000","20871"
"2016-06-01T00:00:00.000","21598"
"2016-07-01T00:00:00.000","21168"
"2016-05-01T00:00:00.000","21351"
"2016-04-01T00:00:00.000","21099"
"2016-08-01T00:00:00.000","28100"
"2016-09-01T00:00:00.000","28865"
"2016-11-01T00:00:00.000","29815"
"2016-12-01T00:00:00.000","30143"
"2016-10-01T00:00:00.000","29350"
"2017-05-01T00:00:00.000","33146"
"2017-01-01T00:00:00.000","30530"
"2017-02-01T00:00:00.000","31918"
"2017-06-01T00:00:00.000","33394"
"2017-03-01T00:00:00.000","32414"
"2017-04-01T00:00:00.000","32789"
"2017-07-01T00:00:00.000","33355"
"2017-08-01T00:00:00.000","33212"
"2017-09-01T00:00:00.000","33011"
"2017-10-01T00:00:00.000","33038"
"2017-11-01T00:00:00.000","33083"
"2017-12-01T00:00:00.000","32876"
