"project_id","project_name","project_description","project_street_address","project_address_city","project_address_zip","current_phase","project_details_url","location_data","location_method","council_districts","regions","current_phase_type","latitude","longitude","address"
"22222222.01","152nd Avenue NE Improvements (24th - 26th Street) - Preliminary Design","Full street improvements consistent with the 152nd Avenue NE Corridor Plan including expanded sidewalks, cycle tracks, southbound right turn lane and intersection improvements",,,,,,,,,"Overlake","Overlake","47.632772","-122.1376954",
"20021318.04.01.03","152nd Avenue NE Pipe Repair","Replace existing failed pipe system along 152nd and east to 154th Avenue NE
",,,,,,,,,"Neighborhood","Neighborhood","47.68018896","-122.1376842",
"20011512.17.01.03","Americans with Disabilities Act (ADA) Program","Provides a designated amount of funding to make improvements to the City's infrastructure such as the construction of curb ramps to accommodate people with disabilities under the Americans with Disabilities Act (ADA).  This program utilizes funding from the Undergrounding Program.",,,,,,,,,"Citywide","Citywide",,,
"20029622.04.01.03","Bear Creek Rehabilitation","Relocate and enhance the lower 3,400 feet of Bear Creek to enhance migration, rearing and spawning habitat for salmon.  The project includes significant in-stream and buffer improvements. 
",,,,,,,,,"Downtown","Downtown","47.67582339","-122.1060361",
"20021501.01.01.03","Bicycle Facilities Improvement Program","The Bicycle Facilities Improvement program enhances and completes the City's network of bicycle facilities according to the Transportation Master Plan (TMP) to create a more comfortable bicycling environment that attracts more cyclists of all skill levels.  The goal is accomplished by providing new and improved existing bicycle connections, improving transit access by bike, addressing bicycle safety issues, providing cyclist education and encouragement and providing bicycle parking and wayfinding.  The Targeted Safety Improvement Program, Bicycle Program and Pedestrian Program will be coordinated and managed together to best prioritize the projects needed during the biennium.  Combining these programs will also be beneficial for leveraging grants.",,,,,,,,,"Citywide","Citywide",,,
"20011502.17.01.03","Bridge Repair Program","The Bridge Repair Program is a program to maintain the structural integrity and safety of all eighteen of the CityÕs bridges.  Bridge records including construction, inspection and maintenance are maintained in accordance with State guidelines.  These records are also included in a State of Washington database.  Bridge inspections are done every two years for most bridges and yearly for bridges with scouring (the removal of sediment) potential.  Bridge work orders are generated from the inspections and prioritized for implementation.",,,,,,,,,"Citywide","Citywide",,,
"20011503.17.01.03","Channelization Program","The project installs new channelization and maintains existing crosswalks and stop bars to improve safety.  A portion of the funds are used for new channelization improvements needed to enhance safety or operations.  The remainder is used for the yearly maintenance of crosswalks and stop bars in the City.",,,,,,,,,"Citywide","Citywide",,,
"20025548.04.01.03","City Center Groundwater Protection - 90th Street Pond Retrofit","Construct improvements to address existing  90th Street pond subsidence and water quality issues, as well as accommodate untreated stormwater currently being infiltrated in the wellhead protection zone.
",,,,,,,,,"Downtown","Downtown","47.68266406","-122.1311328",
"00031301.07.01.04","City Hall Customer Service Improvements


","In 2013, City Hall space was analyzed to identify customer service deficiencies in the building.  Other goals of the project were to enhance City Hall security, increase conference room space and update technology.  The funding for this project will improve customer service by establishing a customer service counter on the second floor of City Hall.
",,,,,,,,,"Citywide","Citywide",,,
"30011101","City Hall Debt Service & Maintenance


","Principal and interest costs on the Limited Tax General Obligation Bonds for the City Hall Building and the maintenance contract with Wright Runstad
",,,,,,,,,"Citywide","Citywide",,,
"20025544.04.01.03","Cleveland Street at 166th Avenue Stormwater Improvements","Replacement of existing undersized pipe in poor condition adjacent to the Couplet Conversion project.
",,,,,,,,,"Downtown","Downtown","47.67215509","-122.118895",
"22222222.02","Cleveland Street/Redmond Way Conversion and Improvement Public Works Trust Fund Loan Debt Service",,,,,,,,,,"Downtown","Downtown","47.67411958","-122.1259288",
"20020965.01.01.03","Cleveland Street/Redmond Way Conversion and Improvements","Conversion of Redmond Way and Cleveland Street from one-way streets to two-way streets, includes reconstruction of all intersections and traffic signals to provide for an enhanced pedestrian environment. Additionally it includes a westbound Business Access and Transit (BAT) lane from Avondale Way about 1,000 feet to the east will be constructed 
",,,,,,,,,"Downtown","Downtown","47.67411958","-122.1259288",
"20021135.01.01.03","Cleveland Streetscape","Cleveland Street will be the ""signature"" street for the Downtown Urban Center.  It is part of the Downtown East-West Corridor Study Master Plan and Implementation Strategy and a necessary improvement prior to conversion of the Redmond Way/Cleveland Street Couplet from one-way to two-way.  It includes widening the sidewalks and improving intersections to be more pedestrian oriented.  Currently there is a federal grant to fund improvements between 164th Avenue NE and 160th Avenue NE.",,,,,,,,,"Downtown","Downtown","47.67374296","-122.1244144",
"80011501","Community Treasures


","
The Community Treasures Program supports landmarked properties and other historic treasures and enhances Redmond's shared history and identity by providing funds to maintain community treasures, that contribute to Redmond's unique and positive identity; focusing activity within Redmond to maintain and enhance gathering places; celebrating the identity of the Downtown neighborhood where a majority of our historic resources are located and where our Comprehensive Plan calls out the importance of historic resources; supporting the creation of long-lasting interpretive materials, such as street signs and plaques describing historic resources that provide education to the entire community; and leveraging actions and resources by others, such as other grant program funding and work previously undertaken by historic property owners.  ",,,,,,,,,"Citywide","Citywide",,,
"70091301.02","Computer Aided Dispatch (CAD) Replacement



","Replacement of Police Computer Aided Dispatch system.  A portion of this project is funded through the Capital Equipment Replacement Fund.",,,,,,,,,"Citywide","Citywide",,,
"20025503.02.01.03","Downtown Groundwater Network Enhancements","Installation of groundwater monitoring wells to pursue activation of cleanup sites in downtown and support modelling of the aquifer.  Finalize groundwater and surface water interaction study.",,,,,,,,,"Downtown","Downtown",,,
"50020970.05.02","Downtown Park Design & Construction","On the heels of completing the master plan, staff will begin design and construction of the Downtown Park, with an anticipated construction start date of 2016 or 2017.  This park will be the signature park in Redmond, with integrated art and landscape design.  It will be a destination that helps bring people to our Old Town business community.",,,,,,,,,"Downtown","Downtown","47.67443693","-122.1253106",
"20021102.02.01.03","Education Hill 565 Zone Improvements","Expand the existing 565 pressure zone to improve service pressures and fire flows in high elevation area. ",,,,,,,,,"Neighborhood","Neighborhood","47.68347177","-122.1121752",
"88888888.01","Energy Efficiency Improvements

","The Energy Efficiency Improvements Program allows for a consolidated approach and logical strategy for energy efficiency funding and improvements to city facilities.  It is a value proposition for spending money now for energy improvements which result in operating cost reductions and energy savings over time.  This program includes light-emitting diode (LED) street light retrofits, park energy efficient lighting conversions, energy efficiency improvements to city buildings and facilities and an energy consultant to help strategically prioritize energy improvements based on opportunities and return on investment, electric vehicle charging station infrastructure, smart buildings pilot project in partnership with Microsoft and establishment of a Revolving Energy Fund to provide a sustaining mechanism for ongoing energy efficiency improvements and matching grant dollar source.",,,,,,,,,"Citywide","Citywide",,,
"20020995.04.01.03","Evans Creek Relocation","Enhance approximately 4,500 feet of stream channel that currently runs through multiple industrial properties in a ditch by relocating to less developed areas in the north and east.  This project will establish adequate buffers, improve in-stream habitat and will allow for redevelopment of industrial properties currently impacted by the stream. 
",,,,,,,,,"Neighborhood","Neighborhood","47.68072566","-122.0846047",
"22222222.08","Facilities Strategic Plan



","The Facilities Strategic Plan is a comprehensive plan to manage the CityÕs facilities as a portfolio of assets that supports delivering City services at desired levels.Ê The strategic plan will guide theÊplanning, management and operation, of City facilities, and serve as the foundation for decision making, capital investment and operations and maintenance program development and implementation.Ê The first phase of the plan was started in 2014.Ê This completes the second and final phase of the plan including:  developing budget models, completing assessments needed to populate the budget models, developing short and long term operation and maintenance plans and strategies and completing the implementation plan.  The planning activities will also include master planning of the Maintenance and Operations Center site. ",,,,,,,,,"Citywide","Citywide",,,
"50021401.05.01.03","Farrel-McWhirter Park - Restroom Replacement","The public bathroom at the 68 acre park has been closed for more than two years due to infrastructure health and safety reasons.  The critical areas study is complete and design of the restroom is underway, before finalizing the master plan and construction.
",,,,,,,,,"Neighborhood","Neighborhood","47.69446791","-122.0802696",
"55555555.02","Farrel-McWhirter Park Arena Lights","As part of the CityÕs 2013 Innovation Program, the small equestrian space near the Big Red Barn at Farrel-McWhirter Park was renovated.  The renovation included a new drainage system, footing material, sprinkler system and fencing modifications.  This renovation project resulted in many benefits including an increase in time efficiency, improved safety, enhanced riding experience and increased revenue generation.  The addition of elevated lighting was part of the original project, but was eliminated as a result of a funding shortfall.  The installation of lighting to the arena is important to the overall programming of this space, and will support evening classes during the months of April, September, and October.  The result will be an additional $5,400 in revenue per year.  The return on investment will be approximately 8 years.",,,,,,,,,"Neighborhood","Neighborhood","47.69446791","-122.0802696",
"55555555.04","Hardscape Renovation and Repair Program","Ongoing program to repair and replace hard surface trails, sport courts, tennis courts, parking lots and other hard surface features in parks. ",,,,,,,,,"Citywide","Citywide",,,
"80011303","Housing Trust Fund




","The Housing Trust Fund Program provides for increased affordable housing choices for a diverse population through contributions to A Regional Coalition for Housing (ARCH).  ARCH was formed in 1993 by interlocal agreement of four East King County jurisdictions: Redmond, Kirkland, Bellevue and King County.  It is now comprised of 16 jurisdictions (including King County) serving the housing needs of East King County. It has received national recognition as a model for local governments in providing affordable and special needs housing.  In addition to the direct allocation of funds to housing developers to create housing, ARCH provides support for other affordable housing planning, promotion and implementation activities for its member jurisdictions.  In its 20 year history, ARCH allocations of $42.8 million from its member jurisdictions have leveraged a total of $427 million in funding for housing construction in East King County.",,,,,,,,,"Citywide","Citywide",,,
"20021324.03.01.03","Infiltration Retrofit Program","The Infiltration Retrofit Program provides funds for retrofitting existing private infiltration facilities that pose a significant groundwater hazard in wellhead protection zones 1 and 2, to meet State and City regulations for groundwater protection.  Focus for 2015-2018 is on the Group I highest risk properties.",,,,,,,,,"Citywide","Citywide",,,
"55555555.05","Infrastructure Program","Ongoing program to repair and replace small building structures (picnic shelters), electrical, lighting and other utilities as they age.  ",,,,,,,,,"Citywide","Citywide",,,
