"permit_number","location","additional_reference","parcel_number","permit_type","work_class","apply_date","issue_date","project_name","permit_details","work_description","valuation","sq_ft","number_of_units","owner","applicant","contractor","contractor_phone","company","tenant","lender","designer_of_record","total_fees"
"FIRE-2013-00458","18400 UNION HILL RD
Redmond, WA 
(47.67647971400049, -122.0944388739997)",,"5530400010","Fire Life Safety","Tenant","2013-01-22T00:00:00.000","2013-01-01T00:00:00.000","1927_MICROSOFT MILLENNIUM-BLDG C","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-00458","CONCUR TECHNOLOGIES (MILLENIUM BLDG C)","0","0.00",,,,,,,,,,"400"
"FIRE-2013-00138","7824 LEARY WAY NE
Redmond, WA 98052
(47.67336970400049, -122.12320905999968)","100","7198800025","Fire Life Safety","Tenant","2013-01-10T00:00:00.000","2013-01-01T00:00:00.000","751","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-00138","MATADOR   7824 Leary Way  # 100","0","0.00",,,,,,,,,,"200"
"SITE-2013-00023",,,"2526059009","Civil Site Construction Permit","Plat","2013-01-07T00:00:00.000","2013-01-07T00:00:00.000","Glenshire 2","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/SITE-2013-00023","GLENSHIRE/ DIV 2","0","0.00",,,,"Jordan Perry","2538630464","Jennings Northwest LLC",,,,"5829.76"
"B120719","12211 168TH CT NE
Redmond, WA 98052
(47.709400072000506, -122.11663947399973)","LOT 12","8163500120","Residential","New","2012-12-14T00:00:00.000","2013-01-07T00:00:00.000","Sycamore Park","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120719","SYCAMORE PARK/ LOT 12","265186.18","1904.00","1",,"Sharon Hill","Kevin Hager","4254871521","Builders Supply",,,,"5914.79"
"B110342","2524 W LK SAMMAMISH PKWY
Redmond, WA 98052
(47.63230927300049, -122.08934924199968)",,"6710100080","Residential","Addition","2011-07-11T00:00:00.000","2013-01-08T00:00:00.000","WONG LI","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B110342","REMOVE EXISTING UNCOVERED 200 SQ FT DECK/ BUILD NEW 484 SQ FT UNCOVERED DECK.  UPGRADE EXISTING SHEAR WALLS PER  ENGINEERING.","10755.08","484.00","1",,"Vincent Wong","Owner/ Builder","5555555555","Owner/Builder",,,,"205.85"
"FIRE-2013-00080","3720 159TH AVE NE
Redmond, WA 98052
(47.64418930500045, -122.12704961699973)","Microsoft-Bldg 34 Rm 4569","5503000170","Fire Sprinkler - Commercial","Quick Start","2013-01-09T00:00:00.000","2013-01-09T00:00:00.000","MICROSOFT-BLDG 34","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-00080","Add and relocate heads for new office walls.","0","0.00",,,"Shaina Morgan",,"2539262290","PATRIOT FIRE PROTECTION/ INC.",,,,"211.65"
"FIRE-2013-00078","15700 NE 39TH ST
Redmond, WA 98052
(47.644779274000484, -122.13000983099971)",,"5503000070","Fire Sprinkler - Commercial","Quick Start","2013-01-09T00:00:00.000","2013-01-09T00:00:00.000","MICROSOFT-BLDG 25","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-00078","Relocate 4 heads out of curtain wall/ and change out 13 heads to quick response","0","0.00",,,"Shaina Morgan",,"2539262290","PATRIOT FIRE PROTECTION/ INC.",,,,"211.65"
"FIRE-2013-00122","3800 148TH AVE NE
REDMOND, WA 98052
(47.6435797470005, -122.14259966799972)","BLDG 117 RM 1147","6448300112","Fire Sprinkler - Commercial","Quick Start","2013-01-09T00:00:00.000","2013-01-09T00:00:00.000","527 MICROSOFT-BLDG 117","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-00122","Relocated 1 new head","0","0.00",,,"Shaina Morgan",,"2539262290","PATRIOT FIRE PROTECTION/ INC.",,,,"211.65"
"B120688","14870 NE 31ST WAY
Redmond, WA 98052
(47.63858285500049, -122.1420194529997)","FLOORS 2/ 3 & 4","2499900010","Commercial","Tenant Improvement","2012-11-28T00:00:00.000","2013-01-14T00:00:00.000","1877 MICROSOFT-BLDG 113","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120688","DEMO GWB WALLS/ FLOOR TO SUSPENDED CEILING. DEMO TWO 3' X 9' DOORS. NEW GWB WALLS/ FLOOR TO SUSPENDED CEILING FOR (14) NEW OFFICES. PROVIDE (12) NEW 3' X 9' BUILDING STANDARD DOORS WITH GLASS SIDELIGHTS. AREA OF CONSTRUCTION 1834 SQ FT","80000","1834.00","1",,"Aileen Baker",,"4258698946","DEWALT COMMERCIAL/ LLC",,,,"565.22"
"P120398","8397 158TH AVE NE
Redmond, WA 98052
(47.678424032000464, -122.13031832399969)",,"7198900010","Plumbing Plan Review","Commercial","2012-11-13T00:00:00.000","2013-01-15T00:00:00.000","PINE FOREST","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/P120398","NEW MIXED USE BUILDING INCLUDING 2 BACKFLOW DEVICES/ 147 CLOTHES WASHERS/ 148 DISHWASHERS/ 2 DRINKING FOUNTAINS/ 5 FLOOR DRAINS/SINKS/ 10 HOSE BIBS/ 20 RAINWATER SYSTEM/ 1 SAND/OIL SEPARATOR/ 299 SINKS/LAVS/ 189 TUBS/SHOWERS/ 1 URINAL/ 216 WATER CLOSETS/ 1 PRESSURE REDUCING VALVE. 1/041 FIXTURES TOTAL.","1351840","0.00",,,"IMPORT IMPORT",,"2539221100","BULLDOG PLUMBING & DESIGN LLC",,,,"27918.31"
"B120717","12208 168TH CT NE
Redmond, WA 98052
(47.709381805000476, -122.11655913399971)","LOT 2","8163500020","Residential","New","2012-12-14T00:00:00.000","2013-01-23T00:00:00.000","Sycamore Park","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120717","CONSTRUCTION OF A NEW FOUR STAR BUILT GREEN/ TWO-STORY/ ZERO-LOT LINE/ SPRINKLERED SINGLE FAMILY RESIDENCE CONSISTING OF 2/524 SQ FT DWELLING SPACE/ 111 SQ FT COVERED PORCH/ 443SQ FT GARAGE. TOTAL AREA OF CONSTRUCTION 3/078 SQ FT","270729.78","2524.00","1",,"IMPORT IMPORT",,"4254541900","STEVE BURNSTEAD CONSTRUCTION LLC",,,,"5914.79"
"ELEC-2013-00515","17325 NE 85TH PL
REDMOND, WA 98052
(47.678929466000454, -122.10535905399968)","EAGLE RIM PHASE II BLDG B 103","125059022","Electrical - OTC","Multi-Family","2013-01-23T00:00:00.000","2013-01-23T00:00:00.000","EAGLE RIM APARTMENTS","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2013-00515","KITCHEN REMODEL IN UNITS B103 & B104. CIRCUITS ONLY","2000","0.00",,,"Nancy Sanders",,"4253357754","SNOHOMISH ELECTRIC/ INC",,,,"136.68"
"FIRE-2013-00486","3640 150TH AVE NE
REDMOND, WA 98052
(47.64318912400046, -122.13936981999973)","LEVEL 3","5503500040","Fire Sprinkler - Commercial","Quick Start","2013-01-23T00:00:00.000","2013-01-23T00:00:00.000","MICROSOFT-BLDG 95","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-00486","Adding one sprinkler head and relocating three sprinkler heads.","0","0.00",,,"Jim Thomas",,"2067623311","MCKINSTRY CO LLC",,,,"211.65"
"B120616","17187 NE 117TH ST
REDMOND, WA 98052
(47.7043772180005, -122.11497709199972)","LOT 32","6666830320","Residential","New","2012-10-19T00:00:00.000","2013-01-25T00:00:00.000","PARKRIDGE AT THE WOODLANDS aka 116th Assemblage","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120616","CONSTRUCTION OF A NEW 2 STORY FIRE-SPRINKLERED SFR CONSISTING OF 3235 SQ FT DWELLING/ 120 SQ FT COVERED PORCH/ 476 SQ FT GARAGE FOR A TOTAL OF 3831 SQ FT.","357311.25","3831.00","1",,"IMPORT IMPORT",,"4258251955","TOLL BROS INC",,,"Jeff Lettus","4725.95"
"B120685","8443 154TH AVE NE
REDMOND, WA 98052
(47.67751621700046, -122.13466284299972)","WESTPARK BLDG H","9312010020","Commercial","Tenant Improvement","2012-11-28T00:00:00.000","2013-01-28T00:00:00.000","890 WESTPARK-BLDG H ","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120685","NON-STRUCTURAL INTERIOR TI - NEW PARTITIONS/ DOORS/ AND FINISHES.  AREA OF CONSTRUCTION 2/375 SF.","20000","2375.00","1",,"Amata Alden",,"4258832200","SONAR BUILDING MAINTENANCE INC",,,,"565.22"
"FIRE-2013-06921","15337 NE 92ND ST
Redmond, WA 98052
(47.68405942800047, -122.13676911999971)",,"225059215","Fire Life Safety","Tenant","2013-07-31T00:00:00.000","2013-02-01T00:00:00.000","313","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-06921","INTERIOR WOODWORKING SPECIALIST","0","0.00",,,,,,,"Dan Cummings",,,"500"
"FIRE-2013-01891","14515 NE 91ST ST
REDMOND, WA 98052
(47.683319663000475, -122.14728945699972)","1","325059202","Fire Life Safety","Tenant","2013-03-11T00:00:00.000","2013-02-01T00:00:00.000","334 WILLOWS TECH CNTR BLDG A","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-01891","Advanced Ironworks","0","0.00",,,,,,,"Lowrie Kristian",,,"200"
"FIRE-2013-03845","17725 NE 65TH ST
Redmond, WA 98052
(47.66397975500047, -122.1041491579997)","A115","2400500040","Fire Life Safety","Tenant","2013-05-10T00:00:00.000","2013-02-01T00:00:00.000","3449","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-03845","MARYMOOR REFINISHING","0","0.00",,,,,,,,,,"400"
"FIRE-2013-05372","7120 185TH AVE NE
Redmond, WA 98052
(47.66881934100047, -122.09371984899968)","150","7198950010","Fire Life Safety","Tenant","2013-06-18T00:00:00.000","2013-02-01T00:00:00.000","179","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-05372","COMPACT INFORMATION","0","0.00",,,,,,,"Cris Brickey",,,"300"
"FIRE-2013-05375","7120 185TH AVE NE
Redmond, WA 98052
(47.66881934100047, -122.09371984899968)","120","7198950010","Fire Life Safety","Tenant","2013-06-18T00:00:00.000","2013-02-01T00:00:00.000","179","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-05375","PAIZO PUBLISHING LLC","0","0.00",,,,,,,"Will Chase",,,"200"
"FIRE-2013-04533","17725 NE 65TH ST
Redmond, WA 98052
(47.66397975500047, -122.1041491579997)","B215","2400500030","Fire Life Safety","Tenant","2013-05-29T00:00:00.000","2013-02-01T00:00:00.000","116","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2013-04533","LODER INSTRUMENT CO./ INC. # B-215","0","0.00",,,,,,,"John Loder",,,"100"
"B120663","15584 NE 31ST ST
REDMOND, WA 98052
(47.63817277200047, -122.13266779799972)","MICROSOFT-AUGUSTA CAFE","2325059049","Commercial","Tenant Improvement","2012-11-16T00:00:00.000","2013-02-01T00:00:00.000","521 MICROSOFT-AUGUSTA CAFETERIA","https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/B120663","DEMOLITION OF EXISTING TENANT IMPROVEMENT.  NON-STRUCTURAL.  NEW CONSTRUCTION TO BE SUBMITTED UNDER SEPARATE PERMIT.  AREA OF CONSTRUCTION IS 21/695 SQ FT.","50000","21695.00","1",,"IMPORT IMPORT",,"2064477654","HOWARD S WRIGHT CONSTRUCTORS LP",,,,"565.22"
