Permit Number,Location,Additional Reference,Permit Type,Work Class,Issue Date,Project Name,Permit Details,Work Description,Valuation,Number of Units,Owner,Applicant,Contractor,Company,Tenant,Total Fees,Zip Codes
BLDG-2018-07754,"9540 180TH AVE NE
REDMOND, WA 98052
(47.686732, -122.102371)",,Residential,New,07/18/2019,Perrigo East Duplex,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2018-07754,RNEW - SFEL - Perrigo East - Construction of a 2 story fire sprinkled 2 family dwelling on a single existing lot including 4/002 sf of dwelling area/ a 720 sf garage/ a 116 sf covered deck/porch and a 90 sf uncovered deck/porch.  Total area of construction = 4/928 sf.,507477.74,2,,Luay Joudeh,,FORTWEST LLC,,34940.93,17806
FIRE-2015-01084,"8655 154TH AVE NE
REDMOND, WA 98052
(47.679983, -122.134688)",,Fire Life Safety,Tenant,08/01/2019,SmartSource Rentals,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/FIRE-2015-01084,SmartSource Rentals,0,,,,,,,351.11,17806
ELEC-2019-05625,"16425 NE 80TH ST
REDMOND, WA 98052
(47.674863, -122.120554)",,Electrical - OTC,Commercial,08/01/2019,Shalimar Grocery,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/ELEC-2019-05625,OTC - Shalimar Grocery - Replace ceiling light fixtures/ 2 circuits in walk in fridge/  4 circuits for other refrigerators. Customer paid for (8) circuits,20000,,,Anu Tewari,,,,697.11,17806
,,,,,,,,,,,,,,,,,
BLDG-2019-03496,"5454 160TH PL NE
REDMOND, WA 98052",,Residential,Addition,07/08/2019,23296_HENAIRE/ MATHIEU,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-03496,RADD � Mathieu Henaire � Project description: (#1) New Office on 2nd Floor - Frame Floor (9x8) and frame a wall/door to close off room - (#2) New Door on main floor leading to basement � Total area of construction = 85 sf.,8711.25,1,MATHIEU HENAIRE,Gabe Ruppert,GJR Custom Carpentry,GJR CUSTOM CARPENTRY,,579.52,
BLDG-2019-02330,"6974 141ST CT NE
REDMOND, WA 98052",,Residential,New,07/24/2019,_Grass Lawn-Lot 5,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02330,RNEW � Grass Lawn � Lot 5 � Plan 3 - Construction of a new 2 story/ Garage Left/ fire sprinkled single-family residence including 3/468 sf of dwelling area/ a 433 sf garage/ a 131 sf covered entry porch and a 231 sf covered rear patio. Total area of construction = 4/263 sf.,441385.24,1,MILESTONE NORTHWEST LLC,Scott McMillen,MILESTONE NORTHWEST LLC,MILESTONE NORTHWEST LLC,,11296.68,
BLDG-2019-04236,"12086 159TH AVE NE
REDMOND, WA 98052",,Residential,New,07/08/2019,_Greystone IV-Lot 176,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04236,RNEW - Greystone IV - Lot 176 - Plan ID# 4050.6.0B - Construction of a new 2 story plus habitable attic/ garage right fire sprinkled single-family residence including 4/069 sf of dwelling area/ a 685 sf garage/ a 75 sf covered entry porch and a 234 sf covered patio. Total area of construction = 5/063 sf.,520026.31,1,Greystone Builders LLC,Monika Konrad,Greystone Builders LLC,GREYSTONE BUILDERS LLC,,35617.62,
DEMO-2019-00638,"0 No
Address REDMOND, WA 98052",,Demolition,None,07/25/2019,Pond C House DEMO,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/DEMO-2019-00638,Demolish two-story home. Remove basement and place import fill flush with existing grade. remove all debris for disposal. Remove septic tank per KC Health. Remove associated outbuildings. Remove stilling basin. remove and dispose of trash and debris. Area of work is 880 sq ftDemolition of detached garage permitted under DEMO-2019-00637,25000,1,,Tom Hardy,,RHINE DEMOLITION LLC,,1073.55,
BLDG-2019-03652,"16420 NE 97TH PL
REDMOND, WA 98052
(47.687146, -122.120189)",,Residential,Addition,07/17/2019,11014_WELANDER BENJAMIN,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-03652,RADD - Welander Residence - Adding 390 SF to the living room. Converting 420 SF garage to bedroom and closet and adding 68 SF covered front porch. Total SF 878.,97593.02,1,BENJAMIN WELANDER,Donovan Benson,BENSON CONTRACTING LLC,BENSON CONTRACTING LLC,,2327.57,17806
BLDG-2019-04216,"16733 NE 41ST ST
REDMOND, WA 98052
(47.647254, -122.116589)",,Residential,Addition,07/26/2019,14435_ELNEKAVE MORAN+RINAT,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04216,RADD � Moran Elnekave � Addition of 267 SF to first story to relocate kitchen.  Addition of 770 SF to 2nd story - 2 bedrooms above the living room/ dining room and new kitchen.  Additional full bath on the second story and partial remodel of existing master bathroom as well as additional walk-in closet. Add a bonus room at 3rd story. New uncovered rear deck of 360 SF � Total area of construction = 1397 SF.,134818.75,1,Moran Elnekave,Moran Elnekave,ADVANCE CONSTRUCTION LLC,ADVANCE CONSTRUCTION LLC,,2995.75,17806
BLDG-2019-02387,"11885 159TH AVE NE
REDMOND, WA 98052
(47.706183, -122.12669)",,Residential,New,07/16/2019,_Kensington Lane-Lot 13,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02387,RNEW � Kensington Lane � Lot 13 � Plan #KL-13 - Construction of a new 2 story/ garage left/ fire sprinkled single-family residence including 1/422 sf of dwelling area/ a 239 sf garage/ a 57 sf covered entry porch and a 88 sf covered patio. Total area of construction = 1806 sf.,183627.98,1,Steve Burnstead Construction LLC,Steven Ehrlich,STEVE BURNSTEAD CONSTRUCTION LLC,STEVE BURNSTEAD CONSTRUCTION LLC,,31326.58,17806
BLDG-2019-03081,"11409 174TH AVE NE
REDMOND, WA 98052",,Residential,New,07/11/2019,_Hawthorne Lane-Lot 24,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-03081,Hawthorne Lane-Lot 24. Fire Sprinkled -2 story with habitable attic/ Plan HP-6/ garage left. Dwelling 3/413 sq. ft./ covered entry porch 106 sq. ft./ covered patio 66 sq. ft. and garage 430 sq. ft. Total area  4/015 sq. ft.,425047.63,1,Rick Burnstead,Steven Ehrlich,RICK BURNSTEAD CONSTRUCTION LLC,RICK BURNSTEAD CONSTRUCTION LLC,,34739.08,
BLDG-2019-04513,"12090 159TH CT NE
REDMOND, WA 98052",,Residential,New,07/11/2019,_Greystone IV-Lot 158,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04513,RNEW � Greystone IV � Lot 158 � Plan #4867 B - Construction of a new 2 story/ Garage Right/ fire sprinkled single-family residence including 3/806 sf of dwelling area/ a 443 sf garage/ a 65 sf covered entry porch and a 244 sf covered Patio. Total area of construction = 4/558 sf.,478366.22,1,Greystone Builders LLC,Monika Konrad,Greystone Builders LLC,GREYSTONE BUILDERS LLC,,35143.6,
BLDG-2019-01425,"10785 WILLOWS RD NE
REDMOND, WA 98052
(47.697235, -122.151892)",,Change of Occupancy,To Commercial,07/01/2019,SEA119 WCD,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-01425,Facebook - Office renovation including new kitchen and event space for employees. Area of work: 10/122 sq ft.,3800000,1,Preylock Redmond LLC,Antonio Norsworthy,BNBUILDERS INC,BNBUILDERS INC,,39887.06,17806
BLDG-2019-04512,"12080 159TH CT NE
REDMOND, WA 98052",,Residential,New,07/11/2019,_Greystone IV-Lot 157,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04512,RNEW � Greystone IV � Lot 157 � Plan #4810 A - Construction of a new 2 story/ Garage Right/ fire sprinkled single-family residence including 3/634 sf of dwelling area/ a 570 sf garage/ a 155 sf covered entry porch and a 81 sf covered patio. Total area of construction = 4/440 sf.,460450.54,1,Greystone Builders LLC,Monika Konrad,Greystone Builders LLC,GREYSTONE BUILDERS LLC,,34919.06,
