Location,Apply Date,Issue Date,Project Name,Permit Details,Work Description,Valuation,Sq Ft,Company,Zip Codes
"12100 159TH CT NE
REDMOND, WA 98052",10/08/2019,10/25/2019,_Greystone IV-Lot 159,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-07279,RNEW – Greystone IV – Lot 159 – New construction of single family home/ permit off lot specific plan LS4050.6.0B/ garage right. Dwelling: 4/069 sf/ Garage: 449 sf/ Covered Entry Porch: 75 sf/ Covered Patio: 234 sf. Total: 4/827 sf,509189.19,4827,GREYSTONE BUILDERS LLC,
"13885 NE 97TH ST
KIRKLAND, WA 98033",09/13/2019,10/23/2019,_Rose Hill-Lot 9,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-06665,RNEW – Prelude at Rose Hill – LOT 9 – PLAN 2551 Elevation A - Construction of a new 2 story/ garage left/ fire sprinkled single-family residence including 2/551 sf dwelling area/  446 sf garage/ and 16 sf covered entry porch. Total area of construction = 3/013 sf.,317605.21,3013,BENCHMARK COMMUNITIES LLC,
"13895 NE 97TH ST
KIRKLAND, WA 98033",09/13/2019,10/23/2019,_Rose Hill-Lot 10,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-06666,RNEW – Prelude at Rose Hill – LOT 10 – Plan 2308 - Elevation B - Construction of a new #2 Story/ garage right/ fire sprinkled single-family residence including 2/308 sf of dwelling area/ a 385 sf garage and a 28 sf covered entry porch. Total area of construction = 2/721 sf.,287199.32,2721,BENCHMARK COMMUNITIES LLC,
"13873 NE 97TH ST
KIRKLAND, WA 98033",09/13/2019,10/23/2019,_Rose Hill-Lot 8,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-06664,RNEW – Prelude at Rose Hill – LOT 8 – PLAN 2308 AND A - Construction of a new 2 story/ GARAGE right/ fire sprinkled single-family residence including 2/308 sf of dwelling area/  385 sf garage/ 28 sf covered entry porch. Total area of construction = 2/721 sf.,287199.32,2721,BENCHMARK COMMUNITIES LLC,
"11905 159TH AVE NE
REDMOND, WA 98052",08/14/2019,09/09/2019,_Kensington Lane-Lot 11,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-05926,RNEW – Kensington Lane – Lot 11 – KL-3A - Construction of a new 2 story + habitable attic/ garage left/ fire sprinkled single-family residence including 3/457 sf of dwelling area/ a 432 sf garage/ and a 36 sf covered entry porch. Total area of construction = 3/925 sf.,423227.03,3925,STEVE BURNSTEAD CONSTRUCTION LLC,
"11895 159TH AVE NE
REDMOND, WA 98052
(47.706238, -122.126684)",08/14/2019,09/16/2019,_Kensington Lane-Lot 12,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-05927,RNEW – Kensington Lane – Lot 12 – KL-4A - Construction of a new 2 story + habitable attic/ garage left/ fire sprinkled single-family residence including 3/075 sf of dwelling area/ a 420 sf garage/ and a 36 sf covered entry porch. Total area of construction = 3/531 sf.,378306.69,3531,STEVE BURNSTEAD CONSTRUCTION LLC,17806
"11915 159TH AVE NE
REDMOND, WA 98052",08/14/2019,09/09/2019,_Kensington Lane-Lot 10,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-05925,RNEW – Kensington Lane – Lot 10 – KL-2A - Construction of a new 2 story + habitable attic/ garage right/ fire sprinkled single-family residence including 3/936 sf of dwelling area/ a 411 sf garage/ and a 34 sf covered entry porch. Total area of construction = 4/381 sf.,477795.28,4381,STEVE BURNSTEAD CONSTRUCTION LLC,
"12075 159TH CT NE
REDMOND, WA 98052",08/13/2019,09/10/2019,_Greystone IV-Lot 182,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-05897,RNEW – Greystone IV – Lot 182 – LS plan#LS4050.6.0A - Construction of a new 2 story + habitable attic/ garage right/ fire sprinkled single-family residence including 4/004 sf of dwelling area/ a 449 sf garage/ a 60 sf covered entry porch and a 165 sf covered Patio. Total area of construction = 4/678 sf.,497301.68,4678,GREYSTONE BUILDERS LLC,
"16484 NE 47TH ST
REDMOND, WA 98052
(47.65158, -122.118839)",07/19/2019,08/08/2019,_Duke's Landing-Lot 4,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-04895,RNEW � Duke's Landing � Lot 4 � Ballard w/basement plan - Shingle elevation - Construction of a new 2-story plus basement/ garage right/ fire sprinkled single-family residence including: 4/221 sf dwelling/ 421 sf garage/ 52 sf covered entry porch/ 220 sf covered deck/ and 124 sf covered balcony. Total area of construction = 5/038 sf.,530050.91,5038,CAMWEST/ A TOLL BROTHERS CO,17806
"4716 165TH PL NE
REDMOND, WA 98052",07/17/2019,08/08/2019,_Duke's Landing-Lot 18,https://land.redmond.gov/CAP/Permit/View/ByPermitNumber/BLDG-2019-02792,RNEW � Dukes Landing � LOT 18 � Aldwell - NW Contemporary - Construction of a new 2 story plus basement/ garage left/ fire sprinkled single-family residence including 3/851 sf of dwelling area/ a 420 sf garage/ a 35 sf covered entry porch and a 254 sf covered deck. Total area of construction = 4/560 sf.,509423.76,4560,CAMWEST/ A TOLL BROTHERS CO,
