"industry","type","year","count","date"
"Accommodation","Businesses","2021","116","2021-01-01T00:00:00.000"
"Accommodation","Employees","2021","1937","2021-01-01T00:00:00.000"
"Administrative & Support & Waste Management & Remediation Services","Businesses","2021","526","2021-01-01T00:00:00.000"
"Administrative & Support & Waste Management & Remediation Services","Employees","2021","4573","2021-01-01T00:00:00.000"
"Agriculture, Forestry, Fishing & Hunting","Businesses","2021","18","2021-01-01T00:00:00.000"
"Agriculture, Forestry, Fishing & Hunting","Employees","2021","207","2021-01-01T00:00:00.000"
"Arts, Entertainment & Recreation","Businesses","2021","242","2021-01-01T00:00:00.000"
"Arts, Entertainment & Recreation","Employees","2021","3388","2021-01-01T00:00:00.000"
"Bldg Material & Garden Equipment & Supplies Dealers","Businesses","2021","175","2021-01-01T00:00:00.000"
"Bldg Material & Garden Equipment & Supplies Dealers","Employees","2021","2364","2021-01-01T00:00:00.000"
"Central Bank/Credit Intermediation & Related Activities","Businesses","2021","278","2021-01-01T00:00:00.000"
"Central Bank/Credit Intermediation & Related Activities","Employees","2021","2788","2021-01-01T00:00:00.000"
"Clothing & Clothing Accessories Stores","Businesses","2021","138","2021-01-01T00:00:00.000"
"Clothing & Clothing Accessories Stores","Employees","2021","890","2021-01-01T00:00:00.000"
"Construction","Businesses","2021","1006","2021-01-01T00:00:00.000"
"Construction","Employees","2021","8523","2021-01-01T00:00:00.000"
"Educational Services","Businesses","2021","325","2021-01-01T00:00:00.000"
"Educational Services","Employees","2021","22337","2021-01-01T00:00:00.000"
"Electronics & Appliance Stores","Businesses","2021","71","2021-01-01T00:00:00.000"
"Electronics & Appliance Stores","Employees","2021","693","2021-01-01T00:00:00.000"
"Food & Beverage Stores","Businesses","2021","226","2021-01-01T00:00:00.000"
"Food & Beverage Stores","Employees","2021","5567","2021-01-01T00:00:00.000"
"Food Services & Drinking Places","Businesses","2021","952","2021-01-01T00:00:00.000"
"Food Services & Drinking Places","Employees","2021","16504","2021-01-01T00:00:00.000"
"Furniture & Home Furnishings Stores","Businesses","2021","105","2021-01-01T00:00:00.000"
"Furniture & Home Furnishings Stores","Employees","2021","936","2021-01-01T00:00:00.000"
"Gasoline Stations","Businesses","2021","29","2021-01-01T00:00:00.000"
"Gasoline Stations","Employees","2021","184","2021-01-01T00:00:00.000"
"General Merchandise Stores","Businesses","2021","102","2021-01-01T00:00:00.000"
"General Merchandise Stores","Employees","2021","3911","2021-01-01T00:00:00.000"
"Health Care & Social Assistance","Businesses","2021","1471","2021-01-01T00:00:00.000"
"Health Care & Social Assistance","Employees","2021","26811","2021-01-01T00:00:00.000"
"Health & Personal Care Stores","Businesses","2021","215","2021-01-01T00:00:00.000"
"Health & Personal Care Stores","Employees","2021","1754","2021-01-01T00:00:00.000"
"Information","Businesses","2021","262","2021-01-01T00:00:00.000"
"Information","Employees","2021","2750","2021-01-01T00:00:00.000"
"Insurance Carriers & Related Activities; Funds, Trusts & Other Financial Vehicles","Businesses","2021","323","2021-01-01T00:00:00.000"
"Insurance Carriers & Related Activities; Funds, Trusts & Other Financial Vehicles","Employees","2021","1939","2021-01-01T00:00:00.000"
"Management of Companies & Enterprises","Businesses","2021","20","2021-01-01T00:00:00.000"
"Management of Companies & Enterprises","Employees","2021","55","2021-01-01T00:00:00.000"
