"fiscal_year","city","comparison_item","comparison_value"
"FY1718","Mesa","Primary Median Value","119063"
"FY1718","Chandler","Primary Median Value","165541"
"FY1718","Gilbert","Primary Median Value","177765"
"FY1718","Glendale","Primary Median Value","93849"
"FY1718","Phoenix","Primary Median Value","92066"
"FY1718","Scottsdale","Primary Median Value","275943"
"FY1718","Tempe","Primary Median Value","135443"
"FY1718","Mesa Proposed","Primary Median Value","125016"
"FY1718","Mesa","Primary Rate","0"
"FY1718","Chandler","Primary Rate","0.27"
"FY1718","Gilbert","Primary Rate","0"
"FY1718","Glendale","Primary Rate","0.4632"
"FY1718","Phoenix","Primary Rate","1.3359"
"FY1718","Scottsdale","Primary Rate","0.4956"
"FY1718","Tempe","Primary Rate","0.9246"
"FY1718","Mesa Proposed","Primary Rate","0"
"FY1718","Mesa","Primary Annual Cost","0"
"FY1718","Chandler","Primary Annual Cost","45"
"FY1718","Gilbert","Primary Annual Cost","0"
"FY1718","Glendale","Primary Annual Cost","43"
"FY1718","Phoenix","Primary Annual Cost","123"
"FY1718","Scottsdale","Primary Annual Cost","137"
"FY1718","Tempe","Primary Annual Cost","125"
"FY1718","Mesa Proposed","Primary Annual Cost","0"
"FY1718","Mesa","Secondary Median Value","119063"
"FY1718","Chandler","Secondary Median Value","165541"
"FY1718","Gilbert","Secondary Median Value","177765"
"FY1718","Glendale","Secondary Median Value","93849"
"FY1718","Phoenix","Secondary Median Value","92066"
"FY1718","Scottsdale","Secondary Median Value","275943"
"FY1718","Tempe","Secondary Median Value","135443"
"FY1718","Mesa Proposed","Secondary Median Value","125016"
"FY1718","Mesa","Secondary Rate","1.0968"
"FY1718","Chandler","Secondary Rate","0.87"
"FY1718","Gilbert","Secondary Rate","1.0281"
"FY1718","Glendale","Secondary Rate","1.614"
"FY1718","Phoenix","Secondary Rate","0.8241"
"FY1718","Scottsdale","Secondary Rate","0.5889"
"FY1718","Tempe","Secondary Rate","1.5688"
"FY1718","Mesa Proposed","Secondary Rate","1.0201"
"FY1718","Mesa","Secondary Annual Cost","131"
"FY1718","Chandler","Secondary Annual Cost","144"
"FY1718","Gilbert","Secondary Annual Cost","183"
"FY1718","Glendale","Secondary Annual Cost","151"
"FY1718","Phoenix","Secondary Annual Cost","76"
"FY1718","Scottsdale","Secondary Annual Cost","163"
"FY1718","Tempe","Secondary Annual Cost","212"
"FY1718","Mesa Proposed","Secondary Annual Cost","128"
"FY1718","Mesa","City Sales Tax Rate","0.0175"
"FY1718","Chandler","City Sales Tax Rate","0.015"
"FY1718","Gilbert","City Sales Tax Rate","0.015"
"FY1718","Glendale","City Sales Tax Rate","0.029"
"FY1718","Phoenix","City Sales Tax Rate","0.023"
"FY1718","Scottsdale","City Sales Tax Rate","0.0165"
"FY1718","Tempe","City Sales Tax Rate","0.018"
"FY1718","Mesa Proposed","City Sales Tax Rate","0.0175"
"FY1718","Mesa","City Sales Tax Annual Cost","499"
"FY1718","Chandler","City Sales Tax Annual Cost","552"
"FY1718","Gilbert","City Sales Tax Annual Cost","492"
"FY1718","Glendale","City Sales Tax Annual Cost","964"
"FY1718","Phoenix","City Sales Tax Annual Cost","672"
"FY1718","Scottsdale","City Sales Tax Annual Cost","542"
"FY1718","Tempe","City Sales Tax Annual Cost","591"
"FY1718","Mesa Proposed","City Sales Tax Annual Cost","499"
"FY1718","Mesa","Solid Waste Rate","29.6"
"FY1718","Chandler","Solid Waste Rate","16.93"
"FY1718","Gilbert","Solid Waste Rate","16"
"FY1718","Glendale","Solid Waste Rate","19.05"
"FY1718","Phoenix","Solid Waste Rate","26.8"
"FY1718","Scottsdale","Solid Waste Rate","15.96"
"FY1718","Tempe","Solid Waste Rate","25.09"
"FY1718","Mesa Proposed","Solid Waste Rate","30.18"
"FY1718","Mesa","Solid Waste Annual Cost","355"
"FY1718","Chandler","Solid Waste Annual Cost","203"
"FY1718","Gilbert","Solid Waste Annual Cost","192"
"FY1718","Glendale","Solid Waste Annual Cost","229"
"FY1718","Phoenix","Solid Waste Annual Cost","322"
"FY1415","Phoenix","Water Rate","28.1"
"FY1718","Scottsdale","Solid Waste Annual Cost","192"
"FY1718","Tempe","Solid Waste Annual Cost","301"
"FY1718","Mesa Proposed","Solid Waste Annual Cost","362"
"FY1718","Mesa","Water Rate","46.59"
"FY1718","Chandler","Water Rate","24.78"
"FY1718","Gilbert","Water Rate","24.28"
"FY1718","Glendale","Water Rate","34.82"
"FY1718","Phoenix","Water Rate","28.91"
"FY1718","Scottsdale","Water Rate","36.36"
"FY1718","Tempe","Water Rate","33.82"
"FY1718","Mesa Proposed","Water Rate","48.04"
"FY1718","Mesa","Water Annual Cost","559"
"FY1718","Chandler","Water Annual Cost","297"
"FY1718","Gilbert","Water Annual Cost","291"
"FY1718","Glendale","Water Annual Cost","418"
"FY1718","Phoenix","Water Annual Cost","347"
"FY1718","Scottsdale","Water Annual Cost","436"
"FY1718","Tempe","Water Annual Cost","406"
"FY1718","Mesa Proposed","Water Annual Cost","576"
"FY1718","Mesa","Wastewater Rate","29.05"
"FY1718","Chandler","Wastewater Rate","27.38"
"FY1718","Gilbert","Wastewater Rate","21.69"
"FY1718","Glendale","Wastewater Rate","32.2"
"FY1718","Phoenix","Wastewater Rate","24.18"
"FY1718","Scottsdale","Wastewater Rate","19.82"
"FY1718","Tempe","Wastewater Rate","22.63"
"FY1718","Mesa Proposed","Wastewater Rate","29.78"
"FY1718","Mesa","Wastewater Annual Cost","349"
"FY1718","Chandler","Wastewater Annual Cost","329"
"FY1718","Gilbert","Wastewater Annual Cost","260"
"FY1718","Glendale","Wastewater Annual Cost","386"
"FY1718","Phoenix","Wastewater Annual Cost","290"
"FY1718","Scottsdale","Wastewater Annual Cost","238"
"FY1718","Tempe","Wastewater Annual Cost","272"
"FY1718","Mesa Proposed","Wastewater Annual Cost","357"
"FY1718","Mesa","Annual Total","1893"
"FY1718","Chandler","Annual Total","1570"
"FY1718","Gilbert","Annual Total","1419"
"FY1718","Glendale","Annual Total","2192"
"FY1718","Phoenix","Annual Total","1830"
"FY1718","Scottsdale","Annual Total","1707"
"FY1718","Tempe","Annual Total","1907"
"FY1718","Mesa Proposed","Annual Total","1923"
"FY1718","Mesa","Percent of Mesa","1"
"FY1718","Chandler","Percent of Mesa","0.83"
"FY1718","Gilbert","Percent of Mesa","0.75"
"FY1718","Glendale","Percent of Mesa","1.16"
"FY1718","Phoenix","Percent of Mesa","0.97"
"FY1718","Scottsdale","Percent of Mesa","0.9"
"FY1718","Tempe","Percent of Mesa","1.01"
"FY1718","Mesa Proposed","Percent of Mesa","1.0158"
"FY1617","Mesa","Primary Median Value","114363"
"FY1617","Chandler","Primary Median Value","158981"
"FY1617","Gilbert","Primary Median Value","168998"
"FY1617","Glendale","Primary Median Value","88895"
"FY1617","Phoenix","Primary Median Value","89986"
"FY1617","Scottsdale","Primary Median Value","272020"
"FY1617","Tempe","Primary Median Value","133524"
"FY1617","Mesa Proposed","Primary Median Value","120081"
"FY1617","Mesa","Primary Rate","0"
"FY1617","Chandler","Primary Rate","0.29"
"FY1617","Gilbert","Primary Rate","0"
"FY1617","Glendale","Primary Rate","0.4792"
"FY1617","Phoenix","Primary Rate","1.3359"
"FY1617","Scottsdale","Primary Rate","0.5071"
"FY1617","Tempe","Primary Rate","0.9399"
"FY1617","Mesa Proposed","Primary Rate","0"
"FY1617","Mesa","Primary Annual Cost","0"
"FY1617","Chandler","Primary Annual Cost","46"
"FY1617","Gilbert","Primary Annual Cost","0"
"FY1617","Glendale","Primary Annual Cost","43"
"FY1617","Phoenix","Primary Annual Cost","120"
"FY1617","Scottsdale","Primary Annual Cost","138"
"FY1617","Tempe","Primary Annual Cost","125"
"FY1617","Mesa Proposed","Primary Annual Cost","0"
"FY1617","Mesa","Secondary Median Value","114363"
"FY1617","Chandler","Secondary Median Value","158981"
"FY1617","Gilbert","Secondary Median Value","168998"
"FY1617","Glendale","Secondary Median Value","88895"
"FY1617","Phoenix","Secondary Median Value","89986"
"FY1617","Scottsdale","Secondary Median Value","272020"
"FY1617","Tempe","Secondary Median Value","133524"
"FY1617","Mesa Proposed","Secondary Median Value","120081"
"FY1617","Mesa","Secondary Rate","1.1589"
"FY1617","Chandler","Secondary Rate","0.87"
"FY1617","Gilbert","Secondary Rate","1.0607"
