"reason_subcategory","reason_category","street_number","street_direction","street_name","street_type","city","arrive_datetime","clear_datetime","latitude","longitude","property_use","incident_type","incident_type_code"
"Medical - ALS","Medical","1800","S","POWER","RD","MESA","2007-02-22T11:38:32.000","2007-02-22T12:05:38.000","33.382864191942","-111.686139020783","1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - ALS","Medical","1000","S","LEBARON",,"MESA","2007-02-22T18:25:39.000","2007-02-22T18:44:51.000",,,"1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
"Fire-Other","Fire","500","S","COUNTRY CLUB","DR","MESA","2007-02-22T23:56:18.000","2007-02-23T00:01:56.000","33.4059184118818","-111.840096427607","Food and beverage sales, grocery store            ","Outside rubbish fire, Other                       ","150 "
"Medical - ALS","Medical","8500","E","SOUTHERN","AVE","MESA","2007-02-22T11:10:43.000","2007-02-22T11:24:50.000","33.3933734516699","-111.649773693173","1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
"Fire-Other","Fire","1000","S","LONGMORE",,"MESA","2007-02-22T00:13:15.000","2007-02-22T00:18:48.000",,,"Multifamily dwelling                              ","Alarm system sounded due to malfunction           ","735 "
"Fire-Structure","Fire","3600","E","THOMAS","RD","MESA","2007-02-22T10:31:17.000","2007-02-22T10:47:22.000","33.480996129734","-111.752891541956","Outside or special property, Other                ","No Incident found on arrival at dispatch address  ","622 "
"Medical - ALS","Medical","600","W","8TH","AVE","MESA","2007-02-22T19:07:50.000","2007-02-22T19:16:18.000","33.4005886621417","-111.844347292555","Residential, Other                                ","No Incident found on arrival at dispatch address  ","622 "
"Medical - ALS","Medical","700","N","PALO VERDE",,"MESA","2007-02-22T13:51:18.000","2007-02-22T13:54:11.000",,,"1 or 2 family dwelling                            ","Good intent call, Other                           ","600 "
"Medical - BLS","Medical","7300","E","FARMDALE","AVE","MESA","2007-02-22T21:36:07.000","2007-02-22T21:57:32.000","33.3964073514542","-111.673836129709","1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","2700","E","HOPI","AVE","MESA","2007-02-22T07:19:51.000","2007-02-22T07:31:48.000","33.3878724742757","-111.773526212621","1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","6800","E","BAYWOOD","AVE","MESA","2007-02-22T20:48:43.000","2007-02-22T21:03:52.000","33.4104534919886","-111.684632491989","Hospital - medical or psychiatric                 ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","2700","E","UNIVERSITY","DR","MESA","2007-02-22T14:20:18.000","2007-02-22T14:24:51.000","33.4227475016405","-111.772943460655","Vehicle parking area                              ","No Incident found on arrival at dispatch address  ","622 "
"Medical - BLS","Medical","100","W","BROWN","RD","MESA","2007-02-22T23:17:10.000","2007-02-22T23:28:58.000","33.4350452756732","-111.834339287109","Residential board and care                        ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","300","W","8TH","AVE","MESA","2007-02-22T17:43:57.000","2007-02-22T18:04:36.000","33.400634484284","-111.838236257858","Multifamily dwelling                              ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","2900","E","MAIN","ST","MESA","2007-02-22T13:03:50.000","2007-02-22T13:41:42.000","33.4155834960154","-111.768134126992","1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","1300","S","MESA","DR","MESA","2007-02-22T15:52:02.000","2007-02-22T16:05:59.000","33.3914374840464","-111.823024403501","Residential, Other                                ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","7300","E","BROADWAY","RD","MESA","2007-02-22T17:07:14.000","2007-02-22T17:23:10.000","33.4079874900532","-111.673869610006","Multifamily dwelling                              ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","2400","N","NICKLAUS","DR","MESA","2007-02-22T06:49:35.000","2007-02-22T07:14:18.000","33.4581560203547","-111.713297861126","1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","6100","E","ARBOR","AVE","MESA","2007-02-22T21:47:37.000","2007-02-22T21:55:15.000","33.4137513004709","-111.699775543942","24-hour care Nursing homes, 4 or more persons     ","Rescue, EMS incident, other                       ","300 "
"Medical - BLS","Medical","1700","S","EXTENSION","RD","MESA","2007-02-22T14:03:35.000","2007-02-22T14:24:50.000","33.3837185221875","-111.848763440626","1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","10500","E","FLORIAN","AVE","MESA","2007-02-22T01:05:34.000","2007-02-22T01:18:24.000","33.3955534237982","-111.604433089611","1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","1300","S","POWER","RD","MESA","2007-02-22T01:12:06.000","2007-02-22T01:27:40.000","33.3919127191122","-111.684945046592","Vehicle parking area                              ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","3500","E","FOUNTAIN","CIR","MESA","2007-02-22T18:04:02.000","2007-02-22T18:08:43.000","33.4350145112771","-111.75560234707","Resd. Care Facility - 6 to 10                     ","Public service assistance, Other                  ","550 "
"Medical - BLS","Medical","1100","N","GILBERT","RD","MESA","2007-02-22T13:26:41.000","2007-02-22T13:38:52.000","33.4349333977527","-111.787988937903","Mercantile, business, Other                       ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","9300","E","LINDNER","AVE","MESA","2007-02-22T22:56:21.000","2007-02-22T23:18:50.000","33.3764569543547","-111.634343812109","1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","400","S","QUINN",,"MESA","2007-02-22T04:32:18.000","2007-02-22T04:37:40.000",,,"1 or 2 family dwelling                            ","No Incident found on arrival at dispatch address  ","622 "
"Medical - BLS","Medical","10200","E","KIVA","AVE","MESA","2007-02-22T02:15:20.000","2007-02-22T02:39:40.000","33.3776673380645","-111.614346068673","1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","1000","E","8TH","ST","MESA","2007-02-22T22:31:48.000","2007-02-22T23:13:57.000","33.429704507105","-111.809554992895","Residential street, road or residential driveway  ","Motor vehicle accident with injuries              ","322 "
"Medical - BLS","Medical","900","S","MACDONALD",,"MESA","2007-02-22T10:46:08.000","2007-02-22T10:57:15.000",,,"1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","100","S","BARKLEY",,"MESA","2007-02-22T11:44:18.000","2007-02-22T12:00:42.000",,,"1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","100",,,,,"2007-02-22T09:50:19.000","2007-02-22T10:10:27.000",,,,"Automatic Aid/Mutual Aid - EMS                    ","5711"
"Medical - BLS","Medical","700","E","3RD","AVE","MESA","2007-02-22T08:07:58.000","2007-02-22T08:22:41.000","33.4096980461197","-111.816256069777","Multifamily dwelling                              ","EMS call, excluding vehicle accident with injury  ","321 "
"Fire-Other","Fire","700","W","KILAREA","AVE","MESA",,"2007-02-22T10:27:25.000","33.3756473269986","-111.848608292777",,,"74  "
"Fire-Other","Fire","1000","S","VAL VISTA","DR","MESA",,"2007-02-22T10:52:03.000","33.3968565612216","-111.753867442172",,"System or Detector Malfunction - Cancelled enroute","6112"
"Medical - Complex","Medical","2000","E","BROWN","RD","MESA",,"2007-02-22T07:37:30.000","33.4372645130452","-111.787783986955",,"Vehicle Accident - Cancelled enroute              ","6116"
"Medical - ALS","Medical","6200","E","GREENWAY","ST","MESA",,"2007-02-22T13:51:28.000","33.438020119191","-111.697482921177","Multifamily dwelling                              ","No Incident found on arrival at dispatch address  ","622 "
"Fire-Other","Fire","600","E","BROADWAY","RD","MESA",,"2007-02-22T12:22:13.000","33.4078625994533","-111.81848414569",,"Smoke Check - Cancelled enroute                   ","6115"
"Fire-Other","Fire","7300","E","HAMPTON","AVE","MESA",,"2007-02-22T23:50:37.000","33.3891400470015","-111.67482676245","Business office                                   ","Alarm system activation, no fire - unintentional  ","745 "
"Fire-Other","Fire","7300","E","HAMPTON","AVE","MESA",,"2007-02-22T23:40:26.000","33.3891400470015","-111.67482676245",,"Medical Call (Non Vehicle Acc) - Cancelled enroute","6117"
"Fire-Other","Fire","7300","E","HAMPTON","AVE","MESA",,"2007-02-22T23:44:36.000","33.3891400470015","-111.67482676245",,"Medical Call (Non Vehicle Acc) - Cancelled enroute","6117"
"ARFF","SpecOps","6000","S","SOSSAMAN","RD","MESA",,"2007-02-22T19:11:54.000","33.3074845569957","-111.670270943004","Aircraft taxiway                                  ","Aircraft Drill                                    ","4621"
"Medical - ALS","Medical","1800","S","VAL VISTA","DR","MESA",,"2007-02-22T18:05:55.000","33.3824013823598","-111.754111258731","Outside or special property, Other                ","Good intent call, Other                           ","600 "
"Medical - Complex","Medical","1700","S","GILBERT","RD","MESA",,"2007-02-22T18:07:54.000","33.3841477144744","-111.788523082894","Multifamily dwelling                              ","Police matter                                     ","552 "
"Medical - ALS","Medical","2400","E","SOUTHERN","AVE","MESA","2007-02-22T13:19:26.000","2007-02-22T13:21:05.000","33.3936507901285","-111.779742834527","Street or road in commercial area                 ","No Incident found on arrival at dispatch address  ","622 "
"Medical - ALS","Medical","2200","W","MAIN","ST","MESA",,"2007-02-21T01:18:41.000","33.4149094610477","-111.87936","1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - ALS","Medical","900","N","MESA","DR","MESA",,"2007-02-21T23:09:09.000","33.4313321844005","-111.822806692493",,"Medical Call (Non Vehicle Acc) - Cancelled enroute","6117"
"SpecOps-Other","SpecOps","900","S","COUNTRY CLUB","DR","MESA",,"2007-02-21T16:24:48.000","33.3656681562522","-111.841983138132","Residential or self-storage units                 ","Rescue or EMS standby                             ","381 "
"Fire-Other","Fire","5400","E","FLOWER","AVE","MESA",,"2007-02-21T16:18:13.000","33.3953633320424","-111.714347571299",,"System or Detector Malfunction - Cancelled enroute","6112"
"Medical - Complex","Medical","3600","E","SOUTHERN","AVE","MESA",,"2007-02-21T15:05:26.000","33.393776478905","-111.753764021095",,,"39  "
"Fire-Other","Fire","4300","E","FLORIAN","AVE","MESA",,"2007-02-21T15:12:13.000","33.3957918526973","-111.738096330626",,"System or Detector Malfunction - Cancelled enroute","6112"
"Fire-Other","Fire","1100","W","MAIN","ST","MESA",,"2007-02-21T12:53:17.000","33.4150715259679","-111.854843025535",,"Smoke Check - Cancelled enroute                   ","6115"
"Medical - ALS","Medical","6600","E","BAYWOOD","AVE","MESA",,"2007-02-21T11:53:51.000","33.4104857558533","-111.689547290771",,"Medical Call (Non Vehicle Acc) - Cancelled enroute","6117"
"Fire-Other","Fire","700","N","ELLSWORTH","RD","MARI",,"2007-02-21T12:02:11.000","33.4282","-111.632712",,"Medical Call (Non Vehicle Acc) - Cancelled enroute","6117"
"Medical - ALS","Medical","2200","E","RIO SALADO","PKWY","TEMP",,"2007-02-21T01:47:03.000","33.42943","-111.893152",,"Automatic/Mutual Aid - Cancelled enroute          ","6118"
"Medical - ALS","Medical","200","W","10TH","AVE","MESA",,"2007-02-21T07:05:37.000","33.397025481453","-111.835970869808","1 or 2 family dwelling                            ","No Incident found on arrival at dispatch address  ","622 "
"Fire-Other","Fire","6600","E","SOUTHERN","AVE","MESA",,"2007-02-21T06:36:18.000","33.3941008041452","-111.689004848027",,"Medical Call (Non Vehicle Acc) - Cancelled enroute","6117"
"Medical - BLS","Medical","2000","N","LAZONA","DR","MESA","2007-02-21T01:59:11.000","2007-02-21T02:23:59.000","33.4516139971382","-111.79970324678","Multifamily dwelling                              ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","200","N","POWER","RD","MESA","2007-02-21T18:02:20.000","2007-02-21T18:26:19.000","33.4189028398862","-111.684567042095","1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
"Medical - BLS","Medical","2100","N","CENTER","ST","MESA","2007-02-21T22:23:12.000","2007-02-21T22:47:52.000","33.4543400450252","-111.831116039643","1 or 2 family dwelling                            ","EMS call, excluding vehicle accident with injury  ","321 "
