"rowid","permit_number","property_address","street_number","street_direction","street_name","street_type","unit_number","council_district","issued_date","issued_year","issued_month","finaled_date","finaled_year","finaled_month","permit_year","status","description","value","use","icc_value","type_of_work","contractor_name","contractor_address","cofo_date","parcel_number","total_sq_ft","applicant","number_of_dwellings","number_of_dwelling_units","residential_permit","latitude","longitude","location"
"BLD2015-07118","BLD2015-07118","3200 E MCDOWELL RD","3200","E","MCDOWELL","RD",,"5","2016-01-06T00:00:00.000","2016","Jan",,,,"2015","Issued","REMOVE AND REPLACE EXISTING SUBSTATION #8","250000","COM","0","Com (OTH) -- Renovations/Remodels","PCL CONSTRUCTION SERVICES INC","1711 W GREENTREE DR STE 201 TEMPE AZ 85284 ",,"14117002A",,"WILSON ENGINEERS",,,"N","33.466637","-111.761552","POINT (-111.761552 33.466637)"
"BLD2016-01431","BLD2016-01431","7225 E PLATA AVE","7225","E","PLATA","AVE",,"6","2016-03-22T00:00:00.000","2016","Mar","2016-07-29T00:00:00.000","2016","Jul","2016","Finaled","MASTER PLAN PULTE HOMES #4524-1.1 FOR DESERT PLACE PHASE 2 FOR A ONE STORY 2450 S.F. RESIDENCE WITH A 3 CAR GARAGE. BONUS ROOMS AND 2 CAR GARAGE VERSION AVAILABLE. POST TENSION SLABS",,"RES","331251.97","Res (SFR) -- Single Family (Detached)","PULTE HOMES CORPORATION","16767 N PERIMETER DR SCOTTSDALE AZ 85260 ",,"30417677",,"PULTE HOMES CORPORATION","1","1","Y","33.361732","-111.678533","POINT (-111.678533 33.361732)"
"BLD2016-05918","BLD2016-05918","1242 W 6TH AVE","1242","W","6TH","AVE",,"4","2016-09-27T00:00:00.000","2016","Sep",,,,"2016","Issued","REF COD2016-05642. REMOVE 3  UNPERMITTED STRUCTURES AND PERMIT 25' X 21'-4' BLOCK SHED WITH ELECTRIC","0","RES","30023.89","Res (OTH) -- Storage Shed/Barn",,"   ",,"13447091",,"AMANDA HERNANDEZ",,,"N","33.403667","-111.858193","POINT (-111.858193 33.403667)"
"BLD2017-01900","BLD2017-01900","10440 E PALLADIUM DR","10440","E","PALLADIUM","DR",,"6","2017-03-21T00:00:00.000","2017","Mar","2017-08-04T00:00:00.000","2017","Aug","2017","Issued","MASTER PLAN 3 SYCAMORE WITH A 3 CAR GARAGE. 3 DIFFERENT STYLES. ",,"RES","350065.05","Res (SFR) -- Single Family (Detached)","WRH CONSTRUCTION, INC","8283 N HAYDEN RD STE 155 SCOTTSDALE AZ 85258 ","2017-08-02T00:00:00.000","30494304",,"WRH CONSTRUCTION, INC","1","1","Y","33.331242","-111.608344","POINT (-111.608344 33.331242)"
"BLD2017-03518","BLD2017-03518","10156 E PALLADIUM DR","10156","E","PALLADIUM","DR",,"6","2017-05-16T00:00:00.000","2017","May","2017-11-14T00:00:00.000","2017","Nov","2017","Issued","MARACAY HOMES #4531 AT EASTMARK PARCEL 7-20.  SINGLE STORY RESIDENCE FRAME BUILT WITH STUCCO FINISH.  CONCRETE TILE ROOF OVER PRE-ENGINEERED WOOD ROOF TRUSSES. PLANS INCLUDE FIRE SPRINKLERS",,"RES","347133.03","Res (SFR) -- Single Family (Detached)","MARACAY HOMES","15279 N. SCOTTSDALE RD. #300 SCOTTSDALE AZ 85254 ","2017-11-13T00:00:00.000","30432277",,"MARACAY HOMES","1","1","Y","33.328228","-111.614157","POINT (-111.614157 33.328228)"
"BLD2013-04502","BLD2013-04502","1321 S ALLEN ","1321","S","ALLEN",,,"4","2016-05-20T00:00:00.000","2016","May",,,,"2013","Issued","REFERENCE COD2013-02033.  CONVERT EXISTING CARPORT INTO GARAGE.  WOOD FRAMED WITH STUCCO FINISH TO MATCH EXISTING.. ","1500","RES","0","Res (OTH) -- Garage/Carport",,"   ",,"13907337",,,,,"N","33.391005","-111.803555","POINT (-111.803555 33.391005)"
"BLD2016-04323","BLD2016-04323","1442 N OGDEN ","1442","N","OGDEN",,,"5","2016-07-25T00:00:00.000","2016","Jul","2016-08-23T00:00:00.000","2016","Aug","2016","Finaled","FREE STANDING CARPORT 720 SQ FT. 32' X 16' X 13.5' HIGH. ALL METAL MANUFACTURED BY INTERSTATE CARPORTS WITH ENGINEERED DRAWINGS. NO SIDES OR GARAGE DOORS. ANCHORS ARE PER MANUFACTURERS SPECIFICATIONS.","3000","RES","28840.96","Res (OTH) -- Additions",,"   ",,"14132186",,"ROB WATSON",,,"N","33.442057","-111.740119","POINT (-111.740119 33.442057)"
"BLD2016-07340","BLD2016-07340","650 E FORGE AVE","650","E","FORGE","AVE",,"4","2016-12-01T00:00:00.000","2016","Dec",,,,"2016","Issued","ENCLOSE EXISTING 11'-4"" X 19'-0"" ATTACHED PATIO INTO INSULATED, AIR CONDITIONED STORAGE ROOM ","2500","RES","12108.8","Res (OTH) -- Additions",,"   ",,"13928052",,"ROLAND BEACH",,,"N","33.395696","-111.816896","POINT (-111.816896 33.395696)"
"MST2016-00016","MST2016-00016","  MBI BUILDERS #3502 ",,,"MBI BUILDERS #3502",,,"0","2016-02-12T00:00:00.000","2016","Feb",,,,"2016","Finaled","ADDENDA - REF MST2014-00149 - CHANGE TO ENLARGE ENTRY AND PORCHES AND DECREASE GARAGE AREA.  CHANGES APPROVED PER Z15-045.",,"RES","0","Res (OTH) -- Renovations/Remodels","MBI BUILDERS LLC","3321 E BASELINE RD GILBERT AZ 85234 ",,"MASTER PLAN",,"MBI BUILDERS LLC",,,"N",,,
"BLD2016-01259","BLD2016-01259","3312 E RUSSELL ST","3312","E","RUSSELL","ST",,"1","2016-03-10T00:00:00.000","2016","Mar","2016-08-26T00:00:00.000","2016","Aug","2016","Finaled","MASTER PLAN #3505 LEHI CROSSING, SINGLE FAMILY RESIDENCE.  FRAME BUILT, STUCCO FINISH, CONCRETE ROOF TILES OVER PRE-ENGINEERED WOOD ROOF TRUSSES.  POST-TENSIONED SLAB.  SEE ADDENDA #MST2012-00112 FOR MINOR CHANGES TO INTERIOR AND EXTERIOR INCLUDING RELOCATED COLUMNS AT PORCH.",,"RES","294244.96","Res (SFR) -- Single Family (Detached)","WILLIAM LYON HOMES INC","8840 E CHAPARRAL RD STE200 SCOTTSDALE AZ 85250 ","2016-08-24T00:00:00.000","14119532",,"WILLIAM LYON HOMES INC","1","1","Y","33.478167","-111.759179","POINT (-111.759179 33.478167)"
