"fiscal_year","fund","major_program_class","major_program_class_name","major_program_category","major_program_category_name","major_program","major_program_name","program","program_name","project_phase","project_phase_name","project_budget","project_actuals"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400CAP","Mesa Drive Phase II","102","Design","2174249.76","1944129.66"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400CAP","Mesa Drive Phase II","103","Land Acquisition","1907000","1486848.15"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400CAP","Mesa Drive Phase II","104","Construction","15063749.56","14258085.74"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400CAP","Mesa Drive Phase II","120","Direct Expenses","2774.39","1919.27"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400CAP","Mesa Drive Phase II","199","CIP Administration","957388.89","730293.61"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400ELC","Mesa Drive Phase II - Electric","102","Design","520682","492286.92"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400ELC","Mesa Drive Phase II - Electric","103","Land Acquisition","139860","142.12"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400ELC","Mesa Drive Phase II - Electric","104","Construction","6121892","5814106.77"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400ELC","Mesa Drive Phase II - Electric","199","CIP Administration","406946","351958.29"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400GAS","Mesa Drive Phase II - Gas","102","Design","45028","30077.36"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400GAS","Mesa Drive Phase II - Gas","104","Construction","1772505","1679984.43"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400GAS","Mesa Drive Phase II - Gas","199","CIP Administration","109052","90174.92"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400MNH","Mesa Drive Phase II - Manhole","104","Construction","143355","113168.93"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400MNH","Mesa Drive Phase II - Manhole","199","CIP Administration","8602","16543.69"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400WTR","Mesa Drive Phase II - Water","102","Design","131038","133019.93"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400WTR","Mesa Drive Phase II - Water","104","Construction","2476503","2271964.3"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400WTR","Mesa Drive Phase II - Water","199","CIP Administration","156452","204521.73"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400WW","Mesa Drive Phase II - WW","102","Design","86870","25265.19"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400WW","Mesa Drive Phase II - WW","104","Construction","325134","298827.9"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01400","Mesa Drive Phase II","C01400WW","Mesa Drive Phase II - WW","199","CIP Administration","32960","22393.45"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01817","Mesa Drive: Southern Ave to US 60","C01817CAP","Mesa Drive: Southern Ave to US 60","104","Construction","23273720.3","23273720.3"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01817","Mesa Drive: Southern Ave to US 60","C01817CAP","Mesa Drive: Southern Ave to US 60","199","CIP Administration","1075315.23","1075315.23"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01817","Mesa Drive: Southern Ave to US 60","C01817LND","Mesa Drive: Sthrn Ave to US 60 - Land","103","Land Acquisition","1210256.67","1210256.67"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01817","Mesa Drive: Southern Ave to US 60","C01817LND","Mesa Drive: Sthrn Ave to US 60 - Land","199","CIP Administration","39536.57","39536.57"
"2023","Capital Project Funding","2TR","Transportation","3ST","Streets","C01817","Mesa Drive: Southern Ave to US 60","C01817LND2","Mesa Drive: Sthrn Ave to US 60 - Land 2","103","Land Acquisition","739743.33","262673.94"
