"inventory_id","department","name","description","data_classfication","creation_date","publication_status","dataset_id","dataset_link","domain","category","contact_email","source_system","data_change","data_classification_comment"
"60","Environmental Management and Sustainability","Accidents and Incidents","Accidents or incidents that have occurred within the Environmental Management and Sustainability department during the current calendar year.","Sensitive",,"Reviewed",,,,"Environmental Management and Sustainability","xEnvironmentalManagementAndSustainabilityData@MesaAZ.gov",,"On-Demand",
"1",,"Census Variables (5-year Estimates)","Selected American Community Survey variables from Mesa and other nearby municipalities. 
This dataset uses 5-year estimates.",,"2019-07-11T09:54:00.000","published","9nqf-ygw6","https://citydata.mesaaz.gov/d/9nqf-ygw6","citydata.mesaaz.gov",,,,,
"144","US Census","Bachelor's Degree Fields","Total fields of bachelor's degree's reported for Mesa residents 25 years and over with a Bachelor's degree or higher attainment. Source is 2013-2017 American Community Survey 5-Year Estimates.(B15012). Source: U.S. Census Bureau, 2013-2017 American Community Survey 5-Year Estimate.","Public","2018-08-27T14:37:00.000","published","ytbr-nx68","https://data.mesaaz.gov/d/ytbr-nx68","data.mesaaz.gov","External Data","OpenData.Info@mesaaz.gov",,"Annual",
"2",,"Employment and Labor Force - Monthly","The Employment Dataset shows several current and historical annual statistics regarding the labor force, employment and unemployment in the City of Mesa and nearby municipalities.
Employment Data - Bureau of Labor Statistics - http://www.bls.gov/data/ 
Local Area Unemployment Statistics (LAUS) - https://www.bls.gov/lau/
To see how these terms are defined and what they include, please visit the Terms Glossary from the United State Department of Labor’s Bureau of Labor Statistics (BLS), which can be found at the following web address: http://www.bls.gov/bls/glossary.htm",,"2019-07-11T10:18:00.000","published","my3p-r9dg","https://citydata.mesaaz.gov/d/my3p-r9dg","citydata.mesaaz.gov",,,,,
"3",,"Census Variables (1-year Estimates)","Selected American Community Survey variables from Mesa and other nearby municipalities. 
#This dataset uses 1-year estimates.",,"2019-07-11T09:58:00.000","published","n5gn-m5c3","https://citydata.mesaaz.gov/d/n5gn-m5c3","citydata.mesaaz.gov",,,,,
"4","Arts and Culture","MAC Ticketing and Class Purchase Information","Sales of event tickets and class registrations sponsored or held at Mesa Arts Center","Protected",,"Not Documented",,,,"Recreation & Culture","xArtsAndCultureData@MesaAZ.gov","AudienceView","Daily",
"5","Arts and Culture","MAC Customer and Patron Survey","Survey information about MAC  patrons/customers; third-party hosted system","Protected",,"Not Documented",,,,"Recreation & Culture","xArtsAndCultureData@MesaAZ.gov","Survey Monkey","Daily",
"6","Arts and Culture","MAC Facility Mangement","Information about facility rentals, scheduling, equipment","Protected",,"Not Documented",,,,"Recreation & Culture","xArtsAndCultureData@MesaAZ.gov","Ungerboeck","Daily",
"7","Arts and Culture","MAC Donors","Information about donors to Mesa Arts Center including membership, funding","Protected",,"Not Documented",,,,"Recreation & Culture","xArtsAndCultureData@MesaAZ.gov","DonorPerfect","Daily",
"8","Arts and Culture","MAC Volunteers","Information about volunteers, contacts, assignments","Protected",,"Not Documented",,,,"Recreation & Culture","xArtsAndCultureData@MesaAZ.gov","Volunteer Database","Daily",
"9","Arts and Culture","MAC Concessions","Information about sales of concessions, food and beverages at Mesa Arts Center events","Protected",,"Not Documented",,,,"Recreation & Culture","xArtsAndCultureData@MesaAZ.gov","Talec","Daily",
"10","Arts and Culture","Arts and Culture Downtown Visitation","Number of visits to the Mesa Arts Center, Arizona Museum of Natural History, and i.d.e.a. Museum. The term visits refers to the number of distinct admissions to a program or facility. For example, if an individual were to attend a particular program on ten separate occasions this would be counted as ten visits. This is an industry term and is used for reporting internally to the City of Mesa as well as external agencies that Arts and Culture is affiliated with.The three facilities represented by the dataset are the i.d.e.a. Museum, AzMNH (Arizona Museum of Natural History) and the MAC (Mesa Arts Center) Fiscal year specifies fiscal year by the two year designation e.g. 2009/2010. The City of Mesa fiscal year for all departments is from July 1 - June 30.","Public","2018-01-27T11:36:00.000","published","ipea-qa5w","https://data.mesaaz.gov/d/ipea-qa5w","data.mesaaz.gov","Recreation & Culture","xArtsAndCultureData@MesaAZ.gov",,"monthly",
"11","Bureau of Labor Statistics","Employment and Labor Force - Monthly","The Employment Dataset shows several current and historical annual statistics regarding the labor force, employment and unemployment in the City of Mesa and nearby municipalities.
Employment Data - Bureau of Labor Statistics - http://www.bls.gov/data/ 
Local Area Unemployment Statistics (LAUS) - https://www.bls.gov/lau/ (See for next data release dates)
To see how these terms are defined and what they include, please visit the Terms Glossary from the United State Department of Labor’s Bureau of Labor Statistics (BLS), which can be found at the following web address: http://www.bls.gov/bls/glossary.htm","Public","2019-06-11T14:56:00.000","published","3vbg-xf63","https://data.mesaaz.gov/d/3vbg-xf63","data.mesaaz.gov","External Data",,,"Monthly",
"12","Business Services","Downtown Tax Revenue by Consumer Activity Period","NOTE: Effective March 1, 2019, the Mesa tax rate increased from 1.75% to 2.0%. 

This dataset contains revenue for active Transaction Privilege Tax (TPT) taxpayers (also known as Sales Tax) and Transient Lodging Tax (TLT) taxpayers (also known as Hotel / Motel Tax) located in downtown Mesa. To see a map of downtown Mesa boundaries see the ""Source Link"" below. Revenues are grouped by Reporting Period Year and Reporting Period Month. Reporting period generally refers to the time period when the consumer activity took place and is a representation of economic activity in the city. For example, a sale registered in the month of March appears in the reporting month March, regardless of when the payment was received/posted by the City. As taxpayers make payments and other corrections to previous periods, over time monthly revenue numbers fluctuate. Generally speaking, monthly revenue numbers for consumer activity become more accurate over time.","Public","2019-01-17T09:48:00.000","published","258t-7i6w","https://data.mesaaz.gov/d/258t-7i6w","data.mesaaz.gov","Financials","xBusinessServicesData@MesaAZ.gov",,"Daily",
"13","Business Services","Citywide Tax Revenue by Report Month","NOTE: Effective March 1, 2019, the Mesa tax rate increased from 1.75% to 2.0%. 

This dataset contains sales tax revenue for taxpayers within the City of Mesa by reporting month. Reporting month refers to the time period when the consumer activity took place and is a representation of economic activity in the city. For example, a sale registered in the month of March, appears in the reporting month March, regardless of when the payment was actually received/posted by the City. Revenues by reporting month change as audits, collections and other taxpayer payments/refunds are processed or other corrections to previous periods are received. These updates to revenues are reported to the month for which the taxable activity occurred. For these reasons, generally speaking, reporting month revenues become a more accurate reflection of consumer activity over time. For sales tax revenues reflecting posting month (accounting period when the tax revenues were posted), see ""Citywide Tax Revenue by Post Month"" at https://data.mesaaz.gov/Financials/Citywide-Tax-Revenue-by-Post-Month/e9zg-r4w9. Sales tax revenue includes Transaction Privilege Tax (TPT) and Transient Lodging Tax (TLT). Effective January 2017, the Arizona Department of Revenue administers sales and use tax collection for all state, county and municipal taxing jurisdictions. Visit https://www.mesaaz.gov/business/tax-audit for more information about sales tax in the City of Mesa.","Public","2019-01-16T10:32:00.000","published","8y5v-kwui","https://data.mesaaz.gov/d/8y5v-kwui","data.mesaaz.gov","Financials","xBusinessServicesData@MesaAZ.gov",,"Daily",
"14","Business Services","Citywide Tax Revenue by Post Month","NOTE: Effective March 1, 2019, the Mesa tax rate increased from 1.75% to 2.0%. 

This dataset contains sales tax revenue for taxpayers within the City of Mesa by posting month. Posting month is the accounting period the City booked the revenues and is used for financial reporting and budgeting. For sales tax revenues reflecting consumer activity periods (period when the taxes where collected by businesses), see ""Citywide Tax Revenue by Report Month"" at https://data.mesaaz.gov/Financials/Citywide-Tax-Revenue-by-Report-Month/8y5v-kwui. Sales tax revenue includes Transaction Privilege Tax (TPT) and Transient Lodging Tax (TLT). Effective January 2017, the Arizona Department of Revenue administers sales and use tax collection for all state, county and municipal taxing jurisdictions. Visit https://www.mesaaz.gov/business/tax-audit for more information about sales tax in the City of Mesa.","Public","2019-01-16T10:26:00.000","published","e9zg-r4w9","https://data.mesaaz.gov/d/e9zg-r4w9","data.mesaaz.gov","Financials","xBusinessServicesData@MesaAZ.gov",,"Daily",
"15","Business Services","Downtown Tax Revenue by Post Month","NOTE: Effective March 1, 2019, the Mesa tax rate increased from 1.75% to 2.0%. 

This dataset contains sales tax revenue for taxpayers within downtown Mesa by posting month. Posting month is the accounting period the City booked the revenues and is used for financial reporting and budgeting purposes. To see a map of downtown Mesa boundaries see the ""Source Link"" in the 'About this Dataset' section below. Because of taxpayer confidentiality guidelines, a category or business class with fewer than 10 taxpayers is combined with a similar taxpayer category. If after combining there are still less than 10 taxpayers then the category is excluded and associated revenues are posted as ""Other"". Transient Lodging Tax (TLT) revenues are NOT included in this dataset because there are too few taxpayers in the downtown area to report. For sales tax revenues reflecting consumer activity periods (period when the taxes where collected by businesses), see ""Downtown Tax Revenue by Report Month"" at https://data.mesaaz.gov/Financials/Downtown-Tax-Revenue-by-Report-Month/258t-7i6w. Sales tax revenue includes Transaction Privilege Tax (TPT) and Transient Lodging Tax (TLT). Effective January 2017, the Arizona Department of Revenue administers sales and use tax collection for all state, county and municipal taxing jurisdictions. Visit https://www.mesaaz.gov/business/tax-audit for more information about sales tax in the City of Mesa.","Public","2019-01-17T09:44:00.000","published","prsk-s8zq","https://data.mesaaz.gov/d/prsk-s8zq","data.mesaaz.gov","Financials","xBusinessServicesData@MesaAZ.gov",,"Daily",
"16","Business Services","ABC Donations","Information about A Better Community (ABC)  Donations","Protected",,"Not Documented",,,,"City Operations","xBusinessServicesData@MesaAZ.gov","CIS","Daily",
"17","Business Services","PD Alarm Permits and Renewals","Information about PD alarm permits","Sensitive",,"Not Documented",,,,"City Operations","xBusinessServicesData@MesaAZ.gov","Accela","Daily",
"18","Business Services","Contract Purchases","Information about city contracts","Sensitive",,"Not Documented",,,,"City Operations","xBusinessServicesData@MesaAZ.gov","Advantage FIN","Daily",
"19","Business Services","Customer Contact Center","Information about customer service calls, inlcuding agent call volumes, agent key results, etc.","Sensitive",,"Not Documented",,,,"City Operations","xBusinessServicesData@MesaAZ.gov","Aspect","Daily",
"20","Business Services","eBill Customers","Information about utility customers subscribed to ebilling","Protected",,"Not Documented",,,,"City Operations","xBusinessServicesData@MesaAZ.gov","Local database","Daily",
"21","Business Services","Tax Licensing","Information about tax licensing permits, activity and renewals","Protected",,"Not Documented",,,,"City Operations","xBusinessServicesData@MesaAZ.gov","Tax database","Daily",
"22","Business Services","Warehouse Inventory","Information about the city warehouse inventory","Sensitive",,"Not Documented",,,,"City Operations","xBusinessServicesData@MesaAZ.gov","Advantage FIN","Daily",
"23","City Clerk","City Clerk","Monthly tracking of various services provided by City Clerk.","Public","2019-03-18T12:38:00.000","published","tf5h-bcv2","https://citydata.mesaaz.gov/d/tf5h-bcv2","citydata.mesaaz.gov","City Clerk",,,"Monthly",
"24","City of Mesa","Mesa Census Tracts To City Boundary","Census Tracts clipped to City Boundaries","Public","2019-08-20T15:56:00.000","published","atuq-aaye","https://citydata.mesaaz.gov/d/atuq-aaye","citydata.mesaaz.gov",,,,"as needed",
"25","Code Compliance","Code Compliance Investigation Response","This dataset is a subset only of Code Enforcement information and is used by the Performance Measure ""Response Time to Code Complaints"" https://citydata.mesaaz.gov/d/8jwz-3v2t. Some fields are calculated or derived.

Full ""Code Enforcement"" dataset = https://citydata.mesaaz.gov/dataset/Code-Enforcement/hgf6-yenu","Public","2019-05-15T11:06:00.000","published","8t34-hz58","https://citydata.mesaaz.gov/d/8t34-hz58","citydata.mesaaz.gov","Code Compliance",,,"Daily",
"26","Code Compliance","Code Enforcement","Full dataset containing information about Code Enforcement. Note that the code case may be represented by multiple rows as workflow status changes. For dataset of distinct code cases, see the View under ""Related Content Using this Data"". For example https://citydata.mesaaz.gov/Code-Compliance/Distinct-Code-Cases/pp5c-rit9","Public","2019-02-20T11:21:00.000","published","hgf6-yenu","https://citydata.mesaaz.gov/d/hgf6-yenu","citydata.mesaaz.gov","Code Compliance",,,"Daily","This dataset does not  contain complaintant name or contact information"
"27","Community Services","Neighborhood Engagement Metrics","Metrics provided through Nextdoor.com, a private, 3rd party hosted social networking site for neighborhoods. Nextdoor allows users to connect with their neighbors to build stronger neighborhoods. Nextdoor tracks metrics related to number of users and how they post information and shares the data with the City of Mesa. The City posts information to residents through our account noted as “Agency, Public Safety or City Administrative Unit” in the data.  Neighborhood communication on the site is private and the City is not able to see any communication other than user interaction on posts originated by the City.","Public","2018-05-07T12:45:00.000","published","ktcv-f5xg","https://data.mesaaz.gov/d/ktcv-f5xg","data.mesaaz.gov","Neighborhoods","xCommunityServicesData@mesaaz.gov",,"monthly",
"61","Environmental Management and Sustainability","Inspections and Notices of Violations","An environmental inspection is an investigation of the City of Mesa’s level of compliance with an environmental regulation or permit, or of a perceived noncompliance or a complaint. A Notice of Violation (NOV) notifies the recipient that a regulatory agency believes the recipient committed one or more violations of any applicable rules or regulations.","Sensitive",,"Reviewed",,,,"Environmental Management and Sustainability","xEnvironmentalManagementAndSustainabilityData@MesaAZ.gov","Local database","Daily",
"28","Community Services","Regional Homelessness Performance Measures","RARE
Homelessness does not happen as often
•	System-building, partnerships and efficiencies with mainstream systems prevent people from becoming homeless
•	Diversion strategies prevent people from housing crises and homelessness

BRIEF
People who become homeless are connected to shelter and housing as soon as possible
•	Comprehensive housing based outreach connects people quickly to services
•	Low barrier emergency shelter is available for people who need it
•	Strong coordinated entry systems match and connect people to housing
•	Swift connections to many different forms of permanent housing—with Housing First practices underpinning every element of our response

ONE-TIME
People who are housed do not return to homelessness 
•	Housing-based services are provided for those who need them","Public","2018-12-06T15:11:00.000","published","nw9d-gad8","https://data.mesaaz.gov/d/nw9d-gad8","data.mesaaz.gov","Neighborhoods","xCommunityServicesData@MesaAZ.gov",,"Annual",
"29","Community Services","Unsheltered Street Count","Unsheltered Street Count by Municipality (2014‐2018), also known as Regional Homeless Point in Time Count. All communities participate in the unsheltered homeless count conducted during the last week of January. Numbers for all communities with the exception of Phoenix are a direct census of individuals interviewed by volunteers, law enforcement, and outreach workers. The City of Phoenix conducts a survey using an extrapolation method by which areas are designated “high density” or “low density” areas. Direct counts in those areas are then extrapolated to estimate the number of individuals experiencing homelessness in unsheltered situations within the City of Phoenix geographic boundaries.","Public","2018-12-06T14:30:00.000","published","qhak-epdf","https://data.mesaaz.gov/d/qhak-epdf","data.mesaaz.gov","Neighborhoods","xCommunityServicesData@MesaAZ.gov",,"Annual",
"30","Development Services","Board of Adjustment Review","Information about applications for Board of Adjustment Review within Development Services.","Public","2019-08-06T14:29:00.000","published","6zim-jx4t","https://citydata.mesaaz.gov/d/6zim-jx4t","citydata.mesaaz.gov","Development Services",,,"Daily",
"31","Development Services","Historical Preservation Responses","Information about requests for Historic Preservation  Certificate of Appropriateness","Public","2019-08-05T14:11:00.000","published","cw5y-hc85","https://citydata.mesaaz.gov/d/cw5y-hc85","citydata.mesaaz.gov","Development Services",,,"Daily",
"32","Development Services","DSD - P&Z and Design Review Applications","Information about Planning and Zoning (P&Z) and Design Review Board (DRB) applications","Public","2019-08-06T15:00:00.000","published","dw5w-76f6","https://citydata.mesaaz.gov/d/dw5w-76f6","citydata.mesaaz.gov","Development Services",,,"Daily",
"33","Development Services","Development Services - Permit Submittals and Resubmittals","Information about Development Services permit log in process","Public","2019-08-13T15:01:00.000","published","kg7m-y6f3","https://citydata.mesaaz.gov/d/kg7m-y6f3","citydata.mesaaz.gov","Development Services",,,"Daily",
"34","Development Services","Planning - Board of Adjustment (BOA) Memos","Information about Planning's Board of Adjustment (BOA) Memos","Public","2019-08-06T16:13:00.000","published","qmv6-zhfq","https://citydata.mesaaz.gov/d/qmv6-zhfq","citydata.mesaaz.gov","Development Services",,,"Daily",
"35","Development Services","DSD - P&Z and Design Review Memos","Information about Planning & Zoning (P&Z) and Design Review Board (DRB) Memos","Public","2019-08-06T15:39:00.000","published","u5a9-tj5y","https://citydata.mesaaz.gov/d/u5a9-tj5y","citydata.mesaaz.gov","Development Services",,,"Daily",
"36","Development Services","Building Permits","Building permits issued by City of Mesa. Included: All building permits applied. Not Included: Applications for Documents or Services, Code Compliance Complaints, Planning Cases, or Engineering Projects. It is assumed that all permits have been issued based on meeting all building and zoning codes.","Public","2018-01-26T16:41:00.000","published","2gkz-7z4f","https://data.mesaaz.gov/d/2gkz-7z4f","data.mesaaz.gov","Permits & Licenses","xDevelopmentServicesData@MesaAZ.gov",,"daily",
"37","Development Services","Historic Properties","Properties recognized by Mesa’s Historic Preservation Program for their architectural and cultural history.","Public","2018-01-30T10:30:00.000","published","2vsn-98r4","https://data.mesaaz.gov/d/2vsn-98r4","data.mesaaz.gov","Zoning & Property","xDevelopmentServicesData@MesaAZ.gov",,"as needed",
"38","Development Services","Code Violations","This dataset includes both Code Violations as determined by City of Mesa and reported complaints only, but no code violation found. Some data for cases between July 2017- July 2018 is unreliable and is excluded. This dataset does not include the status of the violation except to include the date the violation was closed. Individual up-to-date case status can be found at https://aca.accela.com/mesa/. Also includes violations that were voluntary complied with.  

Included: Cases opened since Jan 1, 2005 (with one file per calendar year). These cases were found by a City of Mesa Code Officer to be in violation of one or more city or state codes and are denoted by a value of ""N"" in ""Complaint Only"" field. In 2005-2006, the City of Mesa employed 22 Code Officers. Since that time, the number of Code Officers has been reduced to 10. 

Not Included: Commercial or Residential construction projects, Demolitions, Applications for Documents or Services, Planning Cases, or Engineering Projects.","Public","2018-01-21T13:33:00.000","published","ears-rpf9","https://data.mesaaz.gov/d/ears-rpf9","data.mesaaz.gov","Neighborhoods","xDevelopmentServicesData@MesaAZ.gov",,"daily",
