"calendar","title","location","description","start_date","end_date","phone","email","requirement"
"Ley 7-2017","Aprobación de la Ley 7-2017",,,"2017-02-03T00:00:00.000",,"(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Aprobación Reglamento Núm. 35",,,"2017-02-15T00:00:00.000",,"(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Publicación de espacio en página web.","http://contralorelectoral.gov.pr/index.php/es/plebiscito-2017",,"2017-02-21T00:00:00.000",,"(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 7-2017","Orientación Ley 7-2017 / Law 7-2017 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los partidos políticos, agrupaciones de ciudadanos o comités de acción política bajo la Ley para la Descolonización Inmediata de Puerto Rico.","2017-02-24T09:00:00.000","2017-02-24T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Radicación de informe de ingresos/gastos e informes de medios",,,"2017-03-01T00:00:00.000","2017-03-20T00:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 7-2017","Orientación Ley 7-2017 / Law 7-2017 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los partidos políticos, agrupaciones de ciudadanos o comités de acción política bajo la Ley para la Descolonización Inmediata de Puerto Rico.","2017-03-15T09:00:00.000","2017-03-15T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Radicación de informe de ingresos/gastos e informes de medios",,"Si se celebrara el Referendum.","2017-10-01T00:00:00.000","2017-10-20T00:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Radicación de informe de ingresos/gastos e informes de medios",,,"2017-04-01T00:00:00.000","2017-04-20T00:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 7-2017","Orientación Ley 7-2017 / Law 7-2017 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los partidos políticos, agrupaciones de ciudadanos o comités de acción política bajo la Ley para la Descolonización Inmediata de Puerto Rico.","2017-04-05T09:00:00.000","2017-04-05T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Comienzo de auditorías",,"Comienzo de auditorías de partidos y comités que participaron en el Referéndum, de celebrarse.","2017-12-22T00:00:00.000",,"(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Último día para solicitar participación",,"Último día para partidos o agrupaciones solicitar participar como representante principal.","2017-04-27T00:00:00.000",,"(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Radicación de informe de ingresos/gastos e informes de medios",,,"2017-05-01T00:00:00.000","2017-05-20T00:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 7-2017","Orientación Ley 7-2017 / Law 7-2017 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los partidos políticos, agrupaciones de ciudadanos o comités de acción política bajo la Ley para la Descolonización Inmediata de Puerto Rico.","2017-05-03T09:00:00.000","2017-05-03T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Informes de gastos independientes",,"Faltan 20 días para Plebiscito, Informes de Gastos Independientes se radican dentro de 24 hrs de gastar en el agregado $1,000 o más.","2017-05-22T00:00:00.000","2017-06-11T00:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Informar donativos tardíos",,"Periodo para informar donativos tardíos de $1,000 o más dentro de las 24 hrs. de haberlo recibido.","2017-06-01T00:00:00.000","2017-06-14T00:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Notificación de APC",,"Notificaciones de APC el día laborable después de celebrada la actividad.","2017-06-01T00:00:00.000","2017-06-30T00:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Radicación de informe de ingresos/gastos e informes de medios",,,"2017-06-01T00:00:00.000","2017-06-20T00:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","PLEBISCITO",,,"2017-06-11T00:00:00.000",,"(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Radicación de informe de ingresos/gastos e informes de medios",,,"2017-07-01T00:00:00.000","2017-07-20T00:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
