"calendar","title","location","description","start_date","end_date","phone","email","requirement"
"Orientación Ley 222-2011","Orientación Ley 222-2011 / Law 222-2011 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los candidatos, tesoreros, comitéspolíticos y funcionarios electos con la Ley para la Fiscalización del Financiamiento delas Campañas Políticas en Puerto Rico.","2016-10-05T09:30:00.000","2016-10-05T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Adiestramiento REI","Radicación Electrónica de Informes","Oficina del Contralor Electoral","Adiestramiento práctico sobre el sistema de radicación electrónica. El participante
conocerá como ingresar transacciones de donativos y de gastos al sistema para producir
y radicar los informes requeridos por Ley.","2016-10-05T13:30:00.000","2016-10-05T15:30:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Controles Internos","Controles Internos y Errores Comunes en la Radicación de Informes","Oficina del Contralor Electoral","En el curso se orientará a los tesoreros sobre el requisito de establecer un sistema de
controles internos para el comité a los fines que puedan cumplir con el requisito de
llevar una contabilidad completa y detallada de los donativos recibidos y los ga","2016-10-21T09:30:00.000","2016-10-21T12:30:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 222-2011","Orientación Ley 222-2011 / Law 222-2011 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los candidatos, tesoreros, comités
políticos y funcionarios electos con la Ley para la Fiscalización del Financiamiento de
las Campañas Políticas en Puerto Rico.","2016-10-19T09:30:00.000","2016-10-19T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Aprobación de la Ley 7-2017",,,"2017-02-03T00:00:00.000",,"(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Aprobación Reglamento Núm. 35",,,"2017-02-15T00:00:00.000",,"(787) 332-2050","secretaria@oce.gov.pr",
"Adiestramiento REI","Radicación Electrónica de Informes","Oficina del Contralor Electoral","Adiestramiento práctico sobre el sistema de radicación electrónica. El participanteconocerá como ingresar transacciones de donativos y de gastos al sistema para produciry radicar los informes requeridos por Ley.","2016-10-19T13:30:00.000","2016-10-19T15:30:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Adiestramiento REI","Radicación Electrónica de Informes","Oficina del Contralor Electoral","Adiestramiento práctico sobre el sistema de radicación electrónica. El participanteconocerá como ingresar transacciones de donativos y de gastos al sistema para produciry radicar los informes requeridos por Ley.","2017-02-22T13:30:00.000","2017-02-22T15:30:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Publicación de espacio en página web.","http://contralorelectoral.gov.pr/index.php/es/plebiscito-2017",,"2017-02-21T00:00:00.000",,"(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 222-2011","Orientación Ley 222-2011 / Law 222-2011 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los candidatos, tesoreros, comitéspolíticos y funcionarios electos con la Ley para la Fiscalización del Financiamiento delas Campañas Políticas en Puerto Rico.","2017-02-22T09:30:00.000","2017-02-22T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 7-2017","Orientación Ley 7-2017 / Law 7-2017 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los partidos políticos, agrupaciones de ciudadanos o comités de acción política bajo la Ley para la Descolonización Inmediata de Puerto Rico.","2017-02-24T09:00:00.000","2017-02-24T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Radicación de informe de ingresos/gastos e informes de medios",,,"2017-03-01T00:00:00.000","2017-03-20T00:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 7-2017","Orientación Ley 7-2017 / Law 7-2017 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los partidos políticos, agrupaciones de ciudadanos o comités de acción política bajo la Ley para la Descolonización Inmediata de Puerto Rico.","2017-03-15T09:00:00.000","2017-03-15T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Radicación de informe de ingresos/gastos e informes de medios",,"Si se celebrara el Referendum.","2017-10-01T00:00:00.000","2017-10-20T00:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 222-2011","Orientación Ley 222-2011 / Law 222-2011 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los candidatos, tesoreros, comitéspolíticos y funcionarios electos con la Ley para la Fiscalización del Financiamiento delas Campañas Políticas en Puerto Rico.","2017-03-29T09:30:00.000","2017-03-29T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Radicación de informe de ingresos/gastos e informes de medios",,,"2017-04-01T00:00:00.000","2017-04-20T00:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 7-2017","Orientación Ley 7-2017 / Law 7-2017 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los partidos políticos, agrupaciones de ciudadanos o comités de acción política bajo la Ley para la Descolonización Inmediata de Puerto Rico.","2017-04-05T09:00:00.000","2017-04-05T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Comienzo de auditorías",,"Comienzo de auditorías de partidos y comités que participaron en el Referéndum, de celebrarse.","2017-12-22T00:00:00.000",,"(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 222-2011","Orientación Ley 222-2011 / Law 222-2011 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los candidatos, tesoreros, comitéspolíticos y funcionarios electos con la Ley para la Fiscalización del Financiamiento delas Campañas Políticas en Puerto Rico.","2017-04-18T09:30:00.000","2017-04-18T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Último día para solicitar participación",,"Último día para partidos o agrupaciones solicitar participar como representante principal.","2017-04-27T00:00:00.000",,"(787) 332-2050","secretaria@oce.gov.pr",
"Ley 7-2017","Radicación de informe de ingresos/gastos e informes de medios",,,"2017-05-01T00:00:00.000","2017-05-20T00:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Adiestramiento REI","Radicación Electrónica de Informes","Oficina del Contralor Electoral","Adiestramiento práctico sobre el sistema de radicación electrónica. El participanteconocerá como ingresar transacciones de donativos y de gastos al sistema para produciry radicar los informes requeridos por Ley.","2017-04-05T13:30:00.000","2017-03-29T15:30:00.000","(787) 332-2050","secretaria@oce.gov.pr",
