"calendar","title","location","description","start_date","end_date","phone","email","requirement"
"Orientación Ley 222-2011","Orientación Ley 222-2011 / Law 222-2011 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los candidatos, tesoreros, comitéspolíticos y funcionarios electos con la Ley para la Fiscalización del Financiamiento delas Campañas Políticas en Puerto Rico.","2016-10-05T09:30:00.000","2016-10-05T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 222-2011","Orientación Ley 222-2011 / Law 222-2011 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los candidatos, tesoreros, comités
políticos y funcionarios electos con la Ley para la Fiscalización del Financiamiento de
las Campañas Políticas en Puerto Rico.","2016-10-19T09:30:00.000","2016-10-19T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 222-2011","Orientación Ley 222-2011 / Law 222-2011 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los candidatos, tesoreros, comitéspolíticos y funcionarios electos con la Ley para la Fiscalización del Financiamiento delas Campañas Políticas en Puerto Rico.","2017-02-22T09:30:00.000","2017-02-22T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 222-2011","Orientación Ley 222-2011 / Law 222-2011 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los candidatos, tesoreros, comitéspolíticos y funcionarios electos con la Ley para la Fiscalización del Financiamiento delas Campañas Políticas en Puerto Rico.","2017-03-29T09:30:00.000","2017-03-29T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 222-2011","Orientación Ley 222-2011 / Law 222-2011 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los candidatos, tesoreros, comitéspolíticos y funcionarios electos con la Ley para la Fiscalización del Financiamiento delas Campañas Políticas en Puerto Rico.","2017-04-18T09:30:00.000","2017-04-18T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 222-2011","Orientación Ley 222-2011 / Law 222-2011 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los candidatos, tesoreros, comitéspolíticos y funcionarios electos con la Ley para la Fiscalización del Financiamiento delas Campañas Políticas en Puerto Rico.","2017-05-10T09:30:00.000","2017-05-10T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 222-2011","Orientación Ley 222-2011 / Law 222-2011 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los candidatos, tesoreros, comitéspolíticos y funcionarios electos con la Ley para la Fiscalización del Financiamiento delas Campañas Políticas en Puerto Rico.","2017-06-14T09:30:00.000","2017-06-14T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 222-2011","Orientación Ley 222-2011 / Law 222-2011 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los candidatos, tesoreros, comitéspolíticos y funcionarios electos con la Ley para la Fiscalización del Financiamiento delas Campañas Políticas en Puerto Rico.","2017-07-12T09:30:00.000","2017-07-12T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 222-2011","Orientación Ley 222-2011 / Law 222-2011 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los candidatos, tesoreros, comitéspolíticos y funcionarios electos con la Ley para la Fiscalización del Financiamiento delas Campañas Políticas en Puerto Rico.","2017-08-16T09:30:00.000","2017-08-16T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
"Orientación Ley 222-2011","Orientación Ley 222-2011 / Law 222-2011 Seminar","Oficina del Contralor Electoral","Adiestramiento teórico sobre la responsabilidad de los candidatos, tesoreros, comitéspolíticos y funcionarios electos con la Ley para la Fiscalización del Financiamiento delas Campañas Políticas en Puerto Rico.","2017-09-13T09:30:00.000","2017-09-13T12:00:00.000","(787) 332-2050","secretaria@oce.gov.pr",
