"company","position","country","email_hosts","domain","location_1"
"Samsung","Dir","USA","gmail.com","com","
Fremont, CA 
(37.54827, -121.988572)"
"Digital Hollywood Venture Capital","General Partner","JAPAN","gmail.com","com","
Tokyo,  
(35.689488, 139.691706)"
"MD Financial Management","Innovation Evangelist","CANADA","cma.ca","ca","
Ottawa, ON 
(45.42153, -75.697193)"
"Hexagon Safety and Infrastructure","Sr User Experience Designer","USA","hexagonsi.com","com","
Madison, AL 
(43.073052, -89.40123)"
"SXSW Volunteer","Amber Roberson","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Student at Virginia tech ","Alex Ganglia no",,"vt.edu","edu","(37.1314053, -79.293693)"
"180LA","New Business Mgr","USA","180la.com","com","
Los Angeles, CA 
(34.052234, -118.243685)"
"Garmin International","Product Architect, Mobile & Wearable Devices","USA","garmin.com","com","
Olathe, KS 
(38.881396, -94.819128)"
"Neurodigiital Technologies","COO","SPAIN","neurodigital.es","es","
Almeria,  
(36.834047, -2.463714)"
"K2 Music Management","Sr Consultant/Engineering","UNITED KINGDOM","gmail.com","com","
Glasgow,  
(55.864237, -4.251806)"
"Saatchi & Saatchi","Brand Planning Dir","USA","saatchiny.com","com","
New York, NY 
(40.712784, -74.005941)"
"TRIGGER AS","Project Mgr","NORWAY","trigger.no","no","
Oslo,  
(59.913869, 10.752245)"
"Yahoo! JAPAN","Sr Research Analyst","JAPAN","yahoo-corp.jp","jp","
Minatoku,  
(35.658068, 139.751599)"
"Allen High School","Animator/Student","USA","allenisd.org","org","
Allen, TX 
(33.103174, -96.67055)"
"launch strategies","CTO","USA","launchflix.com","com","
Miami Beach, FL 
(25.790654, -80.130045)"
"SXSW Volunteer","Marco Roselli","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"The Things Network","Tech Lead","NETHERLANDS","thethingsnetwork.org","org","
Amsterdam,  
(52.370216, 4.895168)"
"PRIME","Planning Dir","SWEDEN","primegroup.com","com","
Stockholm,  
(59.329323, 18.068581)"
"Amazon Web Services","Sr Designer","USA","amazon.com","com","
Seattle, WA 
(47.60621, -122.332071)"
"City Of Cologne","Media","GERMANY","stadt-koeln.de","de","
Cologne,  
(50.937531, 6.960279)"
,,,"sqore.com","com",
"Mediabrands Publishing","Managing Dir","BELGIUM","mediabrands.be","be","
Hoeilaart,  
(50.767486, 4.474046)"
"N/A","Michelle Stuart","CANADA","marineharvest.com","com","
Black Creek, BC 
(46.535755, -84.287108)"
"NHK Japan Broadcasting Corporation","Producer","USA","nhkny.com","com","
New York, NY 
(40.712784, -74.005941)"
"Omrop Frysl̢n","CTO","NETHERLANDS","omropfryslan.nl","nl","
Leeuwarden,  
(53.201233, 5.799913)"
"CDI Interactive","Sr VP Managing Dir","COLOMBIA","cdi-interactive.com","com","
Bogota,  
(4.710989, -74.072092)"
"Austin chamber","Allison Scharf","USA","hotmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"US Army","Medical Officer","USA","gmail.com","com","
Fort Hood, TX 
(31.136331, -97.779705)"
"Weekly Refresh WNYU FM","Producer","USA","wnyu.org","org","
New York, NY 
(40.712784, -74.005941)"
"Capital One","UX Rockstar","USA","allthingschris.com","com","
Plano, TX 
(33.019843, -96.698886)"
"Austin Chamber of Commerce","SVP","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Techmatrix Co Ltd","Ryo Oba","JAPAN","or.knt.co.jp","jp","
Koutouku,  
(37.946861, 23.828688)"
"CI&T","Program Mgr","USA","ciandt.com","com","
Bensalem, PA 
(40.112555, -74.943514)"
"AnalogFolk","Founder & Chief Strategy Officer","UNITED KINGDOM","analogfolk.com","com","
London,  
(51.507351, -0.127758)"
"Ohio University","Producer/Engineer","USA","ohio.edu","edu","
Athens, OH 
(37.983917, 23.72936)"
"Intrepid Solutions","Owner","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Lioness","Co-founder/CEO","USA","lioness.io","io","
Berkeley, CA 
(37.871593, -122.272747)"
"PepsiCo","Assoc Research & Dev Engineer","USA","gmail.com","com","
Dallas, TX 
(32.776664, -96.796988)"
"N/A","Illustrator","USA","earthlink.net","net","
North Hollywood, CA 
(34.187044, -118.381256)"
"Overstock.com","Dir SEO","USA","overstock.com","com","
Cottonwood Heights, UT 
(40.618316, -111.816293)"
"Arlington Economic Development","Salesforce Admin","USA","arlingtonva.us","us","
Arlington, VA 
(32.735687, -97.108066)"
"CH Robinson","Web Designer","USA","chrobinson.com","com","
Eden Prairie, MN 
(44.854686, -93.470786)"
"Globoforce","Sr Business Analyst","IRELAND","globoforce.com","com","
Dublin,  
(53.349805, -6.26031)"
"University of Michigan","Dir, Institutional Positioning","USA","med.umich.edu","edu","
Ann Arbor, MI 
(42.280826, -83.743038)"
"N/A","Graphic Designer/Photographer","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Sno-Isle Libraries","Lead Librarian for Business","USA","sno-isle.org","org","
Marysville, WA 
(-37.510423, 145.74737)"
"UT","MBA student ","USA","gmail.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Cohn & Wolfe","Head of Digital & Integrated Mktg UK & EMEA","UNITED KINGDOM","cohnwolfe.com","com","
London,  
(51.507351, -0.127758)"
,"Aaron Marks","USA","aaronmarks.net","net","
Pittsburgh, PA 
(40.440625, -79.995886)"
"Editora Globo S/A","Digital Strategy Dir","BRAZIL","edglobo.com.br","br","
Sao Paulo, SP 
(-23.55052, -46.633309)"
"Texas State University","Asst Professor","USA","txstate.edu","edu","
San Marcos, TX 
(29.883275, -97.941394)"
"Beyond the Box Office","Founder","USA","gmail.com","com","
Wrightsville Beach, NC 
(34.208504, -77.796371)"
"Roskilde Festival","Board Member","DENMARK","roskilde-festival.dk","dk","
Roskilde,  
(55.64191, 12.087845)"
"National Instruments","Design Team Lead","USA","ni.com","com","
Austin, TX 
(30.267153, -97.743061)"
"Now sourcing","Creative director","USA","nowsourcing.com","com","
Louisville, KY 
(38.1889912, -85.8171978)"
,"Tomas Caquias",,"gmail.com","com",
"Refinery Hotel","Dir of Sales & Mktg","USA","refineryhotelnewyork.com","com","
New York, NY 
(40.712784, -74.005941)"
"SXSW Volunteer","Emily Richards","USA","gmail.com","com","
Kerrville, TX 
(30.047433, -99.140319)"
"iCiDIGITAL","Vice President/Digital and Emerging Technologies","USA","icidigital.com","com","
Raleigh, NC 
(35.77959, -78.638179)"
"Swedish Ministry of Enterprise and Innovation","Desk Officer","SWEDEN","gov.se","se","
Stockholm,  
(59.329323, 18.068581)"
"Lenel Systems International","UX Interaction Designer","USA","lenel.com","com","
Pittsford, NY 
(43.090619, -77.514997)"
"Federal Reserve Bank of San Francisco","Dir","USA","sf.frb.org","org","
San Francisco, CA 
(37.77493, -122.419416)"
"Milwaukee Tool","Asst Product Mgr","USA","milwaukeetool.com","com","
Brookfield, WI 
(43.060567, -88.106479)"
"Twelve South","Mktg Mgr","USA","me.com","com","
Mount Pleasant, SC 
(32.832322, -79.828426)"
