"business_name","address","address_continued","city","state","zip_code","entity_of_record_name","entity_of_record_reg_number","not_of_record_entity","registry_number","entity_type","registry_date","nonprofit_type","associated_name_type","first_name","middle_name","last_name","suffix"
"UNITED METHODIST CHURCH, OREGON CITY, OREGON","18955 S SOUTH END RD",,"OREGON CITY","OR","97045",,,,"299818","DOMESTIC NONPROFIT CORPORATION","1850-05-17 00:00:00","RELIGIOUS WITH MEMBERS","MAILING ADDRESS",,,,
"UNITED METHODIST CHURCH, OREGON CITY, OREGON","18955 S SOUTH END RD",,"OREGON CITY","OR","97045",,,,"299818","DOMESTIC NONPROFIT CORPORATION","1850-05-17 00:00:00","RELIGIOUS WITH MEMBERS","PRESIDENT","MIKE",,"BENISCHEK",
"UNITED METHODIST CHURCH, OREGON CITY, OREGON","18955 S SOUTH END RD",,"OREGON CITY","OR","97045",,,,"299818","DOMESTIC NONPROFIT CORPORATION","1850-05-17 00:00:00","RELIGIOUS WITH MEMBERS","PRINCIPAL PLACE OF BUSINESS",,,,
"UNITED METHODIST CHURCH, OREGON CITY, OREGON","18955 S SOUTH END RD",,"OREGON CITY","OR","97045",,,,"299818","DOMESTIC NONPROFIT CORPORATION","1850-05-17 00:00:00","RELIGIOUS WITH MEMBERS","REGISTERED AGENT","MIKE",,"BENISCHEK",
"UNITED METHODIST CHURCH, OREGON CITY, OREGON","18955 S SOUTH END RD",,"OREGON CITY","OR","97045",,,,"299818","DOMESTIC NONPROFIT CORPORATION","1850-05-17 00:00:00","RELIGIOUS WITH MEMBERS","SECRETARY","CHRISTA",,"PALMER",
"WILLAMETTE UNIVERSITY","900 STATE ST",,"SALEM","OR","97301",,,,"574418","DOMESTIC NONPROFIT CORPORATION","1853-01-21 00:00:00","PUBLIC BENEFIT","MAILING ADDRESS",,,,
"WILLAMETTE UNIVERSITY","900 STATE ST",,"SALEM","OR","97301",,,,"574418","DOMESTIC NONPROFIT CORPORATION","1853-01-21 00:00:00","PUBLIC BENEFIT","PRESIDENT","STEPHEN","E","THORSETT",
"WILLAMETTE UNIVERSITY","900 STATE ST",,"SALEM","OR","97301",,,,"574418","DOMESTIC NONPROFIT CORPORATION","1853-01-21 00:00:00","PUBLIC BENEFIT","PRINCIPAL PLACE OF BUSINESS",,,,
"WILLAMETTE UNIVERSITY","900 STATE ST",,"SALEM","OR","97301",,,,"574418","DOMESTIC NONPROFIT CORPORATION","1853-01-21 00:00:00","PUBLIC BENEFIT","REGISTERED AGENT","SHANA",,"SECHRIST",
"WILLAMETTE UNIVERSITY","900 STATE ST",,"SALEM","OR","97301",,,,"574418","DOMESTIC NONPROFIT CORPORATION","1853-01-21 00:00:00","PUBLIC BENEFIT","SECRETARY","SEAN",,"O'HOLLAREN",
"PACIFIC UNIVERSITY","2043 COLLEGE WAY",,"FOREST GROVE","OR","97116",,,,"74612087","DOMESTIC NONPROFIT CORPORATION","1854-01-10 00:00:00","PUBLIC BENEFIT","MAILING ADDRESS",,,,
"PACIFIC UNIVERSITY","2043 COLLEGE WAY",,"FOREST GROVE","OR","97116",,,,"74612087","DOMESTIC NONPROFIT CORPORATION","1854-01-10 00:00:00","PUBLIC BENEFIT","PRESIDENT","LESLEY",,"HALLICK",
"PACIFIC UNIVERSITY","2043 COLLEGE WAY",,"FOREST GROVE","OR","97116",,,,"74612087","DOMESTIC NONPROFIT CORPORATION","1854-01-10 00:00:00","PUBLIC BENEFIT","PRINCIPAL PLACE OF BUSINESS",,,,
"PACIFIC UNIVERSITY","2043 COLLEGE WAY",,"FOREST GROVE","OR","97116",,,,"74612087","DOMESTIC NONPROFIT CORPORATION","1854-01-10 00:00:00","PUBLIC BENEFIT","REGISTERED AGENT","JENNIFER","E","YRUEGAS",
"PACIFIC UNIVERSITY","2043 COLLEGE WAY",,"FOREST GROVE","OR","97116",,,,"74612087","DOMESTIC NONPROFIT CORPORATION","1854-01-10 00:00:00","PUBLIC BENEFIT","SECRETARY","MARK",,"FRANDSEN",
"GRAND LODGE OF ANCIENT FREE AND ACCEPTED MASONS OF OREGON","2150 MASONIC WAY",,"FOREST GROVE","OR","97116",,,,"4327011","DOMESTIC NONPROFIT CORPORATION","1857-01-01 00:00:00","MUTUAL BENEFIT WITH MEMBERS","MAILING ADDRESS",,,,
"GRAND LODGE OF ANCIENT FREE AND ACCEPTED MASONS OF OREGON","2150 MASONIC WAY",,"FOREST GROVE","OR","97116",,,,"4327011","DOMESTIC NONPROFIT CORPORATION","1857-01-01 00:00:00","MUTUAL BENEFIT WITH MEMBERS","PRESIDENT","MARK",,"PHILLIPS",
"GRAND LODGE OF ANCIENT FREE AND ACCEPTED MASONS OF OREGON","2150 MASONIC WAY",,"FOREST GROVE","OR","97116",,,,"4327011","DOMESTIC NONPROFIT CORPORATION","1857-01-01 00:00:00","MUTUAL BENEFIT WITH MEMBERS","PRINCIPAL PLACE OF BUSINESS",,,,
"GRAND LODGE OF ANCIENT FREE AND ACCEPTED MASONS OF OREGON","2150 MASONIC WAY",,"FOREST GROVE","OR","97116",,,,"4327011","DOMESTIC NONPROFIT CORPORATION","1857-01-01 00:00:00","MUTUAL BENEFIT WITH MEMBERS","REGISTERED AGENT","MARK",,"PHILLIPS",
"GRAND LODGE OF ANCIENT FREE AND ACCEPTED MASONS OF OREGON","2150 MASONIC WAY",,"FOREST GROVE","OR","97116",,,,"4327011","DOMESTIC NONPROFIT CORPORATION","1857-01-01 00:00:00","MUTUAL BENEFIT WITH MEMBERS","SECRETARY","GREG",,"JENKINS",
"GRAND LODGE OF OREGON I.O.O.F.","3202 SE HOLGATE BLVD",,"PORTLAND","OR","97202",,,,"4336319","DOMESTIC NONPROFIT CORPORATION","1857-01-01 00:00:00","PUBLIC BENEFIT","MAILING ADDRESS",,,,
"GRAND LODGE OF OREGON I.O.O.F.","3202 SE HOLGATE BLVD",,"PORTLAND","OR","97202",,,,"4336319","DOMESTIC NONPROFIT CORPORATION","1857-01-01 00:00:00","PUBLIC BENEFIT","PRESIDENT","RONALD",,"KUNZE",
"GRAND LODGE OF OREGON I.O.O.F.","3202 SE HOLGATE BLVD",,"PORTLAND","OR","97202",,,,"4336319","DOMESTIC NONPROFIT CORPORATION","1857-01-01 00:00:00","PUBLIC BENEFIT","PRINCIPAL PLACE OF BUSINESS",,,,
"GRAND LODGE OF OREGON I.O.O.F.","3202 SE HOLGATE BLVD",,"PORTLAND","OR","97202",,,,"4336319","DOMESTIC NONPROFIT CORPORATION","1857-01-01 00:00:00","PUBLIC BENEFIT","REGISTERED AGENT","RONALD","L","KUNZE",
"GRAND LODGE OF OREGON I.O.O.F.","3202 SE HOLGATE BLVD",,"PORTLAND","OR","97202",,,,"4336319","DOMESTIC NONPROFIT CORPORATION","1857-01-01 00:00:00","PUBLIC BENEFIT","SECRETARY","RONALD","L","KUNZE",
"CONGREGATION BETH ISRAEL","1972 NW FLANDERS STREET",,"PORTLAND","OR","97209",,,,"4233110","DOMESTIC NONPROFIT CORPORATION","1859-01-21 00:00:00","RELIGIOUS WITH MEMBERS","MAILING ADDRESS",,,,
"CONGREGATION BETH ISRAEL","1972 NW FLANDERS ST",,"PORTLAND","OR","97209",,,,"4233110","DOMESTIC NONPROFIT CORPORATION","1859-01-21 00:00:00","RELIGIOUS WITH MEMBERS","PRESIDENT","TONY",,"URDES",
"CONGREGATION BETH ISRAEL","1972 NW FLANDERS ST",,"PORTLAND","OR","97209",,,,"4233110","DOMESTIC NONPROFIT CORPORATION","1859-01-21 00:00:00","RELIGIOUS WITH MEMBERS","PRINCIPAL PLACE OF BUSINESS",,,,
"CONGREGATION BETH ISRAEL","1972 NW FLANDERS ST",,"PORTLAND","OR","97209",,,,"4233110","DOMESTIC NONPROFIT CORPORATION","1859-01-21 00:00:00","RELIGIOUS WITH MEMBERS","REGISTERED AGENT","JOSHUA","A","KASHINSKY",
"CONGREGATION BETH ISRAEL","1972 NW FLANDERS ST",,"PORTLAND","OR","97209",,,,"4233110","DOMESTIC NONPROFIT CORPORATION","1859-01-21 00:00:00","RELIGIOUS WITH MEMBERS","SECRETARY","SALLY",,"ROSEFIELD",
