"division","classification","position","title","_07_31_21","_08_31_21","_9_30_2021","_10_31_21","_11_30_2021","_12_31_21","_01_31_22","_02_28_2022","_3_31_2022","_4_30_2022","_5_31_2022"
"Administration","Accountant 1","4694","BASIC LIFE INSURANCE - $10,000",,,,,,,,,,"1.58","1.58"
"Administration","Accountant 1","4694","DENTAL INSURANCE",,,,,,,,,,"167.17","167.17"
"Administration","Accountant 1","4694","EMPLOYMENT RELATIONS BOARD ASSESSMENT",,,,,,,,,,"2.40","2.40"
"Administration","Accountant 1","4694","ESSENTIAL WORKER DIFFERENTIAL",,,,,,,,,,"160.00",
"Administration","Accountant 1","4694","HEALTH INSURANCE",,,,,,,,,,"2078.99","2078.99"
"Administration","Accountant 1","4694","PERS PENSION OBLIGATION BOND PAYMENT",,,,,,,,,,"380.34","371.38"
"Administration","Accountant 1","4694","PERS RETIREMENT",,,,,,,,,,"1450.73","1416.55"
"Administration","Accountant 1","4694","REGULAR EMPLOYEES SALARY",,,,,,,,,,"6316.00","6316.00"
"Administration","Accountant 1","4694","SOCIAL SECURITY & MEDICARE",,,,,,,,,,"517.83","513.23"
"Administration","Accountant 1","4694","WORK OUT OF CLASS & LEADWORK",,,,,,,,,,"315.80","315.80"
"Administration","Accountant 1","4694","WORKERS' BENEFIT FUND ASSESSMENT",,,,,,,,,,"1.76","1.69"
"Administration","Accountant 2","9007","BASIC LIFE INSURANCE - $10,000",,,,,,,,,,"1.52","1.52"
"Administration","Accountant 2","9007","DENTAL INSURANCE",,,,,,,,,,"148.23","148.23"
"Administration","Accountant 2","9007","EMPLOYMENT RELATIONS BOARD ASSESSMENT",,,,,,,,,,"2.40","2.40"
"Administration","Accountant 2","9007","HEALTH INSURANCE",,,,,,,,,,"2324.05","2324.05"
"Administration","Accountant 2","9007","PERS PENSION OBLIGATION BOND PAYMENT",,,,,,,,,,"427.95","427.95"
"Administration","Accountant 2","9007","PERS RETIREMENT",,,,,,,,,,"1632.33","1632.33"
"Administration","Accountant 2","9007","REGULAR EMPLOYEES SALARY",,,,,,,,,,"7642.00","7642.00"
"Administration","Accountant 2","9007","SOCIAL SECURITY & MEDICARE",,,,,,,,,,"563.56","563.56"
"Administration","Accountant 2","9007","WORKERS' BENEFIT FUND ASSESSMENT",,,,,,,,,,"1.71","1.66"
"Administration","Accountant 2","4694","BASIC LIFE INSURANCE - $10,000","1.58","1.58","1.58","1.58","1.58","1.58","1.58","1.58","1.58",,
"Administration","Accountant 2","4694","COVID RECOGNITION ONE-TIME PAYMENT",,,"1550.00",,,,,,,,
"Administration","Accountant 2","4694","DENTAL INSURANCE","149.83","149.83","149.83","149.83","149.83","167.17","167.17","167.17","167.17",,
"Administration","Accountant 2","4694","EMPLOYMENT RELATIONS BOARD ASSESSMENT","2.40","2.40","2.40","2.40","2.40","2.40","2.40","2.40","2.40",,
"Administration","Accountant 2","4694","ESSENTIAL WORKER DIFFERENTIAL",,,,"159.50","126.75","149.50","149.00","120.00","174.75",,
"Administration","Accountant 2","4694","HEALTH INSURANCE","2052.65","2052.65","2052.65","2052.65","2052.65","2078.99","2078.99","2078.99","2078.99",,
"Administration","Accountant 2","4694","PERS PENSION OBLIGATION BOND PAYMENT","359.68","359.68","446.48","380.31","464.18","379.75","379.72","378.10","381.17",,
"Administration","Accountant 2","4694","PERS RETIREMENT","1371.92","1371.92","1703.00","1450.62","1770.52","1448.49","1448.38","1442.18","1453.88",,
"Administration","Accountant 2","4694","REGULAR EMPLOYEES SALARY","6117.00","6117.00","6117.00","6316.00","7773.53","6316.00","6316.00","6316.00","6316.00",,
"Administration","Accountant 2","4694","SOCIAL SECURITY & MEDICARE","497.67","490.02","608.59","518.21","632.78","517.03","516.98","514.77","518.95",,
"Administration","Accountant 2","4694","WORK OUT OF CLASS & LEADWORK","305.85","305.85","305.85","315.80","388.67","315.80","315.80","315.80","315.80",,
"Administration","Accountant 2","4694","WORKERS' BENEFIT FUND ASSESSMENT","1.65","1.49","1.82","1.76","1.40","1.65","1.64","1.32","1.93",,
"Administration","Accountant 3","9007","BASIC LIFE INSURANCE - $10,000","1.52","1.52","1.52","1.52","1.52","1.52","1.52","1.52","1.52",,
"Administration","Accountant 3","9007","DENTAL INSURANCE","143.77","143.77","143.77","143.77","143.77","148.23","148.23","148.23","148.23",,
"Administration","Accountant 3","9007","EMPLOYMENT RELATIONS BOARD ASSESSMENT","2.40","2.40","2.40","2.40","2.40","2.40","2.40","2.40","2.40",,
"Administration","Accountant 3","9007","HEALTH INSURANCE","2243.54","2243.54","2243.54","2243.54","2243.54","2324.05","2324.05","2324.05","2324.05",,
"Administration","Accountant 3","9007","PERS PENSION OBLIGATION BOND PAYMENT","414.46","414.46","414.46","427.95","502.02","427.95","427.95","427.95","427.95",,
"Administration","Accountant 3","9007","PERS RETIREMENT","1580.85","1580.85","1580.85","1632.33","1914.86","1632.33","1632.33","1632.33","1632.33",,
"Administration","Accountant 3","9007","REGULAR EMPLOYEES SALARY","7401.00","7401.00","7401.00","7642.00","8964.70","7642.00","7642.00","7642.00","7642.00",,
"Administration","Accountant 3","9007","SOCIAL SECURITY & MEDICARE","545.85","545.85","545.84","564.28","665.47","563.56","563.56","563.54","563.56",,
"Administration","Accountant 3","9007","WORKERS' BENEFIT FUND ASSESSMENT","1.73","1.66","1.39","1.24","1.25","1.65","1.56","1.59","1.81",,
"Administration","Accountant 3","13515","BASIC LIFE INSURANCE - $10,000",,,,,,,,,,"1.58","1.58"
"Administration","Accountant 3","13515","DENTAL INSURANCE",,,,,,,,,,"61.92","61.92"
"Administration","Accountant 3","13515","EMPLOYMENT RELATIONS BOARD ASSESSMENT",,,,,,,,,,"2.40","2.40"
"Administration","Accountant 3","13515","HEALTH INSURANCE",,,,,,,,,,"770.28","770.28"
"Administration","Accountant 3","13515","PERS PENSION OBLIGATION BOND PAYMENT",,,,,,,,,,"543.87","543.87"
"Administration","Accountant 3","13515","PERS RETIREMENT",,,,,,,,,,"2074.46","2074.46"
"Administration","Accountant 3","13515","REGULAR EMPLOYEES SALARY",,,,,,,,,,"8829.00","8829.00"
