"date","title","source_is_it_dph_made_or","link"
"2018-05-22T00:00:00.000","Talk with the Doc: Check the Pool - Safe Swimming","DPH production","https://www.youtube.com/watch?v=YPFMoUBqQ7c"
"2018-06-26T00:00:00.000","Talk with the Doc: Protect Yourself and Others - Safe Swimming","DPH production","https://www.youtube.com/watch?v=ksEdykIkyCI"
"2018-06-26T00:00:00.000","Talk with the Doc: Check Yourself - Safe Swimming","DPH production","https://www.youtube.com/watch?v=W6EZyBhTTkA"
"2018-11-19T00:00:00.000","Come see us at the Community Hospital of San Bernardino for the Community Thanksgiving Dinner today 4:00-6:00 PM.","DPH production","https://www.facebook.com/SBCPublicHealth/videos/358602721632601/"
"2018-11-19T00:00:00.000","Public Health Thank You Day","DPH production","https://www.facebook.com/watch/?v=335693577134278"
"2019-02-19T00:00:00.000","Career Day at Arroyo Grande","DPH production","https://www.facebook.com/watch/?v=239477030323534"
"2019-03-08T00:00:00.000","FNL Safe n Sober at AB Miller High School","Live Stream","https://www.facebook.com/SBCPublicHealth/videos/267438754181956/"
"2019-05-01T00:00:00.000","Committed to Public Health: Nutrition Program","DPH production","https://www.youtube.com/watch?v=WLc2HvD9DxM"
"2019-06-02T00:00:00.000","MyPlate, MyWins: Real Solutions from Real Families","Shared from USDA","https://www.facebook.com/SBCPublicHealth/posts/2549234275110704"
"2019-06-10T00:00:00.000","Here's Why Amber Chooses to Breastfeed her Baby","DPH production","https://www.facebook.com/watch/?v=450406445753646"
"2019-06-12T00:00:00.000","WIC Families Share Their Experience with Breastfeeding (1)","DPH production","https://www.facebook.com/SBCPublicHealth/videos/313255246284839/"
"2019-06-12T00:00:00.000","WIC Families Share Their Experience with Breastfeeding (2)","DPH production","https://www.facebook.com/watch/?v=430076791163666"
"2019-06-12T00:00:00.000","WIC Families Share Their Experience with Breastfeeding (3)","DPH production","https://www.facebook.com/watch/?v=2414977828713627"
"2019-06-20T00:00:00.000","Adults: Do You Know What Vaccines You Need?","Shared from CDC","https://www.facebook.com/SBCPublicHealth/posts/2584435538257244"
"2019-06-25T00:00:00.000","The Board of Supervisors recognized the Department of Public Health for winning 8 National Association of Counties (NACo) awards.","DPH production","https://www.facebook.com/SBCPublicHealth/videos/370536153603689/"
"2019-06-26T00:00:00.000","Our Best Shot: The Important of Vaccines for Older Adults","Shared from Alliance for Aging Research","https://www.facebook.com/SBCPublicHealth/posts/2597245723642892"
"2019-07-09T00:00:00.000","Committed to Public Health: EHS MVC Program","DPH production","https://youtu.be/tKCB-V9x9aw"
"2019-07-10T00:00:00.000","Hepatitis C Lessons on a Chalkboard - 30 seconds","Shared from CDC","https://www.facebook.com/SBCPublicHealth/posts/2622661981101266"
"2019-07-23T00:00:00.000","No Warning Signs PSA - 30 Seconds","Shared from CDC","https://www.facebook.com/SBCPublicHealth/posts/2646602848707179"
"2019-07-23T00:00:00.000","Jammin' Minute 1","Shared from Mesquite ISD","https://www.facebook.com/SBCPublicHealth/posts/2646599028707561"
"2019-07-30T00:00:00.000","#AdoptPureLove - Shelter Pet Project - Olivia Munn PSA","Shared from Homeward Bound Project Adopt","https://www.facebook.com/SBCPublicHealth/posts/2660148400685957"
"2019-08-12T00:00:00.000","Jammin' Minute 9","Shared from Mesquite ISD","https://www.facebook.com/SBCPublicHealth/posts/2683275098373287"
"2019-08-30T00:00:00.000","Pregnancy and Opioids","Shared from CDPH","https://www.facebook.com/SBCPublicHealth/posts/2716258388408291"
"2019-09-09T00:00:00.000","Will YOU be part of CDA Cares San Bernardino?","Shared from CDA Cares","https://www.facebook.com/SBCPublicHealth/posts/2737533546280775"
"2019-09-13T00:00:00.000","You can meet Ziggy and all his friends at the #DevoreAnimalShelter at 10am.","Shared from Homeward Bound Project Adopt","https://www.facebook.com/SBCPublicHealth/posts/2744480975586032"
"2019-10-09T00:00:00.000","You can give your baby protection against whooping cough before your little one is born.","Shared from CDC","https://www.facebook.com/SBCPublicHealth/posts/2779074088793387"
"2019-10-17T00:00:00.000","2019 Great ShakeOut","DPH production","https://youtu.be/fnpPA08TJE4"
"2019-11-05T00:00:00.000","Jammin' Minute 18","Shared from Mesquite ISD","https://www.facebook.com/SBCPublicHealth/photos/a.1014235451943935/2858115450889250/?type=3&theater"
"2019-11-07T00:00:00.000","5 Tips for Reducing Your Risk of Preterm Birth","Shared from CDPH","https://www.facebook.com/SBCPublicHealth/posts/2864021953631933?__tn__=-R"
"2019-12-10T00:00:00.000","HealthStat","DPH production","https://youtu.be/vLWcx_QJ0dA!"
"2020-01-16T00:00:00.000","Committed to Public Health: Animal Care and Control","DPH production","https://youtu.be/9fLUTT_3PIQ"
